line,start_time,end_time,text
1,"00:00:00,001","00:00:10,001","Provided by explosiveskull
https://twitter.com/kaboomskull"
2,"00:00:43,961","00:00:45,462",(ABUELA SPEAKING SPANISH)
3,"00:00:47,464","00:00:49,007",(IN ENGLISH) Open your eyes.
4,"00:00:49,091","00:00:50,843",(ENCHANTING MUSIC PLAYING)
5,"00:00:53,262","00:00:55,931",This is where our magic comes from?
6,"00:00:56,098","00:00:57,182",Mm-hmm.
7,"00:00:58,183","00:01:03,105","This candle holds the miracle
given to our family."
8,"00:01:03,772","00:01:06,024",How did we get a miracle?
9,"00:01:07,526","00:01:09,194","Long ago,"
10,"00:01:10,362","00:01:13,365","when my three babies had just been born,"
11,"00:01:15,617","00:01:20,080","your Abuelo Pedro and I
were forced to flee our home."
12,"00:01:22,875","00:01:25,711","And though many joined us,"
13,"00:01:25,794","00:01:27,880","hoping to find a new home,"
14,"00:01:29,214","00:01:31,800",we could not escape the dangers
15,"00:01:35,137","00:01:38,932",and your abuelo was lost.
16,"00:01:41,727","00:01:44,605","But in our darkest moment,"
17,"00:01:45,814","00:01:48,609",we were given a miracle.
18,"00:01:50,152","00:01:53,989",The candle became a magical flame
19,"00:01:54,072","00:01:55,782",that could never go out.
20,"00:01:56,450","00:02:01,455","And it blessed us
with a refuge in which to live."
21,"00:02:04,291","00:02:06,543",A place of wonder.
22,"00:02:06,960","00:02:08,419",YOUNG MIRABEL: An encanto.
23,"00:02:08,628","00:02:10,047",ABUELA: An encanto.
24,"00:02:11,632","00:02:14,301",The miracle grew.
25,"00:02:17,346","00:02:18,764","And our house,"
26,"00:02:20,474","00:02:22,768",our casita itself
27,"00:02:23,810","00:02:27,064",came alive to shelter us.
28,"00:02:30,817","00:02:33,195","When my children came of age,"
29,"00:02:33,362","00:02:38,492","the miracle blessed each
with a magic Gift to help us."
30,"00:02:41,036","00:02:43,372",And when their children came of age...
31,"00:02:43,539","00:02:45,374","YOUNG MIRABEL: They got magic, too."
32,"00:02:45,499","00:02:47,334",ABUELA: (CHUCKLING) That's right!
33,"00:02:47,543","00:02:51,296","And together, our family's Gifts"
34,"00:02:51,463","00:02:55,843",have made our new home a paradise.
35,"00:02:57,594","00:03:04,184","Tonight, this candle
will give you your Gift, mi vida."
36,"00:03:04,393","00:03:09,565","Strengthen our community,
strengthen our home."
37,"00:03:09,982","00:03:12,901",Make your family proud.
38,"00:03:13,610","00:03:15,612",Make my family proud.
39,"00:03:15,737","00:03:16,822",(FIREWORKS EXPLODING)
40,"00:03:21,577","00:03:24,246","Yes, yes, casita, we're going!"
41,"00:03:26,290","00:03:28,458",(YOUNG MIRABEL GIGGLING)
42,"00:03:30,294","00:03:33,088",What do you think my Gift will be?
43,"00:03:33,463","00:03:36,884","You are a wonder, Mirabel Madrigal."
44,"00:03:37,593","00:03:39,511",Whatever Gift awaits
45,"00:03:40,554","00:03:44,141",will be just as special as you.
46,"00:03:44,224","00:03:46,768",(UPLIFTING MUSIC PLAYS)
47,"00:03:58,280","00:04:00,532",(UPBEAT MUSIC PLAYING)
48,"00:04:14,213","00:04:16,548",(EXHALES) Make your family proud.
49,"00:04:17,048","00:04:18,341","Morning, Abuelo!"
50,"00:04:27,142","00:04:29,436",Hey! When's the magic Gift happen?
51,"00:04:29,520","00:04:31,188",My cousin's ceremony is tonight.
52,"00:04:31,271","00:04:32,481",What's his Gift?
53,"00:04:32,564","00:04:33,774",We're gonna find out!
54,"00:04:33,941","00:04:35,025",What's your Gift?
55,"00:04:35,192","00:04:36,235",Who's asking?
56,"00:04:36,318","00:04:37,319",ALL: Us!
57,"00:04:37,444","00:04:39,821","Well, ""us,"" I can't just talk
about myself."
58,"00:04:39,905","00:04:42,699",\an8I'm only part of the amazing Madrigals.
59,"00:04:42,783","00:04:44,368",Who's all the amazing Madrigals?
60,"00:04:44,451","00:04:46,620","Ah, you're not gonna
leave me alone, are you?"
61,"00:04:46,703","00:04:47,913","Casita, help me out."
62,"00:04:47,996","00:04:48,997",Drawers!
63,"00:04:49,831","00:04:50,832",Floors!
64,"00:04:51,333","00:04:52,334",Doors!
65,"00:04:52,918","00:04:53,919",Let's go!
66,"00:04:54,002","00:04:56,964","This is our home
We've got every generation"
67,"00:04:57,047","00:05:00,259","So full of music
A rhythm of its own design"
68,"00:05:00,342","00:05:03,804","This is my family
A perfect constellation"
69,"00:05:03,971","00:05:06,890","So many stars
And everybody gets to shine"
70,"00:05:07,057","00:05:08,100",Whoa
71,"00:05:08,183","00:05:10,519","But let's be clear
Abuela runs this show"
72,"00:05:10,644","00:05:11,645",Whoa
73,"00:05:11,728","00:05:14,064","She led us here
So many years ago"
74,"00:05:14,231","00:05:15,232",Whoa
75,"00:05:15,315","00:05:17,359","And every year
Our family blessings grow"
76,"00:05:17,860","00:05:20,946","There's just a lot
You simply got to know so"
77,"00:05:21,029","00:05:23,615",Welcome to the family Madrigal
78,"00:05:24,491","00:05:26,743","The home
Of the family Madrigal"
79,"00:05:26,910","00:05:27,911",We're on our way
80,"00:05:28,078","00:05:30,205",Where all the people are fantastical
81,"00:05:30,289","00:05:31,415",And magical
82,"00:05:31,498","00:05:33,750","I'm part
Of the family Madrigal"
83,"00:05:33,834","00:05:36,295","-Oh, my gosh! It's them!
-What are the Gifts?"
84,"00:05:36,461","00:05:37,504",I can't remember all the Gifts!
85,"00:05:37,588","00:05:38,589",But I don't know who is who.
86,"00:05:38,755","00:05:40,007","All right, all right, relax!"
87,"00:05:40,174","00:05:41,800",It is physically impossible to relax!
88,"00:05:41,884","00:05:42,885",Tell us everything!
89,"00:05:42,968","00:05:43,969",What are your powers?
90,"00:05:44,052","00:05:45,637",Just tell us what everyone can do!
91,"00:05:45,971","00:05:48,015",And that's why coffee's for grown-ups.
92,"00:05:48,182","00:05:51,643","(SINGING) My tía Pepa
Her mood affects the weather"
93,"00:05:51,810","00:05:53,187",When she's unhappy
94,"00:05:53,270","00:05:54,980","Well, the temperature
Gets weird"
95,"00:05:55,147","00:05:56,398",My tío Bruno
96,"00:05:56,690","00:05:58,192",ALL: We don't talk about Bruno!
97,"00:05:58,650","00:06:02,070","They say he saw the future
One day he disappeared"
98,"00:06:02,237","00:06:04,198","Oh
And that's my mom Julieta"
99,"00:06:04,281","00:06:05,449",Here's her deal
100,"00:06:05,532","00:06:06,575",Whoa
101,"00:06:06,658","00:06:08,994","The truth is she can heal you
With a meal"
102,"00:06:09,077","00:06:10,078",Whoa
103,"00:06:10,162","00:06:12,539","Her recipes
Are remedies for real"
104,"00:06:12,748","00:06:15,167","If you're impressed
Imagine how I feel"
105,"00:06:15,250","00:06:16,251",Mom!
106,"00:06:16,418","00:06:18,712",Welcome to the family Madrigal
107,"00:06:19,379","00:06:21,632","The home
Of the family Madrigal"
108,"00:06:21,798","00:06:23,008","Hey, coming through!"
109,"00:06:23,175","00:06:25,052",I know it sounds a bit fantastical
110,"00:06:25,135","00:06:26,178",And magical
111,"00:06:26,261","00:06:29,056","But I'm part of
The family Madrigal"
112,"00:06:29,515","00:06:30,641",Two guys fell in love
113,"00:06:30,724","00:06:32,226","-With family Madrigal
-With family Madrigal"
114,"00:06:32,976","00:06:34,019",And now they're part of
115,"00:06:34,102","00:06:35,729","-The family Madrigal
-The family Madrigal"
116,"00:06:36,146","00:06:37,814","See, yeah, Tío Félix married Pepa"
117,"00:06:37,898","00:06:39,191",And my dad married Julieta
118,"00:06:39,358","00:06:40,567",That's how Abuela became
119,"00:06:40,651","00:06:42,319","-An abuela Madrigal
-Abuela Madrigal"
120,"00:06:42,486","00:06:43,570","Let's go
Let's go"
121,"00:06:43,737","00:06:47,032","We swear to always
Help those around us"
122,"00:06:47,199","00:06:50,410","And earn the miracle
That somehow found us"
123,"00:06:50,577","00:06:53,247","The town keeps growing
The world keeps turning"
124,"00:06:53,413","00:06:56,875","But work and dedication
Will keep the miracle burning"
125,"00:06:57,042","00:07:00,671","And each new generation
Must keep the miracle burning"
126,"00:07:01,380","00:07:03,090","Wait, who's the sister
and who's the cousin?"
127,"00:07:03,257","00:07:04,299",There are so many people!
128,"00:07:04,508","00:07:05,551",How do you keep them all straight?
129,"00:07:05,717","00:07:07,344","Okay, okay, okay."
130,"00:07:07,511","00:07:10,639","So many kids in our house
So, let's turn the sound up"
131,"00:07:10,848","00:07:14,142","You know why? I think it's
time for a Grandkid Round-up!"
132,"00:07:14,309","00:07:15,978",ALL: Grandkid Round-up
133,"00:07:16,144","00:07:19,231","Cousin Dolores
Can hear a pin drop"
134,"00:07:19,398","00:07:22,818","Camilo shapeshifts
Antonio gets his Gift today"
135,"00:07:22,985","00:07:24,611",My older sisters
136,"00:07:24,695","00:07:26,280","-Isabela and Luisa
-Isabela and Luisa"
137,"00:07:26,446","00:07:29,616","One strong, one graceful
Perfect in every way"
