line,start_time,end_time,text
1,"00:00:28,901","00:00:33,906","Subtitles by explosiveskull
Resync by GoldenBeard"
2,"00:00:45,671","00:00:48,137",♪ Your altitude
3,"00:00:48,139","00:00:49,971",♪ Is only viewed
4,"00:00:49,973","00:00:53,743","♪ As an indication
of your attitude"
5,"00:00:53,745","00:00:57,013",♪ For you're only as small
6,"00:00:57,015","00:00:58,751",♪ As your dreams
7,"00:01:00,284","00:01:03,620","♪ You may be small
Not big and tall"
8,"00:01:03,622","00:01:06,722","♪ But a giant's what you
'twill be called"
9,"00:01:06,724","00:01:12,027","♪ For you're only
as small as your dreams"
10,"00:01:12,029","00:01:13,161",♪ I know that I... ♪
11,"00:01:14,667","00:01:15,566",Sorry!
12,"00:01:15,568","00:01:16,600","Yeah, sorry about that."
13,"00:01:16,602","00:01:19,334","That's not the story
we're telling."
14,"00:01:19,336","00:01:23,171","No. We're here
for Peter Rabbit."
15,"00:01:23,173","00:01:25,040",The hero of our tale.
16,"00:01:26,210","00:01:29,682","A young rabbit in a blue coat
and no pants."
17,"00:01:34,786","00:01:37,253","Hey! Pick on someone
your own size."
18,"00:01:37,255","00:01:38,321",My pleasure.
19,"00:01:38,323","00:01:39,759",Oh! I didn't mean me.
20,"00:01:43,094","00:01:44,193",Ow!
21,"00:01:51,169","00:01:53,804","Going into his
garden again, I see."
22,"00:01:53,806","00:01:56,807","There are safer ways
to get a meal, you know!"
23,"00:01:56,809","00:01:58,239","Yeah, but they're not as fun."
24,"00:01:59,812","00:02:00,945",Oi.
25,"00:02:00,947","00:02:03,378","What did I tell you about
sneakin' into McGregor's?"
26,"00:02:03,380","00:02:05,615","Make sure to
get you some cauliflower?"
27,"00:02:05,617","00:02:07,151","That's a good boy.
Now, off you get."
28,"00:02:10,187","00:02:11,987","All right,
talk to me, Benjamin."
29,"00:02:11,989","00:02:12,889","He's mowed half the lawn,"
30,"00:02:12,891","00:02:14,827","which maybe gives us
just enough time."
31,"00:02:15,627","00:02:16,827",Look at him.
32,"00:02:16,829","00:02:18,094",Pure evil.
33,"00:02:18,096","00:02:20,095",Even cuts grass angry.
34,"00:02:20,097","00:02:21,330","Hey, here's a crazy thought."
35,"00:02:21,332","00:02:22,865","What if we don't go in,"
36,"00:02:22,867","00:02:24,967","because last time,
you almost got caught."
37,"00:02:24,969","00:02:26,235",You're so adorable.
38,"00:02:26,237","00:02:27,202",I could just eat you up.
39,"00:02:27,204","00:02:29,841","That's exactly what
he wants to do to you."
40,"00:02:31,676","00:02:33,175",Higher. Higher.
41,"00:02:33,177","00:02:36,045",Why are you always on top?
42,"00:02:36,047","00:02:37,245",Because I'm the oldest.
43,"00:02:37,247","00:02:39,015",We're triplets!
44,"00:02:39,017","00:02:40,416",I'm still the oldest.
45,"00:02:40,418","00:02:43,386",By 16 seconds.
46,"00:02:43,388","00:02:46,154","Ugh. When's the last time
you brushed your tail?"
47,"00:02:46,156","00:02:47,823",Whoa!
48,"00:02:47,825","00:02:49,325","All right, rest time's over.
Come on."
49,"00:02:49,327","00:02:50,392","- Yeah.
- Race you."
50,"00:02:50,394","00:02:52,394",Not if I race you first.
51,"00:02:52,396","00:02:53,829",No fair.
52,"00:03:03,407","00:03:04,239",Take it all in
53,"00:03:04,241","00:03:08,177","because we're about
to take it all in."
54,"00:03:08,179","00:03:11,446","Sorry. I don't know
why I'm so out of shape."
55,"00:03:11,448","00:03:12,882",I only eat salad.
56,"00:03:12,884","00:03:14,885","It's the dressing.
Get it on the side."
57,"00:03:14,887","00:03:16,351","Or just have
a drizzle of lemon."
58,"00:03:16,353","00:03:18,154","It'll change your life,
trust me."
59,"00:03:18,156","00:03:19,790",Right. You all know the drill.
60,"00:03:19,792","00:03:21,725","I'm not gonna pretend
that what we're about to do"
61,"00:03:21,727","00:03:24,292","isn't reckless, foolhardy,
even dangerous."
62,"00:03:24,294","00:03:25,427","But we will succeed,"
63,"00:03:25,429","00:03:27,798","because each of us
plays a vital role"
64,"00:03:27,800","00:03:30,965","specifically tailored
to our individual talents."
65,"00:03:30,967","00:03:33,168","Lookout. Lookout.
Lookout. Lookout."
66,"00:03:33,170","00:03:34,202",Hero.
67,"00:03:34,204","00:03:35,337",Hmm.
68,"00:03:35,339","00:03:36,439",Now let's do this.
69,"00:03:36,441","00:03:37,874",Right behind ya.
70,"00:03:37,876","00:03:39,007","- Not a chance.
- Why?"
71,"00:03:39,009","00:03:41,177","Are you afraid I'm gonna get
my foot caught in a trap"
72,"00:03:41,179","00:03:43,244","and I'll have to gnaw it off, and
then you'll call me ""Stumpy"""
73,"00:03:43,246","00:03:45,916","for the rest of my life, and
I'll have a horrifying scar,"
74,"00:03:45,918","00:03:48,920","but all the real scars
will be on the inside?"
75,"00:03:50,823","00:03:52,053",Sorry you had to hear that.
76,"00:03:52,055","00:03:54,189","It's okay. We're family.
This is a safe space."
77,"00:03:54,191","00:03:56,092","All right, bring it in."
78,"00:03:56,094","00:03:57,358","- We all ready?
- Yep."
79,"00:03:57,360","00:03:58,862","- Absolutely.
- Always."
80,"00:03:58,864","00:04:00,733","- I guess.
- Love you guys."
81,"00:04:01,332","00:04:02,669","Now, let's do this."
82,"00:04:03,201","00:04:04,433",It's gonna be a fun one.
83,"00:04:23,488","00:04:26,254","Lettuce, radishes, radicchio."
84,"00:04:26,256","00:04:28,223","I'll tell you
what's ""radicchio."""
85,"00:04:28,225","00:04:31,393","How easy it is to steal
this man's vegetables."
86,"00:04:31,395","00:04:35,263","Because ""radicchio""
sounds like ""ridiculous."""
87,"00:04:35,265","00:04:36,967",Don't explain the joke.
88,"00:04:40,104","00:04:41,437","- Flopsy!
- Yeah!"
89,"00:04:41,439","00:04:43,071",Mopsy!
90,"00:04:43,073","00:04:44,076",Cotton-Tail!
91,"00:04:45,242","00:04:46,778",Oh.
92,"00:04:47,545","00:04:48,915",I'm good!
93,"00:04:54,285","00:04:56,184","Tomayto, tomahto."
94,"00:04:56,186","00:04:57,987","Potayto, potahto."
