line,start_time,end_time,text
1,"00:00:49,382","00:00:52,801",What is love if it's not with you?
2,"00:00:53,303","00:00:57,222","I know when you're alone
You feel it too"
3,"00:00:57,390","00:01:00,726",In your arms is where I long to be
4,"00:01:01,102","00:01:03,270",'Cause being with you gives me sanity
5,"00:01:03,438","00:01:05,272",Welcome to Rio!
6,"00:01:07,317","00:01:09,109","Listen to me, darling"
7,"00:01:09,277","00:01:12,738","I wake up every morning
thinking about the way you feel"
8,"00:01:15,366","00:01:17,159",I wonder if you know it
9,"00:01:17,327","00:01:20,287","And what good is the party
If you're not around?"
10,"00:01:20,455","00:01:21,455",But listen to me now
11,"00:01:21,915","00:01:24,625",What good is love?
12,"00:01:25,543","00:01:29,171",If it's not your love
13,"00:01:29,672","00:01:31,840",What good is love?
14,"00:01:32,008","00:01:33,300",Am I your baby love?
15,"00:01:33,468","00:01:35,969",If it's not your love
16,"00:01:36,137","00:01:37,346",Is it a crazy love?
17,"00:01:37,514","00:01:40,849","This is a crazy party
I'm so glad I'm here with everybody"
18,"00:01:41,017","00:01:42,851","Baby, move your body
Shake it to the ground"
19,"00:01:43,019","00:01:45,229","Break it, break it, break it down, Blu"
20,"00:01:45,522","00:01:46,814",Me?
21,"00:01:46,981","00:01:49,817",What's a song if you can't hear it too?
22,"00:01:51,528","00:01:55,030",Can't imagine dancing without you
23,"00:01:55,323","00:01:57,908","A shooting star
Ain't really nothing to see"
24,"00:01:59,410","00:02:03,372","If you're not right here
Standing next to me"
25,"00:02:05,542","00:02:07,209","Listen to me, darling"
26,"00:02:07,377","00:02:09,044",I wake up every morning
27,"00:02:09,212","00:02:11,588",Thinking about the way you feel
28,"00:02:13,550","00:02:15,092",I wonder if you know it
29,"00:02:15,510","00:02:18,387","What good is the party
if you're not around?"
30,"00:02:18,555","00:02:20,013",Listen to me now
31,"00:02:20,181","00:02:22,224",What good is love?
32,"00:02:23,560","00:02:26,854",If it's not your love
33,"00:02:30,066","00:02:32,901","For a bird from Minnesota,
you've got some moves."
34,"00:02:33,069","00:02:34,903","That wasn't a move.
That was an accident."
