line,start_time,end_time,text
1,"00:00:29,821","00:00:32,278",This is my world.
2,"00:00:32,741","00:00:35,904","Harsh, jagged, freezing."
3,"00:00:36,370","00:00:38,201","And I gotta say,"
4,"00:00:38,330","00:00:39,695",it's awesome!
5,"00:00:39,790","00:00:41,576",It's got everything.
6,"00:00:41,750","00:00:44,457","Ice, rocks, ice, snow, ice.
It's got a lot of ice."
7,"00:00:44,670","00:00:45,830",Plenty of modern amenities.
8,"00:00:46,004","00:00:48,290","And the best part, everyone's happy."
9,"00:00:48,382","00:00:52,000","That's because our world
is built on a foundation of stones."
10,"00:00:52,094","00:00:53,880",Not those. These.
11,"00:00:54,096","00:00:56,337","See, we have these laws
that are written in stone."
12,"00:00:56,682","00:00:59,048","Literally, written in stone!"
13,"00:00:59,142","00:01:02,100","Interpreted and enforced
by the Stonekeeper."
14,"00:01:02,187","00:01:05,771","The stones are here to protect us
and keep us safe."
15,"00:01:05,941","00:01:08,307","They pretty much tell us
everything that we need to know."
16,"00:01:08,485","00:01:10,476","Important stuff,
like how the world was created"
17,"00:01:10,571","00:01:13,779","when we all fell
from the butt of the great sky yak"
18,"00:01:15,033","00:01:17,024",and how our world is an island
19,"00:01:17,119","00:01:19,576","that floats on a sea of endless clouds,"
20,"00:01:19,663","00:01:22,871","resting on the backs
of the great mountain mammoths."
21,"00:01:23,000","00:01:25,958","And how we have to feed ice
to the mammoths, so they don't overheat"
22,"00:01:26,044","00:01:27,705","'cause if they did, they would die,"
23,"00:01:27,796","00:01:30,458","and we would all fall
into the great nothing."
24,"00:01:30,549","00:01:32,335",There's nothing down here!
25,"00:01:32,509","00:01:34,090",But my favorite stone of all
26,"00:01:34,177","00:01:36,384","is the one that says
the gong must be rung"
27,"00:01:36,471","00:01:38,837",to wake the great glowing snail
28,"00:01:38,932","00:01:42,470","so it can crawl across the sky
and bring light to the village."
29,"00:01:43,186","00:01:44,596",I love that one.
30,"00:01:44,813","00:01:47,145","It might be the most important job
ofaM"
31,"00:01:47,733","00:01:51,351","And, humble brag,
that job belongs to my dad."
32,"00:01:54,865","00:01:57,106","He does it with passion, commitment"
33,"00:01:57,743","00:01:59,279","and the help
of his able-bodied assistant..."
34,"00:01:59,453","00:02:02,160","Up and at them, Migo!
Time to ring the gong."
35,"00:02:02,247","00:02:03,157",...me.
36,"00:02:03,248","00:02:04,533",Yes!
37,"00:02:04,708","00:02:06,699","I guess you could say
I'm learning the ropes"
38,"00:02:07,461","00:02:08,325",and the wheel
39,"00:02:10,964","00:02:11,999",and the crank
