line,start_time,end_time,text
1,"00:00:40,175","00:00:42,175",Subtitle by Animotvslash.
2,"00:00:42,199","00:00:46,202","Ah, so satisfied drinking."
3,"00:00:46,203","00:00:50,164","Ah, so lazy to go home."
4,"00:00:50,165","00:00:52,458","Just stay overnight, Suneo."
5,"00:00:52,501","00:00:54,502","But Dekisugi also drank a lot, right?"
6,"00:00:54,503","00:00:57,004","I use the ""Wake Up Soon""
gadget so I'm not drunk."
7,"00:00:57,005","00:00:57,838",Me too.
8,"00:00:57,839","00:01:01,050","Haha, you two are really boring."
9,"00:01:01,051","00:01:04,136",Why drink if you wake up quickly?
10,"00:01:04,930","00:01:08,224","Goodbye, Nobita!
Don't get lost on the road, OK."
11,"00:01:08,225","00:01:09,517","Okay, Gian."
12,"00:01:09,518","00:01:14,522","Yeah, but he's on auto-drive,
so there's no way to get lost."
13,"00:01:14,523","00:01:16,649","That's right, hahaha."
14,"00:01:18,276","00:01:20,194","Sorry, I can't come tomorrow."
15,"00:01:20,195","00:01:22,947","There is a sudden work, right?
That can't be help."
16,"00:01:22,948","00:01:25,408","Being an elite person
is indeed difficult, huh."
17,"00:01:25,409","00:01:27,451","Bye, yes."
18,"00:01:27,452","00:01:30,413","Goal: Go home. Go, scooter."
19,"00:01:30,414","00:01:33,040","Tomorrow, don't be late, you know!"
20,"00:01:33,041","00:01:34,542",I know too!
21,"00:01:37,212","00:01:41,048","Finally tomorrow comes the day.
His wedding day."
22,"00:01:41,466","00:01:43,843",Even though he is just Nobita.
23,"00:01:58,859","00:02:00,192",Doraemon...
24,"00:02:30,474","00:02:34,602","We'll see the wedding
day next time, shall we?"
25,"00:02:34,603","00:02:38,105",Okay. Let's hurry back to our times.
26,"00:02:38,106","00:02:41,859",I also want to meet Shizuka at my dinner.
27,"00:03:19,314","00:03:22,233","Birthday, birthday!"
28,"00:03:22,234","00:03:25,444","I am home!
Mom, what's for lunch today?"
29,"00:03:25,445","00:03:27,530",Nobita!
30,"00:03:27,906","00:03:31,784",I found this in your desk drawer!
31,"00:03:32,744","00:03:36,205",Can't we talk about this later?
32,"00:03:36,206","00:03:37,289",Today it's...
33,"00:03:37,290","00:03:38,791",It is enough!
34,"00:03:38,792","00:03:42,753","I'm not angry because you got zero points,
but because you hid this paper!"
35,"00:03:42,754","00:03:45,673","Mom didn't teach you
to be a child like that!"
36,"00:03:45,674","00:03:50,427","Why do you have to be mad
about this on summer vacation?"
37,"00:03:50,428","00:03:52,638",How embarrassing it really is.
38,"00:03:57,352","00:03:59,728","Today is bad too, huh."
39,"00:03:59,729","00:04:01,939","Even though you don't
have to be that angry."
40,"00:04:01,940","00:04:06,402","Nothing can be done, right?
Because you're the one at fault."
41,"00:04:07,529","00:04:09,655",But today is my birthday.
42,"00:04:11,241","00:04:14,952","Could it be...
Oh, yeah. It must be!"
43,"00:04:14,953","00:04:18,037","Hah? What have you
been talking about earlier?"
44,"00:04:18,038","00:04:20,117","I am not the biological
child of this family."
45,"00:04:20,129","00:04:22,084","They must have picked
me up from somewhere."
46,"00:04:22,085","00:04:24,920","Hahaha, how stupid."
47,"00:04:24,921","00:04:28,132","If I were their real child,
Mother wouldn't speak that badly!"
48,"00:04:28,133","00:04:31,844","After all, if I really am their son,
why did they name me Nobita?"
49,"00:04:31,845","00:04:33,971","Isn't that a common name, huh?"
50,"00:04:33,972","00:04:36,473",I want a cooler name!
51,"00:04:36,474","00:04:44,273","Ah, where is my biological mother?"
52,"00:04:44,274","00:04:46,233",You're talking ridiculous.
53,"00:04:47,110","00:04:49,737","What are you doing up there, Doraemon?"
54,"00:04:49,738","00:04:53,032","Oh, I'm checking my magic gadgets."
55,"00:04:53,033","00:04:58,996","If the floor is messy, so I use this
Gravity Paint to work on the ceiling."
56,"00:04:58,997","00:05:02,458","Now, lots of it, huh."
57,"00:05:02,459","00:05:05,809","Nobita, don't hold it
carelessly, you know. I just"
58,"00:05:05,821","00:05:09,381","want to test whether these
gadgets are damaged or not."
59,"00:05:09,382","00:05:11,884","Uh, don't touch it carelessly!"
60,"00:05:11,885","00:05:13,010",What is that?
61,"00:05:13,011","00:05:16,263","This is the ""Stick of Forgetfulness""."
62,"00:05:16,264","00:05:20,267","If we use this stick, we can
forget what happened before."
63,"00:05:20,268","00:05:23,743","Eh?! If you hit Mom
using that stick earlier,"
64,"00:05:23,755","00:05:26,649","she doesn't have
to be angry like that."
65,"00:05:26,650","00:05:29,652","I wont use this wand
for something like that!"
66,"00:05:29,653","00:05:33,280","Don't say that, please.
I want to borrow it."
67,"00:05:33,281","00:05:36,629","Instead of that, you
better study harder,"
68,"00:05:36,641","00:05:40,162","so you don't need to
get another zero score."
69,"00:05:40,163","00:05:42,164",How can I be!?
70,"00:05:45,919","00:05:50,214",See! There is more!
71,"00:05:51,549","00:05:54,301","Already collected a lot, huh."
72,"00:05:54,302","00:05:57,596","Please, lend me that gadget!"
73,"00:05:57,597","00:06:00,391","If not, please hide this in
your magic pocket, please!"
74,"00:06:00,392","00:06:03,102",Cannot!
75,"00:06:03,103","00:06:06,814","How it come to this?
If she see this, surely..."
76,"00:06:08,608","00:06:10,651",This is from the future department store.
77,"00:06:12,195","00:06:14,321",What is that?
78,"00:06:14,322","00:06:19,660","Sometimes, they like to send
sample items like this one."
79,"00:06:19,661","00:06:21,829","Oh, I see?"
80,"00:06:23,164","00:06:25,082",Let us see
81,"00:06:25,083","00:06:27,126",Soul Swapping Ropes?
82,"00:06:27,127","00:06:29,086","Wait, again, you just grabbed it!"
83,"00:06:29,087","00:06:30,087",Changing.
84,"00:06:40,724","00:06:42,599",Exchange completed.
85,"00:06:42,600","00:06:46,729","Whoa, what is this? Very weird!"
86,"00:06:46,730","00:06:50,858","So this rope can be used to turn us into
someone else who also holds this rope."
87,"00:06:50,859","00:06:55,028",I became Doraemon!
88,"00:06:55,029","00:07:00,159","Hm, hm, so that's how it is.
If we use the rope one more time..."
89,"00:07:00,160","00:07:01,285",Back to normal.
90,"00:07:05,832","00:07:07,541","Oh, so this is it!"
91,"00:07:10,503","00:07:16,008","If so, can we not take it back one more
time, so I won't be nagged by Mother?"
92,"00:07:16,009","00:07:17,801",Don't talk carelessly!
93,"00:07:17,802","00:07:19,303","You really can't, can you?"
94,"00:07:22,182","00:07:26,602",Nobita! Nobita? Nobita!
95,"00:07:27,896","00:07:29,396","Oh, is that so?"
96,"00:07:29,397","00:07:31,064",Are you alright?
97,"00:07:32,025","00:07:34,902","Hahaha, it worked!"
98,"00:07:34,903","00:07:37,613",Are you alright? Nobita!
99,"00:07:37,614","00:07:39,239","Yes, I'm fine."
100,"00:07:40,074","00:07:43,577",I have to hurry and save both of us.
101,"00:07:43,578","00:07:46,455",Nobita! Nobita!
102,"00:07:50,794","00:07:54,671",Where the hell is he?
103,"00:07:55,799","00:07:59,051",Eh? Me why?
104,"00:07:59,052","00:08:02,554","Suddenly they drove me
here on a time machine."
105,"00:08:02,555","00:08:03,972",Who?
106,"00:08:03,973","00:08:05,933",You and I!
107,"00:08:05,934","00:08:11,522","Hey Nobita, I do not understand
at all what you are talking about."
108,"00:08:11,606","00:08:15,442",But I can only. Say that.
109,"00:08:15,443","00:08:19,071","Hm, I don't understand."
110,"00:08:19,072","00:08:22,074",Looks like something happened somewhere.
111,"00:08:22,075","00:08:26,495","Yeah, but now I'm here,
so no problem, right?"
112,"00:08:26,496","00:08:30,415","Really, you are so relaxed!"
113,"00:08:30,416","00:08:32,584",What's more important is this!
114,"00:08:32,585","00:08:35,586","We have to find a place
to hide, so it won't be found!"
115,"00:08:35,587","00:08:40,050","Rather than that, wouldn't it
be easier if you just studied?"
116,"00:08:40,051","00:08:42,802","You are very talkative, Doraemon."
117,"00:08:42,803","00:08:46,223","Nobita, go shopping for a while."
118,"00:08:46,224","00:08:47,599",It's Mother!
119,"00:08:47,600","00:08:49,935",There is something that I want you to buy.
120,"00:08:54,691","00:08:57,860","Just recently, mom said you too much."
121,"00:09:02,740","00:09:05,158",Eh? Very weird.
122,"00:09:06,244","00:09:10,205",I thought he was here. Where did he go?
123,"00:09:14,043","00:09:16,211",It's very dangerous.
124,"00:09:17,505","00:09:20,799","Oh, I found a great place!"
125,"00:09:22,552","00:09:24,553",This way it's safe.
126,"00:09:24,554","00:09:27,055",Oh? It's..
127,"00:09:27,140","00:09:30,934","Wow, I missed you so much!"
128,"00:09:31,728","00:09:34,897","This teddy bear that I
loved when I was little."
129,"00:09:34,898","00:09:37,399","Lots of patches, huh?"
130,"00:09:37,400","00:09:40,194","Yes, Grandma fixed this."
131,"00:09:40,195","00:09:42,279",You have Grandma?
132,"00:09:42,280","00:09:45,115",She died when I was in kindergarten.
133,"00:09:57,545","00:09:58,712",This is it!
134,"00:09:58,796","00:10:02,299","The person who's Nobita hugging, right?"
135,"00:10:02,300","00:10:05,344","Looks like the person
is very friendly, huh."
136,"00:10:05,345","00:10:09,556",Grandma always spoiled me.
137,"00:10:18,942","00:10:23,695",Gian... Gian broke my doll!
138,"00:10:23,696","00:10:28,533","Wow, what a pity."
139,"00:10:35,959","00:10:40,212","This, in this way, the
bear is no longer sick."
140,"00:10:40,213","00:10:41,588",Grandma!
141,"00:10:42,715","00:10:44,675","Whoa, walah..."
142,"00:10:44,676","00:10:48,470",Nobita is really a spoiled child.
143,"00:11:11,619","00:11:14,641","So you've been whiny and
spoiled from then on, huh?"
144,"00:11:15,665","00:11:19,626","What I want to talk about is
Grandma's kindness and warmth!"
145,"00:11:19,627","00:11:21,545","Listen carefully, please!"
146,"00:11:21,546","00:11:23,505",Sorry Sorry!
147,"00:11:33,766","00:11:36,768","Hah? Why, Nobita?"
148,"00:11:38,730","00:11:40,147",I want to meet...
149,"00:11:40,148","00:11:41,023",Hah?
150,"00:11:41,024","00:11:45,235",I want to see Grandma one more time!
151,"00:11:45,236","00:11:47,738",If you say that too..
152,"00:11:47,739","00:11:51,408","Oh yes! If we use a time
machine, we can go back in time."
153,"00:11:51,409","00:11:53,160",Better not.
154,"00:11:53,161","00:11:53,952",Why not?
155,"00:11:54,037","00:11:58,040","If Grandma saw that you suddenly became
an adult, what do you think would happen?"
156,"00:11:58,041","00:12:00,667","Surely he will be
shocked and fall and slip!"
157,"00:12:00,668","00:12:02,794","If we talk carefully, she will understand!"
158,"00:12:02,795","00:12:05,672",You think you can understand time machine!?
159,"00:12:08,342","00:12:09,926","But, but..."
160,"00:12:11,554","00:12:15,724",Oh yes! How about we just look from afar?
161,"00:12:15,725","00:12:17,768",We can hide somewhere.
162,"00:12:21,022","00:12:23,398","After seeing her for a while,
come back straight home, huh?"
163,"00:12:23,399","00:12:24,691",Hooray!
164,"00:12:25,568","00:12:26,568",Let's go!
165,"00:12:33,576","00:12:35,827",Wait a minute!
166,"00:12:37,205","00:12:39,915",We go back to when I was 3 years old.
167,"00:12:43,461","00:12:45,921","We're leaving, here."
168,"00:12:45,922","00:12:46,671",Okay!
169,"00:13:03,106","00:13:07,192","Wow, I missed you so
much! Home in the past!"
170,"00:13:08,361","00:13:10,112",There's still a litter box!
171,"00:13:10,822","00:13:12,739","Oh, Persimmon fruit tree!"
172,"00:13:13,950","00:13:16,284","Two years ago, this tree was cut down."
173,"00:13:16,285","00:13:21,123","Nobita, if anyone sees us it could be
dangerous. Hurry and look at Grandma!"
174,"00:13:22,625","00:13:23,917",Oh yes.
175,"00:13:25,128","00:13:28,839",Grandma is always in this room.
176,"00:13:28,840","00:13:32,008","Remember, yes. Well only see her from afar."
177,"00:13:42,520","00:13:44,020",You know?
178,"00:13:44,021","00:13:47,232",Nothing. What's on the second floor?
179,"00:14:03,583","00:14:09,004",This door has always been jammed.
180,"00:14:09,005","00:14:11,298","If it can't be pulled, try to push it."
181,"00:14:13,050","00:14:15,010",Who are you?
182,"00:14:16,220","00:14:19,848","Now, so young!"
183,"00:14:19,849","00:14:20,932",Is it true?
184,"00:14:20,933","00:14:24,686","But 7 years later, her face
became covered with wrinkles."
185,"00:14:24,687","00:14:25,562",Yes yes.
186,"00:14:27,064","00:14:29,941","What the hell are you guys going
into someone's house! Get out there!"
187,"00:14:34,030","00:14:36,239",Even though it's me. Doesn't she know?
188,"00:14:36,240","00:14:38,825",How could she possibly know?
189,"00:14:40,536","00:14:43,830",Looks like Grandma went out.
190,"00:14:46,459","00:14:48,710",That was me when I was 3 years old!
191,"00:14:48,711","00:14:52,964",How cute. The one now isn't cute at all.
192,"00:14:52,965","00:14:54,466",What the heck?
193,"00:15:02,016","00:15:04,559","Nobita, don't cry."
