line,start_time,end_time,text
1,"00:00:28,319","00:00:31,447","I'm going to tell you a fairytale,"
2,"00:00:31,531","00:00:33,533",and it's about Christmas.
3,"00:00:34,116","00:00:36,869","Well, it's not really about Christmas,"
4,"00:00:36,953","00:00:38,579",but it happened at Christmastime.
5,"00:00:39,080","00:00:42,208",And it's not really a fairytale.
6,"00:00:42,291","00:00:43,709",Because this happened...
7,"00:00:43,793","00:00:46,420",in real life!
8,"00:00:49,090","00:00:53,886",Fantefilm presents
9,"00:00:58,057","00:01:03,062","From: Alf PrÃ¸ysen's
wonderful universe"
10,"00:01:09,860","00:01:13,030","It started on the night
before Christmas Eve."
11,"00:01:13,114","00:01:14,699",Almost everything was ready.
12,"00:01:16,117","00:01:18,703","- Be careful!
- I am being careful."
13,"00:01:18,786","00:01:20,871","- Is that a new word for you?
- Yes, it is."
14,"00:01:20,955","00:01:22,039","""Careful""."
15,"00:01:22,748","00:01:24,375","- One more.
- Which hand?"
16,"00:01:24,458","00:01:25,459",That one.
17,"00:01:33,968","00:01:37,388","Can't you just give me both
and let me choose?"
18,"00:01:38,306","00:01:40,641","- That would be much easier.
- Here..."
19,"00:01:41,475","00:01:43,019",And here!
20,"00:01:49,734","00:01:51,777","- And the star.
- Okay."
21,"00:02:06,459","00:02:07,918",It looks lovely.
22,"00:02:08,002","00:02:09,670",Beautiful!
23,"00:02:17,261","00:02:18,721","- What is it?
- Shh!"
24,"00:02:18,804","00:02:20,348",There's a squirrel in the tree.
25,"00:02:20,473","00:02:21,766",Little Brother...
26,"00:02:22,808","00:02:25,019","- Yes?
- Go get that bowl of nuts."
27,"00:02:30,858","00:02:35,029","Come here, little squirrel!
Do you want a delicious nut?"
28,"00:02:36,280","00:02:37,615",Where did you go?
29,"00:02:37,740","00:02:39,867","- Where is it?
- Be quiet!"
30,"00:02:41,994","00:02:43,120","Oh, no!"
31,"00:02:43,245","00:02:46,082","What a lovely tree!
Should we turn on..."
32,"00:02:46,207","00:02:47,458","No, no, no!"
33,"00:02:55,508","00:02:56,509",Roger?
34,"00:02:57,468","00:02:58,469",Roger?
35,"00:02:58,928","00:03:01,222",What in the world is going on here?
36,"00:03:01,305","00:03:03,974",You have to ask Mariann.
37,"00:03:04,684","00:03:07,311","Well? Then, let's hear it!"
38,"00:03:07,395","00:03:09,188","Well, I saw a squirrel in the tree,"
39,"00:03:09,271","00:03:13,275","and just wanted to give it a nut,
and then I dropped the bowl."
40,"00:03:13,359","00:03:15,444",So it was a squirrel this time?
41,"00:03:17,947","00:03:21,158","Earlier, you thought a snowman
could speak."
42,"00:03:21,242","00:03:24,078","Last week, you saw a troll
under the woodshed, remember?"
43,"00:03:24,161","00:03:26,706",And what did that troll turn out to be?
44,"00:03:27,206","00:03:28,416",A broom.
45,"00:03:28,457","00:03:31,794","Exactly, a broom.
And there is no squirrel in that tree!"
46,"00:03:31,919","00:03:33,087",But I saw it!
47,"00:03:33,212","00:03:35,798",Stop imagining things everywhere!
48,"00:03:36,549","00:03:39,635",This is my father.
49,"00:03:39,760","00:03:42,054","And this is me, Mariann."
50,"00:03:43,097","00:03:46,517","Poor Dad. He gets a little angry
from time to time."
51,"00:03:46,600","00:03:49,478","But he's actually very, very nice."
52,"00:03:49,895","00:03:54,150","He just gets so frustrated
when he doesn't see what I see."
53,"00:03:54,984","00:03:57,111",But we usually figure things out.
54,"00:03:57,194","00:03:59,613","And this Christmas,
it wasn't such a big deal."
55,"00:03:59,697","00:04:02,199",We just had to get a new tree.
56,"00:04:02,283","00:04:04,994","Before you say anything,
that one is too wide."
57,"00:04:05,077","00:04:06,495",We need to make a decision soon.
58,"00:04:06,579","00:04:09,665","This tree says it doesn't want
to be a Christmas tree."
59,"00:04:11,333","00:04:14,754","What? Don't all trees
want to be Christmas trees?"
60,"00:04:14,837","00:04:22,845","No. This one wants to be with its family.
See? Here is the father and the mother."
61,"00:04:24,221","00:04:27,725","Fine, then I guess
we'll have to leave it there."
62,"00:04:27,850","00:04:30,978",And continue searching.
63,"00:04:31,854","00:04:33,314",But to be fair...
