line,start_time,end_time,text
1,"00:00:42,654","00:00:44,196","Whoa! What is that, yo?"
2,"00:00:47,059","00:00:49,393","It looks like some kind
of alien spaceship."
3,"00:00:49,528","00:00:51,269","Oh, how wonderful."
4,"00:00:51,404","00:00:53,870","Perhaps these aliens
are the peaceful kind"
5,"00:00:54,006","00:00:55,340",that enjoy playing that
6,"00:00:57,608","00:00:59,576","If Hollywood movies
have taught me anything,"
7,"00:00:59,712","00:01:03,241","it's that space aliens only
come here for one reason,"
8,"00:01:03,377","00:01:04,477",to replace us!
9,"00:01:04,612","00:01:07,949","Well, no alien is replacing me."
10,"00:01:18,558","00:01:19,996","Greetings, Earthlings."
11,"00:01:20,131","00:01:21,726",We are the Nerdlucks.
12,"00:01:21,861","00:01:24,630","Oh, my goodness.
I know these guys."
13,"00:01:24,766","00:01:27,806","They're the aliens
from Space Jam."
14,"00:01:27,941","00:01:29,406",What's a Space Jam?
15,"00:01:29,542","00:01:31,601","It's only the greatest
sports movie of all time."
16,"00:01:31,737","00:01:32,737",Sorry. Never heard of it.
17,"00:01:32,871","00:01:34,309","- Me neither.
- Nor the I."
18,"00:01:34,444","00:01:36,248",How have you never heard of it?
19,"00:01:36,383","00:01:39,211","It stars Bugs Bunny
and Michael Jordan."
20,"00:01:39,346","00:01:40,487",Michael Jordan?
21,"00:01:40,622","00:01:41,912","Oh, yeah."
22,"00:01:42,048","00:01:44,153","That's the dude who
sells all them shoes."
23,"00:01:44,289","00:01:48,259","Oh, I wish to watch the movie about
the salesman who plays the basketball."
24,"00:01:48,394","00:01:51,456","Well, we happen to
own a copy on VHS."
25,"00:01:51,591","00:01:53,496",But our VCR is busted.
26,"00:01:53,631","00:01:55,966","No problem. We've got
a VCR in the tower."
27,"00:01:56,101","00:01:57,400",We can watch it there.
28,"00:01:57,536","00:01:58,708","- Yeah, let's check this out.
- Oh, yeah!"
29,"00:01:58,732","00:01:59,596","- Excellent!
- Let's do this."
30,"00:01:59,732","00:02:01,504","Wait, are you guys crazy?"
31,"00:02:04,406","00:02:08,014","Inviting these aliens into our
home is a horrible idea, Titans."
32,"00:02:08,149","00:02:10,479","How do we know we
can even trust them?"
33,"00:02:10,614","00:02:12,548","Just sit down and
watch the movie, dude."
34,"00:02:19,018","00:02:21,350","Oh, yeah. Space Jam!"
35,"00:02:21,486","00:02:22,486",No.
36,"00:02:24,323","00:02:29,532","This is Teen
Titans Go! See Space Jam."
37,"00:02:29,668","00:02:31,633","Now let's fast forward
to get to the good stuff."
38,"00:02:34,338","00:02:37,605","I just feel at this particular
time that I reached the pinnacle"
39,"00:02:37,741","00:02:40,537","of my basketball career
and I must retire."
40,"00:02:40,673","00:02:42,780",Holdup. MJ is retiring?
41,"00:02:42,915","00:02:45,511","Nice going, Cyborg. You skip
to the end of the movie."
42,"00:02:45,646","00:02:47,320","Nah, this is the beginning."
43,"00:02:47,455","00:02:50,449","But he said he was the done
playing the basketball."
44,"00:02:50,585","00:02:52,150","Yeah, he says that a lot."
45,"00:02:52,285","00:02:55,219","Anybody this, except
for one person, and, uh,"
46,"00:02:55,354","00:02:58,493","but I think I'm gonna go and
play professional baseball."
47,"00:02:58,629","00:03:00,157","What
position will you play?"
48,"00:03:00,292","00:03:02,367","I don't know.
As a kid, I was a pitcher."
49,"00:03:02,502","00:03:04,272","I think that'd be kind
of hard for me to pitch,"
50,"00:03:04,296","00:03:05,976","so I think I'm gonna
play the outfield now."
51,"00:03:22,657","00:03:23,915",No way!
52,"00:03:24,050","00:03:26,158","There's an amusement
park in space?"
53,"00:03:26,294","00:03:28,925","And look, it's
named after Robin."
54,"00:03:29,060","00:03:30,894",Ha. Very funny.
