line,start_time,end_time,text
1,"00:00:16,041","00:00:21,041","Provided by explosiveskull
https://twitter.com/kaboomskull"
2,"00:00:36,245","00:00:38,747","Long ago
in a faraway place..."
3,"00:00:40,615","00:00:44,753","the beautiful island of Goola
began sinking into the sea."
4,"00:00:50,259","00:00:53,029","All the creatures of Goola
lived in helpless fear"
5,"00:00:53,162","00:00:55,664","of the day when their island
home would vanish"
6,"00:00:55,797","00:00:57,133",under the waves.
7,"00:00:58,633","00:01:01,137","- Ah, not yet.
- Oh, boy."
8,"00:01:03,973","00:01:06,242","But they knew
it would happen one day."
9,"00:01:07,977","00:01:09,744","- Ah... no.
- Oh, yeah."
10,"00:01:13,815","00:01:17,353","Until an especially clever
monkey named Moneke"
11,"00:01:17,485","00:01:19,788",had a very big idea.
12,"00:01:22,857","00:01:25,394","He would build
a great machine to harness"
13,"00:01:25,527","00:01:28,164","the power of the volcano
and all the fruit of Goola,"
14,"00:01:28,297","00:01:32,600","and create a concoction that
would keep the island afloat."
15,"00:01:34,502","00:01:36,072",When it was finished...
16,"00:02:06,435","00:02:08,404","The machine worked better
than anyone"
17,"00:02:08,536","00:02:10,072",could have ever dreamed.
18,"00:02:17,512","00:02:21,317","And there Goola remained for
generation after generation,"
19,"00:02:21,450","00:02:23,685",safely above the water.
20,"00:02:24,286","00:02:26,055",Until one day...
21,"00:02:27,722","00:02:31,260","Moneke's amazing machine
began to fail."
22,"00:02:41,836","00:02:43,605",Watch the pressure!
23,"00:02:46,342","00:02:48,210",You! Get on that valve.
24,"00:02:48,344","00:02:49,912","Yes, sir."
25,"00:02:53,581","00:02:56,085","Ooh, out of my way!"
26,"00:03:13,701","00:03:15,137",Ooh!
27,"00:03:21,310","00:03:24,947","Cheek, buddy.
No need to crash the party."
28,"00:03:26,248","00:03:28,517","You might try being
a little lighter on your feet."
29,"00:03:28,650","00:03:29,784",Oops.
30,"00:03:29,919","00:03:32,021",Be still my beating heart.
31,"00:03:32,154","00:03:36,591","What's all that noise, anyway?"
32,"00:03:36,724","00:03:39,128","Yeah, that's it."
33,"00:03:40,896","00:03:42,465",You mind turning it down?
34,"00:03:44,033","00:03:47,269","Whoa, there,
take a number, big boy."
35,"00:03:47,403","00:03:49,004","There's plenty of me
to go around."
36,"00:03:49,138","00:03:51,040",The old ape wants to see you.
37,"00:03:51,173","00:03:53,442","The executive summons.
Well, what do you know?"
38,"00:03:53,576","00:03:55,010","I must have done
something right."
39,"00:03:55,144","00:03:58,948","Duty calls, girls."
40,"00:03:59,081","00:04:00,883","Always leave them
wanting more,"
41,"00:04:01,016","00:04:03,285","that's my motto.
I can see it's yours, too."
42,"00:04:06,222","00:04:07,789","Somebody should do
something about that."
43,"00:04:11,894","00:04:13,596","What do you know?
This used to be the way"
44,"00:04:13,728","00:04:15,064",to my uncle's office.
45,"00:04:15,197","00:04:16,999","I guess we'll just have
to turn around."
46,"00:04:23,305","00:04:26,774","- Out of the way, pork chop.
- Oh, ah!"
47,"00:04:27,476","00:04:29,545",Huh?
48,"00:04:29,677","00:04:32,348","Now, that's what
I call cheek to cheek."
49,"00:04:32,481","00:04:36,085","Oh, pardon,
oh, excuse me. Sorry, sir."
50,"00:04:36,851","00:04:39,522","Don't mention it.
And keep up the good work."
51,"00:04:40,089","00:04:42,358","Say, don't I know you?"
52,"00:04:44,126","00:04:48,364","I could fire you, ham hocks,
but if this island sinks,"
53,"00:04:48,497","00:04:49,797",we might need an extra float.
54,"00:04:49,932","00:04:52,834","- Ha! You think?
- Ah, don't listen to him!"
55,"00:04:52,968","00:04:57,006","I happen to like a fellow
who enjoys life... a lot."
56,"00:04:58,440","00:05:00,142",For luck.
57,"00:05:06,482","00:05:09,652","Hey, Sal, baby.
Long time, no see."
58,"00:05:12,254","00:05:14,689","Piece of advice:
you need to learn who really"
59,"00:05:14,822","00:05:18,360","runs this company, and start
spreading the sugar around,"
60,"00:05:18,494","00:05:19,929",if you know what I mean.
61,"00:05:20,462","00:05:21,931",Oh!
62,"00:05:22,830","00:05:24,266","Ah, Peanut."
63,"00:05:24,400","00:05:26,335",Uncle Moneke!
64,"00:05:28,637","00:05:30,039",There you are.
65,"00:05:30,172","00:05:32,408","How did you know
I was coming to see you today?"
66,"00:05:32,541","00:05:33,943",Were you?
