line,start_time,end_time,text
1,"00:00:22,439","00:00:24,316",See you later!
2,"00:00:25,108","00:00:26,781","Come on, guys. Leave him alone."
3,"00:00:36,453","00:00:37,830",Hello?
4,"00:01:06,316","00:01:07,818",Boy.
5,"00:01:12,990","00:01:15,288",Wow. That was amazing.
6,"00:01:15,450","00:01:17,327","Why don't you play outside
with your friends?"
7,"00:01:18,620","00:01:20,293",I don't know.
8,"00:01:27,337","00:01:28,634",Come here.
9,"00:01:28,714","00:01:29,840","You don't know, huh?"
10,"00:01:29,923","00:01:32,597","- Sometimes they make fun of me.
- Hmm."
11,"00:01:36,597","00:01:39,066","- Is that real?
- Yes."
12,"00:01:39,224","00:01:42,353",It's real. Everything here is real.
13,"00:01:42,519","00:01:44,692",Whoa. Is that real?
14,"00:01:47,691","00:01:49,819",That cat is real.
15,"00:01:50,152","00:01:51,745",Real monster.
16,"00:01:58,452","00:01:59,578",What's that?
17,"00:02:00,162","00:02:01,163",This?
18,"00:02:01,705","00:02:03,207",This is Lloyd.
19,"00:02:08,086","00:02:09,884",Hmm.
20,"00:02:10,756","00:02:14,306",He looks like a very brave fighter.
21,"00:02:14,676","00:02:16,804","No, he's just a kid."
22,"00:02:16,887","00:02:18,184",He can't do anything.
23,"00:02:18,972","00:02:21,191","He might look different,"
24,"00:02:24,436","00:02:26,859",but he can do great things.
25,"00:02:28,982","00:02:30,575",Whoa.
26,"00:02:32,361","00:02:36,707","You just have to look at it
from a different point of view."
27,"00:02:46,416","00:02:47,759",Whoa.
28,"00:02:50,337","00:02:51,884",This is his teacher.
29,"00:02:52,756","00:02:54,724","Very old,"
30,"00:02:54,800","00:02:55,847",very wise
31,"00:02:56,259","00:02:57,977",and very handsome.
32,"00:03:00,430","00:03:05,857","Have you ever heard the legend
behind the legend of NINJAGOÂ®?"
33,"00:03:06,311","00:03:08,359","- No.
- I will tell you."
34,"00:03:08,522","00:03:12,493","But to truly see it,
you must forget"
35,"00:03:12,651","00:03:14,153",everything you know.
36,"00:03:16,113","00:03:18,741",And see things in a new way.
37,"00:03:22,285","00:03:24,333",The story of NINJAGO
38,"00:03:24,871","00:03:27,124",is the story of a boy.
39,"00:03:27,290","00:03:28,792",His name is Lloyd.
40,"00:03:29,418","00:03:33,844","And his dad is the worst guy
in the history of the world."
41,"00:03:36,007","00:03:39,227",Today on Good Morning NINJAGO...
42,"00:03:39,302","00:03:40,554","Buenos dias, NINJAGO!"
43,"00:03:41,179","00:03:42,180","G'day, NINJAGO!"
44,"00:03:43,682","00:03:44,683","Bonjour, NINJAGO!"
45,"00:03:46,393","00:03:47,519",When Garmadon attacks...
46,"00:03:49,187","00:03:50,313",...we are there!
47,"00:03:50,605","00:03:52,824","When Garmadon crashes the stock market,"
48,"00:03:53,483","00:03:54,735",we're there again!
49,"00:03:54,901","00:03:57,279","When Garmadon defaces Whistler's Mother,"
50,"00:03:57,654","00:03:58,906",we're still there!
51,"00:03:59,823","00:04:03,544","We are the only news team
watching Garmadon's volcanic lair"
52,"00:04:03,702","00:04:05,295",24 hours a day.
53,"00:04:05,454","00:04:08,333","- This is...
- Good Morning, NINJAGO!"
54,"00:04:08,832","00:04:11,711","- I'm Robin Roberts.
- And I'm Michael Strahan."
55,"00:04:11,918","00:04:14,717","And I am pumped
to be bringing you the news."
56,"00:04:14,921","00:04:16,594",Pumped!
57,"00:04:16,757","00:04:19,601","Well, looks like everyone
is on pins and needles"
58,"00:04:19,760","00:04:21,762",waiting for Garmadon's next attack.
59,"00:04:21,970","00:04:23,517",Attack forecast!
60,"00:04:23,722","00:04:25,019",Our experts predict
61,"00:04:25,223","00:04:28,818",a 95% chance of a Garmadon attack today.
62,"00:04:28,977","00:04:31,400","Yikes! NINJAGO, you better stay inside."
63,"00:04:31,605","00:04:33,653","You better stay right there.
Don't you dare come out!"
64,"00:04:33,857","00:04:36,576","At least until our
Secret Ninja Force steps in."
65,"00:04:36,818","00:04:38,536",Thank goodness for those Ninjas.
66,"00:04:38,695","00:04:40,413","But who are these
Secret Ninjas, Robin?"
67,"00:04:40,572","00:04:41,869",We have so many questions.
68,"00:04:42,073","00:04:43,916",Burning questions!
69,"00:04:44,951","00:04:46,123",Fire Ninja.
70,"00:04:46,286","00:04:48,789","Where is he on a scale of
one to awesome?"
71,"00:04:48,955","00:04:50,002",I'm not gonna lie.
72,"00:04:50,207","00:04:51,925",I'm awesome!
73,"00:04:52,542","00:04:53,543",Earth Ninja.
74,"00:04:53,710","00:04:55,587",When will he upgrade to digital?
75,"00:04:55,796","00:04:56,843","No, I would never do that."
76,"00:04:58,507","00:04:59,554",Ice Ninja.
77,"00:04:59,716","00:05:02,139",Is he a real boy or a robot?
78,"00:05:02,344","00:05:04,517",How dare you. I'm a wild teen.
79,"00:05:05,013","00:05:06,139",Lightning Ninja.
80,"00:05:06,348","00:05:08,442",Is he the bravest ninja of them all?
81,"00:05:09,851","00:05:11,444",I'll take that as a yes.
82,"00:05:11,978","00:05:13,070",Water Ninja.
83,"00:05:13,271","00:05:16,115","She's a girl and a ninja!
Can she really have it all?"
84,"00:05:16,274","00:05:18,777",You fellas need to inform yourselves
85,"00:05:19,861","00:05:21,238",of where we're at culturally.
86,"00:05:21,655","00:05:23,828",And finally the Green Ninja.
87,"00:05:24,741","00:05:26,539","He fights in the air,"
88,"00:05:26,701","00:05:27,918",on the ground
89,"00:05:28,078","00:05:30,706","and in the kitchen
with a refrigerator."
90,"00:05:31,039","00:05:32,632",But what is he hiding?
91,"00:05:32,833","00:05:34,380",And who is he really?
92,"00:05:34,584","00:05:36,006",Local birthdays!
93,"00:05:36,169","00:05:37,842",Celebrating birthdays today
94,"00:05:38,004","00:05:39,972","are this hot dog guy, this panda,"
95,"00:05:40,131","00:05:41,132","and, uh-oh..."
96,"00:05:41,341","00:05:43,139",Lloyd Garmadon.
97,"00:05:43,343","00:05:45,721",The son of the evil Lord Garmadon.
98,"00:05:48,932","00:05:50,934",Must be tough to be that kid.
99,"00:06:03,655","00:06:04,656",Hello?
100,"00:06:07,742","00:06:08,743",Hello.
101,"00:06:09,953","00:06:11,205",What do you want?
102,"00:06:12,163","00:06:14,461","- Uh, you called me.
- Hang on a second."
103,"00:06:16,084","00:06:18,553","I must have butt dialed you.
Who is this?"
104,"00:06:18,712","00:06:20,089",It's Lloyd.
105,"00:06:21,131","00:06:24,260","- Lloyd Garmadon, your son.
- No."
106,"00:06:24,634","00:06:27,308","My son is totally bald
and has no teeth."
107,"00:06:27,512","00:06:30,015","Yeah, well, surprise.
I'm not a baby anymore."
108,"00:06:30,181","00:06:31,182",Duly noted.
109,"00:06:31,308","00:06:32,855","How old are you?
You're seven, right? You're seven."
110,"00:06:33,018","00:06:34,440","- Sixteen.
- Huh."
111,"00:06:34,644","00:06:35,941",Just add nine to that.
112,"00:06:36,104","00:06:37,105","- Well, good talk, son.
- Wait."
113,"00:06:37,272","00:06:39,616",Are you sure there isn't a special reason
114,"00:06:39,774","00:06:41,868",why you might have called me today?
115,"00:06:42,027","00:06:43,028",On this day.
116,"00:06:43,194","00:06:45,367",Specifically today.
117,"00:06:45,530","00:06:48,283","Look, I didn't call you.
My butt called you."
118,"00:06:48,408","00:06:50,081",Oh.
119,"00:06:50,535","00:06:52,503","Well, no time to chat.
Sorry, Daddy's got to go to work."
120,"00:06:52,621","00:06:54,123","- Gotta get that Green Ninja.
- Yeah."
121,"00:06:54,247","00:06:56,090","Glad the teeth finally came in.
Bye-bye."
122,"00:06:57,834","00:07:01,008",Lloyd! Good morning!
123,"00:07:01,421","00:07:04,721","Mom, hey, um, here's a thought."
124,"00:07:04,883","00:07:07,807",What if I didn't go to school today?
125,"00:07:08,011","00:07:10,560","What? Oh, no! You don't want
to miss school, honey."
126,"00:07:10,722","00:07:12,190",These are the best years of your life.
127,"00:07:12,432","00:07:15,686","Um, have you...
have you been to high school?"
128,"00:07:15,852","00:07:17,229","'Cause, uh..."
129,"00:07:17,395","00:07:19,614",It's judgey. Pretty judgey.
130,"00:07:19,814","00:07:23,159","Oh, honey. You just need to give them
a chance to see the real you."
131,"00:07:23,401","00:07:27,747","Yeah, I don't think I can actually
show people the real me."
132,"00:07:28,073","00:07:29,074",That's not true.
133,"00:07:29,157","00:07:32,661","All you've got to do is just show them
the person you are on the inside."
134,"00:07:33,119","00:07:34,371",Right here.
135,"00:07:34,537","00:07:36,289",Where it matters most.
136,"00:07:36,498","00:07:39,593","Oh, and also don't forget, if your dad
attacks the city again today,"
137,"00:07:39,793","00:07:40,794",just be sure to...
138,"00:07:40,919","00:07:43,468","Duck and cover until
the Secret Ninjas give the all clear."
139,"00:07:43,630","00:07:45,724","- And also, don't forget...
- Yeah?"
140,"00:07:46,299","00:07:47,972","Have a happy birthday, honey."
141,"00:07:48,301","00:07:49,473","Thanks, Mom."
142,"00:07:49,636","00:07:50,637",I'll try my best.
143,"00:07:50,804","00:07:52,272",Of course you will!
144,"00:07:53,807","00:07:55,480",Hello!
145,"00:08:09,864","00:08:11,116",Hey.
146,"00:08:17,664","00:08:19,166",Cool.
147,"00:08:48,653","00:08:52,203","That's the kid I was telling you about.
His dad ruins everything."
148,"00:08:53,700","00:08:55,373","Hello, fellow teenager!"
149,"00:08:55,535","00:08:56,752","Zane, hey!"
150,"00:08:56,911","00:09:00,131","Man, my mom is on my case all the time.
She's all..."
151,"00:09:03,668","00:09:06,296","And I'm, like,
""Lay off, Mom. I'm just a teenager."""
152,"00:09:06,463","00:09:07,464",I hear that.
153,"00:09:08,381","00:09:09,382",Bro!
154,"00:09:09,549","00:09:10,721","Dude, gimme a hug, man!"
155,"00:09:10,884","00:09:12,727",Gimme a birthday hug.
156,"00:09:12,886","00:09:14,559","- That's a good one.
- Birthday hug?"
157,"00:09:14,721","00:09:16,064","- Let me get in on that.
- Zane."
158,"00:09:16,222","00:09:17,394",I'll increase the pressure dramatically.
159,"00:09:17,474","00:09:18,726",Zane. Zane. Zane!
160,"00:09:20,101","00:09:21,819",Watch out!
161,"00:09:22,145","00:09:24,147","- Oh, ho, ho! Lloyd!
- Nya!"
162,"00:09:24,314","00:09:25,657","- Yo, bro.
- What's up, sis?"
163,"00:09:25,815","00:09:28,034","- Hey, actual bro.
- Hey, Nya!"
164,"00:09:28,193","00:09:31,697","Where'd you get that bike?
At the great stuff store? Uh."
165,"00:09:32,322","00:09:34,745","Guys, check out my new paint job,"
166,"00:09:34,908","00:09:36,410",because I did it myself!
167,"00:09:37,035","00:09:39,413",The Lady Iron Dragon.
168,"00:09:39,579","00:09:40,922",My hero!
169,"00:09:41,081","00:09:42,082","Hey, everyone, look!"
170,"00:09:42,248","00:09:45,172",It's Garma-dork and the dork squad!
171,"00:09:45,335","00:09:46,712",You wanna hear our new cheer?
172,"00:09:46,878","00:09:49,427","L-L-O-Y-D.
His dad is bad and so is he."
173,"00:09:49,589","00:09:51,842","Boo, Lloyd! Boo, Lloyd!"
174,"00:09:52,008","00:09:53,260","Boo, Lloyd!"
175,"00:09:53,426","00:09:54,803",Great chant!
176,"00:09:54,969","00:09:57,518","I'll bet you got
a number one hit on your hands."
177,"00:09:57,680","00:10:00,524","And straight in
at number one with a bullet."
178,"00:10:00,683","00:10:02,356","It's Boo, Lloyd."
179,"00:10:02,519","00:10:03,645","Hey, ladies."
180,"00:10:04,813","00:10:07,566","L-L-O-Y-D.
His dad is bad and so is he."
181,"00:10:07,732","00:10:11,032","Boo, Lloyd!"
182,"00:10:11,194","00:10:12,867",Boo...
183,"00:10:35,009","00:10:37,888",Citizens of NINJAGO!
184,"00:10:38,263","00:10:39,765",Get ready
185,"00:10:39,931","00:10:43,231",to welcome your new overlord!
186,"00:10:43,393","00:10:46,146",Who goes by the name of...
187,"00:10:46,729","00:10:48,072",Garmadon!
188,"00:10:48,231","00:10:49,483",What's my name?
189,"00:10:49,566","00:10:50,567",Garmadon!
190,"00:10:50,942","00:10:52,034",Say it again!
191,"00:10:52,443","00:10:53,490",Garmadon!
192,"00:10:53,653","00:10:55,030",I can't hear you!
193,"00:10:55,196","00:10:56,823","- Garmadon!
- Garmadon!"
194,"00:10:56,990","00:10:58,162",Don't wear it out!
195,"00:10:58,324","00:11:00,497","- Okay, General Number Six.
- Yes, sir."
196,"00:11:00,660","00:11:02,003",You and your team of crab men
197,"00:11:02,162","00:11:04,005","- overthrow the police station.
- I can do that."
198,"00:11:06,124","00:11:07,296","General Number One,"
199,"00:11:07,458","00:11:09,005","- take the TV station.
- 10-4!"
200,"00:11:09,169","00:11:10,170",What?
201,"00:11:10,336","00:11:11,337","General Number Five,"
202,"00:11:11,462","00:11:13,214","- crash the stock market.
- Okeydoke."
203,"00:11:13,381","00:11:15,554","General Number Three,
knock over that table."
204,"00:11:15,717","00:11:18,436","General Number Two,
pop that kid's balloon."
205,"00:11:19,095","00:11:20,096","General Number Four,"
