line,start_time,end_time,text
1,"00:00:27,485","00:00:29,612","NARRATOR: Svalbard,"
2,"00:00:29,988","00:00:35,035","a remote group of islands,
deep in the Arctic Circle."
3,"00:00:40,874","00:00:43,126","A paradise for polar bears,"
4,"00:00:44,085","00:00:50,175","and the location for one of the
most ambitious polar bear films ever made."
5,"00:00:52,469","00:00:54,512",Disneynature has assembled
6,"00:00:54,596","00:00:58,308","some of the world's
best cinematographers and guides"
7,"00:00:58,641","00:01:03,563","to capture the life
of this enigmatic and iconic animal."
8,"00:01:09,360","00:01:11,654","Filmed over three years,"
9,"00:01:11,738","00:01:15,909","the team will cover thousands
of kilometers in search of bears..."
10,"00:01:15,992","00:01:17,285",(WIND WHOOSHING)
11,"00:01:17,368","00:01:21,831","...cope with temperatures
below minus 40 degrees Celsius..."
12,"00:01:21,915","00:01:24,250","People who haven't worked
in these conditions,"
13,"00:01:24,334","00:01:27,128","it's not really imaginable
how difficult it is."
14,"00:01:27,921","00:01:32,550","NARRATOR: ...and be tested
to the absolute limit of their endurance."
15,"00:01:33,802","00:01:37,806","But the challenges of working here
are greater every year."
16,"00:01:39,349","00:01:42,894","This is the fastest warming place
on the planet."
17,"00:01:45,939","00:01:51,402","As Svalbard's landscape melts,
how will the bears and the crew"
18,"00:01:51,486","00:01:54,614",adapt to a world that's losing its ice?
19,"00:01:55,406","00:01:57,075",(EXCLAIMS)
20,"00:02:19,222","00:02:23,226","Svalbard's islands
are an untouched wilderness."
21,"00:02:23,351","00:02:24,477",(BIRDS SQUAWKING)
22,"00:02:25,854","00:02:28,940","And a vital breeding ground
for Arctic wildlife."
23,"00:02:33,611","00:02:37,448","ROLF STEINMANN: When I was a teenager,
I was dreaming of Svalbard."
24,"00:02:37,532","00:02:40,535","Because, or me, it's the most
poetic environment on Earth."
25,"00:02:43,163","00:02:46,833","It's so different from anything else
you can experience."
26,"00:02:46,916","00:02:49,335","You have these gigantic glaciers,"
27,"00:02:49,419","00:02:52,338",vast spaces of snow and ice.
28,"00:02:52,422","00:02:54,465",It's like a fairy-tale world.
29,"00:02:55,133","00:02:58,595","What you feel is,
this is the realm of the polar bear."
30,"00:03:05,977","00:03:08,354","NARRATOR: Found in the far north
of our planet,"
31,"00:03:08,438","00:03:13,860","Svalbard sits in the Arctic Ocean,
midway between Norway and the North Pole."
32,"00:03:16,988","00:03:19,949","The ocean around Svalbard
freezes every winter,"
33,"00:03:20,033","00:03:22,702",forming vast sheets of sea ice.
34,"00:03:25,914","00:03:31,294","It's the perfect hunting platform
for the 300 polar bears that live here."
35,"00:03:35,006","00:03:37,759","OSKAR STROM: There are many challenges
with filming bears."
36,"00:03:38,384","00:03:40,428","You have the fact
that you need to find bears"
37,"00:03:40,553","00:03:44,140","in a massive environment,
you need to do it safely."
38,"00:03:44,265","00:03:48,436","So what we are looking for is sea ice
that is thick enough to work safely on."
39,"00:03:49,229","00:03:52,190","We are completely dependent
on good sea ice"
40,"00:03:52,273","00:03:54,275",to find and film the bears.
41,"00:04:02,784","00:04:05,662","NARRATOR: In the most northerly town
on the planet,"
42,"00:04:05,745","00:04:10,458","the team has spent two years designing
the perfect Arctic filming camp."
43,"00:04:10,875","00:04:12,502",Yep. We're good.
44,"00:04:12,627","00:04:13,795",STROM: This is a bit special
45,"00:04:13,878","00:04:17,173","because nobody's really
ever tried anything like this before."
46,"00:04:17,799","00:04:20,176","We're trying to be out
for the entire season."
47,"00:04:20,260","00:04:22,679","We're gonna be out
for three, four months at least."
48,"00:04:22,762","00:04:26,933","And to do so,
we have to construct this massive camp"
49,"00:04:27,016","00:04:29,602","that we have been building and planning
for the last year."
50,"00:04:30,770","00:04:32,188",You need everything out there.
51,"00:04:32,272","00:04:35,316","We need all equipment,
we need accommodation for 10 people."
52,"00:04:35,608","00:04:37,819","We need showers, toilets,
we need everything."
53,"00:04:38,069","00:04:40,863","So, once we're out there,
we don't need to come back to town,"
54,"00:04:40,947","00:04:45,535","we don't need to resupply, either people,
or food, or fuel, or water, or anything."
55,"00:04:45,702","00:04:48,746","That also means that
there's less impact on the environment."
56,"00:04:48,830","00:04:50,331","So, hopefully we can stay out there"
57,"00:04:50,415","00:04:52,333","and just be out there
for the whole season."
58,"00:04:56,087","00:04:58,548","NARRATOR: The camp is perfectly designed,"
59,"00:04:58,673","00:05:03,678","but getting it into the bears' habitat
is a huge logistical operation."
60,"00:05:05,847","00:05:08,558","So to get there,
we've got these heavy, heavy sleds."
61,"00:05:08,683","00:05:12,979","They are pulled behind
either a bulldozer or a PistenBully."
62,"00:05:13,479","00:05:16,482","And on top of that,
we can sit very insulated."
63,"00:05:16,566","00:05:18,651","I'd call 'em
environmentally-friendly barracks,"
64,"00:05:18,735","00:05:22,405","because when we're using tent,
we use so much fuel"
65,"00:05:22,488","00:05:26,701","just to keep warm because
the insulation properties are so bad."
66,"00:05:26,784","00:05:31,998","So these will allow us to stay warm,
stay relatively comfortable and safe."
67,"00:05:32,081","00:05:33,458",And safe from the polar bears.
68,"00:05:33,791","00:05:35,126",Keep going. Keep going.
69,"00:05:37,462","00:05:40,465",(VEHICLE BEEPING)
70,"00:05:44,344","00:05:49,766","NARRATOR: After years of planning,
the moment of departure finally arrives."
71,"00:06:08,117","00:06:09,744","In all of Svalbard,"
72,"00:06:09,827","00:06:15,708","there are just 40 kilometers of road,
so the tarmac soon runs out."
73,"00:06:24,050","00:06:29,639","Out in the wilderness, the ice train must
cover over 100 kilometers"
74,"00:06:29,722","00:06:32,433",across incredibly challenging terrain.
75,"00:06:56,124","00:07:01,963","It seems like we're getting towards
the more tricky part of the route,"
76,"00:07:02,964","00:07:06,717","where it's starting to get
a little bit wetter."
77,"00:07:07,385","00:07:09,637","We still have a lot of water
coming from the glacier,"
78,"00:07:09,720","00:07:11,222",so this is gonna be one of the areas
79,"00:07:11,305","00:07:13,850","that are a little bit trickier
than the other parts."
80,"00:07:15,476","00:07:17,270",So we'll see.
81,"00:07:23,526","00:07:26,529","NARRATOR: And it's not long
before the worst happens."
82,"00:07:28,448","00:07:31,451","ROBERTS: This is not a small problem,
it's actually a major problem."
83,"00:07:33,578","00:07:39,125","We have 50 ton of equipment stuck
in the water, up to half a meter deep."
84,"00:07:40,334","00:07:43,963","So I must admit it's probably been
the worst night of my life."
85,"00:07:44,046","00:07:46,340","I don't think
I've ever had such a bad night."
86,"00:07:47,091","00:07:50,386",NARRATOR: It's minus 25 degrees Celsius.
