line,start_time,end_time,text
1,"00:00:39,213","00:00:44,213","Subtitles by explosiveskull
www.OpenSubtitles.org"
2,"00:02:14,168","00:02:15,501",A-ha!
3,"00:02:26,847","00:02:28,814",Huh?
4,"00:02:44,665","00:02:46,698",Hmm?
5,"00:02:49,203","00:02:51,803",Ooh!
6,"00:03:21,235","00:03:22,534",Whoa!
7,"00:03:26,807","00:03:30,609","Ah, man,
there's none left for me."
8,"00:03:34,215","00:03:35,781",What was that?
9,"00:03:36,550","00:03:37,816",Talking?
10,"00:03:37,818","00:03:39,785",I can't talk!
11,"00:03:39,787","00:03:43,422",Words?
12,"00:03:43,424","00:03:46,458",Ouch.
13,"00:03:46,460","00:03:49,928","Ouch? What is an ""ouch""?"
14,"00:03:49,930","00:03:52,931",A word. What's a word?
15,"00:03:52,933","00:03:55,634",This. This is a word.
16,"00:03:55,636","00:03:59,004","I'm talking! I'm talking!
I can talk!"
17,"00:03:59,006","00:04:02,708","This is amazing!
Oooh, nice word."
18,"00:04:02,710","00:04:04,409",Amazing.
19,"00:04:04,411","00:04:06,745",Ah-may-zing!
20,"00:04:06,747","00:04:09,481","I think that's
my favourite word so far."
21,"00:04:09,483","00:04:11,850",Amazing. Amazing.
22,"00:04:11,852","00:04:14,253",Amazing. Amazing.
23,"00:04:14,255","00:04:16,388",Amazing. Amazing. Amazing.
24,"00:04:16,390","00:04:18,457",Amazing. Amazing. Amazing.
25,"00:04:18,459","00:04:21,426","Wait! Now it's sounding weird.
Amazing."
26,"00:04:21,428","00:04:23,929","Is that right?
Doesn't sound right."
27,"00:04:23,931","00:04:28,734","Ama... Ooh, tree.
Ooh, I love you, tree."
28,"00:04:28,736","00:04:31,703","Stone. Leaf.
Branch. Ground."
29,"00:04:31,705","00:04:34,473",Foot. Root. Vine. Hands.
30,"00:04:34,475","00:04:36,708",Fingers. Tail. Nose. Elbow.
31,"00:04:36,710","00:04:39,578","That's a good word.
Amazing's better."
32,"00:04:39,580","00:04:41,913","- Excuse me.
- Talking elephant!"
33,"00:04:41,915","00:04:43,849","- Where?
- You!"
34,"00:04:43,851","00:04:45,984","- What?
- Talking elephant!"
35,"00:04:45,986","00:04:49,988","Me, talking? Talking elephant!
I can talk?"
36,"00:04:49,990","00:04:53,892","Thank you for the bananas
earlier. They were delicious."
37,"00:04:53,894","00:04:56,662","I can make compliments.
What's going on?"
38,"00:04:56,664","00:04:58,797","I don't know,
but isn't it great?"
39,"00:04:58,799","00:05:03,302","Or, as I like to say, cos I
can say stuff now, amazing?"
40,"00:05:03,304","00:05:05,337","Have we been able to talk
this whole time?"
41,"00:05:05,339","00:05:07,906","That would've saved a lot
of grunting and pointing."
42,"00:05:07,908","00:05:10,475","- Like, a lot!
- Shh!"
43,"00:05:10,477","00:05:11,943",What?
44,"00:05:16,083","00:05:19,484","- You hear that?
- What?"
45,"00:05:29,697","00:05:31,863","- What is it?
- Shh."
46,"00:05:34,635","00:05:35,934",What?
47,"00:05:45,079","00:05:48,080","- What do you hear?
- That bush is crying."
48,"00:05:48,082","00:05:51,583","- I'm not a bush.
- Talking bush!"
49,"00:05:51,585","00:05:54,086","I said, I'm not a bush."
50,"00:05:54,088","00:05:56,755","- Shrub, then? Talking shrub?
- No."
51,"00:05:56,757","00:05:58,357","- Hedge?
- No!"
52,"00:05:58,359","00:06:02,027","Fruticumque viret?
I can speak Latin!"
53,"00:06:02,029","00:06:05,397",What's Latin?
54,"00:06:05,399","00:06:07,933","OK, we're sorry.
What are you then?"
55,"00:06:07,935","00:06:11,036","I can't tell you.
You'll freak out."
56,"00:06:11,038","00:06:14,740","- No.
- We really won't."
57,"00:06:14,742","00:06:17,809",You sound all alone and sad.
58,"00:06:17,811","00:06:19,711","Is this your, uh..."
59,"00:06:19,713","00:06:23,081","I feel like this would be
your shoulder, or..."
60,"00:06:23,083","00:06:24,616",Whoops.
61,"00:06:24,618","00:06:28,520","Oh, please come out.
It's nice out here."
62,"00:06:28,522","00:06:30,789","We've got, um, uh, oh..."
63,"00:06:30,791","00:06:35,026","the sky and, oh, the ground."
64,"00:06:36,397","00:06:38,630",OK.
65,"00:06:38,632","00:06:40,866","Can't stay in this fruticumque
viret forever, I suppose."
66,"00:06:40,868","00:06:42,968",As much as I'd like to.
67,"00:06:51,078","00:06:53,812",Told you you'd freak out.
68,"00:06:54,982","00:06:56,982",What?
69,"00:06:56,984","00:06:59,484",No...
70,"00:07:10,998","00:07:13,198","So, why were you crying?"
71,"00:07:13,200","00:07:16,468","Is it because you're, like,
really super freaky?"
72,"00:07:16,470","00:07:18,437",What did I say?
73,"00:07:18,439","00:07:21,006","- Is it, though?
- No. It's just..."
74,"00:07:21,008","00:07:23,542","Have you heard of
the word ""alien""?"
75,"00:07:23,544","00:07:27,012","We hadn't heard any words
until, like, five minutes ago."
76,"00:07:27,648","00:07:29,647","Well, you see,"
77,"00:07:29,649","00:07:31,649","- I come from very far away.
- The sky?"
78,"00:07:31,652","00:07:35,754","- All I want is to go home.
- Oh, that's easy!"
79,"00:07:35,756","00:07:38,190","What? Hey, no!"
80,"00:07:48,635","00:07:52,537","- What did you do that for?
- You said you wanted to go home."
81,"00:07:52,539","00:07:56,041","Yeah. OK. It takes
a lot more than that"
82,"00:07:56,043","00:07:59,511","- to exit the Earth's atmosphere.
- Gotcha!"
83,"00:07:59,513","00:08:02,147","- I have the regret...
- No."
84,"00:08:04,017","00:08:09,521","- He seemed nice.
- I wonder what he..."
85,"00:08:09,523","00:08:12,557",What's tha...
86,"00:08:17,130","00:08:20,799","Um, look,
I don't mean to cause a fuss."
87,"00:08:20,801","00:08:23,268","- Would you mind not doing that?
- Sorry."
88,"00:08:23,270","00:08:27,072","Hey, we can talk again.
You're making us talk!"
89,"00:08:27,074","00:08:30,208","It's not me. Hang on, just...
Where's that...?"
90,"00:08:30,210","00:08:32,544","Ah, there we go."
91,"00:08:32,546","00:08:34,746","If you're anywhere near this,
then..."
92,"00:08:34,748","00:08:37,215","- What is that?
- It's a speech pod."
93,"00:08:37,217","00:08:39,618","Oh, I love peaches!"
94,"00:08:39,620","00:08:41,753",Not peach.
95,"00:08:41,755","00:08:44,022",Ssp-p-p... speech.
96,"00:08:44,024","00:08:47,959","- This makes us talk?
- Yes."
97,"00:08:47,961","00:08:51,029","- Could I have...?
- This is amazing!"
98,"00:08:51,031","00:08:53,164","- That's my favourite word.
- Nice."
99,"00:08:53,166","00:08:57,269",The others have got to try this!
100,"00:08:57,871","00:09:00,739","Oh, boy."
101,"00:09:06,146","00:09:10,315","Just wait
till I get my paws on you."
102,"00:09:10,317","00:09:12,751",You'll wish you'd never ripened!
103,"00:09:12,753","00:09:14,085",Huh?
104,"00:09:14,087","00:09:16,121",Get off my lawn! Get off!
105,"00:09:16,123","00:09:20,025","Off, off, off, off, off, off,
off, off, off, off!"
106,"00:09:20,027","00:09:23,562",Huh!
107,"00:09:23,564","00:09:24,963","And, you! Get off my back,"
108,"00:09:24,965","00:09:29,267","you yellow-bellied
delicious tropical tormentor!"
109,"00:09:29,269","00:09:31,336",Who's there?
110,"00:09:31,338","00:09:33,705","- Egg.
- Egg who?"
111,"00:09:33,707","00:09:37,309","No. Just Egg. Why?
Is there other stuff out there"
112,"00:09:37,311","00:09:40,579","- I don't know about?
- Who knows?"
113,"00:09:40,581","00:09:44,749","- I want out!
- Uh-uh-uh. Not yet, dears."
114,"00:09:44,751","00:09:47,319",Too soon for you.
115,"00:09:47,321","00:09:51,323","Ball. Ball, ball, ball, ball,
ball, ball, ball."
116,"00:09:51,325","00:09:56,261","Ball, ball, ball, ball, ball."
117,"00:09:56,263","00:09:59,631",Huh? Ball?
118,"00:10:03,637","00:10:08,073",Come on.
119,"00:10:08,075","00:10:11,109",Say something. Just a word.
120,"00:10:13,714","00:10:15,313",Huh?
121,"00:10:15,315","00:10:19,651","- Huh?
- Oh."
122,"00:10:19,653","00:10:21,119",Hey?
123,"00:10:21,121","00:10:25,223","Oh, coming. I'm coming."
124,"00:10:27,394","00:10:30,027",I'm sorry.
125,"00:10:30,029","00:10:32,663","No, that's quite all right.
I'm used to this sort of thing."
126,"00:10:37,170","00:10:38,670",Huh?!
127,"00:10:40,674","00:10:42,707","Hey, who are you? What are you?"
128,"00:10:42,709","00:10:45,310","What are you doing here?
You're a newcomer."
129,"00:10:45,312","00:10:47,312","- Do you know the rules?
- Rules?"
130,"00:10:47,314","00:10:51,383","When you're in this jungle,
you need to know the rules."
131,"00:10:51,385","00:10:54,252",Rule 1: stay off my lawn!
132,"00:10:54,254","00:10:56,988","Rule 3: don't ever, ever..."
133,"00:10:56,990","00:10:59,057",What happened to rule 2?
134,"00:10:59,059","00:11:00,291",...ever correct me!
135,"00:11:00,293","00:11:03,795","Rule 4: I'm right, you're wrong.
Rule next..."
136,"00:11:03,797","00:11:07,198","You don't need to tell me this.
I'm trying to go home."
137,"00:11:07,200","00:11:09,934","- Huh?
- He's from the sky."
138,"00:11:09,936","00:11:12,737","Well, no...
a bit further than that."
139,"00:11:12,739","00:11:17,208","I come from...
Please don't throw me again."
140,"00:11:17,210","00:11:19,811","I come from a planet
called Scaldron."
141,"00:11:19,813","00:11:23,181","It's another world
far beyond the stars."
142,"00:11:26,853","00:11:29,187",Oooh!
143,"00:11:29,189","00:11:31,522",Ooh.
144,"00:11:31,524","00:11:33,858","But I'm not allowed to go back
until I complete my mission."
