line,start_time,end_time,text
1,"00:00:13,000","00:00:14,624","It's so
incredible to think"
2,"00:00:14,625","00:00:18,875","that Walt started Disney
Animation 100 years ago today."
3,"00:00:19,541","00:00:24,040","To think of all those talented
artists and wonderful characters"
4,"00:00:24,041","00:00:27,165","who have been a part of
the studio over the years."
5,"00:00:27,166","00:00:28,250",Yep.
6,"00:00:31,416","00:00:33,416",If these walls could talk.
7,"00:00:53,916","00:00:56,708","Psst! Tink. Tinker
Bell. You there?"
8,"00:01:00,000","00:01:01,416",Is that it? They all gone?
9,"00:01:02,541","00:01:03,749","Oh, boy!"
10,"00:01:03,750","00:01:05,749","Come on, Minnie! This is it!"
11,"00:01:05,750","00:01:07,415",Let's get the gang!
12,"00:01:07,416","00:01:10,582","- Yoo-hoo!
- There's the signal."
13,"00:01:10,583","00:01:11,874","All right, y'all!"
14,"00:01:11,875","00:01:13,249",It's picture time.
15,"00:01:13,250","00:01:15,332","- That's tonight?
- That's now."
16,"00:01:15,333","00:01:16,957",100-year group photo.
17,"00:01:16,958","00:01:18,332",And the sun's going down.
18,"00:01:18,333","00:01:19,707",Come on. Let's hop to it!
19,"00:01:19,708","00:01:21,165","Ooh, a bunny pun."
20,"00:01:21,166","00:01:22,957",Got to like that.
21,"00:01:25,208","00:01:26,790","Picture time, guys!"
22,"00:01:26,791","00:01:29,207",Okay! Here we come!
23,"00:01:31,958","00:01:33,415",Wake up! Wake up!
24,"00:01:34,791","00:01:36,707",Awesome!
25,"00:01:38,125","00:01:40,874","Oh, Peter! Get the
folks upstairs!"
26,"00:01:40,875","00:01:42,249","Aye, aye, Captain."
27,"00:01:42,250","00:01:43,374","Come on, everybody."
28,"00:01:43,375","00:01:46,083",Here we go!
29,"00:01:57,458","00:01:59,166",Whoo-hoo!
30,"00:01:59,875","00:02:01,958",It's Maui time!
31,"00:02:03,166","00:02:04,957",We're meeting in the lobby!
32,"00:02:04,958","00:02:06,040",Okay!
33,"00:02:06,041","00:02:07,874",See you there!
34,"00:02:07,875","00:02:10,957","- Whoa!
- Whoo-hoo!"
35,"00:02:14,291","00:02:16,083",Higher!
36,"00:02:19,916","00:02:22,165",Water.
37,"00:02:22,166","00:02:24,082","- No! There's no time for tea.
- Mmm."
38,"00:02:24,083","00:02:25,540",Merlin! A little help?
39,"00:02:25,541","00:02:27,124","Oh! Uh, oh, ah."
40,"00:02:27,125","00:02:29,499","- Chapeauious Bowlious!
- Oh!"
41,"00:02:31,125","00:02:34,415","Oh, waiter,
there's a carp in my cap."
42,"00:02:38,791","00:02:40,290",Yikes!
43,"00:02:40,291","00:02:43,290","Do you think all the
villains will show up?"
44,"00:02:43,291","00:02:44,957",Hmm. Not all.
45,"00:02:48,083","00:02:49,083",Going down?
46,"00:02:49,875","00:02:50,875",Hold the...
47,"00:02:52,666","00:02:53,999",elevator.
