line,start_time,end_time,text
1,"00:00:59,416","00:01:00,416",Yeah!
2,"00:01:16,208","00:01:18,375","Hey, Ellian! Wait up!"
3,"00:01:27,750","00:01:29,666",It's Princess Ellian. Open the gates.
4,"00:01:41,000","00:01:42,000",Yeah!
5,"00:02:01,416","00:02:03,000",Ugh.
6,"00:02:03,083","00:02:05,541","Oh, come on. No, not the flare."
7,"00:02:05,625","00:02:08,291","Again? Ellian, you just got out here."
8,"00:02:09,583","00:02:10,583","Sorry, guys."
9,"00:02:10,625","00:02:13,958","- Duty calls.
- That's the glamorous life of a princess."
10,"00:02:14,041","00:02:16,833","It's okay. We'll see you
tonight at your birthday party."
11,"00:02:16,916","00:02:18,291",Last year's was epic.
12,"00:02:18,375","00:02:21,375","Yeah.
This year it's gonna be just family."
13,"00:02:22,000","00:02:24,916","You know, super caszh. Super small."
14,"00:02:25,000","00:02:26,875",Really? That's not like you.
15,"00:02:26,958","00:02:29,708","Well, I'm 15. I'm a real teenager now."
16,"00:02:29,791","00:02:34,416","So I wanna spend
more time with my parents."
17,"00:02:38,291","00:02:41,333","Well, if you want to hang out later,
we'll be down at the market."
18,"00:02:41,416","00:02:43,458","- Bye, Ellian!
- Come on. Let's go!"
19,"00:02:53,500","00:02:54,500",Good girl.
20,"00:02:54,583","00:02:55,750",Princess Ellian!
21,"00:02:55,833","00:02:58,750","I know I promised
I wouldn't use the flare today, but..."
22,"00:02:58,833","00:03:00,375",Minister Nazara.
23,"00:03:00,458","00:03:01,458",Huh?
24,"00:03:02,958","00:03:04,666",Uh...
25,"00:03:04,750","00:03:07,083",Your Highness.
26,"00:03:07,166","00:03:10,708","The king and queen
are requesting an audience."
27,"00:03:11,416","00:03:13,375","Like an ""audience"" audience?"
28,"00:03:13,458","00:03:15,291","Like, a big one."
29,"00:03:18,750","00:03:21,250",Hanging out at the market with my friends?
30,"00:03:21,333","00:03:23,208",That's what I should be doing.
31,"00:03:23,291","00:03:24,125",But can I?
32,"00:03:24,208","00:03:25,750","- Princess!
- No."
33,"00:03:27,333","00:03:28,666","Come on, Flink."
34,"00:03:28,750","00:03:29,916",Here we go again.
35,"00:03:33,375","00:03:34,541",♪ This is my world ♪
36,"00:03:35,375","00:03:36,916","♪ Welcome, I guess ♪"
