line,start_time,end_time,text
1,"00:00:21,958","00:00:24,875",There are many stories of chivalry
2,"00:00:24,958","00:00:28,291","where the heroic knight
saves the damsel in distress."
3,"00:00:29,958","00:00:32,958",This is not one of them.
4,"00:01:05,666","00:01:07,041",There it is.
5,"00:01:07,833","00:01:09,291",Form up!
6,"00:01:11,625","00:01:13,375",Let's kill the beast.
7,"00:01:13,458","00:01:15,875",For glory! Hyah!
8,"00:01:30,458","00:01:31,458",Be on guard.
9,"00:02:12,333","00:02:13,333",Form the line!
10,"00:02:44,958","00:02:45,958",Hold!
11,"00:03:45,375","00:03:46,750",The last I could find.
12,"00:03:47,333","00:03:49,916","Did you take the tapestries
into town like Father asked?"
13,"00:03:50,000","00:03:51,333",This morning.
14,"00:03:51,416","00:03:54,541","We should take the furs too,
and the drapes."
15,"00:03:54,625","00:03:55,541",Not the drapes!
16,"00:03:55,625","00:03:57,916",You hate that pattern in your room anyway.
17,"00:03:58,000","00:03:59,625",They serve a purpose.
18,"00:03:59,708","00:04:02,541","Floria, our people are freezing."
19,"00:04:02,625","00:04:03,625",And starving.
20,"00:04:10,375","00:04:11,791",Who'd come this far north?
21,"00:04:20,000","00:04:22,125","Elodie, why are they leaving?"
22,"00:04:22,208","00:04:24,333","There's nothing left
for them here, Floria."
23,"00:04:28,791","00:04:30,875","I don't have enough.
Please, I'm hungry."
24,"00:04:30,958","00:04:32,416","For food, join the line!"
25,"00:04:32,500","00:04:34,541","- Keep to one side.
- I'm starving."
26,"00:04:35,083","00:04:36,083",All right then.
27,"00:04:37,333","00:04:38,708",Get off! It's mine!
28,"00:04:38,791","00:04:41,833","- Hey! Give me back my food.
- Get off of me, old man!"
29,"00:04:41,916","00:04:43,000",You've had enough!
30,"00:04:43,083","00:04:45,291","Share this
with your sister. Go on."
31,"00:04:45,375","00:04:47,750","- Could you see who it was?
- A stranger, my lady."
32,"00:04:47,833","00:04:50,083","They may take
whatever wood they can carry."
33,"00:04:50,166","00:04:51,625","- I'll see to it.
- Come on, Flor."
34,"00:04:51,708","00:04:53,148","- Move on.
- Yes."
35,"00:04:53,208","00:04:54,728","- Get in line.
- Give it to me."
36,"00:04:55,333","00:04:57,666","- I want to meet her first.
- Father?"
37,"00:05:01,875","00:05:03,250",You must be Elodie.
38,"00:05:03,833","00:05:04,833",I am.
39,"00:05:18,875","00:05:19,875",She will do.
40,"00:05:26,208","00:05:29,541","- We await your decision.
- Thank you, Your Holiness."
41,"00:05:31,333","00:05:32,333","Please, this way."
42,"00:05:35,500","00:05:37,250","Father, what's happening?"
43,"00:05:38,333","00:05:39,333",Who is that?
44,"00:05:42,166","00:05:43,166",Stepmother?
45,"00:05:45,708","00:05:46,750","Well, what is it?"
46,"00:05:47,500","00:05:49,291",From the Queen of Aurea.
47,"00:05:53,125","00:05:54,125",A proposal.
48,"00:05:54,208","00:05:56,250","- Oh, my goodness.
- Huh..."
49,"00:05:57,333","00:05:59,500","- I have made a match.
- May I?"
50,"00:05:59,583","00:06:00,791",Uh-huh.
51,"00:06:01,958","00:06:03,041",He is a prince.
52,"00:06:03,875","00:06:04,875",A prince?
53,"00:06:06,000","00:06:08,875","I know you've always wished to travel,
as did your mother."
54,"00:06:09,666","00:06:12,125",Go. See the world.
55,"00:06:12,208","00:06:16,291","This man, he has a fleet of ships,
carriages full of gold."
56,"00:06:16,875","00:06:18,666",That's no reason to marry.
57,"00:06:19,833","00:06:21,041",We need this.
58,"00:06:22,083","00:06:23,916",Our stores are empty.
59,"00:06:24,000","00:06:26,041",We will not make it to the thaw.
60,"00:06:28,208","00:06:29,583",Your people need you.
61,"00:06:31,291","00:06:32,291",Hey.
62,"00:06:34,916","00:06:36,208",This is who we are.
63,"00:06:48,625","00:06:50,000",Get to the port side.
64,"00:06:50,625","00:06:51,791",Port side.
65,"00:06:57,166","00:06:59,625","Elodie, what's the matter?"
66,"00:07:00,541","00:07:01,541",Nothing.
67,"00:07:04,750","00:07:06,416",Father says it's natural to be nervous
68,"00:07:06,500","00:07:08,666","about meeting
your new husband and his family."
69,"00:07:09,583","00:07:10,791",They're strangers.
70,"00:07:11,375","00:07:15,000","I've never heard of the Kingdom of Aurea
until Father sprang this on me."
71,"00:07:15,083","00:07:16,250",Mind the lines.
72,"00:07:16,791","00:07:17,791",Oh!
73,"00:07:18,875","00:07:22,333","Are you crazy?
What are you two doing up there?"
74,"00:07:22,916","00:07:24,041",Come down here.
75,"00:07:25,041","00:07:26,166",Come on.
76,"00:07:30,291","00:07:32,833","This is how you
want your prince to meet you?"
77,"00:07:32,916","00:07:34,958","Scared, cold as a corpse."
78,"00:07:35,041","00:07:37,208",Nose all drippy and wet.
79,"00:07:37,291","00:07:40,666","What have I been
telling you this entire trip?"
80,"00:07:41,166","00:07:43,583","- First impressions are everything.
- Hmm."
81,"00:07:43,666","00:07:45,000","Come on, lift up."
82,"00:07:52,916","00:07:54,125",Look at that.
83,"00:08:06,666","00:08:08,750","I have good news, girls."
84,"00:08:08,833","00:08:12,083","The captain informs me
we approach Aurea's coastline."
85,"00:08:13,291","00:08:15,083",It should be any time now.
86,"00:08:25,041","00:08:26,291",Father.
87,"00:08:29,083","00:08:30,875",What in the world?
88,"00:08:33,541","00:08:36,291",Looks almost... almost like a...
89,"00:08:36,375","00:08:37,458",A dragon.
90,"00:09:07,125","00:09:09,291",It's okay.
91,"00:09:48,666","00:09:51,708","\an8Oh, my heavens."
92,"00:10:35,791","00:10:36,958",\an8It's magnificent.
93,"00:10:37,708","00:10:40,500","\an8My lords, my ladies,"
94,"00:10:40,583","00:10:43,125",\an8be welcome to the Kingdom of Aurea.
95,"00:10:43,666","00:10:45,958","\an8The royal family is at prayer,"
96,"00:10:46,041","00:10:48,208","\an8but word has been sent
of your arrival."
97,"00:10:48,291","00:10:51,041","In the meantime,
your rooms have been made ready."
98,"00:10:51,666","00:10:53,000",If you will follow me.
99,"00:10:55,208","00:10:56,333",\an8Is this a dream?
100,"00:10:57,250","00:11:00,291","\an8If so, can I move in
and never wake up?"
101,"00:11:01,916","00:11:04,916","\an8If you want these people
to think we belong here,"
102,"00:11:05,000","00:11:08,166",\an8you can't act so easily impressed.
103,"00:11:08,666","00:11:11,000","\an8What do you think, Ellie? Hmm?"
104,"00:11:11,083","00:11:14,083","\an8I think I had
a rather limited definition of wealthy."
105,"00:11:35,416","00:11:38,458","I pray this is to your liking, my lady."
106,"00:11:39,541","00:11:41,125",A bath has been drawn
107,"00:11:41,916","00:11:43,916",and supper has been carried hence.
108,"00:11:45,791","00:11:48,541","At first light,
I shall return to convey you"
109,"00:11:49,083","00:11:50,666",to meet His Royal Highness.
110,"00:11:51,250","00:11:53,250","Henry, Prince of Aurea."
111,"00:11:55,250","00:11:57,458","Floria,
stop touching everything."
112,"00:12:00,583","00:12:01,791",Is something wrong?
113,"00:12:02,708","00:12:05,250","- I just hope he's kind.
- Hmm."
114,"00:12:05,333","00:12:06,500","- And well-read.
- Yeah."
115,"00:12:07,083","00:12:08,083",Handsome.
116,"00:12:10,541","00:12:13,333",Let's all give Elodie some privacy.
117,"00:12:13,416","00:12:16,708","She can use the time
to settle in, as we all could."
118,"00:12:16,791","00:12:18,000","Oh, indeed."
