line,start_time,end_time,text
1,"00:01:24,001","00:01:25,167","Hey, kiddo."
2,"00:01:26,003","00:01:27,760","What?
I found something."
3,"00:01:27,829","00:01:29,171",You gotta check this out.
4,"00:01:31,466","00:01:32,832",Jumanji.
5,"00:01:35,137","00:01:36,353",Board game?
6,"00:01:36,430","00:01:37,917",Who plays board games?
7,"00:03:12,818","00:03:14,480",Parry. Parry.
8,"00:03:14,653","00:03:16,365",Evade. Blam.
9,"00:03:16,738","00:03:18,000",Uppercut.
10,"00:03:18,573","00:03:19,859",Head slam. You're dead.
11,"00:03:20,033","00:03:22,997",Strike. Strike. Counterstrike. Head slam.
12,"00:03:27,207","00:03:28,671",I got it.
13,"00:03:39,469","00:03:42,834","Benjamin Franklin, and it was
this sense of national exceptionalism..."
14,"00:03:43,807","00:03:46,941","that fueled the spreading wildfire
of westward expansion."
15,"00:03:47,110","00:03:48,397",Spencer? Honey?
16,"00:03:49,604","00:03:52,347","Mom, what did we say about the knocking?"
17,"00:03:52,371","00:03:55,267","I'm late for work. Are you going
to your father's after school?"
18,"00:03:55,444","00:03:57,406","Yeah, probably.
Don't forget your EpiPen."
19,"00:03:57,479","00:03:59,416","And pease, remember,
the world is a terrifying place."
20,"00:03:59,489","00:04:01,531","Be careful of everything.
I love you more than life itself."
21,"00:04:01,555","00:04:03,194","Bye. See you Sunday night.
Ok."
22,"00:04:10,000","00:04:10,676","Later, Mama."
23,"00:04:10,701","00:04:12,391",Eat something before you go.
24,"00:04:12,644","00:04:14,260",I can't. I gotta go meet Spencer.
25,"00:04:14,796","00:04:16,001",Spencer Gilpin?
26,"00:04:16,026","00:04:17,107","Yeah, Spencer Gilpin."
27,"00:04:17,157","00:04:18,523",He's been tutoring me. He...
28,"00:04:18,800","00:04:20,938","He's helping me get my grades up.
I love to hear that."
29,"00:04:21,011","00:04:23,049","Little Spencer Gilpin.
Yeah."
30,"00:04:23,722","00:04:26,410","Your grades gonna be Ok?
Yeah, that's why I'm getting help."
31,"00:04:26,683","00:04:28,049",I'd hate for you to get dropped from the team.
32,"00:04:28,073","00:04:29,618",I'm not gonna get dropped from the team.
33,"00:04:32,189","00:04:34,422",It's... It's gonna be fine. Ok?
34,"00:04:53,835","00:04:55,101",Ok.
35,"00:04:55,879","00:04:58,147","That's cute, right?"
36,"00:04:58,924","00:04:59,986",Yeah.
37,"00:05:22,447","00:05:24,330","Yo.
Hey, Fridge."
38,"00:05:25,992","00:05:27,354",Why you wearing a raincoat?
39,"00:05:27,828","00:05:29,865","What do you mean?
I mean, it's not raining."
40,"00:05:31,206","00:05:33,394","Well, it might. I mean, you never know
what's gonna happen."
41,"00:05:35,752","00:05:37,565","Oy vey.
What the hell, man?"
42,"00:05:37,789","00:05:39,491","Do you mind?
Can we just speed this up?"
43,"00:05:39,716","00:05:42,101","Freak House makes me,
very uncomfortable."
44,"00:05:42,634","00:05:43,866",Here you go.
45,"00:05:45,554","00:05:47,371","You proofread everything?
Yeah, I proofed it."
46,"00:05:47,548","00:05:49,731",And I gave it a beginning and...
47,"00:05:50,717","00:05:51,900",and an ending...
48,"00:05:52,725","00:05:53,644",and some in the middle.
49,"00:05:53,645","00:05:55,047","Look man, I would've done it myself,"
