line,start_time,end_time,text
1,"00:00:54,094","00:00:56,065","- wind whistling
- ♪♪ somber music playing"
2,"00:01:19,767","00:01:21,296",apes chatter softly
3,"00:01:46,326","00:01:48,423",fire crackling
4,"00:01:48,559","00:01:51,362",music crescendoes
5,"00:02:09,899","00:02:11,857",apes chatter loudly
6,"00:02:23,963","00:02:26,791",chatter fades
7,"00:02:44,567","00:02:48,230",birds chirping
8,"00:02:50,666","00:02:52,692",screeches
9,"00:03:37,392","00:03:39,362",grunting
10,"00:03:59,062","00:04:00,065",exclaims
11,"00:04:03,799","00:04:07,032","grunts, chatters"
12,"00:04:20,492","00:04:22,131",in sign language Show off.
13,"00:04:42,662","00:04:46,328","Elder Luna says make
your heart still."
14,"00:04:46,464","00:04:48,494",The right egg will sing to you.
15,"00:04:49,526","00:04:52,560",Elder Luna is elder.
16,"00:04:54,930","00:04:57,390",grunting
17,"00:04:57,525","00:04:59,329",eagle screeches
18,"00:05:13,467","00:05:14,467",Three.
19,"00:05:16,194","00:05:17,994",Only three.
20,"00:05:18,129","00:05:20,059",We take them all.
21,"00:05:20,194","00:05:21,527",No. Never.
22,"00:05:22,459","00:05:24,626",Leave one always.
23,"00:05:26,326","00:05:27,560",That is the law.
24,"00:05:30,229","00:05:31,824",Bonding day is tomorrow.
25,"00:05:34,326","00:05:35,857",These are yours.
26,"00:05:37,634","00:05:38,658",You are older.
27,"00:05:38,793","00:05:41,758","- By length of a sunset.
- Is older."
28,"00:05:44,797","00:05:45,797",Soona.
29,"00:05:47,130","00:05:49,164",Which one sings to you?
30,"00:05:54,326","00:05:55,329",This one.
31,"00:06:00,731","00:06:01,731",Silk.
32,"00:06:13,461","00:06:15,956",We will raise them together.
33,"00:06:16,899","00:06:18,999",Like we were raised.
34,"00:06:20,493","00:06:22,527",It will be the same.
35,"00:06:24,165","00:06:25,890","- Yes?
- eagle screeches"
36,"00:06:33,599","00:06:34,599",grunts
37,"00:06:37,798","00:06:39,956","Go, go, go."
38,"00:06:41,594","00:06:43,296","- Noa!
- Anaya Noa, wait!"
39,"00:06:54,832","00:06:56,296",Anaya Whoa!
40,"00:06:57,766","00:06:59,094",It's too far.
41,"00:06:59,230","00:07:00,560",Soona Find another way.
42,"00:07:02,632","00:07:04,729",grunts
43,"00:07:04,864","00:07:05,864",Anaya Noa?
44,"00:07:06,929","00:07:08,328",No!
45,"00:07:08,463","00:07:11,190","- Noa yells
- Anaya exclaims"
46,"00:07:11,325","00:07:12,890",Yeah!
47,"00:07:15,329","00:07:17,791",Anaya and Soona chatter
48,"00:07:21,293","00:07:23,164",Noa grunts
49,"00:07:27,592","00:07:29,593",tree branches creaking
50,"00:07:46,299","00:07:47,568","- eagles screeches
- Noa gasps"
51,"00:07:47,592","00:07:49,791",Noa grunting rapidly
52,"00:07:51,492","00:07:53,164",Noa screams
53,"00:07:56,998","00:07:58,659",Noa chatters in fear
54,"00:08:00,733","00:08:01,733",Noa screams
55,"00:08:01,798","00:08:03,131",Soona Noa!
56,"00:08:05,932","00:08:07,395",shouting Anaya! Soona!
57,"00:08:07,996","00:08:08,996",Soona Noa!
58,"00:08:10,700","00:08:12,459",Noa screams
59,"00:08:12,594","00:08:14,131","- Anaya Noa!
- Soona No!"
60,"00:08:21,064","00:08:23,296",both sigh in relief
61,"00:08:33,227","00:08:36,191",birdsong
62,"00:08:36,326","00:08:38,266",chimps chatter
63,"00:08:38,401","00:08:40,377","Anaya Do you wonder what
your bird will look like?"
64,"00:08:40,401","00:08:42,857","Soona Long as it does
not look like you, Anaya."
65,"00:08:47,834","00:08:49,824","horses neighing, chuffing"
66,"00:08:56,931","00:08:58,131",in sign language Scared.
67,"00:09:03,583","00:09:05,250",Blanket missing.
68,"00:09:05,326","00:09:06,329",twigs snap
69,"00:09:09,930","00:09:11,962","What is it, Noa?"
70,"00:09:12,098","00:09:14,560",Noa Something in trees.
71,"00:09:19,327","00:09:20,428",exclaims in pain
72,"00:09:23,296","00:09:25,791","chimps grunting, panting"
73,"00:09:30,767","00:09:32,263",Noa It's getting away.
74,"00:09:44,327","00:09:46,461",in sign language Outsiders.
75,"00:09:47,326","00:09:48,923",Noa scared.
76,"00:09:51,567","00:09:52,999",Not Anaya.
77,"00:10:11,831","00:10:14,428",sniffing
78,"00:10:16,863","00:10:18,923",Not ape.
79,"00:10:23,292","00:10:24,362",Maybe...
80,"00:10:25,665","00:10:26,758",Echo?
81,"00:10:28,563","00:10:33,527",Echo do not come in from Valley.
82,"00:10:33,863","00:10:34,863",Oh.
83,"00:10:37,130","00:10:41,230","objects clatter, echo"
84,"00:10:43,227","00:10:49,032",all screaming
85,"00:10:53,328","00:10:55,128",Soona Were you scared?
86,"00:10:55,264","00:10:57,230",Noa Not as scared as Anaya!
87,"00:11:14,998","00:11:16,999",eagles screeching
88,"00:11:23,494","00:11:25,064",children exclaim excitedly
89,"00:11:25,200","00:11:26,401","child 1 They're
back! They're back!"
90,"00:11:26,425","00:11:27,425",child 2 Soona!
91,"00:11:27,496","00:11:28,672",child 3 Did you get your eggs?
92,"00:11:28,696","00:11:31,158","- How far did you climb?
- Was it dangerous?"
93,"00:11:31,293","00:11:33,458",Very dangerous.
94,"00:11:33,593","00:11:36,059",Anaya wailed like a newborn.
95,"00:11:36,194","00:11:38,131",laughing
96,"00:11:45,133","00:11:46,927","child 1 How many
eggs did you honor?"
97,"00:11:47,062","00:11:48,510","- child 2 Show us the egg.
- child 3 Did you climb well?"
98,"00:11:48,534","00:11:50,336","- child 4 Show us the egg.
- child 5 Show us your egg."
99,"00:11:50,360","00:11:51,360",Egg. Egg. Egg.
100,"00:11:51,460","00:11:55,027","Show us, Anaya, please?"
101,"00:11:55,163","00:11:57,956","children gasp, exclaim"
102,"00:11:59,360","00:12:01,362",all chatter
103,"00:12:17,826","00:12:19,625","- Who want?
- child Me, me, me!"
104,"00:12:19,760","00:12:22,396","- Aw!
- child groans dejectedly"
105,"00:12:22,532","00:12:26,032","child 2 Come on. Come
on. Give, give! Hey!"
106,"00:12:26,566","00:12:27,626",Son.
107,"00:12:36,028","00:12:37,061",Show me.
108,"00:12:37,197","00:12:39,358",All must wait for bonding.
109,"00:12:39,493","00:12:42,126",Even Honored Teacher.
110,"00:12:42,261","00:12:44,065",I am your mother.
111,"00:12:53,428","00:12:56,263",I knew you would climb well.
112,"00:12:58,831","00:13:00,065",He waits.
113,"00:13:09,599","00:13:10,626",Broken?
114,"00:13:12,932","00:13:15,164",Time for that later.
115,"00:13:18,660","00:13:21,461",Your father will want to see.
116,"00:13:26,459","00:13:31,461","in sign language
He will be proud."
117,"00:13:47,168","00:13:49,166","- male chimp 1 Noa.
- female chimp Noa."
118,"00:13:49,301","00:13:52,191","male chimp 2 Noa, didn't
think you'd make it back."
119,"00:13:52,327","00:13:53,890",chimps laugh
120,"00:14:06,625","00:14:08,626",eagles screeching
121,"00:14:15,394","00:14:19,890","Koro humming, grunts"
122,"00:14:20,667","00:14:23,857",Koro humming
123,"00:14:24,534","00:14:26,531",Too firm.
124,"00:14:26,666","00:14:29,032","Yes. Yes, Koro."
125,"00:14:44,898","00:14:46,824","in sign language
Father. Master of Birds."
126,"00:14:51,963","00:14:55,857",Koro hums
127,"00:14:57,325","00:14:58,329",Noa.
128,"00:15:01,160","00:15:02,329",Son.
129,"00:15:03,128","00:15:04,329",grunts in pain
130,"00:15:07,334","00:15:13,164","Sun Eagle does not like work
for tomorrow's ceremony."
131,"00:15:15,666","00:15:17,032",You climb well?
132,"00:15:17,633","00:15:19,531",Above Top Nest.
133,"00:15:19,666","00:15:21,727",Huh. All of you?
134,"00:15:21,863","00:15:23,430",No.
135,"00:15:23,566","00:15:24,956",Only me.
136,"00:15:26,600","00:15:28,494",sniffing
137,"00:15:30,567","00:15:32,758",What that smell?
138,"00:15:39,392","00:15:41,593",inhales deeply
139,"00:15:43,101","00:15:46,497","You did not go to
the Valley Beyond?"
140,"00:15:46,632","00:15:47,927",Never.
141,"00:15:48,063","00:15:50,197",Is forbidden.
142,"00:15:51,365","00:15:55,196","Yet blood of Echo
on your blanket."
143,"00:15:55,332","00:15:58,527",We did not go to Valley Beyond.
144,"00:16:02,425","00:16:04,131",I accept.
145,"00:16:05,327","00:16:07,494","You are true, Noa."
146,"00:16:09,327","00:16:10,758",Much to learn.
147,"00:16:12,492","00:16:13,725",Much to teach.
148,"00:16:15,263","00:16:17,494",After tomorrow's bonding.
149,"00:16:18,800","00:16:21,296","Now, Elders must know."
150,"00:16:22,263","00:16:25,494",Echoes only bring trouble.
151,"00:16:29,363","00:16:32,395",Oda will chase the pests away.
152,"00:16:40,427","00:16:42,923",May I seek your counsel?
153,"00:16:45,202","00:16:50,323","This blanket had the
blood of an Echo on it."
154,"00:16:50,458","00:16:51,526",Elder 1 Echo.
155,"00:16:51,662","00:16:53,064",Koro And I apologize for that.
156,"00:16:53,200","00:16:56,358","This is a bad sign
for all of us."
157,"00:16:56,493","00:16:57,493",Elder 2 That smell.
158,"00:16:57,596","00:16:58,704","Koro And my
suggestion would be..."
159,"00:16:58,728","00:17:00,527","conversation
continues indistinctly"
160,"00:17:05,833","00:17:08,362",You climbed Top Nest?
161,"00:17:12,293","00:17:14,065",Hard climb.
162,"00:17:20,393","00:17:21,425","Elder 1 Ah, yes."
163,"00:17:21,561","00:17:23,664",Elder 2 Could be dangerous.
164,"00:17:23,799","00:17:24,824",Elder 3 Danger.
165,"00:17:27,458","00:17:29,563",Soona panting
166,"00:17:29,698","00:17:30,698",Anaya!
167,"00:17:35,460","00:17:37,626",You see your father?
168,"00:17:44,264","00:17:47,829",I do not understand Eagle Sun.
169,"00:17:47,964","00:17:50,659",I do. He hate Noa.
170,"00:17:55,665","00:17:57,225",Noa.
171,"00:17:57,360","00:17:58,890","in sign language
Your blanket?"
172,"00:17:59,491","00:18:01,197",With Elders.
173,"00:18:03,101","00:18:06,032","They send Oda to
scare Echo away."
174,"00:18:06,667","00:18:07,857","Oda Yes, Elder."
175,"00:18:08,899","00:18:11,725",When mother was small...
176,"00:18:12,460","00:18:14,862",dry season shrank creek.
177,"00:18:14,998","00:18:16,461",Echo range for food.
178,"00:18:17,659","00:18:20,824",She saw a small and a big.
179,"00:18:22,228","00:18:24,659",We have good rain.
180,"00:18:26,359","00:18:27,461",Her words.
181,"00:18:32,800","00:18:35,032","Koro Ride true, Oda."
182,"00:18:40,228","00:18:41,791",eagle screeches
