line,start_time,end_time,text
1,"00:00:23,240","00:00:26,391","KUBO: If you must blink,
do it now."
2,"00:00:42,360","00:00:45,636","Pay careful attention to
everything you see and hear,"
3,"00:00:46,400","00:00:47,958",(THUNDER RUMBLING)
4,"00:00:48,480","00:00:51,119","no matter how unusual
it may seem."
5,"00:01:12,360","00:01:13,475",(GASPS)
6,"00:01:14,640","00:01:15,640",(GRUNTS)
7,"00:01:29,560","00:01:30,993","And please be warned,"
8,"00:01:31,320","00:01:35,393","if you fidget,
if you look away,"
9,"00:01:35,480","00:01:38,517","if you forget any part
of what I tell you,"
10,"00:01:38,600","00:01:40,556","even for an instant,"
11,"00:01:42,320","00:01:44,914","then our hero
will surely perish."
12,"00:02:05,360","00:02:07,191",(BABY CRYING)
13,"00:02:25,200","00:02:27,634",His name is Kubo.
14,"00:02:27,720","00:02:30,234","His grandfather
stole something from him."
15,"00:02:31,920","00:02:33,558",(CONTINUES CRYING)
16,"00:02:40,560","00:02:43,028","And that really
is the least of it."
17,"00:03:45,480","00:03:46,480",Ow!
18,"00:04:02,360","00:04:03,475",(MOTHER GROANS)
19,"00:04:27,320","00:04:28,320",(BLOWS)
20,"00:05:23,640","00:05:25,278",(BELL TOLLING)
21,"00:06:42,360","00:06:43,634",(ROARING)
22,"00:06:44,840","00:06:46,114",(LAUGHING)
23,"00:06:47,000","00:06:48,115","(GROWLS)
(SHRIEKS)"
24,"00:06:48,200","00:06:49,315",(CRYING)
25,"00:07:13,200","00:07:15,270","Well, hello, Kubo."
26,"00:07:15,360","00:07:16,793","(LAUGHS)
How was it today?"
27,"00:07:17,200","00:07:18,838",It wasn't a bad crowd.
28,"00:07:18,920","00:07:21,309","I got two pennies
and a lint ball."
29,"00:07:21,400","00:07:23,072",This is pretty good lint.
30,"00:07:23,760","00:07:25,512","And what have you got
planned for today?"
31,"00:07:25,880","00:07:27,438","Oh, you know, the usual."
32,"00:07:27,520","00:07:28,999","Monsters?
Of course."
33,"00:07:29,280","00:07:31,430","You think you can work in
a fire-breathing chicken?"
34,"00:07:32,160","00:07:33,559",The chicken again?
35,"00:07:33,680","00:07:35,318",The chicken is funny.
36,"00:07:35,400","00:07:38,278","A touch of comedy to balance
the whole thing out."
37,"00:07:38,360","00:07:41,636","They're gonna be throwing money at you.
I just know it."
38,"00:07:41,720","00:07:43,711","Uh, they'll throw something at you.
I don't know."
39,"00:07:43,800","00:07:46,075","(CHUCKLES)
Okay, I'll see what I can do."
40,"00:07:46,160","00:07:49,436","And do you plan on finishing the
story this time, young man?"
41,"00:08:01,160","00:08:03,435","If you must blink,
do it now."
42,"00:08:03,600","00:08:04,600",(STRUMS)
43,"00:08:04,680","00:08:06,113","(GASPS)
(PEOPLE GASP)"
44,"00:08:06,520","00:08:07,520",(GASPS)
45,"00:08:08,800","00:08:09,800",ALL: Yay!
46,"00:08:13,280","00:08:16,670","Pay careful attention to
everything you see and hear,"
47,"00:08:16,760","00:08:18,990","no matter how unusual
it may seem."
48,"00:08:19,280","00:08:21,032","And please be warned,"
49,"00:08:21,120","00:08:23,998","if you fidget,
if you look away,"
50,"00:08:24,080","00:08:26,150","if you forget any part
of what I tell you,"
51,"00:08:26,240","00:08:27,958","even for an instant,"
52,"00:08:28,920","00:08:31,434","then our hero
will surely perish."
53,"00:08:31,720","00:08:32,755",(STRUMMING INSTRUMENT)
54,"00:08:33,960","00:08:35,075",(CROWD EXCLAIMS)
55,"00:08:35,840","00:08:36,875",(CROWD APPLAUDING)
56,"00:08:37,480","00:08:41,155","Hanzo was a mighty samurai,
but he was alone."
57,"00:08:41,240","00:08:44,755","His family taken from him,
his kingdom in ruins,"
58,"00:08:45,000","00:08:49,118","and his army destroyed
by the dreaded Moon King."
59,"00:08:49,200","00:08:50,633","You may recall,"
60,"00:08:50,960","00:08:52,916","Hanzo was roaming
the distant Far Lands"
61,"00:08:53,000","00:08:55,230","in search of
a magical suit of armor."
62,"00:08:55,320","00:08:57,276","The only weapon
in the whole world"
63,"00:08:57,360","00:08:59,954","that could protect him from
the power of the Moon King."
64,"00:09:00,200","00:09:03,112","This armor was
made up of three pieces."
65,"00:09:03,200","00:09:05,270","The first...
Oh! I know! I know!"
66,"00:09:05,360","00:09:06,759",The sword unbreakable.
67,"00:09:09,120","00:09:10,120",(CROWD CLAPPING)
68,"00:09:11,840","00:09:13,239",The second...
69,"00:09:13,320","00:09:15,834","The breastplate...
(STUTTERS)"
70,"00:09:15,920","00:09:17,239",Impenetrable.
71,"00:09:17,320","00:09:18,639",Impenetra-bubble!
72,"00:09:18,720","00:09:20,073","Yeah!
(CROWD LAUGHS)"
73,"00:09:22,640","00:09:24,949","And finally,
the third weapon,"
74,"00:09:25,040","00:09:26,553","the final piece
of the armor..."
75,"00:09:26,640","00:09:28,915",I know this one. Pick me!
76,"00:09:29,000","00:09:31,309",The helmet invulnerable!
77,"00:09:31,400","00:09:32,799",(CROWD CLAPPING)
78,"00:09:34,080","00:09:35,911","Before Hanzo
could claim the armor"
79,"00:09:36,000","00:09:39,072","and unite the pieces
to reveal their true power,"
80,"00:09:39,160","00:09:41,469","he was attacked by
the Moon King's beast."
81,"00:09:55,040","00:09:56,393","(ALL CHEERING
AND APPLAUDING)"
82,"00:10:01,680","00:10:02,680",(INAUDIBLE)
83,"00:10:07,280","00:10:08,280",(CROWD GASPS)
84,"00:10:13,880","00:10:15,154","Oh, yes!"
85,"00:10:31,480","00:10:33,118","(CROWD CLAPPING)
(SQUAWKS)"
86,"00:10:34,320","00:10:37,517","(LAUGHS) Kill the chicken!
Rip it to pieces."
87,"00:10:42,240","00:10:43,958",(SQUAWKING)
88,"00:10:50,760","00:10:52,113",(ALL APPLAUDING)
89,"00:10:52,680","00:10:53,908",(CROWD GASPS)
90,"00:10:57,160","00:10:58,388",(CROWD LAUGHS)
91,"00:10:58,480","00:10:59,515",(SQUAWKS)
92,"00:11:06,320","00:11:07,833","Oh, my."
93,"00:11:08,880","00:11:10,074",(INAUDIBLE)
94,"00:11:20,440","00:11:21,668",(CROWD EXCLAIMS)
95,"00:11:21,760","00:11:23,079",(LAUGHING)
96,"00:11:25,640","00:11:26,640",(RETCHES)
97,"00:11:26,920","00:11:29,309",Hanzo was filled with rage.
98,"00:11:29,400","00:11:30,594",His soul tormented
99,"00:11:30,680","00:11:33,240","by the grief of
a family stolen from him!"
100,"00:11:39,120","00:11:43,033","At last, our hero was
face-to-face with his nemesis,"
101,"00:11:43,120","00:11:44,269",the Moon King.
102,"00:11:50,800","00:11:51,800",(BELL TOLLING)
103,"00:11:54,160","00:11:55,957",(CROWD CHATTERING)
104,"00:11:56,560","00:11:58,391","So, be sure to
come back tomorrow."
105,"00:11:58,560","00:12:02,439","(CROWD MOANS)
What? Oh, come on!"
106,"00:12:02,520","00:12:03,748",People like an ending.
107,"00:12:04,520","00:12:05,873",Where are you going?
108,"00:12:05,960","00:12:08,758","No, you can't...
You can't leave!"
109,"00:12:26,520","00:12:27,669",(WEAKLY) Kubo.
110,"00:12:29,320","00:12:31,311","Kubo.
KUBO: Yes, Mother."
111,"00:12:32,160","00:12:33,434",I'm here.
112,"00:12:34,120","00:12:35,120",(SIGHS)
113,"00:12:35,600","00:12:36,794",Hungry?
114,"00:12:38,400","00:12:40,595","MOTHER: And even though
he could barely see"
115,"00:12:40,680","00:12:43,717","his own hand in
front of his face,"
116,"00:12:44,080","00:12:46,799","Hanzo and his
army of loyal samurai"
117,"00:12:46,880","00:12:48,757","pressed on
through the blizzard."
