line,start_time,end_time,text
1,"00:01:15,040","00:01:16,280",Benji?
2,"00:01:16,600","00:01:18,364","Benji, do you copy?"
3,"00:01:19,200","00:01:20,531",Benji?
4,"00:01:21,880","00:01:23,882","- Shit.
- Where is Ethan?"
5,"00:01:24,640","00:01:25,801",I can't talk right now.
6,"00:01:26,280","00:01:28,700",The package is on the plane.
7,"00:01:28,800","00:01:30,370","Yeah, I know."
8,"00:01:30,600","00:01:34,286","We're currently formulating a plan B.
Although, technically, it's a plan C."
9,"00:01:34,440","00:01:36,020",This isn't going very well.
10,"00:01:36,120","00:01:37,980","I am aware of that, Brandt.
You're not helping."
11,"00:01:38,080","00:01:40,651","- Where's Ethan?
- I don't know. We're on radio silence."
12,"00:01:40,760","00:01:43,300","That plane cannot take off
with the package on it."
13,"00:01:43,400","00:01:45,004","- Do you understand?
- We're working on it."
14,"00:01:45,520","00:01:47,700","Luther? What the hell
are you doing there?"
15,"00:01:47,800","00:01:49,460","You're supposed to be
on assignment in Malaysia!"
16,"00:01:49,560","00:01:51,220","I am in Malaysia.
I've been here two days."
17,"00:01:51,320","00:01:53,220","- Benji needed my help.
- I didn't need help."
18,"00:01:53,320","00:01:55,780","I needed assistance.
It's a different thing."
19,"00:01:55,880","00:01:57,041",The package is still on the plane.
20,"00:01:59,720","00:02:01,420","We understand the package
is on the plane."
21,"00:02:01,520","00:02:03,807","- We're trying to cripple it remotely.
- You can do that?"
22,"00:02:04,040","00:02:06,620","We can if the pilot left
the satellite uplink switched on."
23,"00:02:06,720","00:02:07,820",Which he has.
24,"00:02:07,920","00:02:11,380","- And how do you access the uplink?
- It involves hacking a Russian satellite."
25,"00:02:11,480","00:02:14,324","- I can't authorize that.
- Which is why I didn't ask permission."
26,"00:02:14,640","00:02:17,060","We're under investigation
for misconduct."
27,"00:02:17,160","00:02:19,401","The package is on board.
What do you want me to do?"
28,"00:02:28,600","00:02:30,045",Luther.
29,"00:02:30,360","00:02:32,020","I'm reading a heat bloom, Benji."
30,"00:02:32,120","00:02:34,282","- The engines are starting.
- Yeah, I'm aware of that."
31,"00:02:34,640","00:02:37,246","But I can't do anything
until I'm connected to the satellite."
32,"00:02:38,200","00:02:39,300","Benji, you're connected."
33,"00:02:39,400","00:02:40,606","Okay, great."
34,"00:02:42,040","00:02:43,485",The package is still on that plane.
35,"00:02:44,600","00:02:45,601",Shut down the fuel pump.
36,"00:02:47,280","00:02:48,486",The mechanicals are locked down.
37,"00:02:48,600","00:02:51,001","- What about the electrical system?
- That might work."
38,"00:02:51,320","00:02:52,321",No.
39,"00:02:52,440","00:02:54,283","- Hydraulics!
- Okay, stand by."
40,"00:02:54,440","00:02:55,930","No, they're encrypted."
41,"00:02:58,000","00:02:58,980","Benji, the plane!"
42,"00:02:59,080","00:03:01,367","Yes! The package is on the plane!
We get it!"
43,"00:03:04,120","00:03:05,281",Can you open the door?
44,"00:03:06,280","00:03:07,611",Ethan? Where are you?
45,"00:03:07,760","00:03:10,331","I'm by the plane.
Benji, can you open the door?"
46,"00:03:10,440","00:03:12,807",Can I open the door? Maybe.
47,"00:03:13,280","00:03:15,009",Open the door when I tell you!
48,"00:03:29,760","00:03:31,364",I'm on the plane. Open the door.
49,"00:03:31,480","00:03:32,540",How did you get in the plane?
50,"00:03:32,640","00:03:35,291",Not in the plane. I'm on the plane!
51,"00:03:35,600","00:03:37,329",Open the door!
52,"00:03:42,080","00:03:43,889",Benji! Open the door!
53,"00:03:44,440","00:03:45,805","Yeah, yeah, yeah. Okay, okay!"
