line,start_time,end_time,text
1,"00:00:01,626","00:00:06,626","Subtitles by explosiveskull
www.OpenSubtitles.org"
2,"00:00:41,456","00:00:43,041",There have been many tales
3,"00:00:43,125","00:00:44,960","of the great warrior, Mulan."
4,"00:00:47,504","00:00:51,300","But, ancestors,
this one is mine."
5,"00:00:52,676","00:00:54,011",Here she is.
6,"00:00:54,511","00:00:56,638","A young shoot,
all green..."
7,"00:00:57,473","00:00:59,683",unaware of the blade.
8,"00:01:01,435","00:01:03,687",If you had such a daughter...
9,"00:01:03,854","00:01:07,816","her chi, the boundless energy
of life itself..."
10,"00:01:07,983","00:01:10,611","speaking through
her every motion..."
11,"00:01:10,777","00:01:14,823","could you tell her that
only a son could wield chi?"
12,"00:01:16,283","00:01:21,121","That a daughter would risk
shame, dishonor, exile?"
13,"00:01:23,499","00:01:27,127","Ancestors, I could not."
14,"00:01:52,820","00:01:53,821",This way.
15,"00:01:56,073","00:01:57,241",That's the last one.
16,"00:01:57,407","00:01:58,408",Gently.
17,"00:02:01,119","00:02:02,412",Mulan! Forget the chicken!
18,"00:02:03,539","00:02:04,623",It will come back!
19,"00:02:10,379","00:02:11,672",No!
20,"00:02:15,217","00:02:18,303","Tell me your sister
is not the cause of this."
21,"00:02:21,431","00:02:22,599",Mulan!
22,"00:02:22,683","00:02:24,643",Take control of yourself!
23,"00:02:51,170","00:02:53,839","Mulan!
Listen very carefully."
24,"00:02:55,132","00:02:56,300",No!
25,"00:03:29,374","00:03:32,836","Mulan, what happened
when you fell off the roof?"
26,"00:03:33,962","00:03:35,756",It was like you were a bird.
27,"00:03:35,923","00:03:37,424",Don't panic.
28,"00:03:37,508","00:03:39,718","There's a spider
crawling in your hair."
29,"00:03:40,552","00:03:42,137",You know I'm afraid of spiders.
30,"00:03:42,513","00:03:44,890","This is not one of
your tricks, is it, Mulan?"
31,"00:03:44,973","00:03:48,477","Don't worry,
if you hold very still..."
32,"00:03:48,644","00:03:50,771",I will squash it.
33,"00:03:51,104","00:03:53,482","It is because I'm trying
to protect Mulan"
34,"00:03:53,565","00:03:54,566",that I say this.
35,"00:03:54,650","00:03:55,651",Mulan is young.
36,"00:03:55,734","00:03:57,778","She is still learning
how to control herself."
37,"00:03:58,320","00:04:00,489",You make excuses for her.
38,"00:04:01,490","00:04:05,160","You forget, Mulan is
a daughter, not a son."
39,"00:04:05,619","00:04:08,413","A daughter brings honor
through marriage."
40,"00:04:08,497","00:04:11,959","Any man would be fortunate to
marry either of our daughters."
41,"00:04:12,126","00:04:13,252",Including Mulan.
42,"00:04:13,836","00:04:16,296","I ask you, what man will want
to marry a girl"
43,"00:04:16,380","00:04:18,507","who flits around rooftops,
chasing chickens?"
44,"00:04:22,886","00:04:24,972",Xiu gives me no trouble.
45,"00:04:25,722","00:04:28,809","The matchmaker will find
a good husband for her."
46,"00:04:30,227","00:04:32,020",It is Mulan I worry about.
47,"00:04:33,230","00:04:35,357",They'll call her a witch.
48,"00:04:37,734","00:04:39,820",It's time you talked to her.
49,"00:05:06,054","00:05:07,127",Do you know why the phoenix
50,"00:05:07,139","00:05:09,099","sits at the entrance
of our shrine?"
51,"00:05:11,768","00:05:15,147","She is the emissary
for our ancestors."
52,"00:05:15,314","00:05:16,773",But I broke her.
53,"00:05:19,026","00:05:22,571","Some say the phoenix
is consumed by flame..."
54,"00:05:23,071","00:05:24,823",and emerges again.
55,"00:05:25,991","00:05:28,494","I think she can survive
a broken wing."
56,"00:05:30,287","00:05:32,581","Your chi is strong, Mulan."
57,"00:05:34,249","00:05:37,669",But chi is for warriors...
58,"00:05:37,836","00:05:39,922",not daughters.
59,"00:05:41,215","00:05:42,966","Soon, you'll be a young woman..."
60,"00:05:43,926","00:05:46,011",and it is time for you...
61,"00:05:47,679","00:05:49,181",to hide your gift away.
62,"00:05:50,098","00:05:51,225",To...
63,"00:05:52,226","00:05:54,770",To silence its voice.
64,"00:05:57,481","00:05:59,066",I say this to protect you.
