line,start_time,end_time,text
1,"00:00:06,333","00:00:08,916",mystical choral music playing
2,"00:00:23,416","00:00:27,333","- instrumentals harmonizing with chorals
- chimes ring"
3,"00:00:35,625","00:00:37,708",air whooshes hauntingly
4,"00:00:42,250","00:00:45,666","- foreboding instrumentals play
- crows cawing"
5,"00:00:48,666","00:00:50,541",foreboding music surges
6,"00:00:50,625","00:00:53,541",suspenseful music playing
7,"00:00:59,458","00:01:02,458","- swords clanging
- both grunting"
8,"00:01:12,041","00:01:14,000",energy crackles
9,"00:01:15,916","00:01:18,083",energy thrums
10,"00:01:18,166","00:01:20,208",music grows to a crescendo
11,"00:01:21,041","00:01:23,708","- music fades
- thrumming subsides"
12,"00:01:23,791","00:01:24,958",chuckles
13,"00:01:25,041","00:01:26,625","brother 1 You cheated, you know."
14,"00:01:26,708","00:01:30,041","The Duel Arena has very clear rules.
No magic."
15,"00:01:30,125","00:01:33,750","It's not cheating if you win.
It's only cheating if you get caught."
16,"00:01:33,833","00:01:37,166","- Shall we go another round?
- No, we don't have time."
17,"00:01:37,250","00:01:40,291","Sparring with you is
the only part of the day I enjoy anymore."
18,"00:01:40,375","00:01:42,666","I enjoy it too, but we're needed."
19,"00:01:42,750","00:01:46,166","It's one of the downsides of overseeing
the most important school ever built."
20,"00:01:46,250","00:01:47,541",And I'm bored.
21,"00:01:47,625","00:01:49,458","sighs Rafal, what do you want?"
22,"00:01:49,541","00:01:51,250",Just one more round.
23,"00:01:51,333","00:01:52,666",Ugh. chuckles
24,"00:01:52,750","00:01:54,041",We'll both use our magic.
25,"00:01:55,166","00:01:56,375",No holds barred.
26,"00:01:57,666","00:01:59,250","Come on, Rhian."
27,"00:01:59,333","00:02:01,708","- sword resonates softly
- Show me how it's done."
28,"00:02:02,666","00:02:03,750",You just don't stop...
29,"00:02:03,833","00:02:05,750","- Rafal grunts
- Rhian groans"
30,"00:02:06,583","00:02:08,083",Rafal yells
31,"00:02:08,166","00:02:10,166","- Rhian groans
- energy crackling"
32,"00:02:10,250","00:02:11,583",Rhian yells
33,"00:02:12,208","00:02:13,708",fire blasts
34,"00:02:13,791","00:02:15,375","Rafal, that's enough!"
35,"00:02:15,458","00:02:19,458","Maybe for you,
but I'm done settling for half."
36,"00:02:19,541","00:02:21,458",I want it all!
37,"00:02:21,541","00:02:23,125","- Rhian strains
- fire roars"
38,"00:02:23,208","00:02:24,541",Rafal shouts
39,"00:02:24,625","00:02:27,208","- Rhian grunts
- sword clanging"
40,"00:02:27,291","00:02:30,083","- Rhian groans
- epic music playing"
41,"00:02:30,166","00:02:31,250",Rhian No!
42,"00:02:31,333","00:02:33,000",energy thrums
43,"00:02:33,666","00:02:35,083",impact clangs
44,"00:02:36,291","00:02:37,666",magic thrums malevolently
45,"00:02:37,750","00:02:40,666","Rafal, what have you done? That's…"
46,"00:02:40,750","00:02:41,916",Rafal grunting
47,"00:02:43,875","00:02:45,291",Blood magic.
48,"00:02:45,375","00:02:49,041","I've been searching for years,
but last night, I finally found it."
49,"00:02:49,125","00:02:51,541","- Rhian panting
- blood magic thrums"
50,"00:02:51,625","00:02:53,708","Rafal, it's forbidden for a reason."
51,"00:02:53,791","00:02:55,000",Rafal chuckles
52,"00:02:55,083","00:02:57,250",It'll consume you. You can't control it.
53,"00:02:57,333","00:02:59,250",I prefer chaos.
54,"00:02:59,333","00:03:00,750","- blood magic crackles
- yells"
55,"00:03:00,833","00:03:02,708",energy blasts
56,"00:03:02,791","00:03:04,041","Rhian groans, gasps"
57,"00:03:05,041","00:03:05,875",grunts
58,"00:03:06,791","00:03:09,875","Thousands of years,
you always gave the heroes the upper hand!"
59,"00:03:09,958","00:03:12,125",straining I held the balance with you.
60,"00:03:12,208","00:03:13,458",both grunting
61,"00:03:13,541","00:03:15,458","moans, gasps"
62,"00:03:15,541","00:03:16,708",chuckles darkly
63,"00:03:17,458","00:03:19,125",It's my turn now.
64,"00:03:19,208","00:03:20,500",weakly Rafal…
65,"00:03:20,583","00:03:22,500",I dictate the terms.
66,"00:03:22,583","00:03:25,416","And it's going to be
a very different world."
67,"00:03:25,500","00:03:26,833",We can work together.
68,"00:03:26,916","00:03:29,083","- laughs
- whimpers"
69,"00:03:29,166","00:03:30,791",Evil doesn't cooperate.
70,"00:03:30,875","00:03:32,250",Rhian breathing shakily
71,"00:03:32,333","00:03:34,416",Evil doesn't share.
72,"00:03:34,500","00:03:35,875",When I'm done…
73,"00:03:35,958","00:03:37,166",Rhian moans
74,"00:03:37,250","00:03:38,750",…Evil won't lose.
75,"00:03:38,833","00:03:40,333",both grunting
76,"00:03:40,416","00:03:41,791",Rafal No!
77,"00:03:41,875","00:03:43,416",music fades
78,"00:03:46,708","00:03:48,583","- groaning
- soft instrumentals play"
79,"00:03:49,625","00:03:51,166",straining
80,"00:03:51,250","00:03:53,708",somber orchestral music playing
81,"00:03:53,791","00:03:55,083",Rhian gasps softly
82,"00:03:55,166","00:03:57,416",crows cawing
83,"00:03:58,000","00:03:59,291","softly Oh, Rafal."
84,"00:04:01,500","00:04:04,333","soft, whimsical instrumentals play"
85,"00:04:07,583","00:04:09,625","- music swells
- chimes ring"
86,"00:04:09,708","00:04:11,583",majestic orchestral music playing
87,"00:04:28,041","00:04:30,291",crowd gasps
88,"00:04:30,375","00:04:35,333","narrator Once upon a time,
there lived a girl named Sophie."
89,"00:04:36,125","00:04:40,750","A brave creature of exquisite beauty
and uncommon grace…"
90,"00:04:40,833","00:04:42,208",Sophie giggles
91,"00:04:42,291","00:04:45,500",…who was destined to change the world.
92,"00:04:45,583","00:04:46,958",guests gasp
93,"00:04:49,208","00:04:51,083",shoes squeaking on floor
94,"00:04:51,166","00:04:52,083",taps loudly
95,"00:04:52,166","00:04:55,250","Now, listen up for the last time,"
96,"00:04:55,333","00:04:57,916","you lazy, ridiculous girl."
97,"00:04:58,000","00:05:02,166","in woman's voice
Get your candied ass out of bed now!"
98,"00:05:02,250","00:05:03,333","- knocking
- gasps"
99,"00:05:03,416","00:05:05,708","woman Sophie, I know you can hear me!"
100,"00:05:05,791","00:05:07,875","- sighs Someone save me.
- rooster crows"
101,"00:05:07,958","00:05:08,875",knocking continues
102,"00:05:08,958","00:05:12,083","Okay, I'm awake.
Don't break the door down."
103,"00:05:12,166","00:05:14,083","woman I will,
if you're not out in five minutes."
104,"00:05:14,166","00:05:18,083","- Sophie scoffs
- And no spending an hour on your hair."
105,"00:05:18,166","00:05:19,750",mutters At least I have hair.
106,"00:05:19,833","00:05:21,541","- glass shatters
- boys shouting"
107,"00:05:23,041","00:05:24,875","man All right, settle down, now, boys."
108,"00:05:26,458","00:05:28,041",boys laughing
109,"00:05:28,125","00:05:29,791","Good morning, my dear family."
110,"00:05:29,875","00:05:31,583","- splats
- gasps"
111,"00:05:31,666","00:05:35,291","Hey, don't waste that tomato, Sophie!
It was supposed to go in the stew!"
112,"00:05:35,375","00:05:37,875",You've got to be kidding me.
113,"00:05:37,958","00:05:41,333","narrator
Meanwhile, on the other side of Gavaldon,"
114,"00:05:41,416","00:05:46,458","just outside of town,
in a humble cottage on top of Graves Hill…"
115,"00:05:46,541","00:05:47,583",birds singing
116,"00:05:47,666","00:05:51,291",…there lived a girl named Agatha.
117,"00:05:51,375","00:05:52,750",bright music playing
118,"00:05:52,833","00:05:54,583",cat purring softly
119,"00:05:54,666","00:05:55,916",scoffs
120,"00:05:56,833","00:05:59,458",Dang it. exhales deeply
121,"00:05:59,541","00:06:02,000","You're too good
at staring contests, Reaper."
122,"00:06:02,083","00:06:04,208","- Reaper meows
- Agatha chuckles"
123,"00:06:04,291","00:06:05,958","- sighs
- knocking on door"
124,"00:06:06,041","00:06:07,958","- kisses
- woman Come here a minute, Aggie?"
125,"00:06:08,791","00:06:11,958","I'm making Great-Grandma's love potion
for the widow Grunfeld."
126,"00:06:12,041","00:06:13,458",It needs something.
127,"00:06:17,291","00:06:18,291",Agatha sips
128,"00:06:20,166","00:06:21,166","- Hemlock.
- Of course."
129,"00:06:21,250","00:06:22,291",both laugh
130,"00:06:22,375","00:06:27,083","narrator Agatha had no idea
if her mother was actually a witch"
131,"00:06:27,166","00:06:29,791",since her potions never worked.
132,"00:06:29,875","00:06:34,375","But it was in Agatha
that her mother placed her highest hopes,"
133,"00:06:34,458","00:06:39,750","knowing that her daughter
had the makings of a real witch."
134,"00:06:39,833","00:06:42,958","- horse whinnies
- A sentiment shared by Agatha's peers."
135,"00:06:43,041","00:06:45,125","- Witch! Witch! Witch!
- children yelling"
136,"00:06:45,208","00:06:48,208","- boy 1 Burn her! Burn her!
- boy 2 Witch! Witch!"
137,"00:06:48,291","00:06:49,500",squirrel chittering
138,"00:06:50,625","00:06:53,500","gently Hello there,
my little forest friends."
139,"00:06:54,250","00:06:55,875","- horse neighs
- Sophie gasps"
140,"00:06:55,958","00:06:58,500","- squirrels squeak
- kids laughing"
141,"00:07:00,125","00:07:01,083",girl 1 Weirdos!
142,"00:07:01,166","00:07:02,791","- girl 2 Freaks!
- Sophie sighs"
143,"00:07:04,208","00:07:06,333","both God, I hate this town."
144,"00:07:07,958","00:07:09,750",both laugh
145,"00:07:09,833","00:07:10,750",gentle music playing
