line,start_time,end_time,text
1,"00:00:48,843","00:00:51,429",I used to want to save the world.
2,"00:00:53,014","00:00:55,225",This beautiful place.
3,"00:00:57,101","00:00:59,103",But I knew so little then.
4,"00:01:01,356","00:01:03,775",It is a land of magic and wonder.
5,"00:01:04,692","00:01:07,320",Worth cherishing in every way.
6,"00:01:09,614","00:01:11,449","But the closer you get,"
7,"00:01:12,700","00:01:16,287","the more you see the great darkness
simmering within."
8,"00:01:20,708","00:01:23,253",And mankind?
9,"00:01:24,295","00:01:26,923",Mankind is another story altogether.
10,"00:01:29,259","00:01:34,180","What one does when faced with the truth
is more difficult than you think."
11,"00:01:44,440","00:01:46,192",I learned this the hard way.
12,"00:01:47,485","00:01:49,320","A long, long time ago."
13,"00:01:52,198","00:01:53,199","And now,"
14,"00:01:56,035","00:01:57,704",I will never be the same.
15,"00:02:05,378","00:02:06,379",Merci.
16,"00:02:53,301","00:02:54,594","Hello, Diana."
17,"00:02:54,761","00:02:56,512","- Hello, Diana.
- Hello."
18,"00:02:57,180","00:02:58,473",Diana!
19,"00:02:59,515","00:03:00,975",Diana!
20,"00:03:01,559","00:03:02,560",Come back!
21,"00:03:42,308","00:03:43,810","- It looks very good.
- Very good."
22,"00:03:43,976","00:03:44,977",How is she doing?
23,"00:03:45,144","00:03:46,145",She's good.
24,"00:03:46,312","00:03:47,647","- Keep working with her.
- I will."
25,"00:03:48,856","00:03:49,857",Naomi.
26,"00:04:12,338","00:04:13,381",Diana!
27,"00:04:15,007","00:04:16,342","Diana, I see you."
28,"00:04:22,682","00:04:24,725","Where are you going?
Slow down!"
29,"00:04:34,861","00:04:36,863","Hello, Mother."
30,"00:04:37,447","00:04:38,865",How are you today?
31,"00:04:40,366","00:04:42,910","Let's get you back to school
before another tutor quits."
32,"00:04:43,077","00:04:46,622","But don't you think
it's time to start my training?"
33,"00:04:47,206","00:04:49,041",Antiope thinks I'm ready.
34,"00:04:50,042","00:04:51,043",Does she?
35,"00:04:51,961","00:04:54,380",I could begin showing her some things.
36,"00:04:56,215","00:04:58,384","She should at least
be able to defend herself."
37,"00:04:58,551","00:04:59,594",From whom?
38,"00:04:59,760","00:05:01,721",In the event of an invasion.
39,"00:05:01,888","00:05:05,224","Isn't that why I have
the greatest warrior in our history"
40,"00:05:05,391","00:05:07,727","leading an entire army, General?"
41,"00:05:08,895","00:05:11,814","I pray a day will never come
where she has to fight."
