line,start_time,end_time,text
1,"00:00:14,000","00:00:19,000","Subtitles by explosiveskull
www.OpenSubtitles.org"
2,"00:00:35,238","00:00:36,871","Tie it off, come on!"
3,"00:01:00,508","00:01:03,276","Hey, guys!
Guys, I think we should turn back."
4,"00:01:03,377","00:01:05,843","And lose good money?
Not a chance."
5,"00:01:05,944","00:01:07,411",Stay close.
6,"00:01:15,177","00:01:16,511",Here we are.
7,"00:01:17,944","00:01:19,246",Get on his back.
8,"00:01:38,881","00:01:39,883",Hurry up.
9,"00:01:40,648","00:01:41,849",Whoa!
10,"00:01:45,515","00:01:47,383",Ow!
11,"00:01:48,216","00:01:49,250",Whoa!
12,"00:01:52,149","00:01:53,551","There he is.
Go get him."
13,"00:01:53,651","00:01:55,418","Oh, you'll pay
for that."
14,"00:02:52,394","00:02:54,595","No. No, please."
15,"00:02:54,695","00:02:57,094","Please, no."
16,"00:03:19,298","00:03:20,899",Hold it there.
17,"00:03:38,902","00:03:40,002",I only got one...
18,"00:03:40,101","00:03:41,937",but he's a fine specimen.
19,"00:03:48,937","00:03:50,371","- That's all?
- Yeah."
20,"00:03:50,471","00:03:52,171",That shroom bit me twice.
21,"00:03:52,270","00:03:53,505",Huh.
22,"00:03:59,071","00:04:02,006",Tomb Bloom.
23,"00:04:24,110","00:04:25,877",Once upon a time...
24,"00:04:25,976","00:04:28,076","or perhaps twice upon a time,"
25,"00:04:28,176","00:04:29,877","for you may
remember this story..."
26,"00:04:29,977","00:04:34,512","there was a powerful Fey
named Maleficent."
27,"00:04:43,444","00:04:45,979","For some reason,
the mistress of evil"
28,"00:04:46,079","00:04:47,346",and protector of the Moors...
29,"00:04:47,446","00:04:50,480","was still hated
after all this time."
30,"00:04:50,580","00:04:53,481","True, she had cursed
the princess, Aurora..."
31,"00:04:53,580","00:04:55,514","but that was before
she found light"
32,"00:04:55,614","00:04:57,448","in the heart
of a human child..."
33,"00:04:57,548","00:05:00,382","and raised the girl
as her own."
34,"00:05:00,482","00:05:03,283","After all,
it was Maleficent's love"
35,"00:05:03,382","00:05:06,182","which broke
that very same curse."
36,"00:05:06,283","00:05:10,917","But that detail was somehow
mysteriously forgotten."
37,"00:05:11,017","00:05:12,617",For as the tale was told
38,"00:05:12,718","00:05:16,251","over and again
throughout the kingdom..."
39,"00:05:16,352","00:05:20,486","Maleficent became the villain
once more."
40,"00:05:32,619","00:05:35,120","It's time, guys.
Come on. Let's get everyone."
41,"00:05:35,220","00:05:36,421",It's the big day!
42,"00:05:36,522","00:05:37,422","- Come on.
- Let's go!"
43,"00:05:37,521","00:05:39,323",Wake up. Wake up.
44,"00:05:40,488","00:05:41,857",Come on.
45,"00:05:53,124","00:05:56,292","Hurry up, wallerbogs!
It's time!"
46,"00:06:10,526","00:06:12,360","Do you both remember
the secret plan?"
47,"00:06:12,461","00:06:14,195","I've got it
all right here."
48,"00:06:14,294","00:06:15,596","When do I tell the queen
the secret?"
49,"00:06:15,694","00:06:17,428","You must be patient,
Thistlewit."
50,"00:06:17,529","00:06:19,329","Do you think Queen
Aurora's awake yet?"
51,"00:06:19,429","00:06:22,463","Well, she's not
""Sleeping Beauty"" anymore."
52,"00:06:22,563","00:06:25,097",I see what you did there.
53,"00:06:37,165","00:06:40,899","Next item of business,
the missing fairies."
54,"00:06:40,999","00:06:42,132",I've sent more sprites
55,"00:06:42,232","00:06:44,200","to search
the Tomb Bloom field."
56,"00:06:44,300","00:06:45,601","They'll report back to me
at nightfall."
57,"00:06:45,700","00:06:48,366","We will keep searching
until we find them."
58,"00:06:50,699","00:06:53,167","Please don't raise
your roots at me, Lief."
59,"00:06:53,268","00:06:56,635","Crushing humans with branches
is not going to help."
60,"00:06:58,635","00:07:00,602","Diaval, you're supposed to be
on my side."
