line,start_time,end_time,text
1,"00:01:16,680","00:01:19,040","""One day, when he was naughty,"
2,"00:01:19,080","00:01:23,080","Mr Bunnsy looked over the hedge
into Farmer Fred's field"
3,"00:01:23,120","00:01:26,920","and it was full of green lettuces."""
4,"00:01:26,960","00:01:31,040","""Mr Bunnsy, however,
was not full of lettuces."""
5,"00:01:31,080","00:01:33,720","""This did not seem fair."""
6,"00:01:33,760","00:01:35,880",Not fair at all!
7,"00:01:35,920","00:01:38,520","So there you go.
Those are the opening words"
8,"00:01:38,560","00:01:41,480",to Mr Bunnsy Has An Adventure.
9,"00:01:41,520","00:01:44,680","But that is not the story
you will see."
10,"00:01:44,720","00:01:48,920","This, what you're watching right
now, is called a framing device,"
11,"00:01:48,960","00:01:51,760","a story that wraps around
the main story"
12,"00:01:51,800","00:01:55,240",like a warm blanket around a baby.
13,"00:01:55,280","00:01:57,000",Steady there. Right!
14,"00:01:57,040","00:01:59,520","Now, we have to get
your story started."
15,"00:01:59,560","00:02:03,400","And it's not about cute rabbits
wearing clothes. Not at all!"
16,"00:02:03,440","00:02:05,200","In fact,"
17,"00:02:05,240","00:02:06,840",your story
18,"00:02:06,880","00:02:09,320",is all about...
19,"00:02:09,360","00:02:11,200",Rats!
20,"00:02:11,240","00:02:13,280",You've got...
21,"00:02:13,320","00:02:14,920",..r-r-rats!
22,"00:02:14,960","00:02:16,920",Rats!
23,"00:02:16,960","00:02:18,880","♪ Twitching noses, cunning faces"
24,"00:02:18,920","00:02:20,600",♪ Hiding in the strangest places
25,"00:02:20,640","00:02:22,520","♪ Always gnawing, clawing, peeking"
26,"00:02:22,560","00:02:24,480","♪ Climbing, jumping, squealing,
squeaking"
27,"00:02:24,520","00:02:26,640",Agh!
28,"00:02:26,680","00:02:27,920",Cluck! Cluck!
29,"00:02:27,960","00:02:29,720",♪ Greedy for your precious treat
30,"00:02:29,760","00:02:31,640","♪ They lick the crumbs
from off their feet"
31,"00:02:31,680","00:02:33,560",♪ They undermine your soil and ground
32,"00:02:33,600","00:02:35,360","♪ Try to catch them, can't be found!"
33,"00:02:35,400","00:02:38,040","Hey, that cat can talk!"
34,"00:02:38,080","00:02:40,560",Rats!
35,"00:02:40,600","00:02:43,400",You've... got... rats!
36,"00:02:43,440","00:02:46,280",Rats! Whaaat?!
37,"00:02:46,320","00:02:47,880","♪ Nibbling here, napping there"
38,"00:02:47,920","00:02:49,840",♪ They widdle on your tableware
39,"00:02:49,880","00:02:52,000","♪ You try to poison,
trap and shoot them"
40,"00:02:52,040","00:02:54,200","♪ Race and chase
and stomp and boot them"
41,"00:02:54,240","00:02:56,280",♪ They leap with marvellous agility
42,"00:02:56,320","00:02:59,240",♪ No beast can match their sheer...
43,"00:02:59,280","00:03:01,280",Er... Erm...
44,"00:03:01,320","00:03:03,640",..adaptability?
45,"00:03:04,600","00:03:08,320","♪ Rats! Rats!
♪ You've got multiplying rats!"
46,"00:03:08,360","00:03:09,480","♪ You've...
♪ You've..."
47,"00:03:09,520","00:03:11,360","♪ Got rats!
♪ Got rats!"
48,"00:03:11,400","00:03:14,280",♪ Rats! ♪
49,"00:03:17,320","00:03:19,240",There really aren't all that many.
50,"00:03:19,280","00:03:22,400","You don't need many for a plague,
not if they know their business."
51,"00:03:22,440","00:03:25,760","One rat taking a bath in fresh cream
and widdling in the flour?"
52,"00:03:25,800","00:03:29,720",Could be a plague all by himself!
53,"00:03:29,760","00:03:31,800","A plague?
We're doomed!"
54,"00:03:31,840","00:03:35,480","I suppose you want us to pay you
to get rid of them! Me?"
55,"00:03:35,520","00:03:38,280",Just one lone cat? Against all that?
56,"00:03:40,320","00:03:43,080","Well, I am good, it's true,
but no, no, no, no,"
57,"00:03:43,120","00:03:44,520",one cat will never do.
58,"00:03:44,560","00:03:46,560","Oh, what, then? What?"
59,"00:03:46,600","00:03:48,600",You need...
60,"00:03:48,640","00:03:50,880",..the Piper.
61,"00:04:00,760","00:04:02,360",That's not the Pied Piper!
62,"00:04:02,400","00:04:06,080","Hm! Not the real one, anyway."
63,"00:04:07,840","00:04:11,880","Your saviour has arrived.
Come on, pony up!"
64,"00:04:17,280","00:04:20,640","Oh, it's working!"
65,"00:04:20,680","00:04:22,920",Yes!
66,"00:04:22,960","00:04:24,800",They're leaving! They're leaving!
67,"00:04:42,520","00:04:45,800",Whoaaa!
68,"00:04:45,840","00:04:47,680",Ahhh...
69,"00:04:50,960","00:04:54,520",Yay! No more rats!
70,"00:04:54,560","00:04:57,080",No more rats! Whoo!
71,"00:04:57,120","00:05:01,040",Hey! Where did the talking cat go?
72,"00:05:09,000","00:05:12,320",Whose brilliant idea was the cliff?
73,"00:05:12,360","00:05:15,840","The swimming
and the water - pfft! - up my nose?"
74,"00:05:15,880","00:05:17,760",Sorry! Sorry!
75,"00:05:17,800","00:05:20,640",That was me! Whoa!
76,"00:05:20,680","00:05:25,000","The idea just kind of hit me
and I ran with it!"
77,"00:05:27,080","00:05:29,240","Ah, that was fun!"
78,"00:05:29,280","00:05:33,480","Let's do it again!
Ooh! It did provide dramatic flair!"
79,"00:05:33,520","00:05:36,760",A climactic end to the affair!
80,"00:05:36,800","00:05:40,120",Yo! Who thinks Keith here
81,"00:05:40,160","00:05:42,040","needs to go for a little swim
himself?"
82,"00:05:42,080","00:05:45,920",All in favour? Aye!
83,"00:05:45,960","00:05:48,240","Well, that went well!"
84,"00:05:48,280","00:05:51,080",Says the cat who's perfectly dry.
85,"00:05:51,120","00:05:53,520",But look! Cash! Money!
86,"00:05:53,560","00:05:55,320",Ahem-hem!
87,"00:05:55,360","00:05:58,400",That sound always spells trouble.
88,"00:05:58,440","00:06:00,800",Ahem! Morris...
89,"00:06:00,840","00:06:04,200","Peaches, Peaches... How many times?
It's ""Maurice""!"
90,"00:06:04,240","00:06:06,080","""Mauriiice."""
91,"00:06:06,120","00:06:08,200","All right, fine, out with it."
92,"00:06:08,240","00:06:12,840","Well, Morris, Dangerous Beans thinks
we shouldn't live by trickery."
93,"00:06:12,880","00:06:15,520","Oh?
Is that what Dangerous Beans thinks?"
94,"00:06:15,560","00:06:17,000","You know, some think"
95,"00:06:17,040","00:06:21,040","there's a good deal too much thinking
going on, and I think I agree."
96,"00:06:21,080","00:06:22,880",Peaches is right.
97,"00:06:25,560","00:06:28,880","With our newfound intelligence
comes a conscience."
98,"00:06:28,920","00:06:33,000","We must ask,
""Is it right to trick people?"""
99,"00:06:33,040","00:06:37,080","But trickery is what humans
are all about!"
100,"00:06:37,120","00:06:38,880","They're so keen on tricking
each other,"
101,"00:06:38,920","00:06:41,280","they elect governments
to do it for them!"
102,"00:06:41,320","00:06:46,120","But does it feel right?
Ahem! What Dangerous Beans means is,"
103,"00:06:46,160","00:06:49,040","""Do we really need
to keep doing THIS?"""
104,"00:06:49,080","00:06:51,880","""Doing this""? Well, of course, no!"
105,"00:06:51,920","00:06:55,480","In fact, I don't have to be here
at all! I'm a cat, right?"
