line,start_time,end_time,text
1,"00:01:13,382","00:01:17,035","The entire world
is a collection of memoranda"
2,"00:01:17,078","00:01:20,948","that she did exist,
and that I have lost her."
3,"00:01:20,991","00:01:23,251","Whatever our souls
are made of,"
4,"00:01:23,295","00:01:25,774",hers and mine are the same.
5,"00:01:26,208","00:01:29,121","A rather pretentious way
to open our story..."
6,"00:01:29,164","00:01:31,643","but I've always
had a flair for the dramatic."
7,"00:01:31,687","00:01:34,556","You see, this isour story..."
8,"00:01:34,600","00:01:36,469",Tessa's and mine.
9,"00:01:36,512","00:01:38,295","It's a story
you've heard before,"
10,"00:01:38,338","00:01:41,164","passed down from the Greeks,
through Shakespeare,"
11,"00:01:41,208","00:01:43,817","the Brontes, Jane Austen."
12,"00:01:44,382","00:01:47,861","It's the story of a young girl
exploring her independence,"
13,"00:01:47,904","00:01:50,817","free from the bonds
of her oppressive parent..."
14,"00:01:50,861","00:01:54,600","and promised to a boy
she clearly does not love."
15,"00:01:54,643","00:01:56,904","She meets a dashingly
handsome young man"
16,"00:01:56,948","00:01:59,251",who sweeps her off her feet...
17,"00:01:59,295","00:02:03,164","even though he represents
everything she detests."
18,"00:02:03,208","00:02:05,251","She falls for him,"
19,"00:02:05,295","00:02:07,512","gives herself to him,"
20,"00:02:07,556","00:02:10,251","and is ultimately
betrayed by him"
21,"00:02:10,295","00:02:12,425",and left shattered.
22,"00:02:13,251","00:02:17,208","Only it is he who is
destroyed by his deceit."
23,"00:02:17,817","00:02:20,121","When it feels as though
all is lost,"
24,"00:02:20,164","00:02:24,469","the two reunite
and live happily ever after."
25,"00:02:24,512","00:02:28,600","Like I've said,
a story you've heard before."
26,"00:02:28,643","00:02:30,774",Only difference is...
27,"00:02:31,078","00:02:33,251",this isn't that story.
28,"00:03:21,817","00:03:24,164",Hey. Can I ask you a question?
29,"00:03:24,208","00:03:26,556","- Piss off.
- I'm looking for someone."
30,"00:03:26,600","00:03:28,295",Piss off!
31,"00:03:46,078","00:03:49,774","Whoo! Sure don't seem
like Christmas out here,"
32,"00:03:49,817","00:03:51,948","all this heat
we've been havin'."
33,"00:03:51,991","00:03:54,512","Ya know, I hate the heat."
34,"00:03:54,556","00:03:57,469","Heat make people
do some crazy things."
35,"00:03:57,512","00:03:59,730",Hoo!
36,"00:04:11,295","00:04:13,425",Thank... Thank you!
37,"00:04:13,774","00:04:15,904",Sorry.
38,"00:04:18,948","00:04:21,425","Excuse me! Sir, can you
hold that elevator, please!"
39,"00:04:21,469","00:04:23,600",Asswipe!
40,"00:04:27,904","00:04:30,164",Thank you.
41,"00:04:31,121","00:04:33,382","Did you call me
an asswipe?"
42,"00:04:33,425","00:04:35,164",Excuse me?
43,"00:04:35,208","00:04:38,078","You just called me
an asswipe."
44,"00:04:38,121","00:04:40,208","Um, no. I didn't."
45,"00:04:40,991","00:04:43,600","Yeah, I guess
I just imagined it."
46,"00:04:43,643","00:04:45,730",Guess so.
47,"00:04:46,164","00:04:49,121","Ya know,
I was trying to hold the elevator for you."
48,"00:04:49,164","00:04:51,295",Sure you were.
49,"00:04:53,904","00:04:56,121","Look, I'm sorry.
It's my first day."
50,"00:04:56,164","00:04:58,121","I'm just trying
to make an impression."
51,"00:04:58,164","00:05:01,861","Well, you certainly
succeeded at that."
52,"00:05:03,600","00:05:05,687",Asswipe.
53,"00:05:12,295","00:05:13,512","No, no, no, no..."
54,"00:05:13,556","00:05:15,208","- You work here?
- Surprise."
55,"00:05:15,251","00:05:16,469",Tessa!
56,"00:05:16,512","00:05:18,164","Welcome to
Vance Publishing."
57,"00:05:18,208","00:05:19,730","Hi. Kimberly, right?"
58,"00:05:19,774","00:05:21,512",Excellent memory.I'm impressed.
59,"00:05:21,556","00:05:23,078","Yes, she makes
quite the impression."
60,"00:05:23,121","00:05:23,991",You two know each other?
61,"00:05:24,035","00:05:26,425",Uh... we're old friends.
62,"00:05:26,469","00:05:28,730","Now, if you ladies
will excuse me?"
63,"00:05:28,774","00:05:30,512",- Are you excited to get going?- Yeah.
64,"00:05:30,556","00:05:32,817",Let's introduce youto the boss.
65,"00:05:32,861","00:05:36,164","Shut the fuck up
and listen to me!"
66,"00:05:36,208","00:05:38,817","This might not be the
best time for introductions."
67,"00:05:38,861","00:05:42,121","Why don't I
show you your office?"
68,"00:05:42,164","00:05:44,035",Trevor!
69,"00:05:44,078","00:05:46,208",On it.
70,"00:05:50,556","00:05:52,338",I apologize for the mess.
71,"00:05:52,382","00:05:53,904","We've been short on interns lately,"
72,"00:05:53,948","00:05:55,512",and we're a bit back logged.
73,"00:05:55,556","00:05:57,078",That seems crazy to me.
74,"00:05:57,121","00:05:59,251","People I know would kill
for an internship here."
75,"00:05:59,295","00:06:00,687","I know, it's just that Vance"
76,"00:06:00,730","00:06:02,774",has this small problem with
77,"00:06:02,817","00:06:04,295",firing them after a day.
78,"00:06:04,338","00:06:05,643","But that's not
going to happen to you."
79,"00:06:05,687","00:06:07,600",I have a good feeling about this.
80,"00:06:07,643","00:06:09,904","But like I said
during the interview,"
81,"00:06:09,948","00:06:11,687","your job is to read five
manuscripts a week,"
82,"00:06:11,730","00:06:14,121","and if you like them,
just forward them on to me."
83,"00:06:14,164","00:06:16,382","- Okay.
- The kitchen is right down the hall."
84,"00:06:16,425","00:06:18,600","Feel free to place
any order for lunch."
85,"00:06:18,643","00:06:20,948","- Any questions?
- Uh, no. I'm good."
86,"00:06:20,991","00:06:23,251",You got this.
87,"00:07:19,164","00:07:21,425",Mmm.
88,"00:07:22,251","00:07:24,338",Mr. Vance!
89,"00:07:25,078","00:07:27,121","Um... Um, I'm so sorry."
90,"00:07:27,164","00:07:28,643",I must have dozed off.
91,"00:07:28,687","00:07:30,948","-What time is it?
-9:25."
92,"00:07:32,774","00:07:34,904",9:25?
93,"00:07:34,948","00:07:37,078","- Am I fired?
- Sit down."
94,"00:07:37,774","00:07:39,948","You mean to tell me
you read three books"
95,"00:07:39,991","00:07:42,164","and did coverage
on all of them last night,"
