line,start_time,end_time,text
1,"00:01:40,726","00:01:42,770",Stop the music!
2,"00:01:51,737","00:01:53,113",What was that?
3,"00:01:55,115","00:01:57,034","Glissade assemblé, sissonne..."
4,"00:01:58,369","00:02:01,205",You are a dancer...
5,"00:02:01,288","00:02:03,582","- not a horse.
- I'm sorry."
6,"00:02:03,666","00:02:04,917",I don't speak French.
7,"00:02:05,000","00:02:06,502",I took Spanish
8,"00:02:06,585","00:02:08,337","'cause my dad said
it would be more useful,"
9,"00:02:08,420","00:02:10,422","but honestly,
French would be really useful..."
10,"00:02:10,506","00:02:12,550","- Why are you here?
- Um..."
11,"00:02:12,633","00:02:14,385","I've placed first
in every competition"
12,"00:02:14,468","00:02:16,512","in the States
for the past two years."
13,"00:02:16,595","00:02:18,597","A-All my teachers
recommended that I..."
14,"00:02:18,681","00:02:21,392","Mademoiselle Sanders,
as a scholarship recipient,"
15,"00:02:21,475","00:02:24,353",I expect a real answer.
16,"00:02:24,436","00:02:26,313",I'll ask you one more time.
17,"00:02:27,565","00:02:30,025",Why have you come here?
18,"00:02:38,784","00:02:40,536",I'm here to win the prize.
19,"00:03:10,274","00:03:11,901",Marine!
20,"00:03:13,193","00:03:14,570",Marine!
21,"00:03:20,951","00:03:24,288","I told you, you're not allowed
to touch anything in this room."
22,"00:03:25,873","00:03:28,459","You said you wanted to win
the prize for Ollie."
23,"00:03:28,542","00:03:30,002",I do.
24,"00:03:30,085","00:03:31,879","Then what are you still
doing here?"
25,"00:03:53,400","00:03:56,570","Training will be
rigorous and begins before dawn."
26,"00:03:58,030","00:03:59,615","The lowest-ranked rats
may be sent home"
27,"00:03:59,698","00:04:01,450","at the discretion
of Madame Brunelle."
28,"00:04:02,451","00:04:03,661",Five girls and five boys
29,"00:04:03,744","00:04:06,288","will be dancing
in the final presentation."
30,"00:04:06,372","00:04:08,791","And from this,
only one girl and one boy"
31,"00:04:08,874","00:04:11,251",will be awarded the prize:
32,"00:04:11,335","00:04:15,047","a contract to join the company
of the Paris Opera Ballet."
33,"00:04:23,681","00:04:25,224",Who is she?
34,"00:04:25,307","00:04:28,852","Apparently she only started
dancing five years ago."
35,"00:04:28,936","00:04:30,479","Before that she
played basketball."
36,"00:04:32,064","00:04:33,357","- Basketball?
- Oui."
