line,start_time,end_time,text
1,"00:02:06,294","00:02:08,713","Boys, let's do this!"
2,"00:02:14,802","00:02:16,721",Gray?
3,"00:02:16,929","00:02:18,889","Honey, what are you doing?"
4,"00:02:19,056","00:02:20,558","What is this?
Here. Let's go."
5,"00:02:20,725","00:02:22,643","Come on, honey.
Your flight's in two hours."
6,"00:02:22,852","00:02:26,063","Dane County Airport is 36
minutes away, 60 with traffic."
7,"00:02:26,188","00:02:28,858","How many minutes to get
your little butt in the van?"
8,"00:02:28,941","00:02:29,942",Hmm?
9,"00:02:30,818","00:02:32,069",How many of those?
10,"00:02:32,945","00:02:35,072","- Feed the monster under your bed?
- Yes."
11,"00:02:37,992","00:02:39,994","Call me every day,"
12,"00:02:40,077","00:02:42,830","and text me pics, so I don't
forget what you look like."
13,"00:02:42,955","00:02:44,123",I'm only gonna be gone a week.
14,"00:02:44,206","00:02:45,249",Zach.
15,"00:02:46,250","00:02:48,753",You're not going off to war here. Please.
16,"00:02:48,878","00:02:50,171",Come on.
17,"00:02:50,254","00:02:53,090","- I will see you later.
- I love you."
18,"00:02:53,257","00:02:54,258",VÃ¡monos.
19,"00:02:54,342","00:02:56,260","- Bye, okay?
- Bye."
20,"00:02:56,385","00:02:58,512","Are you in, buddy?"
21,"00:03:02,266","00:03:03,601","I know it hurts, sweetheart."
22,"00:03:03,726","00:03:05,061",Are you gonna be okay?
23,"00:03:11,025","00:03:12,109",Everything right on there?
24,"00:03:12,902","00:03:14,445",I'm so jealous.
25,"00:03:14,528","00:03:17,239","You're gonna have so much fun.
I love you."
26,"00:03:17,323","00:03:18,908","I love you, too."
27,"00:03:25,831","00:03:27,541","Okay, great."
28,"00:03:27,625","00:03:30,544","All right, um, let's give these
to your brother, okay?"
29,"00:03:31,253","00:03:33,422","- You hold these, please. Can you hold these?
- Zach."
30,"00:03:33,506","00:03:35,174","Honey, I need you to take care of these."
31,"00:03:35,299","00:03:36,092",Yeah.
32,"00:03:36,175","00:03:37,176","- Hey.
- All right."
33,"00:03:37,301","00:03:38,469",Listen to your mother.
34,"00:03:38,594","00:03:41,097","Take care of your brother.
Answer your phone."
35,"00:03:41,222","00:03:42,890","I'm serious.
It's the green button."
36,"00:03:42,973","00:03:44,975","When you see my name, push it, okay?"
37,"00:03:45,059","00:03:46,143","And remember,"
38,"00:03:46,268","00:03:49,021","something chases you, run."
39,"00:03:50,106","00:03:51,190",Come on.
40,"00:03:51,315","00:03:53,067","- All right.
- You're funny. Okay, let's go. Come on."
41,"00:03:53,150","00:03:54,735","- Bye, guys.
- Bye."
42,"00:03:54,819","00:03:56,570","- I miss you already.
- Yeah."
43,"00:03:58,781","00:04:01,367",So much for our last family breakfast.
44,"00:04:02,368","00:04:04,662",Why do you have to say things like that?
45,"00:04:06,205","00:04:08,082",Did you call your sister?
46,"00:04:08,165","00:04:10,167",Straight to voicemail.
47,"00:04:10,292","00:04:13,462","It'll be fine. She handles
20,000 people a day, right?"
48,"00:04:14,588","00:04:16,465",She can handle two more.
49,"00:04:20,469","00:04:21,971",How big is the island?
50,"00:04:22,054","00:04:23,764",Big.
51,"00:04:23,848","00:04:25,349",But how many pounds?
52,"00:04:25,433","00:04:26,809",That doesn't make sense.
53,"00:04:30,271","00:04:32,940","When they first opened,
they had eight species."
54,"00:04:33,065","00:04:35,943","Now they have 14 herbivores
and six carnivores."
55,"00:04:36,026","00:04:37,820",That's 50 tons of food a week.
56,"00:04:57,465","00:05:01,010","Welcome to Isla Nublar,
home of Jurassic World."
57,"00:05:01,218","00:05:04,013","We hope you have a safe
and enjoyable stay with us."
58,"00:05:07,099","00:05:08,893",Where's Aunt Claire?
59,"00:05:30,956","00:05:33,334","Okay. Those of you
in the front of the train"
60,"00:05:33,417","00:05:35,586",should be able to see our main gates.
61,"00:05:48,390","00:05:49,850",Please obey all park rules.
62,"00:05:49,934","00:05:53,729","Proper attire, including shoes and shirts,
must be worn at all times."
63,"00:05:53,812","00:05:57,608","Your aunt arranged to greet you at 1:00.
Can he slow down?"
64,"00:05:57,691","00:05:58,734",Nope.
65,"00:05:58,817","00:06:00,444",Come on!
66,"00:06:06,492","00:06:08,494","Your aunt's got you VIP access,"
67,"00:06:08,702","00:06:10,955","so you can get in all the rides
without waiting in line."
68,"00:06:11,121","00:06:12,164",Let's go.
69,"00:06:12,248","00:06:13,249","Dude, she said we had to wait."
70,"00:06:13,332","00:06:15,251",I don't wanna wait anymore.
71,"00:06:44,321","00:06:47,700","Hal Osterly, vice president.
Jim Drucker, bad hair."
72,"00:06:48,158","00:06:50,202","Erica Brand, deserves better."
73,"00:06:50,327","00:06:52,997","Hal, Jim, Erica.
Hal, Jim, Erica."
74,"00:06:53,080","00:06:55,541",And I am Claire.
75,"00:06:55,666","00:06:57,251",Three minutes late.
76,"00:07:00,879","00:07:03,173",Welcome to Jurassic World.
77,"00:07:04,508","00:07:07,011","While year over year,
revenue continues to climb,"
78,"00:07:07,094","00:07:09,305",operating costs are higher than ever.
79,"00:07:09,388","00:07:13,100","Our shareholders have been patient,
but let's be honest,"
80,"00:07:13,183","00:07:16,270","no one is impressed
by a dinosaur anymore."
81,"00:07:16,353","00:07:19,481","Twenty years ago, de-extinction
was right up there with magic."
82,"00:07:19,565","00:07:21,275","These days, kids look at a Stegosaurus"
83,"00:07:21,358","00:07:23,736",like an elephant from the city zoo.
84,"00:07:23,861","00:07:26,155","That doesn't mean asset
development is falling behind."
85,"00:07:26,739","00:07:30,618","Our DNA excavators discover
new species every year."
