line,start_time,end_time,text
1,"00:01:03,938","00:01:05,647","All right,
think good thoughts."
2,"00:01:05,732","00:01:07,357","Then on three,
let the good thought go."
3,"00:01:08,026","00:01:09,026",Yeah. That's good.
4,"00:01:09,110","00:01:10,110","I think that's pretty, right?"
5,"00:01:10,278","00:01:12,446","That's gonna be a good luck
charm for us today, right?"
6,"00:01:12,614","00:01:14,239","Okay, Meg,
important question."
7,"00:01:14,407","00:01:15,824",Van Halen or Bono? Bono?
8,"00:01:15,992","00:01:17,326","- That one.
- That's what I thought."
9,"00:01:17,410","00:01:19,703",That's my girl.
10,"00:01:20,330","00:01:22,998","Oh, yeah! Stick your
tongue out, come on."
11,"00:01:23,083","00:01:25,125",Ah!
12,"00:01:25,251","00:01:27,461","You got your frequency,
you got your voltage, okay?"
13,"00:01:27,629","00:01:29,463","They're like a salt silica,
right? You don't wanna eat it."
14,"00:01:29,631","00:01:31,381","- Just go crazy with it.
- Yeah."
15,"00:01:31,716","00:01:33,258","this little gizmo
right here,"
16,"00:01:33,343","00:01:34,593","and we're gonna
choose a frequency."
17,"00:01:34,761","00:01:35,928","We're gonna choose
the frequency."
18,"00:01:36,012","00:01:37,137","You would intently
watch this plate."
19,"00:01:37,597","00:01:38,806","Let's see what happens
to the sand."
20,"00:01:38,973","00:01:40,474","Because very interesting,
magical things"
21,"00:01:40,558","00:01:41,850",- will happen to the sand.
22,"00:01:46,523","00:01:47,815",So...
23,"00:01:50,235","00:01:51,944","are you ready to meet
your new brother?"
24,"00:01:52,654","00:01:54,196","Do you think
we'll like each other,"
25,"00:01:54,280","00:01:56,657","like real brothers
and sisters?"
26,"00:01:57,367","00:01:59,201","I think we'll all
love each other."
27,"00:02:01,162","00:02:04,206","Out of this wide,
wide universe..."
28,"00:02:04,791","00:02:06,750",this huge universe...
29,"00:02:07,836","00:02:09,628",with all these brothers
30,"00:02:09,712","00:02:12,798","and sisters and moms
and dads..."
31,"00:02:15,176","00:02:16,760",he found us.
32,"00:02:17,554","00:02:19,888",And we found each other.
33,"00:02:20,056","00:02:21,181",That's pretty rare.
34,"00:02:21,349","00:02:22,516",That's pretty cool.
35,"00:02:24,102","00:02:26,019","Okay, so..."
36,"00:02:26,187","00:02:29,356",This is our love.
37,"00:02:35,196","00:02:36,238",Don't worry.
38,"00:02:36,406","00:02:37,656",It's not gone.
39,"00:02:37,824","00:02:40,576","It's just...
It's just enfolded."
40,"00:02:41,286","00:02:42,995",Love is always there.
41,"00:02:43,163","00:02:45,038",Even if you don't feel it...
42,"00:02:47,125","00:02:49,585",it's always there for you.
43,"00:03:31,169","00:03:32,586",Not gone...
44,"00:03:40,345","00:03:41,929",just enfolded.
45,"00:04:00,490","00:04:01,490",Hey.
46,"00:04:02,033","00:04:03,033","Hi, Meg."
47,"00:04:03,701","00:04:05,410",Let's be exclusive.
48,"00:04:06,871","00:04:07,871",What?
49,"00:04:08,039","00:04:11,333","That's my new word
for the day. Exclusive."
50,"00:04:11,501","00:04:12,501",Do you like it?
51,"00:04:14,462","00:04:16,088","Love it, Biscuits."
52,"00:04:20,426","00:04:22,052",Couldn't sleep either?
53,"00:04:23,471","00:04:25,639","Why didn't you just come up
to my room?"
54,"00:04:26,349","00:04:28,267","'Cause I knew
you'd be down."
55,"00:04:33,147","00:04:35,857",Hey. You made sandwiches.
56,"00:04:36,025","00:04:37,609",And I'm cooking milk.
57,"00:04:38,778","00:04:41,405","This is a lot of milk,
Charles Wallace."
58,"00:04:41,572","00:04:43,532",It's good to be prepared.
59,"00:04:43,700","00:04:46,118","You never know
who will stop by."
60,"00:04:47,370","00:04:48,870",And I'm Michele Norris.
61,"00:04:49,038","00:04:51,456","Tomorrow marks
the four-year anniversary..."
62,"00:04:51,624","00:04:55,460","of the disappearance of NASA
scientist Dr. Alex Murry."
63,"00:04:55,628","00:04:56,837",Dr. Murry went missing
64,"00:04:56,921","00:04:57,921","just a week
after publicly announcing..."
65,"00:04:58,089","00:04:59,256","They're talking
about Daddy."
66,"00:04:59,424","00:05:01,717","he could travel
the universe with his mind."
67,"00:05:01,884","00:05:04,469","91
billion light-years traveled,"
68,"00:05:04,554","00:05:05,637",like that.
69,"00:05:05,805","00:05:08,265","Authorities
note there are still"
70,"00:05:08,349","00:05:10,475",no leads in the case.
71,"00:05:19,944","00:05:21,570","Everybody say,
""Hi, Meg. """
72,"00:05:21,738","00:05:23,280","Hi, Meg."
73,"00:05:27,368","00:05:28,410","Hi, Meg."
74,"00:06:11,287","00:06:12,412","I mean, he's been gone"
75,"00:06:12,497","00:06:14,081",four years to the day.
76,"00:06:14,248","00:06:16,124","He's probably just pretending
to be in outer space..."
77,"00:06:16,292","00:06:18,251","but he's really
hiding out in Tijuana."
78,"00:06:18,419","00:06:20,212","I bet
it involves another woman."
79,"00:06:20,380","00:06:21,630","Either that
or a Martian."
80,"00:06:21,798","00:06:24,216","Seriously though,
something so horrible"
81,"00:06:24,300","00:06:25,384","had to have happened
to him."
82,"00:06:25,551","00:06:26,885","To leave his kids
like that?"
83,"00:06:27,053","00:06:29,179","And just after
they adopted Charles Wallace."
84,"00:06:29,722","00:06:31,223",They seemed so happy.
85,"00:06:31,391","00:06:34,518","And Meg used to be so engaged,
and now she is a mess."
86,"00:06:34,685","00:06:36,061",But the boy is brilliant.
87,"00:06:36,229","00:06:38,605","- Absolutely brilliant. Oh.
- But odd, so odd!"
88,"00:06:38,689","00:06:39,689","I guess
I would be too"
89,"00:06:39,774","00:06:40,774",if my dad ran away?
90,"00:06:41,234","00:06:43,193","Shame on you
for talking like that!"
91,"00:06:44,237","00:06:45,779","Oh.
My dear, I'm sorry..."
92,"00:06:45,863","00:06:46,863","And I'm not odd, you are..."
93,"00:06:47,031","00:06:49,324","because you think making up
mean stories about people..."
94,"00:06:49,492","00:06:50,867","makes you feel better
about yourselves."
95,"00:06:51,035","00:06:52,577","Well, it doesn't,
does it?"
96,"00:06:52,745","00:06:54,663","Charles Wallace, we don't
talk to teachers like that!"
97,"00:06:54,831","00:06:56,039",And Meg might be a mess...
98,"00:06:56,207","00:06:57,749","but she has
more potential in her pinky..."
99,"00:06:57,917","00:06:59,584","than you do
in your whole body!"
100,"00:07:00,378","00:07:02,629","Did you hear that, Meg? Meg!"
101,"00:07:02,797","00:07:06,425","Over here. Did you hear that?
Meg! You may be a mess..."
102,"00:07:06,592","00:07:08,927","but you have more potential
than anybody here!"
103,"00:07:10,054","00:07:11,638","Oh, no, no, no."
104,"00:07:11,806","00:07:12,806",Mommy was awkward
105,"00:07:12,890","00:07:14,099","and funny-looking
at your age, too!"
106,"00:07:14,559","00:07:17,602","And look at her now.
She's beautiful!"
107,"00:07:21,232","00:07:24,276","So, looks like crazy
runs in the family."
108,"00:07:27,447","00:07:28,655",What did you just say?
109,"00:07:30,241","00:07:31,950",I see why your dad left.
110,"00:07:34,745","00:07:36,830","Who does she even think
that she's talking to?"
111,"00:07:36,998","00:07:38,165","Hey, Veronica."
112,"00:07:53,639","00:07:55,599","You're next, Charles Wallace."
113,"00:08:02,273","00:08:05,817","Veronica Kiley's
parents are on their way here."
114,"00:08:05,985","00:08:08,320","They're worried for
their daughter's safety."
115,"00:08:08,488","00:08:10,280",Their daughter is mean.
116,"00:08:12,450","00:08:14,201",You hit her in the face.
117,"00:08:26,339","00:08:27,672",You...
