line,start_time,end_time,text
1,"00:01:18,788","00:01:22,250",Where are you? Come out!
2,"00:01:22,333","00:01:24,419",Come out!
3,"00:01:25,295","00:01:27,255",Come on out.
4,"00:01:28,673","00:01:32,343",I'm coming to get you.
5,"00:01:33,636","00:01:36,681","Where are you, you little rascal?
I'm coming to get you."
6,"00:01:38,766","00:01:41,477",Where is my little birthday girl?
7,"00:01:42,687","00:01:45,648","I'm going to gobble her
up when I find her."
8,"00:01:47,567","00:01:49,527",I'm going to eat you. I am.
9,"00:01:52,363","00:01:54,949","Fergus, no weapons on the table."
10,"00:01:55,033","00:01:57,327","Can I shoot an arrow? Can I?
Can I? Can I? Can I?"
11,"00:01:57,410","00:01:59,704",Please? Can I?
12,"00:01:59,787","00:02:02,790",Not with that. Why not
13,"00:02:02,874","00:02:04,208",use your very own?
14,"00:02:05,293","00:02:07,628","Happy birthday, my wee darling!"
15,"00:02:11,466","00:02:13,509","Now, there's a good girl."
16,"00:02:13,593","00:02:16,179","Draw all the way back now to your cheek.
That's right."
17,"00:02:17,472","00:02:19,474",Keep both eyes open.
18,"00:02:20,141","00:02:22,310","And, loose!"
19,"00:02:24,395","00:02:26,731","- I missed
- Go and fetch it, then."
20,"00:02:28,900","00:02:32,028","A bow, Fergus? She's a lady."
21,"00:02:32,945","00:02:33,988",You!
22,"00:03:11,401","00:03:12,443",A will-o'- the-wisp.
23,"00:03:20,743","00:03:22,870",They are real.
24,"00:03:30,545","00:03:33,339","Merida, come along, sweetheart."
25,"00:03:33,506","00:03:35,675","- We're leaving now.
- I saw a wisp."
26,"00:03:37,677","00:03:39,762","- I saw a wisp.
- A wisp?"
27,"00:03:39,846","00:03:45,184","You know, some say that will-o'- the-wisps
lead you to your fate."
28,"00:03:45,268","00:03:47,728",Aye. Or an arrow.
29,"00:03:47,812","00:03:50,815","Come on, let's be off before
we see a dancing Tatty Bogle."
30,"00:03:51,274","00:03:53,317","Or a giant having a
jigger in the bluebells."
31,"00:03:53,401","00:03:55,278",Your father doesn't believe in magic.
32,"00:03:55,361","00:03:57,822","Well, he should. Because it's true."
33,"00:04:00,825","00:04:02,535","Mor'du! Elinor, run!"
34,"00:04:03,119","00:04:04,829",Sire!
35,"00:04:13,254","00:04:14,338","Come on, you!"
36,"00:04:27,852","00:04:30,980","Some say our destiny
is tied to the land"
37,"00:04:32,023","00:04:34,567",as much a pan' of us as we are of it.
38,"00:04:37,862","00:04:41,699","Others say fate is woven
together like a cloth."
39,"00:04:43,201","00:04:46,537","So that one's destiny
intertwines with many others."
40,"00:04:50,750","00:04:55,546","It's the one thing we search
for or fight to change."
41,"00:04:57,048","00:04:59,133",Some never find it.
42,"00:05:01,594","00:05:04,722",But there are some who are led.
43,"00:05:10,394","00:05:12,480",The story of how my father lost his leg
44,"00:05:13,564","00:05:14,899","to the demon bear
Mor'du became legend."
45,"00:05:18,236","00:05:20,821","I became a sister to
three new brothers."
46,"00:05:20,905","00:05:24,158","The princes. Hamish,
Hubert and Harris."
47,"00:05:24,575","00:05:26,953","Wee devils, more like."
48,"00:05:27,036","00:05:28,538",They get away with murder.
49,"00:05:29,664","00:05:31,916",I can never get away with anything.
50,"00:05:33,793","00:05:35,795",I'm the princess.
51,"00:05:37,547","00:05:39,549",I'm the example.
52,"00:05:41,425","00:05:44,595","I've got duties,
responsibilities, expectations."
53,"00:05:44,679","00:05:46,472","My whole life is planned out,"
54,"00:05:46,556","00:05:47,890",preparing for the day I become...
55,"00:05:48,432","00:05:50,017","Well, my mother."
56,"00:05:50,101","00:05:53,437","She's in charge of every
single day of my life."
57,"00:05:56,107","00:05:59,860","""Aye, Robin, Jolly Robin, and
thou shalt know of mine. """
58,"00:05:59,944","00:06:01,112",Project!
59,"00:06:01,195","00:06:03,406","""And thou shalt know of mine!"""
60,"00:06:03,489","00:06:06,492","Enunciate. You must be understood
from anywhere in the room,"
61,"00:06:06,659","00:06:08,286",or it's all for naught.
62,"00:06:08,452","00:06:11,289","- This is all for naught.
- I heard that!"
63,"00:06:11,372","00:06:12,498",From the top.
64,"00:06:12,582","00:06:15,710","A princess must be knowledgeable
about her kingdom."
65,"00:06:17,128","00:06:19,171",She does not doodle.
66,"00:06:21,799","00:06:23,801","That's a C, dear."
67,"00:06:29,974","00:06:32,476",A princess does not chortle.
68,"00:06:33,144","00:06:34,645",Does not stuff her gob!
69,"00:06:34,729","00:06:36,397",Rises early.
70,"00:06:36,480","00:06:38,232",...Is compassionate...
71,"00:06:38,316","00:06:39,859","...patient, cautious,"
72,"00:06:39,942","00:06:40,901",clean.
73,"00:06:40,985","00:06:47,992","And above all, a princess strives for...
Well, perfection."
74,"00:06:49,368","00:06:51,162","But every once in a while,"
75,"00:06:51,829","00:06:56,417","there's a day when I don't
have to be a princess."
76,"00:06:58,336","00:07:01,047","No lessons, no expectations."
77,"00:07:01,172","00:07:03,507",A day where anything can happen.
78,"00:07:05,092","00:07:08,095",A day I can change my fate.
79,"00:09:10,217","00:09:13,512","I'm starving. You hungry too, Angus?"
80,"00:09:15,055","00:09:17,016","Oats it is, then."
81,"00:09:19,226","00:09:20,895","Good day, Princess."
82,"00:09:20,978","00:09:22,855","I cannot find the salt.
Where did you put it?"
83,"00:09:22,938","00:09:25,191","It was over there a minute ago,
the last time I looked at it."
84,"00:09:25,941","00:09:30,905","And then, out of nowhere, the
biggest bear you've ever seen!"
85,"00:09:30,988","00:09:33,949","His hide littered with the
weapons of fallen warriors."
86,"00:09:34,033","00:09:37,661",His face scarred with one dead eye.
87,"00:09:38,621","00:09:40,206",I drew my sword and...
88,"00:09:41,332","00:09:44,084","One swipe, his sword shattered."
89,"00:09:44,168","00:09:47,296","Then ""chomp""! Dad's leg was clean off."
90,"00:09:47,671","00:09:49,965",Down the monster's throat it went.
91,"00:09:50,049","00:09:52,968",That's my favorite part.
92,"00:09:53,052","00:09:56,722","Mor'du has never been seen since,"
93,"00:09:56,806","00:10:01,977","and is roaming the wilds
waiting his chance of revenge."
94,"00:10:03,270","00:10:04,522",Let him return.
95,"00:10:04,605","00:10:06,315","I'll finish what I guddled
in the first place."
96,"00:10:06,732","00:10:10,444","Merida, a princess does not
place her weapons on the table."
97,"00:10:10,528","00:10:13,781",Mum! It's just my bow.
98,"00:10:13,864","00:10:16,826","A princess should not have
weapons in my opinion."
99,"00:10:16,909","00:10:18,369",Leave her be.
100,"00:10:18,536","00:10:21,205","Princess or not, learning
to fight is essential."
101,"00:10:21,539","00:10:24,083","Mum? You'll never guess
what I did today."
102,"00:10:24,458","00:10:26,460","I climbed the Crone's Tooth,"
103,"00:10:26,544","00:10:27,878",and drank from the Fire Falls.
104,"00:10:28,420","00:10:29,797",Fire Falls?
105,"00:10:29,880","00:10:33,676","They say only the ancient kings were
brave enough to drink the fire."
106,"00:10:34,802","00:10:37,805","- What did you do, dear?
- Nothing, Mum."
107,"00:10:37,888","00:10:39,139","Hungry, aren't we?"
108,"00:10:39,223","00:10:41,600","- Mum!
- You'll get dreadful collywobbles."
109,"00:10:41,684","00:10:44,687","Oh, Fergus, will you look
at your daughter's plate?"
110,"00:10:45,354","00:10:46,689",So what?
111,"00:10:46,772","00:10:49,316","- You great...
- Don't let them lick..."
112,"00:10:49,400","00:10:50,651","Boys, you're naughty."
113,"00:10:50,734","00:10:52,820",Don't just play with your haggis.
114,"00:10:53,821","00:10:55,823","How do you know you don't like it,"
115,"00:10:55,906","00:10:57,992",if you won't try it?
116,"00:10:58,075","00:10:59,910",That's just a wee sheep's stomach.
117,"00:11:00,160","00:11:01,704",It's delicious.
118,"00:11:02,580","00:11:04,915","- My lady.
- Thank you, Maudie."
119,"00:11:05,082","00:11:06,250","You're getting too big, the two of you."
120,"00:11:12,339","00:11:14,675","From the Lords Macintosh,
MacGuffin and Dingwall."
121,"00:11:14,758","00:11:16,135","Their responses, no doubt."
122,"00:11:16,218","00:11:17,720","Aye, aye!"
123,"00:11:17,803","00:11:19,805","Hey, hey!"
124,"00:11:20,681","00:11:23,350","Stay out of my food,
you greedy mongrels."
125,"00:11:24,018","00:11:26,145","Chew on that, you manky dogs!"
126,"00:11:27,229","00:11:28,397",Fergus?
127,"00:11:30,566","00:11:32,109",They've all accepted.
128,"00:11:34,653","00:11:36,989","Who's accepted what, Mother?"
129,"00:11:37,072","00:11:39,283","Boys, you are excused."
130,"00:11:43,787","00:11:45,164",Hey!
131,"00:11:45,998","00:11:49,001",What did I do now?
132,"00:11:49,084","00:11:51,420","Your father has something
to discuss with you."
133,"00:11:53,797","00:11:54,882",Fergus?
134,"00:12:01,889","00:12:03,390",Merida.
135,"00:12:06,310","00:12:11,065","The lords are presenting their sons
as suitors for your betrothal."
136,"00:12:11,148","00:12:13,984","- What?
- The clans have accepted."
