line,start_time,end_time,text
1,"00:00:17,931","00:00:22,931","Subtitles by explosiveskull
Resync by GoldenBeard"
2,"00:00:47,582","00:00:49,582",Budapest.
3,"00:00:49,584","00:00:51,918",The next stop's Budapest.
4,"00:00:51,920","00:00:53,920",Budapest is the next stop.
5,"00:00:53,922","00:00:55,921",Budapest.
6,"00:00:55,923","00:00:57,624","Tickets, ladies."
7,"00:00:57,626","00:00:59,493","Oop, here you go."
8,"00:00:59,495","00:01:01,027","- Here's mine.
- And mine."
9,"00:01:01,029","00:01:03,189","- Mine, too!
- Here you go!"
10,"00:01:05,034","00:01:08,335","Thank you, young man."
11,"00:01:08,337","00:01:10,070","Man, I hate wearing disguises."
12,"00:01:10,072","00:01:12,705",These heels are killing me.
13,"00:01:12,707","00:01:14,041","Okay, take it down a notch."
14,"00:01:14,043","00:01:15,675","We don't want to alarm
the humans."
15,"00:01:16,978","00:01:19,413",Psst. Drac.
16,"00:01:19,415","00:01:21,881",I'm about to und freak out!
17,"00:01:21,883","00:01:23,719",You're a nice kitty.
18,"00:01:24,752","00:01:26,353",I'm und kitty-cat.
19,"00:01:26,355","00:01:28,291",Meow. Meow!
20,"00:01:35,029","00:01:37,530","Oh, no,
not this clown again."
21,"00:01:37,532","00:01:39,933","Good evening, travelers."
22,"00:01:39,935","00:01:43,502","I am Professor
Abraham Van Helsing."
23,"00:01:43,504","00:01:46,672",Yes. One of the Van Helsings.
24,"00:01:46,674","00:01:50,077","For centuries, my family
has protected humanity"
25,"00:01:50,079","00:01:52,645",from the evils of monsters.
26,"00:01:52,647","00:01:54,914","So you can believe me
when I tell you,"
27,"00:01:54,916","00:01:57,684","there are monsters
hiding amongst you!"
28,"00:01:58,986","00:02:00,720","But fear not,"
29,"00:02:00,722","00:02:04,558","for I am a professional,
and I know how to flush out"
30,"00:02:04,560","00:02:08,562","these beasts
and bring them into the light!"
31,"00:02:08,564","00:02:10,063",Fire bad!
32,"00:02:35,823","00:02:37,025",Whoa!
33,"00:02:42,797","00:02:43,930","Sorry, guys."
34,"00:02:55,476","00:02:58,044","Finally! First I kill Dracula,"
35,"00:02:58,046","00:03:01,046","and then
the rest of the monsters!"
36,"00:03:01,048","00:03:02,883",Why do you keep doing this?
37,"00:03:02,885","00:03:05,819","Your dad, your grandfather,
your great-great-granny..."
38,"00:03:05,821","00:03:07,788",I defeated them all.
39,"00:03:07,790","00:03:11,457","When will you Van Helsings ever
learn to let go of the hate?"
40,"00:03:11,459","00:03:15,161","Never! Because you,
monster, are a..."
41,"00:03:15,163","00:03:16,997","Eh, squeak, squeak."
42,"00:03:16,999","00:03:18,532",What? A mouse?
43,"00:03:18,534","00:03:20,833",Ahhh!
44,"00:03:20,835","00:03:24,104","You can't run from me,
Prince of Darkness!"
45,"00:03:24,106","00:03:26,907","I will hunt you
for all eternity!"
46,"00:03:29,077","00:03:33,747","I swear I will never rest until
I destroy you..."
47,"00:03:33,749","00:03:34,848",And...
48,"00:03:34,850","00:03:36,049",Every...
49,"00:03:36,051","00:03:37,217",Other...
50,"00:03:37,219","00:03:38,652",Monster... Ow!
51,"00:03:38,654","00:03:40,219",If it's the last thing...
52,"00:03:40,221","00:03:41,555",I...
53,"00:03:41,557","00:03:42,556",Ever...
54,"00:03:42,558","00:03:43,859",Do!
55,"00:03:47,696","00:03:49,862","Boy, that guy is annoying."
56,"00:03:49,864","00:03:51,964","Maybe one day
there will be a place"
57,"00:03:51,966","00:03:54,767","where monsters can go
to get away from it all,"
58,"00:03:54,769","00:03:56,169",take a vacation.
59,"00:03:56,171","00:03:58,904","Who knows,
maybe even get married."
60,"00:03:58,906","00:04:00,542",Wouldn't that be something?
61,"00:04:36,979","00:04:38,848",Hmm?
62,"00:04:45,586","00:04:47,086",It's okay.
63,"00:04:47,088","00:04:49,189","Oh, when is
this thing starting?"
64,"00:04:49,191","00:04:51,658","Aw, you made them cry,
Wayne."
65,"00:04:51,660","00:04:54,227","All except this little one.
Coochie-coochie..."
66,"00:04:54,229","00:04:56,263","That's Sunny.
She doesn't cry."
67,"00:04:57,698","00:04:59,533",She bites.
68,"00:04:59,535","00:05:02,102","This is a very special moment, Carl."
69,"00:05:02,104","00:05:07,510","Any second, your beautiful bride is
going to walk right down the aisle."
70,"00:05:09,143","00:05:11,310","Oh, no, Drac,
she's not coming."
71,"00:05:11,312","00:05:13,079","Oh, don't worry."
72,"00:05:13,081","00:05:17,751","Mavis is with her. I'm sure
everything is under control."
73,"00:05:17,753","00:05:20,287","Mavey, is everything
under control?"
74,"00:05:20,289","00:05:23,055","Um, yep, just a slight case
of pre-wedding jitters."
75,"00:05:26,761","00:05:27,762",Ahhh!
76,"00:05:34,001","00:05:35,735","Yep, everything is
fine here."
77,"00:05:37,105","00:05:38,939","Please try to relax, Lucy."
78,"00:05:38,941","00:05:40,840","I've taken care
of everything."
79,"00:05:40,842","00:05:43,776","The wedding
is going to be perfect."
80,"00:05:43,778","00:05:45,177",It's not that.
81,"00:05:45,179","00:05:48,280","Just, how do I know
I'm doing the right thing?"
82,"00:05:50,919","00:05:53,119",I know just how you feel.
83,"00:05:53,121","00:05:56,322","The day I married Johnny was
the best day of my life,"
84,"00:05:56,324","00:05:58,124",but I was so nervous.
85,"00:05:58,126","00:06:00,026","Not as nervous
as I was."
86,"00:06:00,028","00:06:02,829","And you should have seen my dad.
He was a mess."
87,"00:06:02,831","00:06:05,665","I wouldn't get out
of my coffin that night."
88,"00:06:05,667","00:06:07,667","But he knew
it was meant to be."
89,"00:06:07,669","00:06:09,802","It doesn't matter
where you come from"
90,"00:06:09,804","00:06:11,370","or how different
you are."
91,"00:06:11,372","00:06:14,006","A Zing only happens
once in your life,"
92,"00:06:14,008","00:06:15,641","and you have to
cherish it."
93,"00:06:17,278","00:06:19,980",Aw.
94,"00:06:19,982","00:06:22,047",You're right! Thank you!
95,"00:06:22,049","00:06:24,184","Okay.
All right. Okay."
96,"00:06:24,186","00:06:26,088",Oh. Uh... Okay.
97,"00:06:29,357","00:06:30,790",I do.
98,"00:06:32,960","00:06:33,960",I do.
99,"00:06:39,934","00:06:41,401",Do you hear that?
100,"00:06:41,403","00:06:42,869","Yes. I thought we
locked him in his room."
101,"00:06:42,871","00:06:44,037",We did!
102,"00:06:44,039","00:06:46,206",Whoa! Whoa!
103,"00:06:46,208","00:06:47,807","Hi, Mom. Hi, Papa."
104,"00:06:47,809","00:06:49,108","- Dennis!
- Dennis!"
105,"00:06:49,110","00:06:51,011","Tinkles was crying,
so we let him out."
106,"00:06:55,816","00:06:56,886",Ahhh!
107,"00:07:00,287","00:07:02,157","Tinkles, sit!"
108,"00:07:09,398","00:07:12,232","Ah. Whose idea was it
to let Dennis have a puppy?"
109,"00:07:12,234","00:07:15,134",Um... Yours?
110,"00:07:16,371","00:07:17,673",Right.
111,"00:07:18,306","00:07:20,072",Poor Tinkles.
112,"00:07:20,074","00:07:22,141",Dennis...
