line,start_time,end_time,text
1,"00:00:47,250","00:00:50,416",The Blue Angel Creed!
2,"00:00:50,500","00:00:52,208","As a Blue Angel,"
3,"00:00:52,291","00:00:57,208","I will dedicate all my efforts to pride,
professionalism and perfection."
4,"00:00:57,291","00:01:02,083","I will strive to honor the crest I earned
and the flag I wear,"
5,"00:01:02,166","00:01:05,458",but I will never forget from where I came.
6,"00:01:05,541","00:01:08,708","Once a Blue Angel, always a Blue Angel."
7,"00:01:49,375","00:01:52,059","\an8First day
that I drove up to the hangar"
8,"00:01:52,083","00:01:54,250","\an8in El Centro and,"
9,"00:01:54,333","00:01:55,933","\an8you know, saw my name on a parking sign,"
10,"00:01:55,958","00:01:58,708","\an8saw my name on the door,
saw my name on the side of a jet already,"
11,"00:01:58,791","00:02:01,583","\an8and it was like, ""Man, this is...
this is real."""
12,"00:02:10,125","00:02:12,017","I have
the blessing, the privilege,"
13,"00:02:12,041","00:02:13,250",the honor to be
14,"00:02:13,333","00:02:17,041","boss of the Blue Angels right now,
and I've been so for a couple years."
15,"00:02:18,291","00:02:20,708",But this is my last year.
16,"00:02:22,250","00:02:24,250","Had a chance to be part
of seven deployments,"
17,"00:02:24,333","00:02:27,101","served in a lot of different conflicts
around the world throughout the years."
18,"00:02:27,125","00:02:30,541","And... and naval aviation was a home
and was something that"
19,"00:02:30,625","00:02:31,916",I feel like I was meant to do.
20,"00:02:36,041","00:02:38,875","It was something that
I wanted to do since I was a kid."
21,"00:02:38,958","00:02:42,208","Something that I never thought
was actually gonna happen."
22,"00:02:44,333","00:02:47,041","Every year, about a third
of the entire squadron"
23,"00:02:47,125","00:02:48,833",rotates back to the fleet.
24,"00:02:48,916","00:02:51,916","The challenge for every boss
is to get the newbies,"
25,"00:02:52,000","00:02:54,958","their replacements,
up to speed for the coming season"
26,"00:02:55,041","00:02:57,708","and integrated into
the Blue Angel way of life."
27,"00:02:59,583","00:03:01,684","All these thoughts
were going through my mind, like,"
28,"00:03:01,708","00:03:04,458","""Oh, man, you know,
it's just... I don't..."
29,"00:03:04,541","00:03:07,208","I don't know what I'm doing.
Do I even belong here?"""
30,"00:03:08,625","00:03:11,541","But this is it. This is who I am
for the next two years,"
31,"00:03:11,625","00:03:14,541",and this is my job for the next two years.
32,"00:03:14,625","00:03:16,916",I am now a Blue Angel.
33,"00:04:54,208","00:04:56,125","All right, welcome back, everybody. Evan."
34,"00:04:56,208","00:04:57,726","Yes, Boss, we'll debrief
our practice over El Centro."
35,"00:04:57,750","00:04:59,101","- Fired up, ready to go.
- All right."
36,"00:04:59,125","00:05:02,125","I'll take a safety for rolling up
to low brake cross at 450."
37,"00:05:03,958","00:05:05,642","Pay Doc ten dollars
for a zipper and a collar."
38,"00:05:05,666","00:05:06,892",I'll fix it all. I'm glad to be here.
39,"00:05:06,916","00:05:08,316","- Cheese.
- Yes, sir, Boss."
40,"00:05:08,375","00:05:13,000","I'll have it for safety, though,
but underline deep sag on the fan rollout."
41,"00:05:13,083","00:05:16,208","Naval aviation is something
I fully dedicate myself,"
42,"00:05:16,291","00:05:17,875",and I can look back in 20 years
43,"00:05:17,958","00:05:21,791","and say I gave every fiber of my being
to getting better at it."
44,"00:05:21,875","00:05:23,458","But you come to the Blue Angels,"
45,"00:05:23,541","00:05:25,500","and that really happens
in that first season"
46,"00:05:25,583","00:05:28,291","where you're trying
to figure this thing out."
47,"00:05:28,375","00:05:29,958",That can be scary.
48,"00:05:30,041","00:05:31,721","I'll fix it all.
I'm glad to be here, Boss."
49,"00:05:31,791","00:05:32,934","- All right, Whiskers.
- Yes, sir, Boss,"
50,"00:05:32,958","00:05:34,934","I'll take safeties for being 296 knots
out of the PUB."
51,"00:05:34,958","00:05:37,041",Pay Doc five dollars for pregame jitters.
52,"00:05:37,125","00:05:38,767","I'll fix it all. I'm glad to be here,
Boss."
53,"00:05:38,791","00:05:40,142","- Day taps, Boss.
- Good jet."
54,"00:05:40,166","00:05:42,875",Good jet.
55,"00:05:42,958","00:05:44,708","All right, roll it!"
56,"00:05:44,791","00:05:47,833","There's a crucible
you have to go through together."
57,"00:05:54,208","00:05:58,500","It has to be six pilots
totally synced up, flying as one."
58,"00:05:58,583","00:06:00,500",Go! Let's go!
59,"00:06:00,583","00:06:03,303","You are clear
to taxi via runway two-four-A."
60,"00:06:05,875","00:06:07,875",How's it going?
61,"00:06:11,083","00:06:15,083","And it can be frustrating at times
to train brand-new guys from the fleet."
62,"00:06:19,375","00:06:22,833","One of the first things we go out and do
is just do basic turns."
63,"00:06:22,916","00:06:24,916","We turn left, we turn right."
64,"00:06:25,000","00:06:27,166","Three, two, nine, seven, four..."
65,"00:06:28,958","00:06:31,208","And just do that
over and over again,"
66,"00:06:31,291","00:06:35,166","because if you don't have the right
foundation, it's just not gonna work."
67,"00:06:45,291","00:06:46,583",Rip it.
68,"00:06:51,166","00:06:52,926","As the boss,
you're the flight leader."
69,"00:06:53,000","00:06:54,083",You're the conductor.
70,"00:06:54,166","00:06:55,966","You're the lead goose
in the formation, right?"
71,"00:06:59,041","00:07:00,541",Ready? Hit it.
72,"00:07:03,125","00:07:05,625",These jets are max performing.
73,"00:07:08,583","00:07:13,416","At low altitudes, at high air speeds,
in close proximity to other aircraft."
74,"00:07:13,500","00:07:16,166","I have to be steady at the helm,
as they say."
75,"00:07:16,250","00:07:18,791",Ease in the power.
76,"00:07:22,625","00:07:25,500",Chomps flies in the four position.
77,"00:07:25,583","00:07:30,166","He's back there watching
and making sure that we're good."
78,"00:07:30,250","00:07:32,970","The number four
pilot for the Blue Angels."
79,"00:07:33,041","00:07:35,166",\an8It's the best seat in the house.
80,"00:07:36,166","00:07:38,101","\an8You can see everything.
You can see what Boss is doing."
81,"00:07:38,125","00:07:39,958","You can see what
all the wingmen are doing."
82,"00:07:42,625","00:07:44,625","And you're kind of
the airborne safety observer"
83,"00:07:44,708","00:07:46,958","because you have
that best seat in the house."
84,"00:07:48,916","00:07:50,291",Yes.
85,"00:07:50,375","00:07:52,125","\an8As the flight surgeon on the team,"
86,"00:07:52,208","00:07:55,833","\an8you're also the lead
ground safety officer."
87,"00:07:55,916","00:07:57,708","- Okay, rolling.
- Okay, rolling."
88,"00:07:57,791","00:08:03,291","I study the demo
inside and out for every position."
89,"00:08:04,375","00:08:08,875","I know where they should be at all times:
their altitude, their air speeds."
90,"00:08:11,125","00:08:15,250","With two brand-new pilots
on the team this year,"
91,"00:08:15,333","00:08:18,875",I am constantly watching them.
92,"00:08:23,250","00:08:25,892","Chewy, you kind of start a little flat,
and you're trying to hold it in there,"
93,"00:08:25,916","00:08:27,625",and Jamammy actually goes deep.
94,"00:08:27,708","00:08:29,583",Is that kind of what you're seeing?
95,"00:08:29,666","00:08:32,541","Cheese and I
are 100% the newbies."
96,"00:08:32,625","00:08:34,250","Steep learning curve, for sure."
97,"00:08:34,333","00:08:36,250",Just feel deflated
98,"00:08:36,333","00:08:37,726",and like you're the worst pilot ever.
99,"00:08:37,750","00:08:39,041",How did I get here?
100,"00:08:39,125","00:08:40,708",It just rippled through the formation.
101,"00:08:40,791","00:08:43,708","So, like, Jamammy was first,
I was second, then Cheese was third,"
102,"00:08:43,791","00:08:47,250","and just, like, the whole formation
shifted, then had to shift back into set."
103,"00:08:48,416","00:08:52,000","So, this year, we've had
a new two pilot, a new three pilot,"
104,"00:08:52,083","00:08:53,791","I'm filling a new role as the slot pilot,"
105,"00:08:53,875","00:08:56,458","a new six pilot in the demo,"
106,"00:08:56,541","00:08:59,875","and then our number five pilot,
he was out half the year last year,"
107,"00:08:59,958","00:09:01,791","not flying in the demo,
so we're getting him"
108,"00:09:01,875","00:09:03,875",learning how to fly in formation again.
109,"00:09:05,500","00:09:10,083","We're bringing five new people
into this formation and making one demo."
110,"00:09:15,791","00:09:17,333",Good work. See you in a little bit.
111,"00:09:17,416","00:09:19,708","- Yeah.
- Whoo!"
112,"00:09:23,375","00:09:26,208","It's one team, six jets."
113,"00:09:26,291","00:09:28,833","\an8We all do something
a little bit different."
114,"00:09:28,916","00:09:30,708","\an8We'll start the show with four jets,"
115,"00:09:30,791","00:09:32,875",\an8the Diamond takeoff maneuver.
116,"00:09:35,541","00:09:38,875","\an8And then you'll have the two
solo individual takeoff maneuvers."
117,"00:09:49,583","00:09:54,166","Generally, our maneuvers alternate
between Diamond and solos."
118,"00:09:55,666","00:09:59,458","And by the end of the show, we'll get
the Delta together, all six jets."
119,"00:10:01,416","00:10:05,333","\an8The Delta Formation is the signature
formation of the Blue Angels."
120,"00:10:09,458","00:10:11,392","Early on in winter training,
both Chomps and I"
121,"00:10:11,416","00:10:14,958","are heads on a swivel, making sure
our new guys are learning that"
122,"00:10:15,041","00:10:17,250","we've got enough space
to get out of the way."
123,"00:10:20,375","00:10:22,125",Cheese is a guy who's an aggressive guy.
124,"00:10:22,208","00:10:24,434","If you're riding a horse,
you got to pull back on the reins."
125,"00:10:24,458","00:10:27,166","He's a little more pull-back-on-the-reins
type of guy."
126,"00:10:29,666","00:10:31,642","We had to use a term called
""knock it off"" a couple times,"
127,"00:10:31,666","00:10:33,583",meaning we're stopping right now.
128,"00:10:33,666","00:10:35,875","Cheese was bringing in
a whole bag of knots."
129,"00:10:35,958","00:10:38,291",Coming in way too hot.
130,"00:10:38,375","00:10:40,916","I'm looking over my shoulder going,
""This ain't gonna work."""
131,"00:10:44,458","00:10:46,833","Three spot's
incredibly challenging."
132,"00:10:46,916","00:10:50,000","A big departure from what you do
in terms of fleet flying."
133,"00:10:50,083","00:10:53,291","You're also on kind of
the more difficult side of the formation."
134,"00:10:53,375","00:10:56,291","We're all very used to looking left
when we fly,"
135,"00:10:56,375","00:10:58,791","which is what Cheese gets to do
in the two spot."
136,"00:10:58,875","00:11:01,476","On the left side, in that three spot,
you're looking right the whole time."
137,"00:11:01,500","00:11:04,250","All your controls are
right in front of you or to the left."
138,"00:11:05,333","00:11:08,333","And it's just sort of
an unnatural position to be in."
139,"00:11:11,958","00:11:16,458","The very first time the Diamond
was practicing the Vertical Break..."
140,"00:11:19,166","00:11:21,333",...Jamammy went the wrong way.
141,"00:11:30,916","00:11:33,750","You think to yourself,
okay, as a safety officer,"
142,"00:11:33,833","00:11:35,458",is he safe? Number one.
143,"00:11:35,541","00:11:39,375","Two, do I speak up and get in his cockpit,
or do I stay silent right now"
144,"00:11:39,458","00:11:41,583",and watch what he does to recover?
145,"00:11:46,875","00:11:49,708","You have to make that decision,
and I decided:"
146,"00:11:49,791","00:11:51,666",Remain quiet. This is his first time.
147,"00:11:51,750","00:11:53,125",He looks safe.
148,"00:11:53,208","00:11:55,500","He may be going
the wrong direction."
149,"00:11:55,583","00:11:58,583","It's not funny, but it doesn't look like
he's gonna hit anybody else."
150,"00:12:00,250","00:12:02,250",Kind of scared us.
151,"00:12:02,333","00:12:05,791","It was like, how is he gonna
respond to this, right?"
152,"00:12:05,875","00:12:09,541","Did he rattle himself to the point
where he's not able to compartmentalize,"
153,"00:12:09,625","00:12:11,041",put that one in the past?
154,"00:12:16,083","00:12:18,916","Two flat on the in.
Little mismatch, break the seal."
155,"00:12:19,000","00:12:22,208","Apex ten left, two wide
and five tight in the up."
156,"00:12:22,291","00:12:24,208",Vertical up was three left.
157,"00:12:24,291","00:12:27,958","It's an incredible amount of stress
going in on the newbies."
158,"00:12:28,958","00:12:31,791","You're constantly being told
what you did wrong."
159,"00:12:31,875","00:12:34,000","So, Cheese, we actually overbanked,
it looked like."
160,"00:12:34,083","00:12:35,434",Did you feel good about that one today?
161,"00:12:35,458","00:12:36,767","Cheese, see how tight you look there?"
162,"00:12:36,791","00:12:38,726","- And, Cheese, you just drifted forward again.
- Yep."
163,"00:12:38,750","00:12:40,708","All of us are way fast,
and we're all idle/boards"
164,"00:12:40,791","00:12:43,625","trying to control everything
in close here."
165,"00:12:43,708","00:12:47,375","Everyone comes into this team
a relatively accomplished pilot, thinking,"
166,"00:12:47,458","00:12:49,250","""I feel comfortable flying an F-18,"
167,"00:12:49,333","00:12:52,041","I feel... I feel pretty good
about my abilities as a pilot,"""
168,"00:12:52,125","00:12:55,333","but this place is the...
it's the great equalizer."
169,"00:12:57,958","00:12:59,750",Time away from family is...
170,"00:12:59,833","00:13:02,916","is the most difficult part
of being on this team."
171,"00:13:03,000","00:13:06,291","Work in El Centro
for three months in a cocoon."
172,"00:13:06,375","00:13:08,791","Which we need to be...
you need that kind of safe place"
173,"00:13:08,875","00:13:12,166","to get it to a point where
we can take it on the road."
174,"00:13:13,333","00:13:15,750",But it's just such a grind.
175,"00:13:15,833","00:13:18,291",It's monotonous. It's Groundhog Day.
176,"00:13:18,375","00:13:21,583","You're waking up in the desert
every day in the dark,"
177,"00:13:21,666","00:13:24,208",going to work in the dark.
178,"00:13:25,291","00:13:28,041",Flying two or three times every day.
179,"00:13:29,958","00:13:31,958","Going home in the dark,"
180,"00:13:32,041","00:13:35,083","and then you're studying
for your flight the next day."
181,"00:13:37,208","00:13:39,750","I'm not the most
academically sound person,"
182,"00:13:39,833","00:13:41,833",and it's a struggle.
183,"00:13:43,208","00:13:46,041","So, flying two to three times a day,
that's what you need."
184,"00:13:46,125","00:13:48,375",I absolutely needed it.
185,"00:13:50,708","00:13:52,500",This is how I typically do it.
186,"00:13:52,583","00:13:54,166","Bring it inboard a little bit,"
187,"00:13:54,250","00:13:56,666","and I'll extend a little bit here,
and then that'll make"
188,"00:13:56,750","00:13:58,666","the arc feel more normal
as we come in here."
189,"00:13:58,750","00:14:00,291","- Yes, sir, Boss.
- Questions?"
190,"00:14:00,375","00:14:01,684","- None.
- All right, fired up, ready to go."
191,"00:14:01,708","00:14:03,541","Fired up, ready to go, Boss."
192,"00:14:05,458","00:14:10,083","We're all responsible for our lives
with... in no uncertain terms."
193,"00:14:10,166","00:14:12,625","Everybody's lives are in
each other's hands,"
194,"00:14:12,708","00:14:16,541","that they're not going to do something
that we don't expect."
195,"00:14:19,500","00:14:21,583",It's an unforgiving business.
196,"00:14:21,666","00:14:23,666",Rip it.
197,"00:14:32,416","00:14:33,833",Great job today.
198,"00:14:33,916","00:14:36,101","Thanks, Boss. It was amazing.
See you back at the ranch."
199,"00:14:36,125","00:14:37,445","You got it, Mo."
200,"00:14:41,583","00:14:44,000","You walk down the halls
in El Centro, and you see"
201,"00:14:44,083","00:14:47,166","all the faces that have made up
the past of this organization."
202,"00:14:47,250","00:14:49,375","Legendary figures who you hear about,"
203,"00:14:49,458","00:14:51,250","you hear whispers about
throughout the fleet."
204,"00:14:52,458","00:14:54,298","Boss Wooldridge...
he's one of the first people"
205,"00:14:54,375","00:14:55,958",I met after I made the team.
206,"00:14:57,375","00:14:59,375",He's a legend.
207,"00:14:59,458","00:15:01,351","One of
the unique things about him is"
208,"00:15:01,375","00:15:02,541",he got called back
