line,start_time,end_time,text
1,"00:01:07,120","00:01:08,440","Jules Verne once wrote,"
2,"00:01:09,040","00:01:11,999","""Put two ships in the open sea"
3,"00:01:12,160","00:01:14,550","without wind or tide,
they will come together."""
4,"00:01:37,200","00:01:41,274","That's how my parents met.
Like two ships destined for each other."
5,"00:01:45,640","00:01:48,039","We are something
else. Try Arthur Treacher..."
6,"00:01:55,280","00:01:56,280",It's okay.
7,"00:02:04,560","00:02:08,719",Easy. You weren't breathing.
8,"00:02:22,280","00:02:24,351","They were
from different worlds."
9,"00:02:26,080","00:02:30,313","But life, like the sea,
has a way of bringing people together."
10,"00:03:13,600","00:03:14,600",Uh...
11,"00:03:16,360","00:03:17,794",I was gonna make you some eggs.
12,"00:03:20,240","00:03:21,560","Just don't eat my dog, okay?"
13,"00:03:25,240","00:03:26,310",It's okay.
14,"00:03:26,680","00:03:28,080",I made tea.
15,"00:03:33,040","00:03:34,440","Go on, try it."
16,"00:03:34,680","00:03:35,750",It'll make you better.
17,"00:03:56,920","00:03:58,832","So, uh, who are you?"
18,"00:04:03,120","00:04:04,520",Atlanna.
19,"00:04:06,520","00:04:08,159",Queen of Atlantis.
20,"00:04:09,840","00:04:10,840",Wow.
21,"00:04:12,000","00:04:16,677",I'm Tom. Keeper of lighthouse.
22,"00:04:48,080","00:04:50,239","She had fled
an arranged marriage."
23,"00:04:50,240","00:04:52,199",Left her whole world behind.
24,"00:04:52,200","00:04:56,558","But in my father's lighthouse,
she found something unexpected."
25,"00:04:59,600","00:05:03,310","And my father
found the love of his life."
26,"00:05:08,120","00:05:09,799",Category 4 Hurricane Arthur
27,"00:05:09,800","00:05:12,315","is due to make landfall
sometime after 2:00 P.M."
28,"00:05:12,440","00:05:14,591",How about Arthur?
29,"00:05:15,360","00:05:16,794",After the hurricane?
30,"00:05:16,960","00:05:20,954","After a legend.
He's a king, isn't he?"
31,"00:05:21,560","00:05:24,439",He's more than that.
32,"00:05:24,560","00:05:27,314","He's living proof
our people can coexist."
33,"00:05:28,160","00:05:30,755",He could unite our worlds one day.
34,"00:05:38,120","00:05:42,751","And the trident could only
be wielded by the strongest Atlantean."
35,"00:05:43,200","00:05:48,070","And it gave King Atlan mastery
over the seven seas."
36,"00:05:48,640","00:05:52,759","It made him so powerful that
the ocean itself became jealous"
37,"00:05:52,880","00:05:56,556","and sent a terrible earthquake
to destroy Atlantis."
38,"00:05:57,280","00:05:59,556","Down it fell,
to the bottom of the ocean."
39,"00:05:59,720","00:06:04,112","But, legend has it
that one day a new king will come"
40,"00:06:04,280","00:06:06,639","who will use the
power of the trident"
41,"00:06:06,640","00:06:09,519",to put Atlantis back together again.
42,"00:06:15,880","00:06:17,553",Take him!
43,"00:06:36,160","00:06:37,435","Queen Atlanna,"
44,"00:06:37,600","00:06:42,277","by the authority of King Orvax,
you are ordered to return to Atlantis."
45,"00:06:42,640","00:06:43,710",Atlanna!
46,"00:06:46,760","00:06:48,831",But Atlantis' memory is long...
47,"00:06:51,120","00:06:53,351",And its king refused to let her go.
48,"00:07:06,360","00:07:08,033","- Atlanna!
- Tom!"
49,"00:07:08,440","00:07:10,318","My weapon!
Here!"
50,"00:07:37,120","00:07:39,874","Their two worlds
were never meant to meet,"
51,"00:07:40,040","00:07:43,112","and I was a product of a love
that never should've been."
52,"00:07:43,240","00:07:45,072","You don't have to do this, Atlanna.
Please."
53,"00:07:45,240","00:07:48,597",No. They will always find me.
54,"00:07:49,440","00:07:50,874","Next time, they'll send an army."
55,"00:07:53,240","00:07:57,519","I have to go back.
It is the only way to save him."
56,"00:08:00,840","00:08:02,513",Save you.
57,"00:08:07,200","00:08:09,032",Where I come from...
58,"00:08:10,840","00:08:13,560",The sea carries our tears away.
59,"00:08:16,240","00:08:17,240",Not here.
60,"00:08:18,680","00:08:20,239",Here you feel them.
61,"00:08:28,360","00:08:32,513","I will return to you.
When it's safe."
62,"00:08:33,360","00:08:34,396",One day.
63,"00:08:34,520","00:08:37,433","Right here, at sunrise."
64,"00:08:40,360","00:08:41,794",We'll be together again.
65,"00:08:43,880","00:08:46,236","You stay strong, my little prince."
66,"00:08:46,720","00:08:48,712",I'll always be with you.
67,"00:08:57,320","00:09:00,313",Don't let him forget me. Hmm?
68,"00:09:25,360","00:09:30,071","All life came from the sea,
so if we want to understand ourselves,"
69,"00:09:30,200","00:09:31,953",we must journey to where we began.
70,"00:09:32,120","00:09:36,999","Now, today, we have better maps of Mars
than we do of our own sea floor."
71,"00:09:37,000","00:09:39,037","Come on, closer. Come on, fishy."
72,"00:09:39,160","00:09:41,072","Come on. Come over here.
Boys!"
73,"00:09:41,480","00:09:43,597",Stop that. Come on.
74,"00:09:43,840","00:09:45,832",Come along.
75,"00:09:46,040","00:09:49,158","Bye, fishy. Bye."
76,"00:09:49,960","00:09:52,680",My name's Arthur. What's yours?
77,"00:09:53,120","00:09:55,589","- You guys hungry? Me, too.
- Check it out."
78,"00:09:56,400","00:09:58,676",Arthur is talking to the fish.
79,"00:09:58,800","00:09:59,800","Such a freak, Arthur."
80,"00:09:59,960","00:10:03,112","Stop!
What are you gonna do about it, freak?"
81,"00:10:03,240","00:10:05,072",Stop it! Don't!
82,"00:10:05,200","00:10:06,429",Let me go!
83,"00:12:04,040","00:12:05,040",Who are you?
84,"00:12:05,200","00:12:06,873","Come on, let's go. Move it."
85,"00:12:07,000","00:12:08,957",Come on. Hurry up.
86,"00:12:18,360","00:12:19,919","Sir, we've secured the captain."
87,"00:12:20,040","00:12:21,235",Distress signal's disabled.
88,"00:12:21,360","00:12:23,477",We're running dark again.
89,"00:12:23,600","00:12:25,432","But they heard it.
You can count on it."
90,"00:12:26,120","00:12:29,750","I'll make you a deal.
I won't tell you how to captain..."
