line,start_time,end_time,text
1,"00:00:38,455","00:00:42,334","Before Rome, before Babylon,"
2,"00:00:42,417","00:00:45,170","before the pyramids,
there was kahndaq."
3,"00:00:52,594","00:00:54,805","The first self-governing people
on earth,"
4,"00:00:54,888","00:00:57,766","kahndaq was a center of power
and enlightenment."
5,"00:00:57,849","00:00:59,518","For centuries, they thrived."
6,"00:01:05,440","00:01:07,776",But then...
7,"00:01:11,363","00:01:12,447",Came king ahk-ton.
8,"00:01:14,241","00:01:17,953","Using the army to seize power,
ahk-ton became a tyrant."
9,"00:01:18,036","00:01:19,621","But he had
even darker ambitions."
10,"00:01:28,130","00:01:29,881","Obsessed with dark magic,"
11,"00:01:29,965","00:01:33,218","ahk-ton's real goal was
to forge the crown of sabbac."
12,"00:01:38,015","00:01:39,933","If infused with the powers
of the six demons"
13,"00:01:40,017","00:01:42,227",of the ancient world...
14,"00:01:42,311","00:01:45,188","It would make ahk-ton
invincible."
15,"00:01:45,272","00:01:47,190","To make the crown,
he needed eternium."
16,"00:01:47,274","00:01:48,942","A rare mineral
of magic properties,"
17,"00:01:49,026","00:01:51,403",found only in kahndaq.
18,"00:01:51,486","00:01:53,071",So he enslaved his own people
19,"00:01:55,032","00:01:56,783",and forced them to dig.
20,"00:02:09,713","00:02:11,173",Eternium.
21,"00:02:14,926","00:02:18,347",Eternium.
22,"00:02:27,898","00:02:29,649","Kahndaq was teetering
on the brink."
23,"00:02:31,318","00:02:32,944",What they needed...
24,"00:02:33,028","00:02:34,946",Get off him! Get off him!
25,"00:02:35,030","00:02:37,199",Get off him! Get off him!
26,"00:02:38,867","00:02:40,243",Was a hero.
27,"00:02:40,327","00:02:43,288",Why are we fighting each other?
28,"00:02:43,372","00:02:46,416","Remember who our real enemy is!
Come with me."
29,"00:02:48,668","00:02:50,170",Look! Eternium.
30,"00:02:52,130","00:02:53,130",Let me see that.
31,"00:02:58,303","00:03:01,181",The king thanks you.
32,"00:03:01,264","00:03:02,384",He's supposed to reward him.
33,"00:03:02,432","00:03:04,142",Is that right?
34,"00:03:04,226","00:03:05,477",I want what I'm owed.
35,"00:03:06,395","00:03:07,562",Hmm.
36,"00:03:11,024","00:03:12,567",You want a reward?
37,"00:03:16,196","00:03:17,823","The king thanks you
for your service."
38,"00:03:26,498","00:03:28,458","You want the king's reward, too?"
39,"00:03:30,168","00:03:33,046","No, but my son accepts
the king's mercy."
40,"00:03:39,136","00:03:42,389","I won't always be here
to protect you."
41,"00:03:42,472","00:03:45,183","I don't need protection.
I want to be free."
42,"00:03:45,267","00:03:48,103","If we fight together,
we could overthrow the king."
43,"00:03:48,186","00:03:49,563",Let someone else be the hero...
44,"00:03:49,646","00:03:51,815",The graveyards are full of them.
45,"00:03:51,898","00:03:54,526","Stop dreaming
and go back to work."
46,"00:03:59,614","00:04:01,741","Someone to hold
the hopes of the people."
47,"00:04:04,619","00:04:06,955",Even when all hope seems lost.
48,"00:04:08,290","00:04:11,376",If we had more heroes...
49,"00:04:11,460","00:04:14,129","Then maybe our freedom
wouldn't be a dream!"
50,"00:04:17,424","00:04:19,259",Freedom!
51,"00:04:41,948","00:04:43,700","King ahk-ton knew
that this spark"
52,"00:04:43,783","00:04:45,410",could quickly ignite a fire.
53,"00:04:45,494","00:04:48,121","And so, he ordered
that it be snuffed out."
54,"00:04:52,000","00:04:53,960","They thought they were
getting a martyr."
55,"00:04:55,795","00:04:57,297",Instead...
56,"00:04:57,380","00:04:59,180",They got a miracle.
57,"00:05:09,184","00:05:10,602","The council of wizards,"
58,"00:05:10,685","00:05:12,395","the magical guardians
of the earth..."
59,"00:05:12,479","00:05:14,648",You have been chosen.
60,"00:05:14,731","00:05:16,011",Sought to restore the balance.
61,"00:05:16,066","00:05:17,651",The stamina of shu!
62,"00:05:17,734","00:05:19,712","They empowered him with
the gifts of the ancient gods."
63,"00:05:19,736","00:05:20,612","- The swiftness of heru!
- The strength of amon!"
64,"00:05:20,695","00:05:21,988",And turned a boy...
65,"00:05:22,072","00:05:23,490",The wisdom of zehuti!
66,"00:05:23,573","00:05:24,449","- The power of aten!
- The courage of mehen!"
67,"00:05:24,533","00:05:25,200",Into a champion.
68,"00:05:25,283","00:05:26,283",Shazam!
69,"00:05:28,411","00:05:30,205","Hurry.
Give it to me!"
70,"00:05:30,288","00:05:31,933","But the crown had
already been completed."
71,"00:05:31,957","00:05:33,077",Give it to me!
72,"00:05:35,752","00:05:37,104","And when the champion
arrived at the palace"
73,"00:05:37,128","00:05:39,130",to challenge him...
74,"00:05:39,214","00:05:41,341","King ahk-ton summoned
its demonic power."
75,"00:05:46,137","00:05:49,766","In the ensuing battle,
the palace was destroyed,"
76,"00:05:49,849","00:05:52,602",but the champion was victorious.
77,"00:05:52,686","00:05:54,563","The wizards hid
the crown of sabbac"
78,"00:05:54,646","00:05:57,566","so that it would never again
fall into the hands of man."
79,"00:05:57,649","00:06:00,527","And the champion
was never heard from again."
80,"00:06:05,448","00:06:08,785","Today, kahndaq is occupied
by international mercenaries,"
81,"00:06:08,868","00:06:11,997","the intergang, the latest in
a series of foreign invaders."
82,"00:06:14,583","00:06:17,586","But legend says, whenever
kahndaq needs him most,"
83,"00:06:17,669","00:06:21,590","the champion will return to
restore freedom to the people."
84,"00:06:21,673","00:06:23,925","It has been a long, long wait."
85,"00:06:37,731","00:06:38,773",Show me your papers.
86,"00:06:43,194","00:06:44,779",Move it along!
87,"00:06:44,863","00:06:46,340",Have your documentation ready.
88,"00:06:48,908","00:06:50,744","It's all our
three documents, yeah?"
89,"00:06:50,827","00:06:52,078","Don't judge the picture,"
90,"00:06:52,162","00:06:53,802","it's after my girlfriend
broke up with me."
91,"00:06:58,668","00:07:02,130","Open the back.
Need a look inside."
92,"00:07:05,133","00:07:06,551","Yeah, it's unlocked, man."
93,"00:07:08,428","00:07:11,222","It's just a bunch of old tvs.
I'm an electrician."
94,"00:07:18,146","00:07:20,398",Hey!
95,"00:07:20,482","00:07:21,733",Watch where you're going.
96,"00:07:21,816","00:07:23,526","You know the drill,
back of the line."
97,"00:07:23,610","00:07:25,403","Come on, man,
you see me every day."
98,"00:07:25,487","00:07:27,131","And every day I tell ya,"
99,"00:07:27,155","00:07:28,948","if it's got wheels,
it's a vehicle."
100,"00:07:29,032","00:07:30,450","Back of the line, mate."
101,"00:07:30,533","00:07:31,618",You're not my mate.
102,"00:07:32,994","00:07:35,747","I'm heartbroken.
Now, go on, piss off."
103,"00:07:35,830","00:07:39,250","No, what you are
is a Neo-imperialist enforcer,"
104,"00:07:39,334","00:07:41,127","from halfway around the world,"
105,"00:07:41,211","00:07:43,672","sent here to steal
my country's natural resources,"
106,"00:07:43,755","00:07:46,174","strip-mine our sacred lands,
pollute our water,"
