line,start_time,end_time,text
1,"00:00:02,390","00:00:06,350",(suspenseful orchestral music)
2,"00:00:16,843","00:00:21,843",Subtitles by explosiveskull
3,"00:00:28,225","00:00:30,932",(fire crackling)
4,"00:00:37,140","00:00:39,765",Witch They're coming for me.
5,"00:00:47,182","00:00:49,057",I will never forget.
6,"00:00:53,307","00:00:55,765",I will never forgive.
7,"00:00:57,390","00:00:59,850",(screaming)
8,"00:01:06,475","00:01:08,850",I will live on.
9,"00:01:10,682","00:01:13,182",(low rumbling)
10,"00:01:16,975","00:01:19,515",(low thudding)
11,"00:01:21,807","00:01:25,432",(dramatic orchestral music)
12,"00:02:55,100","00:02:56,725","Come along, Chloe."
13,"00:02:59,265","00:03:01,348",We're almost there.
14,"00:03:01,350","00:03:02,973",I want to go home.
15,"00:03:02,975","00:03:04,098",We can't.
16,"00:03:04,100","00:03:04,932",Why?
17,"00:03:05,932","00:03:08,180",It isn't safe anymore.
18,"00:03:08,182","00:03:10,057",I want to go home.
19,"00:03:12,890","00:03:17,430","Be brave, Chloe, please."
20,"00:03:17,432","00:03:19,680",This is our new home.
21,"00:03:19,682","00:03:21,057","No, it's not."
22,"00:03:25,932","00:03:27,640",Arthur Mrs. Gray.
23,"00:03:33,100","00:03:34,513",You must be Arthur.
24,"00:03:34,515","00:03:37,055","Arthur It's good
to meet you, Mrs. Gray."
25,"00:03:37,057","00:03:38,475","Please, Adeline."
26,"00:03:40,515","00:03:43,348",Is everything all right?
27,"00:03:43,350","00:03:47,390","Hiding behind that tree
is my daughter, Chloe."
28,"00:03:49,557","00:03:52,973","She's not accustomed
to such change."
29,"00:03:52,975","00:03:55,305",She left so much behind.
30,"00:03:55,307","00:03:56,975",She's not alone.
31,"00:03:58,350","00:04:01,348","We just have to
keep moving forward."
32,"00:04:01,350","00:04:03,013",I'm so sorry we're late.
33,"00:04:03,015","00:04:04,305",Arthur Don't be.
34,"00:04:04,307","00:04:06,348","We don't claim to
be easy to find."
35,"00:04:06,350","00:04:08,348",Are we close to the house?
36,"00:04:08,350","00:04:09,430",Very.
37,"00:04:09,432","00:04:10,265",This way.
38,"00:04:15,140","00:04:17,056",Have you come far?
39,"00:04:17,058","00:04:18,263",Kent.
40,"00:04:18,265","00:04:20,847","Our street was bombed
three days ago."
41,"00:04:20,849","00:04:23,431","It's no place for a
child at the moment."
42,"00:04:23,433","00:04:26,348","Sounds like you were
lucky to get out alive."
43,"00:04:26,350","00:04:27,433",We were.
44,"00:04:28,350","00:04:29,806","Well, you'll be
as far out of sight"
45,"00:04:29,808","00:04:31,973",as it is possible to be here.
46,"00:04:31,975","00:04:33,681","You'll be staying at
the village's oldest"
47,"00:04:33,683","00:04:35,388",and most secluded building.
48,"00:04:35,390","00:04:37,723","There are even
some in the village"
