line,start_time,end_time,text
1,"00:00:26,988","00:00:29,507",Ta-da!
2,"00:00:29,575","00:00:31,054",Ta-da!
3,"00:00:31,151","00:00:32,310",Ta-da!
4,"00:00:32,335","00:00:33,962","Ta-da! Ta...
Ta-da!"
5,"00:00:34,476","00:00:35,547",Ta-da!
6,"00:00:36,120","00:00:36,958",Ta-da!
7,"00:01:51,785","00:01:54,531","Ах да, я выиграл!
Oh yes, I won!"
8,"00:01:57,671","00:01:59,428","замечательный!
Wonderful! Great!"
9,"00:02:00,343","00:02:01,463","я лучший
I'm the best."
10,"00:02:03,348","00:02:04,045","где деньги?
The money?"
11,"00:02:04,139","00:02:05,001","Юрий! Подо...
Yuri! Wait..."
12,"00:02:05,003","00:02:06,019","ты их спрятал!
You stole it!"
13,"00:02:06,255","00:02:07,359","они улетели
They are up!"
14,"00:03:15,133","00:03:18,239","Three weeks, and we're
still no closer to cracking this."
15,"00:03:19,024","00:03:19,880","Right,"
16,"00:03:20,669","00:03:21,542",bring him in!
17,"00:03:21,864","00:03:22,679","Yes, sir."
18,"00:03:46,805","00:03:49,149",This is the best party ever!
19,"00:04:17,693","00:04:18,680","Oh, no!"
20,"00:04:18,885","00:04:20,624",A dragon is approaching!
21,"00:04:25,758","00:04:26,720","Fear not,"
22,"00:04:26,856","00:04:29,564","for here come the gallant knights
to save us."
23,"00:04:48,002","00:04:50,688","No, no, no.
What do you mean she's not coming?"
24,"00:04:50,821","00:04:53,656",I have a backyard full of these little girls
25,"00:04:53,812","00:04:56,749","who are counting on a visit
from a fairy princess."
26,"00:04:57,791","00:04:58,610",Hurts!
27,"00:04:59,880","00:05:00,637",Stop it!
28,"00:05:04,668","00:05:08,110","Listen! I don't want a refund,
I want the fairy princess,"
29,"00:05:08,229","00:05:10,607","please, please, I'm begging you."
30,"00:05:11,257","00:05:12,180",You know what?
31,"00:05:12,182","00:05:13,782","I hope that you can sleep at night,"
32,"00:05:13,784","00:05:15,605",you crusher of little girls' dreams!
33,"00:05:17,548","00:05:19,117",When's the fairy princess coming?
34,"00:05:19,925","00:05:21,445",Any minute now!
35,"00:05:24,393","00:05:25,319",Stall them!
36,"00:05:41,421","00:05:43,005",Ok! Ok! Alright.
37,"00:05:43,376","00:05:44,922",That's enough of the magic show.
38,"00:05:48,142","00:05:49,926","Wait, did you hear that?"
39,"00:05:50,456","00:05:53,994","It sounded like the twinkling
sounds of magical fairy dust."
40,"00:05:54,608","00:05:56,440","It's the fairy princess!
She's coming!"
41,"00:05:57,641","00:05:58,475",Look!
42,"00:06:26,205","00:06:29,988","It is I, Gruzinkerbell,"
43,"00:06:30,394","00:06:34,702",the most magical fairy princess of all!
44,"00:06:35,131","00:06:38,975",And I am here to wish princess Agnes
45,"00:06:39,139","00:06:41,194",a very Happy Birthday!
46,"00:06:41,674","00:06:43,191",How come you're so fat?
47,"00:06:43,967","00:06:45,285",Because...
48,"00:06:45,782","00:06:47,996","My house is made of candy,"
49,"00:06:48,092","00:06:51,938","and sometimes I eat
instead of facing my problems!"
50,"00:06:52,342","00:06:53,523",How come you have...
51,"00:06:54,870","00:06:56,421","Ok, time for cake."
52,"00:07:01,534","00:07:02,956","Thank you, Gruzinkerbell!"
53,"00:07:02,958","00:07:04,810",You're the best fairy princess ever!
54,"00:07:04,857","00:07:07,414","You are welcome, little girl!"
55,"00:07:10,013","00:07:11,553","I know it's really you, Gru."
56,"00:07:11,875","00:07:13,928",I'm just pretending for the other kids.
57,"00:07:18,652","00:07:19,887","Hey there, Gru."
58,"00:07:19,889","00:07:21,610",Mr. Life of the party!
59,"00:07:22,118","00:07:23,453","Hello, Jillian."
60,"00:07:23,618","00:07:26,472","So, I'm gonna go out on a limb"
61,"00:07:26,487","00:07:30,812","here but my friend
Natalie is recently single,"
62,"00:07:30,827","00:07:31,695",and...
63,"00:07:32,826","00:07:35,395","No, no, no, get off the limb right now."
64,"00:07:35,397","00:07:36,113",No limb.
65,"00:07:36,535","00:07:38,174","Come on, she's a riot!"
66,"00:07:38,372","00:07:41,485","She sings karaoke,
she has a lot of free time,"
67,"00:07:41,487","00:07:43,450",looks aren't that important to her...
68,"00:07:44,129","00:07:45,281","No, Jills,"
69,"00:07:45,283","00:07:46,980",that is not happening.
70,"00:07:46,982","00:07:48,339","Seriously, I'm fine."
71,"00:07:48,464","00:07:49,843","Ok, fine, forget Natalie."
72,"00:07:49,845","00:07:51,852","How about my cousin Linda?
No!"
73,"00:07:52,805","00:07:54,731","I know someone whose
husband just died..."
74,"00:07:57,694","00:07:59,938","I'm sorry, I did not see you there."
75,"00:08:01,782","00:08:02,661",Or there.
76,"00:08:13,317","00:08:14,011",Kyle?
77,"00:08:14,201","00:08:14,982",Kyle?
78,"00:08:15,752","00:08:16,815","Ky! Kyle, no!"
79,"00:08:16,817","00:08:18,806",Do not do your business on the petunias!
80,"00:08:20,642","00:08:23,099","There you go.
Those are Fred's, go crazy."
81,"00:08:26,705","00:08:27,895",Good boy!
82,"00:08:28,699","00:08:29,591",Mr. Gru?
83,"00:08:29,593","00:08:30,963",Wha... I didn't... what? Yes?
84,"00:08:33,105","00:08:33,777",Hi!
85,"00:08:34,123","00:08:35,853",Agent Lucy Wilde of the A.V.I.
86,"00:08:39,312","00:08:39,884","Sorry,"
87,"00:08:40,442","00:08:41,560",you're gonna have to come with me.
88,"00:08:42,397","00:08:43,891","Sorry, I... freeze ray!"
89,"00:08:48,326","00:08:49,931","You know, you really
should not announce your weapon"
90,"00:08:49,933","00:08:51,807","after you fire them, Mr. Gru..."
91,"00:08:52,634","00:08:53,617",For example...
92,"00:08:56,657","00:08:58,628",Lipstick taser!
93,"00:08:59,849","00:09:01,233","Oh, it works so good."
94,"00:09:10,765","00:09:11,413",Man!
95,"00:09:13,365","00:09:15,227",Large person.
96,"00:09:22,888","00:09:23,609",Sorry.
97,"00:09:27,611","00:09:29,825",Get in there.
98,"00:09:30,198","00:09:30,986",You...
99,"00:09:31,324","00:09:31,941",big...
100,"00:09:32,333","00:09:33,165",man!
101,"00:09:38,122","00:09:38,888",Boss!
102,"00:09:43,389","00:09:44,245",Tada!
103,"00:10:24,211","00:10:25,793",Supermanta... da.
104,"00:11:21,903","00:11:23,781","♪ How bout my money, I ain't worried... ♪"
105,"00:12:29,282","00:12:30,516",What? Where?
106,"00:12:31,594","00:12:33,151",Foots asleep.
107,"00:12:34,526","00:12:36,208",Pins and needles!
108,"00:12:37,820","00:12:39,315","Good afternoon, Mr. Gru"
109,"00:12:40,806","00:12:43,339","I apologize for our methods
in getting you here."
110,"00:12:43,561","00:12:44,611",I don't.
111,"00:12:45,508","00:12:46,660",I'd do it again in a heartbeat.
112,"00:12:46,662","00:12:48,191","I am not gonna lie, I enjoyed that."
113,"00:12:48,230","00:12:50,838","Every second of it.
Gave me a bit of a buzz, actually."
114,"00:12:50,861","00:12:52,686","That's enough, agent Wilde."
115,"00:12:52,945","00:12:53,708","Sorry, sir."
116,"00:12:54,200","00:12:56,076","Ok, this is bogus!"
117,"00:12:56,980","00:12:59,551","I don't know who you people
think you are."
118,"00:12:59,738","00:13:02,442","But...
We are the anti-villain league."
119,"00:13:02,771","00:13:07,897","An ultra-secret organization dedicated
to fighting crime on a global scale."
120,"00:13:08,422","00:13:09,368","Rob a bank,"
121,"00:13:09,370","00:13:10,668",we're not interested.
122,"00:13:10,861","00:13:13,241","Kill someone, not our deal."
123,"00:13:13,562","00:13:16,212","But you want to melt
the polar ice caps,"
124,"00:13:16,559","00:13:18,371","or vaporize Mount Fuji,"
125,"00:13:18,512","00:13:21,834","or even, steal the moon..."
126,"00:13:22,280","00:13:24,444",Then we notice.
127,"00:13:24,514","00:13:27,198","First of all,
you got no proof that I did that."
128,"00:13:27,527","00:13:28,548","Second,"
129,"00:13:28,604","00:13:31,113","after I did do that, I put it back!"
130,"00:13:31,463","00:13:33,134","We're well aware of that, Mr. Gru"
131,"00:13:33,152","00:13:35,049",That's why we brought you here.
