line,start_time,end_time,text
1,"00:00:33,367","00:00:38,367",Subtitles by explosiveskull
2,"00:00:38,369","00:00:40,336",♪ You've been singing ♪
3,"00:00:40,338","00:00:42,873",♪ That same old song ♪
4,"00:00:42,875","00:00:45,174",♪ Far too long ♪
5,"00:00:45,176","00:00:46,443",♪ Far too long ♪
6,"00:00:46,445","00:00:49,513","Kids, you all need
to get inside."
7,"00:00:49,515","00:00:51,281","The wedding
is about to start."
8,"00:00:51,283","00:00:52,683","Good afternoon,
Ms. Quinn."
9,"00:00:52,685","00:00:54,550","I heard Liam's song
on the radio this morning."
10,"00:00:54,552","00:00:55,852","Can you believe that
our very own Liam"
11,"00:00:55,854","00:00:57,553","right here on Saint
is on the radio?"
12,"00:00:57,555","00:00:59,189","I can't believe it, Ellen."
13,"00:00:59,191","00:01:00,623","Now, let's get inside
and watch him marry our Josie."
14,"00:01:00,625","00:01:01,757","Yes, ma'am."
15,"00:01:01,759","00:01:03,894","Our Liam has quickly
become a bona-fide"
16,"00:01:03,896","00:01:05,294",country star.
17,"00:01:05,296","00:01:06,529","Hey, you mind
handing those out?"
18,"00:01:06,531","00:01:07,731","- Yes, ma'am.
- Thank you."
19,"00:01:07,733","00:01:09,332","- Good to see you.
- Hi. You too."
20,"00:01:09,334","00:01:10,534",♪ Take me down ♪
21,"00:01:10,536","00:01:11,668",♪ Take me down ♪
22,"00:01:11,670","00:01:13,436",♪ Take me down ♪
23,"00:01:13,438","00:01:15,172","♪ Take me down
to the little white church ♪"
24,"00:01:15,174","00:01:17,174",♪ Take me down ♪
25,"00:01:17,176","00:01:19,510","Ladies, 12 minutes."
26,"00:01:19,512","00:01:21,645","Twelve minutes,
Ms. Quinn?"
27,"00:01:21,647","00:01:23,880","All the Southern time
in the world, my dear."
28,"00:01:23,882","00:01:27,918","I handpicked these
this morning for Josie."
29,"00:01:29,221","00:01:30,654",Thank you.
30,"00:01:30,656","00:01:33,222","I swear though,
if one more person asks me"
31,"00:01:33,224","00:01:37,129","about her groom's
new hit song on the radio..."
32,"00:01:39,230","00:01:41,431","Ms. Boudreaux,
I'll be sending some of the boys"
33,"00:01:41,433","00:01:43,499","to get you lovely
yayas to your seats."
34,"00:01:43,501","00:01:45,568","- All right.
- Let's put the veil on."
35,"00:01:45,570","00:01:46,840","- Okay.
- Let's do it."
36,"00:01:49,340","00:01:51,407",I love you so much.
37,"00:01:51,409","00:01:53,576",I love you.
38,"00:01:53,578","00:01:56,181","- You're going to make me cry.
- You made me cry."
39,"00:01:58,250","00:02:00,850","Hey, hey, hey,
there's my little sister."
40,"00:02:00,852","00:02:02,752","I didn't know
you could clean up like that."
41,"00:02:02,754","00:02:04,687","- Oh, Jake.
- Just kidding."
42,"00:02:04,689","00:02:05,955",Just kidding.
43,"00:02:05,957","00:02:07,558","So, are you ready
for your big brother"
44,"00:02:07,560","00:02:08,792","to walk you down
the aisle?"
45,"00:02:08,794","00:02:10,393",Is it really time?
46,"00:02:10,395","00:02:11,828",It's almost.
47,"00:02:11,830","00:02:14,498","Ms. Quinn wants me
to walk Mom down first."
48,"00:02:14,500","00:02:16,433","- Yeah? Are you ready for this?
- I'm ready."
49,"00:02:16,435","00:02:18,969","Ladies, good Lord,"
50,"00:02:18,971","00:02:21,939","don't you all
look ravishing today?"
51,"00:02:21,941","00:02:23,673",I'm getting married.
52,"00:02:25,978","00:02:28,578","Ladies,
you guys look beautiful."
53,"00:02:32,884","00:02:35,552","Josie, you look
absolutely amazing."
54,"00:02:35,554","00:02:37,456","Thank you, Mason."
55,"00:02:38,623","00:02:40,457","- Kiera?
- Yeah."
56,"00:02:40,459","00:02:42,459","Can me and Johnny talk to you
outside for a minute, please?"
57,"00:02:42,461","00:02:44,860","Sure.
Josie, I'll be right back."
58,"00:02:44,862","00:02:47,364","Laura, can you
just touch up her lipstick?"
59,"00:02:47,366","00:02:48,665",Just a little more color.
60,"00:02:48,667","00:02:49,701",Absolutely.
61,"00:02:54,706","00:02:56,472","Do you think
everything's okay?"
62,"00:02:56,474","00:02:58,375","Oh, yeah.
Honey, everything's fine."
63,"00:02:58,377","00:02:59,875",This is your special day.
64,"00:03:05,550","00:03:07,686",Okay. Perfect.
65,"00:03:17,895","00:03:19,495","Kiera, what is it?"
66,"00:03:19,497","00:03:20,596",Is Liam okay?
67,"00:03:20,598","00:03:24,034",Liam's fine.
