line,start_time,end_time,text
1,"00:02:31,720","00:02:33,995",Oxygen levels are dropping.
2,"00:02:38,320","00:02:40,072",Brain function normal.
3,"00:02:44,400","00:02:47,517","Cerebral salvage
ready to proceed."
4,"00:02:53,080","00:02:57,437","Robotic skeleton prepared
and waiting for brain insertion."
5,"00:03:00,000","00:03:03,436",Initiate Project 2571.
6,"00:05:24,000","00:05:27,310",Now your eyes are gon na open.
7,"00:05:29,680","00:05:30,795",There.
8,"00:05:33,080","00:05:34,752",You're safe.
9,"00:05:47,200","00:05:49,668","It's okay,
just breathe."
10,"00:05:50,680","00:05:52,272",Just breathe.
11,"00:05:53,880","00:05:55,074",Breathe.
12,"00:05:57,120","00:05:58,269",Good.
13,"00:05:58,600","00:06:00,113",That's good.
14,"00:06:03,520","00:06:04,953","Hello, Mira."
15,"00:06:05,680","00:06:07,511",I'm Dr. Ouelet.
16,"00:06:10,800","00:06:13,712","Do you remember anything
about the attack?"
17,"00:06:15,000","00:06:16,513",What happened?
18,"00:06:17,680","00:06:19,750",I was drowning.
19,"00:06:21,040","00:06:22,473",There's water!
20,"00:06:23,480","00:06:25,710","That's right.
You were on a boat."
21,"00:06:25,800","00:06:27,119",A refugee boat.
22,"00:06:27,480","00:06:29,630",It was sunk by terrorists.
23,"00:06:30,480","00:06:32,710",Why can't I feel my body?
24,"00:06:33,400","00:06:34,776","Mira,
your body was damaged."
25,"00:06:34,800","00:06:36,074",We couldn't save it.
26,"00:06:36,640","00:06:38,710",Only your brain survived.
27,"00:06:39,320","00:06:41,470",We made you a new body.
28,"00:06:41,720","00:06:43,551",A synthetic shell.
29,"00:06:45,480","00:06:48,153","But your mind, your soul,"
30,"00:06:48,480","00:06:49,959","your ""ghost,"""
31,"00:06:50,040","00:06:51,553",it's still in there.
32,"00:06:54,840","00:06:55,840",Please.
33,"00:06:55,920","00:06:57,239",Sedate her.
34,"00:07:12,320","00:07:13,799",Will it work?
35,"00:07:14,200","00:07:15,758",Absolutely.
36,"00:07:17,600","00:07:19,238",She's a miracle.
37,"00:07:20,320","00:07:23,437","A machine can't lead,
it can only follow orders."
38,"00:07:23,520","00:07:26,478","A machine can't imagine
or care or intuit."
39,"00:07:26,880","00:07:30,077","But as a human mind
in a cybernetic frame,"
40,"00:07:30,160","00:07:32,674","Mira can do all
those things, and more."
41,"00:07:33,080","00:07:34,911",The first of her kind.
42,"00:07:37,160","00:07:40,152","She will join Section 9
as soon as she is operational."
43,"00:07:40,520","00:07:42,670","Please, don't do that."
44,"00:07:42,880","00:07:46,031","You're reducing
a complex human to a machine."
45,"00:07:46,680","00:07:48,830",I don't think of her as a machine.
46,"00:07:50,080","00:07:51,593",She's a weapon.
47,"00:07:52,560","00:07:54,915",And the future of my company.
48,"00:08:16,120","00:08:18,953","The first artificially
created memory enhancement."
49,"00:08:19,040","00:08:20,576",Sirenum's training protocol
50,"00:08:20,600","00:08:22,477",is the fastest and most efficient way
51,"00:08:22,560","00:08:24,630","to develop the abilities
you've always wanted."
52,"00:08:24,720","00:08:26,199",Stronger than ever.
53,"00:08:26,280","00:08:27,840","Experience your power
with Pneuma Glove."
54,"00:08:29,240","00:08:31,959","Stronger than ever.
Experience your power."
55,"00:08:32,960","00:08:35,269",Cyber-crime is a type-one offense.
56,"00:08:35,360","00:08:37,635","Minimum punishment,
15 years in prison."
57,"00:08:37,720","00:08:39,096",Hanka Robotics guarantees
58,"00:08:39,120","00:08:42,396","personal safety and integrity
against outside threats."
59,"00:08:48,160","00:08:50,594",All patrolling air units be advised.
60,"00:08:50,680","00:08:53,148","Possible cyber-crime activity
in the vicinity."
61,"00:08:53,480","00:08:56,199","Airspace in all
adjoining areas to be locked down."
62,"00:08:56,440","00:08:58,237",Section 9 is currently on site.
63,"00:08:58,320","00:09:01,596","Repeat: All patrolling
air units be advised."
64,"00:09:01,960","00:09:04,315","Possible cyber-crime activity
in the vicinity."
65,"00:09:06,640","00:09:08,790",Th is is Major. I'm on site.
