"index","type","start","end","text"
"0","cue","00:01:01,675","00:01:04,133","<i>Dan selagi ada keributanbaku tembak di Tanah Suci,</i>"
"1","cue","00:01:04,266","00:01:05,835","<i>ada sorakan di Washington</i>"
"2","cue","00:01:05,968","00:01:07,703","<i>dan tarian kegembiraan Ibrani</i>"
"3","cue","00:01:07,836","00:01:10,875","<i>untuk tanah air Yahudiyang telah terlahir kembali.</i>"
"4","cue","00:01:19,213","00:01:20,850","<i>Pasukan Haganah mencari orang Arab</i>"
"5","cue","00:01:20,984","00:01:22,484","<i>setelah merebut kota.</i>"
"6","cue","00:01:45,842","00:01:47,645","<i>Lebih dari 4.000 warga Palestina</i>"
"7","cue","00:01:47,777","00:01:49,679","<i>telah dipaksauntuk meninggalkan rumah mereka.</i>"
"8","cue","00:01:49,813","00:01:52,548","<i>Perjalanan mereka sebagai pengungsibaru saja dimulai.</i>"
"9","cue","00:01:59,321","00:02:02,025","<i>Diplomasi intensifnegosiasi di Timur Tengah</i>"
"10","cue","00:02:02,157","00:02:03,560","<i>dilanjutkan hari ini di Washington</i>"
"11","cue","00:02:03,693","00:02:05,663","<i>sebagai Perdana Menteri Israel,Golda Meir,</i>"
"12","cue","00:02:05,796","00:02:07,664","<i>bertemu dengan Presiden Nixondi Gedung Putih</i>"
"13","cue","00:02:07,797","00:02:08,965","<i>selama 80 menit.</i>"
"14","cue","00:02:09,099","00:02:11,001","<i>Ini sangat istimewa bagi saya,</i>"
"15","cue","00:02:11,133","00:02:13,837","<i>berbicara atas namadari rakyat Amerika...</i>"
"16","cue","00:02:18,876","00:02:22,113","<i>Aku tidak mengetahui pembobolan Watergate.</i>"
"17","cue","00:05:00,606","00:05:02,876","Selamat pagi,Nyonya Perdana Menteri."
"18","cue","00:05:03,544","00:05:04,745","Selamat pagi."
"19","cue","00:05:12,484","00:05:13,787","Tolong bersumpah."
"20","cue","00:05:18,959","00:05:21,795","Aku bersumpah untuk mengatakan yang sebenarnya,semua kebenaran,"
"21","cue","00:05:21,929","00:05:24,463","mengetahui bahwa aku akan dikenakan hukuman"
"22","cue","00:05:24,598","00:05:27,100","dan di hukum jika aku tidak melakukannya."
"23","cue","00:05:37,978","00:05:40,446","Nyonya Perdana Menteri."
"24","cue","00:05:40,581","00:05:45,919","Mari kita mulai dengan5 Oktober 1973."
"25","cue","00:06:02,102","00:06:03,137","Ya"
