line,start_time,end_time,text
1,"00:00:12,646","00:00:16,648","This is Angela chen
reporting live from the site
of a massive battle"
2,"00:00:16,650","00:00:19,952","between the justice league
and a group of what can
only be described"
3,"00:00:19,954","00:00:23,655","as super-villains
calling themselves
the legion of doom."
4,"00:00:23,657","00:00:26,925","Reports state that earlier,
the legion launched
a surprise attack"
5,"00:00:26,927","00:00:29,828","on the league at the unveiling
of their new headquarters,"
6,"00:00:29,830","00:00:33,699","dubbed by many
on social media as
""the hall of justice."""
7,"00:01:02,430","00:01:05,397","Is this any way to treat
your guests, superman?"
8,"00:01:05,399","00:01:08,600","Seeing as how you
crashed the party,
I'd consider us even."
9,"00:01:09,270","00:01:10,569",Oh!
10,"00:01:38,899","00:01:40,466","What happened,
toymaster?"
11,"00:01:40,468","00:01:42,101","Did mama kick you
out of the basement?"
12,"00:01:42,103","00:01:43,202",Hmph.
13,"00:01:55,483","00:01:57,249",Grundy smash!
14,"00:02:18,305","00:02:22,074",Grundy sleep now.
15,"00:02:24,578","00:02:26,945","Robin, report.
How's crowd control?"
16,"00:02:28,415","00:02:30,182",Huh?
17,"00:02:35,489","00:02:39,725","Well at hand, father.
As predicted, they respond
like contemptible sheep."
18,"00:02:41,795","00:02:43,695","Surrender, cheetah."
19,"00:02:43,697","00:02:45,998","This doesn't have
to end in violence."
20,"00:02:59,413","00:03:00,746",Aah!
21,"00:03:12,860","00:03:14,860","You're smarter
than this, Luthor."
22,"00:03:17,831","00:03:20,432",Your kind attracts their kind.
23,"00:03:20,434","00:03:24,169","I'm simply
an innocent industrialist
caught in the middle."
24,"00:03:24,171","00:03:25,571",I'll bet.
25,"00:03:34,848","00:03:36,515",You'll pay for this.
26,"00:03:36,517","00:03:38,250","Knowing you, it's insured."
27,"00:03:52,433","00:03:53,799",Huh?
28,"00:03:55,536","00:03:57,102","Beep, beep."
29,"00:03:57,438","00:03:58,637",Huh?
30,"00:04:07,147","00:04:08,347",Not in the face.
31,"00:04:09,350","00:04:10,682",Whatever you say.
32,"00:04:19,560","00:04:21,260","Playtime's over, toymaster."
33,"00:04:21,262","00:04:23,929","But I enjoy
a good game."
34,"00:04:24,832","00:04:27,065",And I always win.
35,"00:04:50,257","00:04:51,757","Good work, team."
36,"00:04:51,759","00:04:54,026","Too bad shazam and lantern
had to miss the fun."
37,"00:04:54,028","00:04:55,994",Yeah. Slackers.
38,"00:05:02,436","00:05:03,735",We got a runner.
39,"00:05:07,308","00:05:08,407",Aah!
40,"00:05:14,315","00:05:16,682","Come on, wizard,
don't make me hit you again."
41,"00:05:19,053","00:05:20,886","Uh, wiz?"
42,"00:05:20,888","00:05:23,388","Azarath calls,"
43,"00:05:23,390","00:05:26,758",the child must answer.
44,"00:05:26,760","00:05:30,228","The hour of his rising
is at hand."
45,"00:05:30,230","00:05:31,363","Oh, boy."
46,"00:05:32,466","00:05:33,732",I've got this.
47,"00:05:46,780","00:05:49,414","Hmm. What the hell
did he hit me with?"
48,"00:05:50,651","00:05:52,117","Himself, apparently."
49,"00:05:57,491","00:05:59,358",He's not using any tech.
50,"00:05:59,360","00:06:00,826",It's magic.
51,"00:06:07,501","00:06:09,701",Argh!
52,"00:06:15,175","00:06:16,675",Get them to safety.
53,"00:06:16,677","00:06:18,210",I'll keep him distracted.
54,"00:06:28,789","00:06:30,322",Argh!
55,"00:06:32,259","00:06:33,792",Argh!
56,"00:06:39,266","00:06:42,401","Robin, get all civilians
inside, do you read me?"
57,"00:06:42,403","00:06:45,103","I have a more efficient way
to keep them safe, father."
58,"00:06:45,105","00:06:48,573","Robin?
 Robin, I gave you a task."
59,"00:06:48,575","00:06:52,878","Yes, as a human cattle prod.
I'm being under-utilized."
60,"00:06:55,015","00:06:56,548",What's your location?
61,"00:06:56,550","00:06:58,417",Where I need to be.
62,"00:06:58,419","00:07:00,085",In the driver's seat.
63,"00:07:00,087","00:07:02,587","Between the missile
and fuel cell detonations,"
