line,start_time,end_time,text
1,"00:00:00,000","00:00:10,000","English subtitle by XTNN Subtitles
- xtnn-subs.blogspot.co.id -"
2,"00:01:14,530","00:01:16,500",Look at this.
3,"00:01:20,830","00:01:23,250",Baby cakes.
4,"00:01:30,890","00:01:33,080",Talk to the angels.
5,"00:01:38,600","00:01:43,040","It's one o'clock in the morning
and you're wide awake."
6,"00:01:43,570","00:01:45,730",I love you. Bless you.
7,"00:01:48,040","00:01:50,200",What do you have to say?
8,"00:01:51,470","00:01:52,900",Yeah.
9,"00:01:55,380","00:01:57,620",There's the monkey.
10,"00:02:04,980","00:02:06,820",Mama.
11,"00:02:08,740","00:02:10,430",Yeah.
12,"00:02:18,030","00:02:20,390",You're going to fast.
13,"00:02:21,300","00:02:22,960",Let me see.
14,"00:02:36,680","00:02:38,920",Let me see you swim.
15,"00:03:01,000","00:03:02,940",Are you sweeping?
16,"00:03:13,600","00:03:15,280","Say ""I love you."""
17,"00:04:50,230","00:04:52,050","Hey, sorry. I'm here alone."
18,"00:04:52,420","00:04:54,030","- Would you like coffee?
- That'd be great."
19,"00:04:54,210","00:04:56,530","- I'd like a hot tea.
- Okay."
20,"00:04:57,430","00:04:59,460",This is so really bad.
21,"00:04:59,990","00:05:00,690",It's fine.
22,"00:05:00,690","00:05:03,230","This is the grossest place
I've ever seen in my life."
23,"00:05:03,350","00:05:04,900","- It's fine.
- It's dirty."
24,"00:05:04,900","00:05:06,340",It's local.
25,"00:05:07,870","00:05:10,510","Mom, you said we need to leave at 11."
26,"00:05:10,510","00:05:12,700","I know, honey.
But Agnes isn't here yet."
27,"00:05:13,230","00:05:16,450","We have to wait for her, sweetie.
I promise, we're gonna leave soon."
28,"00:05:21,880","00:05:23,890",What is that like the third time this week?
29,"00:05:23,890","00:05:25,360",Next time it's going out of your paycheck.
30,"00:05:25,920","00:05:27,840","Dale, where's my eggs over?"
31,"00:05:27,840","00:05:31,340","- Right here. You said up.
- I said easy."
32,"00:05:31,990","00:05:34,300","- Give me 5 minutes.
- Well, I don't have 5 minutes."
