line,start_time,end_time,text
1,"00:00:39,875","00:00:42,351","And if you saw
the People's Choice Awards last night,"
2,"00:00:42,375","00:00:44,625","you saw a heck of a lot
of this guy's face."
3,"00:00:44,708","00:00:47,291","Here's the number one single
in the country right now,"
4,"00:00:47,375","00:00:50,125",from Ryan King Kerr.
5,"00:00:50,208","00:00:54,125","♪ Searchin' high and low,
steady and slow ♪"
6,"00:00:54,208","00:00:57,666","♪ Up and down, coast to coast ♪"
7,"00:00:57,750","00:00:59,750","♪ It's a big world, it's a big world ♪"
8,"00:00:59,833","00:01:01,666",♪ All the places I've been ♪
9,"00:01:01,750","00:01:06,833","♪ It's a big world, it's a big world
that I found you in..."
10,"00:01:06,916","00:01:08,517",What are you working on?
11,"00:01:08,541","00:01:11,041","Oh, I'm, um... I'm writing
a new song for my grandma."
12,"00:01:11,125","00:01:12,958","I told her, if I won
a People's Choice Award,"
13,"00:01:13,041","00:01:14,750",I would write her a new song.
14,"00:01:14,833","00:01:16,833",I guess I got a lot of work to do.
15,"00:01:16,916","00:01:18,375",That's really sweet.
16,"00:01:18,458","00:01:21,375","Yeah, well, she worries about me
after those recent threats."
17,"00:01:21,458","00:01:24,538","I told her, as long as I got JJ as my
bodyguard, nothing's gonna happen to me."
18,"00:01:24,583","00:01:26,916",Just glad the CIA gave you some time off.
19,"00:01:27,000","00:01:28,208",That's right.
20,"00:01:28,291","00:01:30,208",I'm gonna take a leak. You want anything?
21,"00:01:30,291","00:01:32,208","Uh, maybe a water on your way back."
22,"00:01:32,291","00:01:34,041","Oh, anything for the man who protects me."
23,"00:01:34,125","00:01:36,458","Anything? I'd like you to teach me
how to play guitar."
24,"00:01:36,541","00:01:39,341","What, with those ham hands?
Just think about playing the tuba."
25,"00:01:39,416","00:01:41,666",Really think I can play the tuba?
26,"00:01:42,916","00:01:44,958","You crack me up, JJ."
27,"00:01:48,416","00:01:50,916",What a cute little dick.
28,"00:01:51,000","00:01:52,500",Water?
29,"00:01:52,583","00:01:55,041","- I couldn't help but overhear.
- Thank you."
30,"00:02:27,666","00:02:29,750",Aah! Son of a...
31,"00:02:36,291","00:02:38,208",Aah! Are you kidding me?
32,"00:02:57,125","00:02:58,916","JJ, it's Sophie."
33,"00:02:59,000","00:03:01,125",Coming in for extraction now.
34,"00:03:01,208","00:03:02,875",Brace for impact.
35,"00:03:08,541","00:03:10,333","Hey, not my People's Choice."
36,"00:03:33,833","00:03:35,250","- Sophie?
- I got you."
37,"00:03:35,333","00:03:36,500",It's gonna be okay.
38,"00:03:45,125","00:03:47,083",How'd you know what they were planning?
39,"00:03:47,166","00:03:48,916",That's not important.
40,"00:03:49,000","00:03:54,083","So for the last time, can I go to the
homecoming dance with Ryan this Saturday?"
41,"00:03:54,166","00:03:55,500",Sorry.
42,"00:03:55,583","00:03:57,666",You've got underwater training scheduled.
43,"00:03:59,833","00:04:01,708",What are you doing?
44,"00:04:09,208","00:04:11,458","- Hey, Sophie?
- Hmm?"
45,"00:04:11,541","00:04:13,208",I can't go to the dance with you.
46,"00:04:13,291","00:04:14,791",I asked Olivia Rodrigo.
47,"00:04:14,875","00:04:16,375",Hmm.
48,"00:04:16,458","00:04:17,916",Wait.
49,"00:04:18,000","00:04:20,000",No!
50,"00:04:30,666","00:04:32,375",That was weird.
51,"00:04:38,000","00:04:39,541","Here you go, Oz."
52,"00:04:39,625","00:04:41,541",All right. Yeah.
53,"00:04:43,000","00:04:44,708","Hey, Blueberry."
54,"00:04:44,791","00:04:46,000","There you go, pal."
55,"00:04:46,083","00:04:48,208",You're looking very handsome today.
56,"00:04:48,291","00:04:50,666","Sophie, food's getting cold."
57,"00:04:50,750","00:04:52,500",Made your favorite... scones.
58,"00:04:52,583","00:04:54,458",But muffins are my favorite.
59,"00:04:54,541","00:04:57,125","I tried making muffins,
but they didn't rise."
60,"00:04:57,208","00:04:58,833",And now they are scones.
61,"00:04:58,916","00:05:00,583",What is going on with your hair?
62,"00:05:01,666","00:05:03,625","Still got bed head.
Supposed to be out the door."
63,"00:05:03,708","00:05:06,041","It's fine.
I have free period this morning,"
64,"00:05:06,125","00:05:08,500","then seminar advisory,
which I can just blow off."
65,"00:05:08,583","00:05:10,333","No, blowing off is a bad habit."
66,"00:05:10,416","00:05:12,291",I'm not letting you start bad habits.
67,"00:05:12,375","00:05:14,625",I need you there at 0900.
68,"00:05:14,708","00:05:17,541","- Did you hear me, young lady?
- Mm-hmm."
69,"00:05:17,625","00:05:20,458","Is that a ""mm-hmm"" like you heard me
or a ""mm-hmm"" like ""shut up""?"
70,"00:05:20,541","00:05:23,125","Yes, I will be there at 0900."
71,"00:05:23,208","00:05:25,184","Geez, just 'cause you think
you can act like my dad"
72,"00:05:25,208","00:05:26,625",doesn't mean that you are my dad.
73,"00:05:27,708","00:05:29,041",'Cause you are not.
74,"00:05:38,791","00:05:40,059","- Hey.
- Hey, babe."
75,"00:05:40,083","00:05:42,708","- How are you?
- Well, we finally got here and settled in."
76,"00:05:42,791","00:05:44,666",The people are so great.
77,"00:05:44,750","00:05:46,208","And, boy, did they need us."
78,"00:05:46,291","00:05:48,708",Nurses for Global Health to the rescue.
79,"00:05:48,791","00:05:50,208",What's Rwanda like?
80,"00:05:50,291","00:05:52,166",It's unbelievable.
81,"00:05:52,250","00:05:54,458",But how about you? How's everything?
82,"00:05:54,541","00:05:56,375","- Hi, Mom.
- Hey, sweetheart."
83,"00:05:56,458","00:05:58,041",Don't feed your scones to Ozzie.
84,"00:05:58,125","00:06:00,250",And we have practice today... 1600.
85,"00:06:00,333","00:06:02,125","Yes, drill sergeant."
86,"00:06:02,208","00:06:03,916","It's called ""four o'clock."""
87,"00:06:04,000","00:06:05,458","So, how's it really going?"
88,"00:06:05,541","00:06:08,375","I mean, my suggestions
used to be considered useful,"
89,"00:06:08,458","00:06:10,750",my jokes funny.
90,"00:06:10,833","00:06:14,583","Today, after I simply reminded her
of the importance of punctuality,"
91,"00:06:14,666","00:06:17,583",she reminded me that I am not her dad.
92,"00:06:17,666","00:06:19,250","But no, it's fine."
93,"00:06:19,333","00:06:20,541",I'm not her real dad.
94,"00:06:20,625","00:06:22,875",I'm just...
95,"00:06:22,958","00:06:24,791",I don't know.
96,"00:06:24,875","00:06:26,250",You have her training every day.
97,"00:06:26,333","00:06:28,253","Try asking her what she wants to do
for a change."
98,"00:06:28,333","00:06:30,166",Sophie loves the dojo.
99,"00:06:30,250","00:06:32,208","- It's her thing.
- Her thing or yours?"
100,"00:06:32,291","00:06:33,750",Just ask her.
101,"00:06:33,833","00:06:35,458",She might really appreciate that.
102,"00:06:35,541","00:06:37,333","She's changing, JJ."
103,"00:06:37,416","00:06:38,541",Be patient.
104,"00:06:47,791","00:06:49,291",Perimeter?
105,"00:06:49,375","00:06:50,875",Looks good.
106,"00:06:50,958","00:06:52,392","Bobbi, can you show me the close camera?"
107,"00:06:52,416","00:06:54,434","And someone needs to finish
these scones that I baked"
108,"00:06:54,458","00:06:56,416",for my little girl who fed 'em to the dog.
109,"00:06:56,500","00:06:58,559","These are pieces of my heart
that you're leaving on this plate, people."
110,"00:06:58,583","00:07:01,125",I'll take one. Thank you.
111,"00:07:01,208","00:07:02,250",Connelly.
112,"00:07:02,333","00:07:03,333",What?
113,"00:07:03,416","00:07:04,958",I'm on Lipitor. I'm allowed.
114,"00:07:06,750","00:07:08,333","We got a bogey, six o'clock."
115,"00:07:37,250","00:07:39,250","Well done, Christina.
You're clear to proceed."
116,"00:07:39,291","00:07:41,416","Copy that. Wish you were with me, friend."
117,"00:07:48,708","00:07:50,875",All right. That's the air-gapped server.
118,"00:07:53,041","00:07:54,642","Gonna need
some help here, Bobbi."
119,"00:07:54,666","00:07:57,291","- What do we got?
- Looks like the lock's a JET-08."
120,"00:07:57,375","00:07:58,833",Sending data package now.
121,"00:08:03,708","00:08:06,148","Christina, we got another bogey
approaching, ten o'clock."
122,"00:08:19,416","00:08:22,666","Time to see if Kim's informant's right
and the data's actually here."
123,"00:08:22,750","00:08:24,791","Good Lord.
We got seven more bogeys approaching."
124,"00:08:24,875","00:08:25,958",Thirty seconds out.
125,"00:08:26,041","00:08:27,625",Need more time.
126,"00:08:27,708","00:08:30,583","- Christina, get out of there. Now!
- No, JJ, wait."
127,"00:08:30,666","00:08:32,583","Christina, you've got this."
128,"00:08:35,291","00:08:38,416","Got it. Got weapons locations
scattered globally."
129,"00:08:38,500","00:08:40,000","I said move, damn it!"
130,"00:08:40,083","00:08:41,791",Almost done.
131,"00:08:41,875","00:08:44,458",Three. Two.
132,"00:08:44,541","00:08:46,021",One.
133,"00:08:56,333","00:08:58,500","Hey. Good work, JJ."
134,"00:08:58,583","00:08:59,916",Thanks.
135,"00:09:00,000","00:09:02,666","- Little touch and go there, but...
- No, I mean the scones."
136,"00:09:02,750","00:09:05,101","At first, I was disappointed
the raisins wasn't chocolate chips."
137,"00:09:05,125","00:09:06,805","I was like,
""Where the chocolate chips at?"""
138,"00:09:06,833","00:09:08,851","'Cause all the scones I had
had chocolate chips before."
139,"00:09:08,875","00:09:12,375","But then, about the fourth bite,
I was like, ""Damn!"""
140,"00:09:13,750","00:09:16,041",They're currants. Thank you.
141,"00:09:17,166","00:09:19,708","Uh, you okay?"
142,"00:09:19,791","00:09:22,000","- Yeah.
- Yeah?"
143,"00:09:22,083","00:09:25,708","'Cause, uh, you're sweating
like you're going through menopause."
144,"00:09:25,791","00:09:27,875","Christina had that,
and you almost shut it down."
145,"00:09:27,958","00:09:29,958","But I didn't, did I?"
146,"00:10:13,625","00:10:15,458",Sir? You wanted to see me?
147,"00:10:15,541","00:10:17,875",I heard we were successful. Congrats.
148,"00:10:17,958","00:10:19,500",Yeah. Thank you.
149,"00:10:19,583","00:10:20,958","So, what did this data reveal?"
150,"00:10:21,041","00:10:23,561","At the end of the Cold War,
when the Soviets were falling apart,"
151,"00:10:23,625","00:10:28,250","the KGB set out to hide weapons all around
the world for a potential first strike."
152,"00:10:28,333","00:10:31,500","Suitcase nukes,
each weighing less than 50 pounds."
153,"00:10:31,583","00:10:33,750",Portable so they can be moved
154,"00:10:33,833","00:10:36,041","but carrying a blast capability
of one kiloton."
155,"00:10:36,125","00:10:40,125","In 1973, NATO intelligence intercepted
a top secret Soviet document"
156,"00:10:40,208","00:10:42,916","containing activation codes
for these weapons."
157,"00:10:43,000","00:10:44,916",But these weapons could not be found.
158,"00:10:45,000","00:10:47,666",Over a hundred nukes went missing.
159,"00:10:47,750","00:10:51,041","So, hopefully, this data that you helped
retrieve will tell us where they are."
160,"00:10:51,125","00:10:53,041","- I'm glad that tip worked out.
- Yes."
