line,start_time,end_time,text
1,"00:00:26,445","00:00:29,165","He said to his wife,
""What do you mean change the baby?"
2,"00:00:29,285","00:00:32,004","I'm a ball player.
That's not my line of work."""
3,"00:00:32,124","00:00:36,204","And she turned around with her hands
on her hips and she communicated."
4,"00:00:36,325","00:00:38,365","She said, ""Look, Buster,"
5,"00:00:38,485","00:00:40,204","you lay the diaper out
like a diamond."
6,"00:00:40,324","00:00:42,205","You put second base
on home plate."
7,"00:00:42,325","00:00:44,324","Put the baby's bottom
on the pitcher's mound."
8,"00:00:44,444","00:00:46,965","Hook up first and third,
slide home underneath."
9,"00:00:47,084","00:00:49,644","And if it starts to rain,
the game ain't called."
10,"00:00:49,765","00:00:51,405","You start all over again."""
11,"00:00:54,005","00:00:55,605",So I'm going to communicate.
12,"00:00:56,644","00:01:00,364","Now, I know that we can't
make things right overnight,"
13,"00:01:00,484","00:01:03,445",but we will make them right.
14,"00:01:03,565","00:01:06,365",Our destiny is not our fate.
15,"00:01:06,445","00:01:09,044",It is our choice.
16,"00:01:09,124","00:01:13,325","You and your forbears
help build this nation."
17,"00:01:13,404","00:01:16,205","Now, help us rebuild it."
18,"00:01:17,285","00:01:18,525",Thank you very much.
19,"00:01:30,684","00:01:32,125","Thank you, Mr. President."
20,"00:01:32,204","00:01:33,444","Good job, Mr. President."
21,"00:01:35,405","00:01:36,604",Rawhide's on the move.
22,"00:01:38,244","00:01:39,324",All clear.
23,"00:01:39,405","00:01:40,844","Went great, sir."
24,"00:01:40,925","00:01:42,805","Boy, a trip down memory lane."
25,"00:01:42,884","00:01:45,725","Haven't seen him in decades,
Roy, with AFL-CIO."
26,"00:01:45,804","00:01:50,004","Oh, he said the two of you fought with
a guy in Hollywood, named Sorrell."
27,"00:01:50,085","00:01:52,125",Sorrell. Herb Sorrell.
28,"00:01:52,204","00:01:54,325","Yes, he was working
for the Soviets,"
29,"00:01:54,404","00:01:56,965","trying to infiltrate Hollywood
through the unions."
30,"00:01:57,804","00:02:00,404","Roy and I used to call him
""sore-as-hell"" after that."
31,"00:02:00,485","00:02:02,285",What's next on the agenda?
32,"00:02:05,605","00:02:06,764","Rawhide
coming through the south exit."
33,"00:02:06,845","00:02:08,045",Prepare the chopper...
34,"00:02:11,365","00:02:13,044","My mother used to say,"
35,"00:02:13,164","00:02:16,125","""Everything in life
happens for a reason,"
36,"00:02:16,244","00:02:18,885","even the most disheartening
setbacks."
