line,start_time,end_time,text
1,"00:00:39,702","00:00:44,702","Subtitles by explosiveskull
Resync by GoldenBeard"
2,"00:00:57,563","00:00:59,398",Look at the sonar.
3,"00:00:59,400","00:01:01,333",Let me know what you find.
4,"00:01:01,335","00:01:03,468","So far
nothing new, my friend."
5,"00:01:03,470","00:01:05,272",It just keeps getting worse.
6,"00:01:27,461","00:01:30,861","D'Angelo, Marks,
talk to me."
7,"00:01:30,863","00:01:32,930","We've moved
to the sonar room."
8,"00:01:32,932","00:01:34,867",Just nine rescues so far.
9,"00:01:35,835","00:01:37,668","It's a mess, man."
10,"00:01:37,670","00:01:39,572","This is the worst
I've ever seen."
11,"00:01:40,274","00:01:41,275",Help!
12,"00:01:42,976","00:01:44,509",Help!
13,"00:01:44,511","00:01:46,844",Somebody help me!
14,"00:01:46,846","00:01:50,082",Help! Who's there?
15,"00:01:53,619","00:01:55,220","I got
one more survivor."
16,"00:01:55,222","00:01:56,787","Heading back
to the rescue vehicle now."
17,"00:01:59,493","00:02:00,958",Marks. D'Angelo.
18,"00:02:00,960","00:02:02,360",What the hell was that?
19,"00:02:02,362","00:02:03,928",I have no idea.
20,"00:02:03,930","00:02:06,797",Listen.
21,"00:02:14,575","00:02:18,577","Jonas, we got
something outside the ship."
22,"00:02:18,579","00:02:20,847",There's something out there.
23,"00:02:28,388","00:02:29,389",Here.
24,"00:02:30,591","00:02:31,689","You okay, pal?"
25,"00:02:36,463","00:02:38,497","Oh, my God."
26,"00:02:38,499","00:02:39,930",Something's crushing the hull.
27,"00:02:39,932","00:02:42,467","Get back to
the rescue vehicle. Now."
28,"00:02:42,469","00:02:43,836",We're right behind you.
29,"00:02:45,938","00:02:47,671","You guys, move!"
30,"00:02:47,673","00:02:49,113",Got him. Slide him up.
31,"00:02:50,444","00:02:52,511",Marks. D'Angelo. Report.
32,"00:02:52,513","00:02:53,911",You almost here?
33,"00:02:53,913","00:02:56,081","Jonas, listen to me.
We're trapped!"
34,"00:02:56,083","00:02:57,015",What?
35,"00:02:57,017","00:02:58,617",The impact jammed the hatch!
36,"00:02:58,619","00:02:59,819",Coming back.
