line,start_time,end_time,text
1,"00:00:41,708","00:00:43,802",(THUNDER RUMBLING)
2,"00:00:45,212","00:00:47,180",(WIND HOWLING)
3,"00:01:13,657","00:01:15,079",(PANTING)
4,"00:01:17,244","00:01:19,338","Sir, shoals on every side."
5,"00:01:20,247","00:01:21,419","Sand or reef, I cannot say."
6,"00:01:24,251","00:01:27,255","Captain, the Malay pirates
have us cornered."
7,"00:01:27,671","00:01:28,763",We must surrender.
8,"00:01:31,383","00:01:33,010",Surrendering my father's ship
9,"00:01:33,093","00:01:35,016","will not guarantee survival, Mr Phelps."
10,"00:01:43,520","00:01:45,397",Shallow water.
11,"00:01:45,564","00:01:47,566","Dead ahead, full sails!"
12,"00:01:48,400","00:01:50,323","MR PHELPS: Captain!
The ship will run aground."
13,"00:01:50,694","00:01:51,820",It's impossible!
14,"00:01:52,696","00:01:54,949","You know my views on that word, Mr Phelps."
15,"00:01:57,034","00:01:59,253",Full sails. Full sails!
16,"00:02:00,412","00:02:01,584","Full sails, boys."
17,"00:02:01,997","00:02:03,374",Full sails!
18,"00:02:07,753","00:02:09,676","Hard to port, Harper!"
19,"00:02:10,339","00:02:13,343","Turning to port at full sail
will tip us over."
20,"00:02:14,092","00:02:15,184",Exactly!
21,"00:02:18,055","00:02:19,398",(ALL SCREAMING)
22,"00:02:20,057","00:02:22,560","BOATSWAIN: Lads, get those sails down!"
23,"00:02:22,643","00:02:24,520",We haven't got all day!
24,"00:02:29,775","00:02:31,277","ALICE: Hold on, everyone!"
25,"00:02:37,699","00:02:38,951",MR PHELPS: It's too shallow.
26,"00:02:39,242","00:02:40,414",(WILL STRUGGLING)
27,"00:02:40,744","00:02:42,087",We need full sails!
28,"00:02:44,748","00:02:46,216","MR PHELPS: Will! Hold on, lad!"
29,"00:02:46,291","00:02:47,383",WILL: Help!
30,"00:02:47,542","00:02:48,759",(INHALES DEEPLY)
31,"00:02:50,295","00:02:51,547",(GRUNTING)
32,"00:02:58,720","00:03:00,222","- (WILL GASPING)
- (ALICE CONTINUES GRUNTING)"
33,"00:03:10,440","00:03:11,441",(GASPS)
34,"00:03:11,733","00:03:12,734",MR PHELPS: She's going over.
35,"00:03:12,984","00:03:13,985",(WILL SCREAMING)
36,"00:03:14,486","00:03:15,487",(ALICE GRUNTS)
37,"00:03:17,239","00:03:18,411","- MR PHELPS: Hold on, boys!
- (GROANING)"
38,"00:03:24,705","00:03:25,706","Hold on, lads!"
39,"00:03:26,039","00:03:27,666",(BOTH GRUNTING)
40,"00:03:35,465","00:03:36,466",(GRUNTS)
41,"00:03:42,973","00:03:44,145",(WILL SCREAMING)
42,"00:03:55,318","00:03:56,661","BOATSWAIN: You did it, Captain!"
43,"00:03:57,028","00:03:59,201",(MEN CHEERING)
44,"00:04:07,539","00:04:08,711",(ALICE SIGHS)
45,"00:04:09,249","00:04:11,672",The only way to achieve the impossible
46,"00:04:11,752","00:04:13,595",is to believe it is possible.
47,"00:04:14,671","00:04:17,265","Set a course for London, Harper."
48,"00:04:18,341","00:04:20,343",Our work here is done.
49,"00:04:21,052","00:04:22,520","MR PHELPS: Splice the mainbrace, lads!"
50,"00:04:22,596","00:04:23,848",We're going home!
51,"00:04:51,082","00:04:52,254",(TICKING)
52,"00:04:52,459","00:04:53,631",(TICKING STOPS)
53,"00:05:10,393","00:05:11,895",(BLOWING WHISTLE)
54,"00:05:12,270","00:05:13,943",BOATSWAIN: Captain ashore.
55,"00:05:15,190","00:05:16,442",Captain.
56,"00:05:25,116","00:05:26,117","- Mother.
- Well..."
57,"00:05:27,244","00:05:28,666",Here you are.
58,"00:05:29,120","00:05:29,791",Finally.
59,"00:05:30,247","00:05:31,339",Miss Kingsleigh?
60,"00:05:32,457","00:05:34,551","You and the Wonder have been
expected for over a year."
61,"00:05:34,709","00:05:35,926",There were complications.
62,"00:05:36,378","00:05:37,300",Pirates and such.
63,"00:05:37,462","00:05:38,759",The ledgers are in my cabin.
64,"00:05:39,214","00:05:42,055","And would you please let Lord Ascot know
I should like to see him immediately."
65,"00:05:42,926","00:05:45,896","I'm afraid Lord Ascot passed
away whilst you were at sea."
66,"00:05:46,263","00:05:47,810",The title's been passed on to his son.
67,"00:05:48,431","00:05:49,933","- Hamish?
- Indeed."
68,"00:05:50,433","00:05:51,605",Now chairman of the board.
69,"00:05:52,978","00:05:54,400",How unfortunate.
70,"00:05:59,693","00:06:00,910",(DRIVER URGING HORSES)
71,"00:06:01,570","00:06:03,243",(INDISTINCT CHATTER)
72,"00:06:07,450","00:06:09,498",HELEN: Your letters were so infrequent.
73,"00:06:09,911","00:06:12,005","I hardly know where
you've been all this time."
74,"00:06:12,455","00:06:13,832","Mother, China's incredible."
75,"00:06:14,249","00:06:16,297","We followed the Yangtze
deep into the interior."
76,"00:06:17,252","00:06:18,754",Most of the people had never seen
77,"00:06:18,837","00:06:20,259",a person with yellow hair before.
78,"00:06:20,422","00:06:22,140","- Were you never afraid?
- Of course."
79,"00:06:23,592","00:06:25,310","But, when I was, I thought of Father."
80,"00:06:26,303","00:06:27,646",You sound just like him.
81,"00:06:30,432","00:06:31,479",I miss him.
82,"00:06:32,809","00:06:34,311","I do, too."
83,"00:06:34,936","00:06:37,109",But the years pass quickly for me now.
84,"00:06:38,106","00:06:40,154",Time is a cruel master.
85,"00:06:41,109","00:06:44,079",Time is a thief. And a villain.
86,"00:06:44,571","00:06:47,700","I hear the Ascots are marking
Hamish's succession tonight."
87,"00:06:47,866","00:06:48,583",Perfect.
88,"00:06:48,992","00:06:50,289",We should go.
89,"00:06:50,452","00:06:53,001","I'm afraid the invitation must
have been lost in the post."
