line,start_time,end_time,text
1,"00:00:34,942","00:00:37,361","\fad(250,250)JAKE: When I was lying
there in the VA hospital,"
2,"00:00:37,487","00:00:40,447","with a big hole blown
through the middle of my life,"
3,"00:00:41,240","00:00:43,742","I started having
these dreams of flying."
4,"00:00:45,119","00:00:46,578",I was free.
5,"00:00:49,791","00:00:53,377","Sooner or later, though,
you always have to wake up."
6,"00:01:03,137","00:01:06,098","They can fix a spinal,
if you got the money,"
7,"00:01:06,140","00:01:08,934","but not on vet benefits,
not in this economy."
8,"00:01:10,436","00:01:13,146","A VA check and 12 bucks
will get you a cup of coffee."
9,"00:01:13,815","00:01:15,982","I'm what they call...
waitlisted."
10,"00:01:25,034","00:01:29,538","\fad(250,250)WOMAN ON TV: The Bengal Tiger, extinct
for over a century is making a comeback."
11,"00:01:29,622","00:01:33,875","These cloned tiger cubs at the Beijing
Zoo are the latest of a number of species"
12,"00:01:33,960","00:01:37,796","that have been cloned back into
existence in the past five years."
13,"00:01:37,839","00:01:40,632","\fad(250,250)JAKE: I became
a marine for the hardship."
14,"00:01:40,675","00:01:43,093",To be hammered on the anvil of life.
15,"00:01:44,429","00:01:47,806","I told myself I can pass
any test a man can pass."
16,"00:01:47,932","00:01:49,599","\fad(250,250)(ROCK MUSIC BLARING)"
17,"00:01:50,685","00:01:56,148","\fad(250,250)ALL: \fad(250,250)(CHANTING) Jake!
Jake! Jake! Jake! Jake!"
18,"00:01:57,191","00:01:58,442",Oh!
19,"00:01:59,652","00:02:01,987","\fad(250,250)JAKE: Let's get it straight, upfront."
20,"00:02:02,029","00:02:03,488",I don't want your pity.
21,"00:02:05,032","00:02:07,742","You want a fair deal,
you're on the wrong planet."
22,"00:02:08,161","00:02:09,870","\fad(250,250)(INDISTINCT)"
23,"00:02:12,665","00:02:14,166",The strong prey on the weak.
24,"00:02:15,209","00:02:16,585",That's just the way things are.
25,"00:02:18,337","00:02:19,963",And nobody does a damn thing.
26,"00:02:30,516","00:02:32,017","\fad(250,250)(INDISTINCT CHATTER)"
27,"00:02:35,229","00:02:36,730","\fad(250,250)(GRUNTING)"
28,"00:02:37,648","00:02:39,483","\fad(250,250)WOMAN: Get off! Get off of him!"
29,"00:02:40,151","00:02:44,738","\fad(250,250)JAKE: All I ever wanted in my sorry-ass
life was a single thing worth fighting for."
30,"00:02:47,867","00:02:49,117","\fad(250,250)(GRUNTS)"
31,"00:02:53,247","00:02:54,498","\fad(250,250)(GROANS)"
32,"00:02:56,959","00:02:58,168","\fad(250,250)(GROANS)"
33,"00:02:58,503","00:02:59,628","\fad(250,250)(MAN LAUGHS)"
34,"00:02:59,754","00:03:01,922","I hope you realized you just
lost yourself a customer."
35,"00:03:02,006","00:03:03,423","\fad(250,250)(DOOR SLAMS)"
36,"00:03:03,508","00:03:05,675",Candy-ass bitch.
37,"00:03:05,760","00:03:07,010","\fad(250,250)(PANTING)"
38,"00:03:08,137","00:03:10,055","If it ain't raining,
we ain't training."
39,"00:03:10,515","00:03:11,806","\fad(250,250)(CHUCKLES)"
40,"00:03:23,778","00:03:26,112","It doesn't look like him.
It's him."
41,"00:03:26,197","00:03:28,448",You Jake Sully?
42,"00:03:28,533","00:03:30,784","Step off.
You're ruining my good mood."
43,"00:03:31,702","00:03:32,827",It's about your brother.
44,"00:03:40,086","00:03:42,087","We're looking for Sully, T."
45,"00:03:44,006","00:03:45,090",In there.
46,"00:04:09,323","00:04:10,782","Jesus, Tommy."
47,"00:04:11,158","00:04:12,993","\fad(250,250)JAKE: The strong prey on the weak."
48,"00:04:13,869","00:04:16,246","A guy with a knife took
all Tommy would ever be"
49,"00:04:17,123","00:04:18,915",for the paper in his wallet.
50,"00:04:20,751","00:04:23,086",The concern of the suits was touching.
51,"00:04:23,170","00:04:26,673","Your brother represented
a significant investment."
52,"00:04:26,757","00:04:29,217","We'd like to talk to you
about taking over his contract."
53,"00:04:29,302","00:04:31,261","And since your genome
is identical to his,"
54,"00:04:31,345","00:04:33,763","you could step into his shoes,"
55,"00:04:34,974","00:04:36,349",so to speak.
56,"00:04:37,184","00:04:40,061",It'd be a fresh start on a new world.
57,"00:04:40,354","00:04:44,024","You could do something important.
You can make a difference."
58,"00:04:49,280","00:04:51,197",And the pay is good.
59,"00:04:51,824","00:04:52,824",Very good.
60,"00:04:54,076","00:04:55,952","\fad(250,250)JAKE: Tommy was the scientist, not me."
61,"00:04:56,579","00:04:59,039","He was the one who wanted to
get shot light-years out in space"
62,"00:04:59,081","00:05:00,415",to find the answers.
63,"00:05:05,379","00:05:09,215","Me, I was just another dumb grunt getting
sent someplace he was gonna regret."
64,"00:05:30,237","00:05:31,404","\fad(250,250)(SIGHS)"
65,"00:05:31,739","00:05:33,657","\fad(250,250)(MONITOR BEEPING)"
66,"00:05:41,707","00:05:43,166","In cryo, you don't dream at all."
67,"00:05:44,293","00:05:46,378",It doesn't feel like six years.
68,"00:05:46,420","00:05:49,756","More like a fifth of
tequila and an ass-kicking."
69,"00:06:02,728","00:06:04,437",Are we there yet?
70,"00:06:04,689","00:06:06,773","Yeah, we're there, sunshine."
71,"00:06:07,108","00:06:08,692",We're there.
72,"00:06:09,193","00:06:12,946","You've been in cryo for five years,
nine months and 22 days."
73,"00:06:12,988","00:06:15,824","You will be hungry.
You will be weak."
74,"00:06:15,908","00:06:20,995","If you feel nausea, please use the
sacks provided for your convenience."
75,"00:06:21,330","00:06:24,290",The staff thanks you in advance.
76,"00:06:37,847","00:06:39,973","\fad(250,250)JAKE: Up ahead was Pandora."
77,"00:06:41,350","00:06:45,311","You grew up hearing about it,
but I never figured I'd be going there."
78,"00:07:04,248","00:07:07,083","\fad(250,250)MAN: Valkyrie 1-6, copy..."
79,"00:07:07,293","00:07:10,920","Valkyrie 1-6, you are clear for
de-orbit burn at 2-2-4-niner."
80,"00:07:11,213","00:07:15,508","Copy, Venture Star.
Go for de-orbit burn at 2-2-4-niner."
81,"00:07:34,570","00:07:36,362","Exo-packs on! Let's go!
Exo-packs on!"
82,"00:07:36,447","00:07:37,989","\fad(250,250)ASSISTANT: Exo-packs on!
Let's go!"
83,"00:07:38,032","00:07:39,407","Remember, people,
you lose that mask,"
84,"00:07:39,492","00:07:43,203","you're unconscious in 20 seconds,
you're dead in four minutes!"
85,"00:07:43,245","00:07:44,746",Let's nobody be dead today!
86,"00:07:44,830","00:07:46,581",Looks very bad on my report.
87,"00:07:47,917","00:07:51,044","Hell's Gate tower,
this is TAV 1-6 on approach."
