line,start_time,end_time,text
1,"00:00:23,566","00:00:28,566","Subtitles by explosiveskull
www.OpenSubtitles.org"
2,"00:00:39,997","00:00:42,368","This is me. Yeah, really."
3,"00:00:43,634","00:00:46,001",I was so little.
4,"00:00:46,003","00:00:48,037","We were all little once, right?"
5,"00:01:00,384","00:01:03,856",This tiny apartment is my home.
6,"00:01:05,423","00:01:08,060","When I was little,
I never went out."
7,"00:01:10,095","00:01:13,363","So, naturally,
I was curious about the world."
8,"00:01:13,365","00:01:16,035",Very curious.
9,"00:01:21,972","00:01:26,809","Boss, there's still no sign
of a cat or a necklace."
10,"00:01:38,122","00:01:42,660","He told me that out there
was this great place."
11,"00:03:12,384","00:03:14,520",Oh!
12,"00:03:16,788","00:03:18,687",Where did you go?
13,"00:03:18,689","00:03:22,026",What happened to you? Blanket...
14,"00:03:35,206","00:03:38,944","After that,
I never left home again."
15,"00:04:02,232","00:04:05,567","- Daddy.
- Hmm?"
16,"00:04:05,569","00:04:08,204",Daddy!
17,"00:04:08,206","00:04:10,875","- Daddy!
- Argh!"
18,"00:04:28,359","00:04:30,258",Hah!
19,"00:04:43,541","00:04:45,476",Huh?
20,"00:04:58,890","00:05:02,724","Daddy, the city -
what's it like?"
21,"00:05:06,029","00:05:10,665","Cape, I've told you
many, many, many times about it."
22,"00:05:10,667","00:05:12,400","Out there, it's chaotic,"
23,"00:05:12,402","00:05:15,671","it's cold
and also full of crooks."
24,"00:05:15,673","00:05:18,174","It's not exactly
what you think it is."
25,"00:05:18,176","00:05:21,611","But I want to go!
I've never been outside."
26,"00:05:21,613","00:05:25,681","When you grow up,
my son, you will understand."
27,"00:05:25,683","00:05:28,184",This is such a nice home.
28,"00:05:28,186","00:05:30,585","We lack only the things
we don't need."
29,"00:05:30,587","00:05:33,124","You should be content,
just like I am."
30,"00:05:35,193","00:05:37,128",I don't want to be like you.
31,"00:05:38,296","00:05:41,463","- Huh?
- Blanket! Cape!"
32,"00:05:41,465","00:05:43,332","Look, meet your new pal!"
33,"00:05:50,541","00:05:52,344",Come down here! Oh!
34,"00:06:04,388","00:06:06,222",She's a blue-and-gold macaw.
35,"00:06:06,224","00:06:08,327","Her perch
is still downstairs."
36,"00:06:10,460","00:06:14,162","- Hi. What's your name?
- Macaw."
37,"00:06:14,164","00:06:17,333","Yes, I know you're a macaw,
but what's your name?"
38,"00:06:17,335","00:06:20,302","- I'm Mack.
- Mack, here's your perch. Come."
39,"00:06:20,304","00:06:23,071",Whoa.
40,"00:06:23,073","00:06:25,340",Uh?
41,"00:06:25,342","00:06:27,612","I have your seeds
and nuts."
42,"00:06:28,779","00:06:31,080",You're really named Mack?
43,"00:06:31,082","00:06:33,982","- Yeah.
- Huh? But you're a female."
44,"00:06:33,984","00:06:36,751","Why is your name Mack?
It's such a macho name."
45,"00:06:36,753","00:06:39,655","What can I do about it?
This is my sixth home already."
46,"00:06:39,657","00:06:42,592","New home, new name. Who can
possibly keep track of it all?"
47,"00:06:44,495","00:06:47,530","In the end, I suppose that Mack
was just easier for everyone."
48,"00:06:47,532","00:06:49,332",Have you been to lots of places?
49,"00:06:49,334","00:06:52,133","Of course, little buddy.
Of course."
50,"00:06:52,135","00:06:54,970","Although, I have
a small character flaw."
51,"00:06:54,972","00:06:58,941",I can't resist... biting things.
52,"00:06:58,943","00:07:00,710",I'm a tad destructive.
53,"00:07:00,712","00:07:02,510","It's a tiny character flaw,"
54,"00:07:02,512","00:07:04,713","but humans can't seem
to cope with it."
55,"00:07:04,715","00:07:06,816",You've been in so many homes.
56,"00:07:06,818","00:07:09,520","- So, you've been outside too?
- Huh?"
57,"00:07:13,157","00:07:16,758","- Why are you so interested?
- Being home all day is boring."
58,"00:07:16,760","00:07:18,794",I see.
59,"00:07:18,796","00:07:23,131",Water! Water! Aah! Ah-ha-ha!
60,"00:07:23,133","00:07:25,100","If you're so scared of soda,"
61,"00:07:25,102","00:07:27,770","I bet bath time must leave you
a total wreck, doesn't it?"
62,"00:07:27,772","00:07:30,108",You...
63,"00:07:32,277","00:07:34,443","Hey, Fatty. Hey, Fatty!"
64,"00:07:34,445","00:07:36,778","It's rude to keep your door open
while on the toilet"
65,"00:07:36,780","00:07:39,248","with a lady around, understand?"
66,"00:07:39,250","00:07:41,650","- Ugh!
- Aunty Mack?"
67,"00:07:41,652","00:07:45,621","Outside? I don't know.
I haven't been."
68,"00:07:45,623","00:07:47,356","- Well, I have.
- You?"
69,"00:07:47,358","00:07:49,924",A fat and lazy cat?
70,"00:07:49,926","00:07:54,030","A fat cat who can barely
fit on the toilet. You?"
71,"00:07:54,032","00:07:56,665","So, what's out there?
Tell us."
72,"00:07:56,667","00:07:59,602",Tell us. Come on. Tell us!
73,"00:07:59,604","00:08:01,304","- Peachtopia.
- Huh?"
74,"00:08:01,306","00:08:03,205",Peachtopia?
75,"00:08:03,207","00:08:06,142","A peach tree forest
along the stream."
76,"00:08:06,144","00:08:09,044",That's right. Hmm!
77,"00:08:09,046","00:08:12,114","I've been told by many cats
about that legendary place."
78,"00:08:12,116","00:08:15,551","A real Peachtopia.
It's a place for cats."
79,"00:08:15,553","00:08:17,787",You don't know about it?
80,"00:08:17,789","00:08:19,587","Five, six, seven, eight."
81,"00:08:25,229","00:08:27,662",♪ Peachtopia is a place
82,"00:08:27,664","00:08:32,068","♪ Where all cats can wander
freely all day long"
83,"00:08:32,070","00:08:35,136","♪ A place of milk,
fish and fantasy"
84,"00:08:35,138","00:08:38,640","♪ Where every cat
can be very happy"
85,"00:08:38,642","00:08:41,811","♪ Peachtopia, Peachtopia"
86,"00:08:41,813","00:08:45,347","♪ Peachtopia,
Peachtopia"
87,"00:08:45,349","00:08:48,417",♪ Peachtopia is a world for you
88,"00:08:48,419","00:08:52,021",♪ A paradise for all free cats
89,"00:08:52,023","00:08:55,324","♪ A world for you
It's a dream come true"
90,"00:08:55,326","00:08:58,793","♪ Peachtopia, Peachtopia"
91,"00:08:58,795","00:09:00,696",♪ Peachtopia
92,"00:09:00,698","00:09:05,133","♪ Peachtopia, Peachtopia. ♪"
93,"00:09:48,678","00:09:50,448",Mama.
94,"00:09:56,920","00:09:58,653",Huh?
95,"00:09:58,655","00:10:00,455","You made that up, Fatty."
96,"00:10:00,457","00:10:02,758",I swear it's on that mountain.
97,"00:10:02,760","00:10:04,859","This glass bead leads directly
to Peachtopia."
98,"00:10:04,861","00:10:06,762",This thing?
99,"00:10:14,704","00:10:18,742","You think I'm an idiot?
A feline Peachtopia?!"
100,"00:10:19,774","00:10:21,343",If there's a cat Shakespeare...
101,"00:10:21,345","00:10:24,616",..I'm a parrot Jane Austen.
102,"00:10:39,463","00:10:41,400","Something on
your mind, Blanket?"
103,"00:10:43,000","00:10:46,000","You once told me that,
when you were little,"
104,"00:10:46,002","00:10:48,839",a stray cat came around here.
105,"00:10:51,675","00:10:53,978","Dad, he was
from Peachtopia, right?"
106,"00:10:57,582","00:11:00,316","Daddy, where did Mommy go?"
107,"00:11:00,318","00:11:04,420",Could she be... in Peachtopia?
108,"00:11:04,422","00:11:10,392","Maybe she's waiting over there
by a peach tree."
109,"00:11:10,394","00:11:12,998","Daddy, I want to go out."
110,"00:11:29,713","00:11:32,784","Hey, what are you doing?"
111,"00:11:35,986","00:11:38,789",Huh?
112,"00:11:50,668","00:11:52,404",Hmm.
113,"00:12:05,415","00:12:07,585",Huh?
114,"00:12:30,274","00:12:32,206","- Phew!
- You scared me! You scared me!"
115,"00:12:32,208","00:12:35,543","- That was so reckless.
- Cape, cats aren't birds."
116,"00:12:35,545","00:12:38,113","Cats can't fly.
Your mother, she..."
117,"00:12:38,115","00:12:40,784","Well, she, uh..."
118,"00:12:43,154","00:12:46,055",What about my mom? Where is she?
119,"00:12:46,057","00:12:50,526","Your mom,
she... went to Peachtopia."
120,"00:12:50,528","00:12:53,195","Really?
My mom went to Peachtopia?!"
121,"00:12:53,197","00:12:55,133","Hey, let's go find her!"
122,"00:12:57,901","00:13:02,171","It's too far away.
We'll never make it."
123,"00:13:02,173","00:13:05,376",Why is that?
124,"00:13:07,211","00:13:11,479","Cape, cats aren't birds.
Cats can't fly."
125,"00:13:11,481","00:13:13,983",Fly?
126,"00:13:13,985","00:13:15,917",Huh?
127,"00:13:27,765","00:13:30,869",Ah!
128,"00:13:36,273","00:13:41,476","One, two, three!"
129,"00:13:43,146","00:13:46,648",Oh! Ah!
130,"00:13:46,650","00:13:48,883",Oh!
131,"00:13:48,885","00:13:52,354","Hey, Cape, let's say
you do make it down."
132,"00:13:52,356","00:13:54,058","There's still the river
to cross."
133,"00:13:56,894","00:14:00,561","..everywhere and
in your home, in your cosy home,"
134,"00:14:00,563","00:14:04,199","and in your cosy kitchen,
there's danger!"
135,"00:14:04,201","00:14:06,567","- Take this...
- Ow! Ow! Ow!"
136,"00:14:06,569","00:14:09,838","My goodness! Oh!
That's so scary! So shocking!"
137,"00:14:09,840","00:14:13,474","A lifetime of scares under our
own roof! It's unbelievable!"
138,"00:14:13,476","00:14:16,612","You see? You see? It's even
dangerous at home, you guys."
139,"00:14:16,614","00:14:18,647","Come on. Come on.
Give me a warship!"
140,"00:14:38,269","00:14:39,971",Uh...
141,"00:14:51,448","00:14:54,282","Cape, to be young
is to struggle,"
142,"00:14:54,284","00:14:55,950",but there's no point.
143,"00:14:57,788","00:15:00,659","Hey, Cape?"
