line,start_time,end_time,text
1,"00:00:14,000","00:00:15,946","♪ Push it to the limit
When I get into a rhythm ♪"
2,"00:00:15,958","00:00:18,083","♪ I'm seeing visions
Working hard and never wishin' ♪"
3,"00:00:18,166","00:00:20,083","♪ Looking for that vision
Muscle and ambition ♪"
4,"00:00:20,166","00:00:21,926","♪ The only one to meet
The real competition ♪"
5,"00:00:25,375","00:00:27,000",Come on!
6,"00:00:27,583","00:00:29,041",Come on! Come on!
7,"00:00:30,250","00:00:32,375","These boys did this last year!
We can't lose!"
8,"00:00:32,458","00:00:34,625","Watch out!
Geocache champions coming through!"
9,"00:00:34,708","00:00:35,708",I see them!
10,"00:00:36,666","00:00:38,708",Give up! You know we're gonna win!
11,"00:00:38,791","00:00:40,583","- Back off, buttfaces!
- Yeah!"
12,"00:00:40,666","00:00:42,266","Yoli, hurry! They're catching up!"
13,"00:00:46,416","00:00:47,916",We got the next clue!
14,"00:00:48,000","00:00:51,416","- Yoli, dead ahead, it's a shortcut!
- You got it, Pili!"
15,"00:00:51,500","00:00:54,583","Dang it, they all followed!
Come on, Yoli, hurry!"
16,"00:00:54,666","00:00:55,750",Loser!
17,"00:00:55,833","00:00:57,125",Brace yourself!
18,"00:00:59,875","00:01:02,000","♪ Only time I'm laying low
Is when I wanna race ♪"
19,"00:01:04,166","00:01:05,958",Yes!
20,"00:01:06,583","00:01:07,416",Look out!
21,"00:01:07,500","00:01:08,541",Sorry!
22,"00:01:08,625","00:01:11,000","- Yoli, hard left!
- I got it."
23,"00:01:11,083","00:01:12,375",Sorry! Out of the way!
24,"00:01:12,458","00:01:14,291",Hope those are clean!
25,"00:01:14,375","00:01:16,416","Sorry, folks, it's a competition!"
26,"00:01:20,875","00:01:23,708","♪ If you're good then you're good
I'm good at this ♪"
27,"00:01:24,375","00:01:25,375",Okay.
28,"00:01:26,000","00:01:27,875","- Coming through!
- Heads up!"
29,"00:01:29,625","00:01:30,625","- Balls!
- Balls!"
30,"00:01:30,708","00:01:32,458",Here we go.
31,"00:01:33,416","00:01:34,750",What does it say next?
32,"00:01:35,250","00:01:38,375","""Go straight to the bottom
and you'll find the key to the cache,"
33,"00:01:38,458","00:01:39,750","numbers inclined."""
34,"00:01:42,000","00:01:43,791",Straight to the bottom?
35,"00:01:45,291","00:01:47,541","Yoli, remember that video I sent you?"
36,"00:01:47,625","00:01:49,750",About the tunnels underneath the pools?
37,"00:01:51,208","00:01:53,500","- The pool's not the bottom!
- Exactly!"
38,"00:01:55,875","00:01:58,375","- Over there! Come on.
- Where are they going?"
39,"00:02:02,333","00:02:03,791","Come on, straight ahead!"
40,"00:02:05,000","00:02:09,250","Attention, geocachers.
There are five minutes remaining."
41,"00:02:09,333","00:02:10,333",Come on!
42,"00:02:13,458","00:02:16,750","- Pili, they're all different.
- So are the combinations!"
43,"00:02:17,791","00:02:19,000",Are you seeing this?
44,"00:02:20,125","00:02:21,208","Come on, let's go."
45,"00:02:23,791","00:02:24,951",What is all this stuff?
46,"00:02:25,000","00:02:27,208","""Go straight to the bottom
and you'll find"
47,"00:02:27,291","00:02:29,833","the key to the cache, numbers inclined."""
48,"00:02:33,500","00:02:34,791",Numbers inclined!
49,"00:02:39,416","00:02:40,708","Yoli, it's..."
50,"00:02:43,375","00:02:45,583",The box with a five-number lock!
51,"00:02:45,666","00:02:46,666",Okay!
52,"00:02:52,583","00:02:53,791",I got it!
53,"00:02:55,166","00:02:56,458",Seven…
54,"00:02:57,250","00:02:59,791",two… one…
55,"00:03:00,750","00:03:03,333",five… six!
