line,start_time,end_time,text
1,"00:01:10,638","00:01:12,840","Once there was a boy
named Harold,"
2,"00:01:12,974","00:01:15,275",who went on an adventure.
3,"00:01:15,409","00:01:18,211","And he took
his purple crayon with him."
4,"00:01:18,345","00:01:19,747",Aha!
5,"00:01:19,881","00:01:22,316","He could draw
whatever he wanted."
6,"00:01:24,552","00:01:27,555","And sometimes,
that got him in over his head."
7,"00:01:28,990","00:01:31,626","But he always came up
thinking fast."
8,"00:01:33,561","00:01:35,930","And it was on
to the next adventure."
9,"00:01:38,231","00:01:40,501","He did what anyone
would do with a magic crayon."
10,"00:01:40,635","00:01:43,771","He made some pies,
and then he made some friends."
11,"00:01:43,905","00:01:46,173","He called them
Moose and Porcupine."
12,"00:01:46,306","00:01:47,407","Come on, everybody."
13,"00:01:47,542","00:01:49,644",For obvious reasons.
14,"00:01:51,345","00:01:54,247",Not again!
15,"00:01:55,717","00:01:57,785","They never left
each other's sides."
16,"00:01:57,919","00:02:01,188","Even when they got lost,
they always found each other."
17,"00:02:01,321","00:02:02,957","No matter where they were,"
18,"00:02:03,091","00:02:06,861","Harold always remembered
where his bedroom window was."
19,"00:02:06,995","00:02:08,763",Right around the moon.
20,"00:02:12,299","00:02:13,300","Night, Harold."
21,"00:02:13,433","00:02:14,869",Good night.
22,"00:02:18,405","00:02:19,373",The end.
23,"00:02:19,507","00:02:21,042","Good night, folks."
24,"00:02:21,174","00:02:23,878","Just kidding! Of course
the story didn't end there."
25,"00:02:25,913","00:02:27,115","Come on, everybody!"
26,"00:02:28,448","00:02:30,450",I need to go down now!
27,"00:02:30,585","00:02:32,386",His world got bigger.
28,"00:02:32,520","00:02:35,590",And so did his imagination.
29,"00:02:35,723","00:02:37,859","You got that right, Narrator!"
30,"00:02:37,992","00:02:40,028",My stomachs are sloshing around!
31,"00:02:40,160","00:02:42,563","-Harold, look out!
-What?"
32,"00:02:43,430","00:02:44,498","Hey, everybody!"
33,"00:02:47,902","00:02:51,338","And he still got in
over his head."
34,"00:02:53,574","00:02:55,409","But he always came up
thinking fast."
35,"00:02:55,543","00:02:57,244",Little help here!
36,"00:02:58,278","00:02:59,947",Faster than that.
