line,start_time,end_time,text
1,"00:01:12,323","00:01:14,576",This is Berk...
2,"00:01:14,743","00:01:18,830","the best-kept secret this
side of, well, anywhere."
3,"00:01:19,748","00:01:22,917","Granted, it may not look like much,
but this wet heap of rock..."
4,"00:01:23,084","00:01:26,129",packs more than a few surprises.
5,"00:01:30,967","00:01:35,472","Life here is amazing, just
not for the faint of heart."
6,"00:01:35,638","00:01:37,866","You see, where most
folks enjoy hobbies"
7,"00:01:37,891","00:01:39,851",like whittling or needlepoint...
8,"00:01:40,018","00:01:42,520",we Berkians prefer...
9,"00:01:43,313","00:01:45,565","a little something
we like to call..."
10,"00:01:47,901","00:01:49,736",dragon racing!
11,"00:01:56,534","00:01:58,036",Whoo!
12,"00:02:02,499","00:02:04,726",Whoa!
13,"00:02:04,751","00:02:08,146","I'm sorry, Fishlegs.
Did you want that?"
14,"00:02:09,672","00:02:11,883","Snotlout, that was mine!"
15,"00:02:12,050","00:02:13,259","Here you go, babe."
16,"00:02:13,635","00:02:15,011","Did I tell you that you
look amazing today..."
17,"00:02:15,178","00:02:16,304",because you do.
18,"00:02:16,513","00:02:19,224","Come on, Barf. It's
starting to stink around here."
19,"00:02:19,390","00:02:21,184","Nope.
Still hates you."
20,"00:02:21,351","00:02:23,561","Let's blow this place, Belch!"
21,"00:02:24,145","00:02:25,563",All right!
22,"00:02:31,027","00:02:32,904",Yeah!
23,"00:02:33,404","00:02:35,990","Ha-ha! That's nine
for the Twins..."
24,"00:02:36,282","00:02:38,243",Astrid lags with three.
25,"00:02:38,409","00:02:42,247","Fishlegs and Snotlout
trail with none."
26,"00:02:42,413","00:02:43,873",And Hiccup is...
27,"00:02:45,166","00:02:47,252",nowhere to be found.
28,"00:02:47,752","00:02:51,381","Scared him off with the big
talk, didn't you, Stoick?"
29,"00:02:52,882","00:02:54,092","What are you doing, Snotlout?"
30,"00:02:54,342","00:02:55,635",They're gonna win now.
31,"00:02:55,802","00:02:58,179","She's my princess. Whatever
she wants, she gets."
32,"00:02:58,346","00:03:01,349","Ruffnut? Didn't she
try to bury you alive?"
33,"00:03:01,516","00:03:02,756",Only for a few hours.
34,"00:03:05,186","00:03:09,023","Now, dragons used to
be a bit of a problem here..."
35,"00:03:09,190","00:03:10,483",but that was 5 years ago.
36,"00:03:10,650","00:03:12,585","Now, they have all moved in."
37,"00:03:12,610","00:03:14,821","And really, why wouldn't they?"
38,"00:03:14,988","00:03:16,781",We have custom stables...
39,"00:03:16,948","00:03:18,992","all-you-can-eat
feeding stations..."
40,"00:03:19,158","00:03:21,494","a full-service
dragon wash..."
41,"00:03:23,079","00:03:26,833","even top-of-the-line fire
prevention if I do say so myself."
42,"00:03:28,167","00:03:29,544","It's time, Gobber."
43,"00:03:29,711","00:03:31,296","Righty-ho.
Last lap!"
44,"00:03:36,050","00:03:37,927","The Black Sheep!
Come on, Stormfly."
45,"00:03:38,094","00:03:39,904",We can still win this thing!
46,"00:03:42,181","00:03:43,821","- Come on, Barf!
- Let's go!"
47,"00:03:44,601","00:03:45,602","Go, Meatlug!"
48,"00:03:46,394","00:03:47,620",Whoo-hoo!
49,"00:03:47,645","00:03:49,439","Let's go!
Let's go! Let's go!"
50,"00:03:50,398","00:03:51,858",This is your big moment.
51,"00:03:52,400","00:03:53,943",Have a nice flight!
52,"00:03:57,322","00:03:58,323","Up, up, up!"
53,"00:04:01,951","00:04:03,119","- No!
- Yes!"
54,"00:04:03,286","00:04:04,746","Good job, Meatlug."
55,"00:04:05,705","00:04:08,124","Here you go, darling.
Mine is worth ten."
56,"00:04:08,666","00:04:10,209","Yeah!
The Black Sheep!"
57,"00:04:11,878","00:04:13,838","You guys are
fighting for Ruffnut?"
58,"00:04:14,005","00:04:15,173",I'm totally winning!
59,"00:04:15,340","00:04:17,467",We're winning together!
60,"00:04:17,926","00:04:18,968",No!
61,"00:04:21,220","00:04:23,139","Whoo! No one can
stop me now!"
