line,start_time,end_time,text
1,"00:02:12,008","00:02:13,509",Goal!
2,"00:03:24,205","00:03:26,332","What was that? Ellie, did you hear that?"
3,"00:03:26,541","00:03:28,876","I heard it, Manny.
Whatever it is, it's miles away."
4,"00:03:29,043","00:03:30,378","Peaches, are you all right?"
5,"00:03:30,920","00:03:31,921",Where is she?
6,"00:03:32,171","00:03:34,173",No teenager is ever up early.
7,"00:03:35,258","00:03:37,468","Easy warden, she's not on lockdown."
8,"00:03:42,140","00:03:44,517","You two were supposed to be
responsible uncles!"
9,"00:03:44,600","00:03:47,812","What? I didn't see Peaches sneak off
maybe 15 or 20 minutes ago."
10,"00:03:47,895","00:03:50,064",Or that she went with Louis to the falls.
11,"00:03:50,148","00:03:52,316",The falls? Where the delinquents go?
12,"00:03:52,400","00:03:54,485","Relax, it's just where the kids hang out."
13,"00:03:54,569","00:03:57,280","No, no, it's a gateway hangout."
14,"00:03:57,363","00:04:00,074","First it's the falls,
then she's piercing her trunk..."
15,"00:04:00,158","00:04:02,326","and the next thing you know,
she's addicted to berries."
16,"00:04:02,618","00:04:05,872",Manny! You are overreacting.
17,"00:04:06,038","00:04:08,332","She's not going to be
your little girl forever."
18,"00:04:08,499","00:04:11,669",I know. That's what worries me.
19,"00:04:14,338","00:04:15,339",Come on!
20,"00:04:18,217","00:04:19,260",Louis!
21,"00:04:19,343","00:04:22,722","Would you get your head out of the ground
for once and try to have a little fun?"
22,"00:04:24,807","00:04:28,019","I'm a molehog.
My head's supposed to be underground."
23,"00:04:28,102","00:04:32,315","And my idea of fun isn't risking death
so that you can meet some cute mammoth."
24,"00:04:32,398","00:04:35,610",Ethan isn't cute. He's hot.
25,"00:04:36,569","00:04:39,405","Besides, you can't spend your whole life
playing it safe."
26,"00:04:39,489","00:04:41,157","- I know I would.
- Dad?"
27,"00:04:41,824","00:04:43,451",There's no reason to be mad.
28,"00:04:43,618","00:04:46,329","You know how I feel
about you going to the falls."
29,"00:04:46,412","00:04:47,622",Especially alone.
30,"00:04:47,789","00:04:49,373","She's not alone, sir."
31,"00:04:49,540","00:04:50,708","You don't count, Weiner."
32,"00:04:50,875","00:04:53,294","Yes, there's my place,
and you just put me in it, thank you."
33,"00:04:53,377","00:04:54,378","Come on, young lady."
34,"00:04:54,587","00:04:56,798","We're going home
where I can keep an eye on you."
35,"00:04:59,217","00:05:03,471","So, should I just wait here, or..."
36,"00:05:21,197","00:05:23,616","Yeah, you don't scare me, Mother Nature!"
37,"00:05:23,783","00:05:26,953","There's nothing you can throw at me
that I can't handle."
38,"00:05:31,207","00:05:32,250",I think we're almost there!
39,"00:05:32,416","00:05:34,961",We had better be! I just lost the steering.
40,"00:05:38,881","00:05:41,843","Has anyone seen Precious?
It's her feeding time."
41,"00:05:42,009","00:05:45,012","Mom! Granny's talking about
her dead pet again."
42,"00:05:45,179","00:05:47,181","Hey, paws up, everybody!"
43,"00:05:47,765","00:05:51,018","Paws down, Uncle, please! That is nasty."
44,"00:05:55,189","00:05:57,900","Be careful, Milton,
you're going to hurt somebody!"
45,"00:05:58,860","00:05:59,861",Bad kitty!
46,"00:05:59,944","00:06:00,945",Rock!
47,"00:06:12,456","00:06:16,168","Okay, so tell me, when exactly
will I be allowed to hang out with boys?"
48,"00:06:16,335","00:06:20,131","When I'm dead, plus three days.
Just to make sure I'm dead."
