line,start_time,end_time,text
1,"00:01:35,392","00:01:37,392",AI Translated
2,"00:01:37,416","00:01:39,541","Almost there, just an easy little hawk."
3,"00:01:40,458","00:01:41,458",Kind of.
4,"00:01:46,416","00:01:48,375","Hey, you wanted to come this time."
5,"00:01:49,000","00:01:52,250",Just a little fire.
6,"00:01:57,000","00:01:58,750","Hey, hey, ow."
7,"00:02:30,000","00:02:31,000",You hear anything?
8,"00:02:31,166","00:02:32,791",I don't like it.
9,"00:02:33,333","00:02:36,625","There's gotta be other
people out here, other villages."
10,"00:02:37,833","00:02:41,250",And one day someone's gonna end certain.
11,"00:02:43,708","00:02:48,250",Never change.
12,"00:03:31,208","00:03:37,625","Hey, hey, sweet beautiful chicken."
13,"00:03:40,000","00:03:43,500",What are you waiting for?
14,"00:03:43,875","00:03:45,000",Let's go home.
15,"00:04:54,000","00:04:55,791",I can't wait till I retire.
16,"00:06:31,708","00:06:38,707",You're bruised.
17,"00:06:38,708","00:06:40,625",You're in my face.
18,"00:06:48,000","00:06:50,291",I don't love anything.
19,"00:06:50,666","00:06:52,833",How could I beat this chicken?
20,"00:06:53,333","00:06:54,333",New look.
21,"00:06:54,375","00:06:55,375","Yep, even better."
22,"00:06:55,625","00:06:56,625","Oh, look."
23,"00:06:57,125","00:06:59,125",The name is Boo.
24,"00:06:59,250","00:07:00,250","Hi, kid."
25,"00:07:00,625","00:07:01,250",You can do it.
26,"00:07:01,541","00:07:01,916",Hold on.
27,"00:07:02,166","00:07:02,666",Lay it on me.
28,"00:07:02,667","00:07:05,041","I mean, it takes a
bit to rotate the sails."
29,"00:07:05,416","00:07:05,750",Got it.
30,"00:07:05,750","00:07:06,750","No, no, no, no, no, no."
31,"00:07:11,000","00:07:12,999",It's called a hair whip.
32,"00:07:13,000","00:07:13,291",A hair whip.
33,"00:07:13,791","00:07:15,083",Let it from those guys.
34,"00:07:17,583","00:07:19,583","So, how did go this time?"
35,"00:07:20,375","00:07:21,583",You found something.
36,"00:07:22,041","00:07:25,375","It was in a clearing,
which I found a little help from."
37,"00:07:26,000","00:07:28,458","Hey, but this isn't from our village."
38,"00:07:28,833","00:07:31,875","I don't even know what
it's made of, but it's proof."
39,"00:07:32,500","00:07:35,458",There are other people out there.
40,"00:07:35,916","00:07:40,333","I don't know why we haven't
found them yet, but Dad, that island,"
41,"00:07:41,458","00:07:43,708",I think that's where they're going to be.
42,"00:07:44,416","00:07:47,250","I just have to figure
out how to find those stars."
43,"00:07:52,000","00:07:53,000",Little fish!
44,"00:07:53,041","00:07:54,041",Little fish!
45,"00:07:55,958","00:07:58,958",I thought you were gone forever.
46,"00:07:59,375","00:08:02,500","It was three days,
but I missed you every..."
47,"00:08:02,666","00:08:03,416",Mr. Baby.
48,"00:08:03,666","00:08:04,166",Bring you?
49,"00:08:04,541","00:08:06,083",You said you'd bring me a present.
50,"00:08:06,625","00:08:06,875",Hmm.
51,"00:08:07,500","00:08:08,833","Well, let me see."
52,"00:08:11,000","00:08:12,000",Whoa.
53,"00:08:12,708","00:08:13,708",What's it do?
54,"00:08:14,000","00:08:15,000",What's it not?
55,"00:08:17,083","00:08:18,291",Where are we going?
56,"00:08:27,000","00:08:33,083","This is the place of our ancestors,
where I learned our people are voyagers."
57,"00:08:35,000","00:08:37,500",Where Grandma showed me who we are.
58,"00:08:38,000","00:08:41,457","She said to Grandma
by the ear and tell him,"
59,"00:08:41,458","00:08:43,416",I am a one and I'm a two-newie.
60,"00:08:43,708","00:08:47,083","You'll board my boat and
restore the heart of the fishy."
61,"00:08:47,916","00:08:48,375",Pretty good.
62,"00:08:48,666","00:08:49,666",Yeah.
63,"00:08:50,083","00:08:51,375",How much did it take?
64,"00:08:52,541","00:08:53,166",A few weeks.
65,"00:08:53,458","00:08:53,708",Weeks?
66,"00:08:54,208","00:08:56,000",That's longer than forever.
67,"00:08:56,583","00:08:59,666","I know, but it was important."
68,"00:09:00,208","00:09:04,291","And if I hadn't fallen, I
never would have become a wayfinder."
69,"00:09:05,000","00:09:10,625","Like our ancient chiefs, like
the last great navigator, Taotai Busa."
70,"00:09:11,875","00:09:15,750","Before Maui stole
Timothy's heart and we stopped voyaging,"
71,"00:09:16,708","00:09:22,708","Taotai Busa wanted to connect our island
to all the people of the entire ocean."
72,"00:09:23,416","00:09:30,166","Because together, what we can
do, how far we all can go, it's endless."
73,"00:09:31,000","00:09:38,041","And now that I'm a wayfinder,
it's my job to continue what he started."
74,"00:09:38,916","00:09:42,416","And this, this is my first cool how."
75,"00:09:43,333","00:09:46,500","You should make Maui
go so you can stay with me."
76,"00:09:47,000","00:09:51,333","Well, Maui's out
demigodding, but if he ever shows up,"
77,"00:09:51,583","00:09:54,166","you'll grab him by
the ear and tell him that."
78,"00:10:32,000","00:10:38,541","I'm not here to cause trouble, just
a super chiseled demigodd passing through."
79,"00:10:39,041","00:10:43,125","Now open the portal to
the island and I'll be on my way."
80,"00:10:45,333","00:10:48,375","And why would I risk
breaking the rules for you"
81,"00:10:49,000","00:10:52,416","when you've already
caused my boss so much trouble?"
82,"00:10:52,958","00:10:53,166",Who?
83,"00:10:53,333","00:10:54,291",Maui started it.
84,"00:10:54,292","00:10:55,541",And you'll finish it?
85,"00:10:56,166","00:10:59,000",Team up with your precious human again.
86,"00:11:01,000","00:11:04,875","Team? You mean the girl with
the canoe and that goofy little chicken?"
87,"00:11:05,500","00:11:08,625","We weren't a team. I
just used her to get my hook."
88,"00:11:10,125","00:11:10,333",Ow!
89,"00:11:11,125","00:11:13,999","Nalo is a god, Maui."
90,"00:11:14,000","00:11:18,041","If you try to reconnect the
people of the ocean, he will destroy you."
91,"00:11:18,458","00:11:20,166",And then he'll destroy her too.
92,"00:11:20,500","00:11:22,458",This is between him and me.
93,"00:11:23,083","00:11:25,083",Moana has nothing to do with it.
94,"00:11:27,000","00:11:31,333","Ooh, you've made her a way by now, Maui."
95,"00:11:31,833","00:11:36,583","So now, she has everything to do with it."
96,"00:11:50,000","00:11:51,000",It's done!
97,"00:11:51,291","00:11:52,999",I'd like a sound like that.
98,"00:11:53,000","00:11:54,000",Woo hoot!
99,"00:11:58,375","00:12:06,375",Here you are.
100,"00:12:13,083","00:12:19,500","Well, eat up."
101,"00:12:20,000","00:12:21,583",We don't want the port getting old.
102,"00:12:24,916","00:12:26,000",Why don't you watch me now?
103,"00:12:26,833","00:12:27,833",Wanna.
104,"00:12:29,500","00:12:31,333",Tonight isn't just a feast.
105,"00:12:32,916","00:12:33,916","Long ago,"
106,"00:12:34,208","00:12:37,333","there was a title given
to the last great wayfinder."
107,"00:12:37,750","00:12:39,541",With dreams as big as yours.
108,"00:12:40,666","00:12:41,916",The sacred title.
109,"00:12:42,458","00:12:43,458",More than a chief.
110,"00:12:44,291","00:12:45,291",A tall tide.
111,"00:12:46,000","00:12:47,000",Leader.
112,"00:12:47,333","00:12:48,833",Connector of the entire sea.
113,"00:12:49,000","00:12:50,500",My dear.
114,"00:12:51,291","00:12:54,750","Would you honor us
tonight by accepting this title?"
115,"00:12:55,625","00:12:58,916","How people's first
tall tide in a thousand years."
116,"00:12:59,916","00:13:01,040",And show us all
117,"00:13:01,041","00:13:03,791",just how far we'll go.
118,"00:13:25,041","00:13:28,291","Tonight, we drink
from our ancestors' form."
119,"00:13:29,125","00:13:30,916",As tall tide us all once did.
120,"00:13:31,416","00:13:33,083",To bestow this title.
121,"00:13:34,000","00:13:35,000",On you.
122,"00:13:35,625","00:13:37,208",To connect to our past.
123,"00:13:37,708","00:13:38,708",Our present.
124,"00:13:39,375","00:13:41,416",And the future that lies beyond.
125,"00:13:42,916","00:13:46,000",May the ancestors continue to guide us.
126,"00:13:54,708","00:14:00,708","I am
honored to serve our people."
127,"00:14:03,958","00:14:06,625",May the ancestors continue to guide us.
128,"00:14:31,541","00:14:33,833",One truth may too be ...
129,"00:14:34,041","00:14:35,041",...under the stars.
130,"00:14:41,000","00:14:43,958",S
131,"00:15:24,000","00:15:26,291",You are my people.
132,"00:15:27,166","00:15:28,166",So type one.
133,"00:15:30,125","00:15:33,916","This is your future
if you cannot find others."
134,"00:15:35,041","00:15:39,125","In isolation, this
is how your story ends."
135,"00:15:40,000","00:15:41,708",I don't understand.
136,"00:15:42,000","00:15:44,291","Returning to
Hichi's heart was the beginning."
137,"00:15:45,000","00:15:46,708",You must brave the storm.
138,"00:15:47,500","00:15:48,791",Reconnect our people.
139,"00:15:49,958","00:15:51,166",Find Mochufetsu.
140,"00:15:51,666","00:15:53,958",I don't know how to reach it.
141,"00:15:54,208","00:15:57,040",A fire in the sky will guide you.
142,"00:15:57,041","00:15:59,916","Wait, I don't even know how far it is."
143,"00:16:01,166","00:16:03,166",Farther than I was able to go.
144,"00:16:06,291","00:16:07,833",Find Mochufetsu.
145,"00:16:09,000","00:16:12,458",Reconnect us all.
146,"00:16:21,375","00:16:22,375",Mochufetsu.
147,"00:16:23,125","00:16:26,458",The island I have to find is Mochufetsu.
148,"00:16:27,041","00:16:28,041",Okay.
149,"00:16:29,250","00:16:31,083","Took some searching, but..."
150,"00:16:34,166","00:16:35,166",Mochufetsu.
151,"00:16:36,000","00:16:37,000",What is it?
152,"00:16:37,666","00:16:43,166","An ancient island where the
channels of the ocean once came together,"
153,"00:16:44,000","00:16:51,666","connecting the people of the
entire sea until it was lost, cursed."
154,"00:16:53,916","00:16:59,291","In a terrible storm
of a power-hungry god, novel."
155,"00:17:02,000","00:17:08,958","He believed he'd be stronger by separating
the people of the ocean to weaken us,"
156,"00:17:09,708","00:17:11,458",to end our story.
157,"00:17:13,458","00:17:18,583","Our ancestors believed reaching
Mochufetsu would break Nalo's curse,"
158,"00:17:19,416","00:17:20,416",restore the channels.
159,"00:17:21,416","00:17:26,083","It's the only way to
bring our people together again."
160,"00:17:27,833","00:17:28,833",Or historians.
161,"00:17:30,500","00:17:33,125",We need to convene a council of people.
162,"00:17:56,000","00:17:57,208",Fire in the sky.
163,"00:17:58,333","00:17:59,750",He wants me to follow it.
164,"00:18:00,541","00:18:01,541",Two new stars.
165,"00:18:02,500","00:18:03,791",It could take a lifetime.
166,"00:18:04,750","00:18:06,791","Don't dive us. I
didn't make it back at all."
167,"00:18:07,250","00:18:10,208",It's a call from the ancestors to him.
168,"00:18:10,625","00:18:12,416",But if we never see her again...
169,"00:18:14,333","00:18:16,500",I do mean everything you want to get.
170,"00:18:17,000","00:18:19,166","Sami... No, I mean that's..."
171,"00:18:20,000","00:18:21,500",I don't want you to leave.
172,"00:18:33,000","00:18:35,125","Mom, it's..."
173,"00:18:36,000","00:18:38,583",It's so fast. What if...
174,"00:18:40,000","00:18:41,833","You're a tough time now, Moana."
175,"00:18:43,291","00:18:44,458",For some things...
176,"00:18:46,458","00:18:47,458",We never feel ready.
177,"00:21:39,583","00:21:40,583",My mom.
178,"00:21:42,791","00:21:46,125",I'll always be right beside you.
179,"00:21:46,666","00:21:50,625",But perhaps you're meant for more.
180,"00:21:52,625","00:21:55,500","Oh, what are you so worried about?"
181,"00:21:56,000","00:21:58,916",It's not like last time.
182,"00:22:00,166","00:22:02,958","Last time you
weren't old enough to understand."
183,"00:22:03,375","00:22:06,000","Oh, you could lose or learn."
184,"00:22:07,166","00:22:11,333","And here we are together
still just a little different."
185,"00:22:13,166","00:22:15,666",I can't see where your story leads.
186,"00:22:17,250","00:22:20,166",But we never stop choosing who we are.
187,"00:22:25,000","00:22:27,250",This is bigger than what you do.
188,"00:22:28,083","00:22:29,083",Bigger than us.
189,"00:22:30,000","00:22:36,666","So I will sail into this new sky to
reconnect the people of the entire ocean."
190,"00:22:37,208","00:22:40,416",And then I will return home.
191,"00:23:24,791","00:23:26,458","Moana, you need a crew."
192,"00:23:27,500","00:23:28,660","Hey, hey, Apuwa, don't count."
193,"00:23:29,208","00:23:30,916",It's the other side of the ocean.
194,"00:23:31,375","00:23:32,665",How could I ask them to?
195,"00:23:32,666","00:23:36,750",Our people will rise if you let them.
196,"00:23:37,625","00:23:39,625",Last time the chicken made it.
197,"00:23:42,625","00:23:44,833","Well, I'm going to need a bigger canal."
198,"00:23:45,916","00:23:48,124","Yes, brand new."
199,"00:23:48,125","00:23:48,333",Sleep.
200,"00:23:48,666","00:23:49,291",Double health design.
201,"00:23:49,292","00:23:50,625",My fist can do this.
202,"00:23:51,083","00:23:51,375",Sweet.
203,"00:23:51,750","00:23:52,999","I'm hoping to line
up greats with the crew."
204,"00:23:53,000","00:23:55,958",I'd like you on the crew.
205,"00:23:57,125","00:23:59,125","Well, we should do better than this."
206,"00:24:03,000","00:24:05,790",A farmer on the sea.
207,"00:24:05,791","00:24:07,431","We're going to
need to eat more than fish."
208,"00:24:08,000","00:24:09,000",You need irrigation.
209,"00:24:09,001","00:24:10,666",Plant propagation.
210,"00:24:11,000","00:24:12,625",Take even my best apprentice.
211,"00:24:13,041","00:24:14,041",Good stuff.
212,"00:24:14,708","00:24:14,916",Exactly.
213,"00:24:15,375","00:24:16,000",We need a master.
214,"00:24:16,333","00:24:17,333","Yes, you too."
215,"00:24:17,583","00:24:18,583","Thanks, Kelly."
216,"00:24:18,791","00:24:19,416",You're the best.
217,"00:24:19,416","00:24:20,416",I walked onto that one.
218,"00:24:21,333","00:24:23,875","Hey, Maui, it's been a while."
219,"00:24:24,916","00:24:30,291","I don't know where you are,
but I could really use your help."
220,"00:24:33,750","00:24:34,750",Maui!
221,"00:24:35,458","00:24:36,458","Oh, Moni."
222,"00:24:36,500","00:24:38,625","It's both of us, actually."
223,"00:24:39,750","00:24:41,083",Maui and me.
224,"00:24:42,041","00:24:43,291",It's part of a series.
225,"00:24:45,125","00:24:46,125",Wow.
226,"00:24:47,250","00:24:48,541",It's too bad Maui isn't here.
227,"00:24:48,791","00:24:50,871","We really need someone
who knows all the old stories."
228,"00:24:51,375","00:24:56,333","Someone who's like super
strong and has great hair and just..."
229,"00:24:56,791","00:24:58,332",I know someone else.
230,"00:24:58,333","00:24:59,333",Kind of like that?
231,"00:25:00,708","00:25:01,708",Yes!
232,"00:25:02,000","00:25:05,625","I'm going with Donna
on a call from the ancestors."
233,"00:25:06,416","00:25:07,416",Whoo!
234,"00:25:07,500","00:25:10,291","Get ready for some
eyewitness accounts, people."
235,"00:25:21,000","00:25:22,916",I'm coming with you.
236,"00:25:24,625","00:25:27,041",I'll be back as soon as I can.
237,"00:25:27,875","00:25:28,875",I promise.
238,"00:25:30,000","00:25:32,458",What if you don't come back?
239,"00:25:40,208","00:25:43,791",The ocean is my friend.
240,"00:25:48,166","00:25:54,833",Our friend.
241,"00:26:16,000","00:26:17,208",He connects us.
242,"00:26:23,541","00:26:29,291","So, there is nowhere I could
ever go that I won't be with you."
243,"00:26:29,625","00:26:30,625",Go.
244,"00:26:37,875","00:26:40,083",So you can take a piece of hold.
245,"00:28:09,000","00:28:12,500","Okay, okay, okay."
246,"00:28:13,000","00:28:14,000",One more time.
247,"00:28:14,916","00:28:18,541",This is not the end of our story.
248,"00:28:19,166","00:28:22,583",This is not where our destiny is denied.
249,"00:28:23,083","00:28:25,666","Together, we rise as one."
250,"00:28:26,416","00:28:29,166","Together, we take our freedom."
251,"00:28:35,000","00:28:36,374",That guy gets it.
252,"00:28:36,375","00:28:37,833","Yep, I made you handsome."
253,"00:28:38,916","00:28:42,250",Now all you gotta do is catch my hook.
254,"00:28:43,833","00:28:44,833",Come on.
255,"00:28:47,000","00:28:48,208","Yes, yes."
256,"00:28:48,666","00:28:49,458","Come on, you got it."
257,"00:28:49,666","00:28:50,866",That's what I'm talking about.
258,"00:28:51,333","00:28:52,500","Yes, keep doing it."
259,"00:28:53,000","00:28:54,000","That's it, higher."
260,"00:28:54,125","00:28:54,583",We're almost there.
261,"00:28:54,916","00:28:55,916",Just a little higher.
262,"00:29:13,000","00:29:14,208",Don't worry.
263,"00:29:14,666","00:29:16,466","Come on, you know
me, I'll get us out of here."
264,"00:29:17,958","00:29:20,125","No, I don't need her to save me."
265,"00:29:20,916","00:29:21,916",Again.
266,"00:29:23,208","00:29:24,208",Because she'll die.
267,"00:29:24,875","00:29:27,166","Melo hates humans
even more than he hates me."
268,"00:29:27,458","00:29:28,642",And let me tell you something.
269,"00:29:28,666","00:29:29,666",He hates me a lot.
270,"00:29:30,208","00:29:33,000","So the farther Curly is
from any of this, the better."
271,"00:29:33,541","00:29:36,833",We're on our own.
272,"00:29:38,708","00:29:39,958","Yeah, I got it."
273,"00:29:43,000","00:29:47,541","I would let you out, but I'm
really hoping to meet your little friend."
274,"00:29:48,458","00:29:49,541",I have plans for you both.
275,"00:29:51,000","00:29:54,708","Hey, hey, hey, enjoy your lunch."
276,"00:30:16,000","00:30:18,500","Melo, what are you doing?"
277,"00:30:18,791","00:30:20,000",I'm making improvements.
278,"00:30:20,833","00:30:21,125",Okay.
279,"00:30:21,126","00:30:24,708",Who is perfect as it is?
280,"00:30:25,083","00:30:26,083",The fictions of it.
281,"00:30:26,291","00:30:29,083","There is only
failing, then learning, then death."
282,"00:30:31,458","00:30:33,666",What is the order?
283,"00:30:34,041","00:30:35,041",Of course.
284,"00:30:35,208","00:30:37,000",That's why you're the wayfinder.
285,"00:30:38,458","00:30:39,708","No, no, no."
286,"00:30:43,000","00:30:47,208","Guys, the entire
ocean is kind of counting on us."
287,"00:30:47,416","00:30:48,000",We've got to rise to the moment.
288,"00:30:48,001","00:30:51,750","Stay on course and
kick everyone off the canoe."
289,"00:30:52,583","00:30:54,208","Wait, where's the harbor?"
