line,start_time,end_time,text
1,"00:00:26,192","00:00:29,988","♪ Hold on,
I've been waiting so long ♪"
2,"00:00:30,030","00:00:35,035",♪ Is this how this feels? ♪
3,"00:00:38,204","00:00:40,957",♪ It's happening ♪
4,"00:00:40,999","00:00:44,210","♪ Yes, it's really happening ♪"
5,"00:00:44,252","00:00:51,509",♪ This is real ♪
6,"00:00:53,344","00:00:55,555","-Dada.
-Yes, sir."
7,"00:00:55,597","00:00:58,058","-Dada.
-Yes, sir."
8,"00:00:58,099","00:00:59,684",Careful. Don't crash.
9,"00:01:03,605","00:01:04,689",You okay?
10,"00:01:06,733","00:01:08,234","Yeah, but you're not
supposed to have that"
11,"00:01:08,276","00:01:10,779","-on the table, buddy.
-Dada."
12,"00:01:11,654","00:01:13,448","So, can you do me a favor
and tell everybody"
13,"00:01:13,490","00:01:15,784","I'm trying to do an interview
for the film?"
14,"00:01:15,825","00:01:17,327","Okay, babe."
15,"00:01:17,368","00:01:20,038","But just tell the kids to be--
quiet down, like..."
16,"00:01:24,626","00:01:26,586","-And good morning, brother.
-Hey."
17,"00:01:29,923","00:01:32,217","-Are we good?
-Yeah. All set."
18,"00:01:32,258","00:01:33,384",Okay.
19,"00:01:33,426","00:01:34,886","-Hey.
-Hey, how you doing, man?"
20,"00:01:34,928","00:01:36,096",Good to see you. How's it going?
21,"00:01:36,137","00:01:37,097","-We're recording? Yeah?
-Yeah, yeah."
22,"00:01:37,138","00:01:38,223","Okay, cool."
23,"00:01:38,264","00:01:40,475",Quiet on the set!
24,"00:01:42,685","00:01:44,646","You know what I always
thought about?"
25,"00:01:44,687","00:01:45,730",What's that?
26,"00:01:45,772","00:01:47,607","What if, like..."
27,"00:01:47,649","00:01:49,442",What if nothing's new?
28,"00:01:50,944","00:01:52,904",What if life is like a LEGO set?
29,"00:01:54,572","00:01:57,200","And you can put 'em together
whatever way you want."
30,"00:01:58,451","00:02:03,206","But you're borrowing from
colors that already existed."
31,"00:02:04,958","00:02:06,918",Does that make sense?
32,"00:02:06,960","00:02:08,253",Um...
33,"00:02:08,294","00:02:09,504","You know what would be cool
is if, like,"
34,"00:02:09,546","00:02:12,590","we told my story
with LEGO pieces."
35,"00:02:13,716","00:02:15,301","-Seriously?
-Yes."
36,"00:02:15,343","00:02:17,137","-LEGO?
-Yes."
37,"00:02:17,929","00:02:19,430",Mm-hmm.
38,"00:02:19,472","00:02:21,558","Just imagine all the color
that would bring to it."
39,"00:02:21,599","00:02:22,433",Sure.
40,"00:02:22,475","00:02:24,269","-Limitless color.
-Mm-hmm."
41,"00:02:24,310","00:02:26,187","This is the best way I can
really be my purest self..."
42,"00:02:26,229","00:02:28,022","-Yeah.
-...without feeling weird."
43,"00:02:28,064","00:02:29,107",Okay.
44,"00:02:29,149","00:02:30,817","Man, I'm saying just..."
45,"00:02:30,859","00:02:32,819",Just be open. Just be open.
46,"00:02:32,861","00:02:36,114","So, what would you be wearing
in this interview, then?"
47,"00:02:36,156","00:02:39,284","Dad hat, T-shirt, shorts,"
48,"00:02:39,325","00:02:40,910",on a yellow electric bike.
49,"00:02:42,620","00:02:44,205",'Kay.
50,"00:02:44,247","00:02:45,790",Moving on.
51,"00:02:45,832","00:02:47,375",Here's an easy question.
52,"00:02:47,417","00:02:50,920","Well, maybe
it's easy, maybe it's hard."
53,"00:02:50,962","00:02:52,881",Where are you from?
54,"00:02:52,922","00:02:54,257",I'm from the mud.
55,"00:02:58,928","00:03:01,306",Close to the fabled Atlantis.
56,"00:03:02,557","00:03:03,683",♪ Uh-huh ♪
57,"00:03:07,145","00:03:09,939",♪ And it was born in a cloud ♪
58,"00:03:09,981","00:03:12,734",♪ With silver lining ♪
59,"00:03:12,775","00:03:16,070","I just became obsessed with,
like, water, you know?"
60,"00:03:16,112","00:03:18,198","And, like, King Neptune."
61,"00:03:27,040","00:03:29,334",♪ And voilà ♪
62,"00:03:36,216","00:03:38,343","I feel like
my obsession with water"
63,"00:03:38,384","00:03:40,511",triggered something in me.
64,"00:03:40,553","00:03:43,598",Different kinds of abilities.
65,"00:03:52,440","00:03:54,442",I don't know where it's from.
66,"00:03:55,485","00:03:57,487",But I knew I was different.
67,"00:04:02,033","00:04:03,368",Really?
68,"00:04:03,409","00:04:05,078",I've always grappled with that.
69,"00:04:09,165","00:04:11,626","♪ See, maybe ♪"
70,"00:04:11,668","00:04:14,295",♪ There was something wrong ♪
71,"00:04:14,337","00:04:16,714",♪ And you weren't telling me ♪
72,"00:04:16,756","00:04:20,176","♪ No, oh ♪"
73,"00:04:20,218","00:04:23,429","♪ See, see, maybe ♪"
74,"00:04:24,389","00:04:26,599",♪ The laugh's on me ♪
75,"00:04:26,641","00:04:32,689","♪ And life was
telling me a joke ♪"
76,"00:04:36,609","00:04:38,903",I'm from Virginia Beach.
77,"00:04:46,577","00:04:49,664","The beach was
less than a mile from Atlantis,"
78,"00:04:49,706","00:04:52,041","the housing project
where I grew up."
79,"00:04:54,294","00:04:56,254","The suburbs thought
this was the hood,"
80,"00:04:56,296","00:04:58,965","but really
this place was magical."
81,"00:05:05,138","00:05:07,807","♪ Hey, yeah ♪"
82,"00:05:10,935","00:05:15,898","You'd just witness music
bouncing off the walls."
83,"00:05:18,443","00:05:21,112","And the Blue Angels,
they would fly over"
