line,start_time,end_time,text
1,"00:01:16,833","00:01:20,333",♪ My mummy says I'm a miracle ♪
2,"00:01:24,208","00:01:27,250",♪ My daddy says I'm a special little guy ♪
3,"00:01:27,792","00:01:29,417",♪ I am a princess ♪
4,"00:01:29,500","00:01:31,167",♪ I am a prince ♪
5,"00:01:31,250","00:01:34,750","♪ Mum says I'm a angel
Sent down from the sky ♪"
6,"00:01:34,833","00:01:38,500","♪ My daddy says
I'm his special little soldier ♪"
7,"00:01:38,583","00:01:41,583","- ♪ No one is as bold ♪
- ♪ Or tough as me ♪"
8,"00:01:41,667","00:01:43,667",♪ Has my daddy told ya? ♪
9,"00:01:43,750","00:01:45,458",♪ One day when I'm older ♪
10,"00:01:45,542","00:01:47,333",♪ I can be a soldier ♪
11,"00:01:47,417","00:01:49,167",♪ And punch you in the face ♪
12,"00:01:49,958","00:01:53,375","♪ Take another picture of our pumpkin
From this angle over here ♪"
13,"00:01:53,458","00:01:56,833","♪ I know we oughtn't say this
But she's clearly cuter than her peers ♪"
14,"00:01:56,917","00:01:58,875","- ♪ What a dear ♪
- ♪ Yoo-hoo, honey, look at Mummy ♪"
15,"00:01:58,958","00:02:00,500",♪ Try not to vomit on your brother ♪
16,"00:02:00,583","00:02:02,208","- ♪ Now smile for Mummy ♪
- ♪ Smile for Mother ♪"
17,"00:02:02,292","00:02:03,875","- ♪ I think she blinked ♪
- ♪ Well, take another ♪"
18,"00:02:03,958","00:02:05,292",♪ Have you seen what he can do? ♪
19,"00:02:05,375","00:02:06,625",♪ Is that unusual for day two? ♪
20,"00:02:06,708","00:02:10,083","♪ Is smiling early not a sign
Of an exceptional IQ? ♪"
21,"00:02:10,167","00:02:11,125",♪ She's just delightful ♪
22,"00:02:11,208","00:02:12,583","- ♪ So intuitive ♪
- ♪ So insightful ♪"
23,"00:02:12,667","00:02:14,667","♪ Might he be
A little brighter than the norm? ♪"
24,"00:02:14,750","00:02:16,708",♪ I know to say it's frightful form ♪
25,"00:02:17,750","00:02:19,917",♪ My mummy says I'm a miracle ♪
26,"00:02:20,000","00:02:23,250","♪ One look at my face
And it's plain to see ♪"
27,"00:02:23,333","00:02:26,708","♪ Ever since the day
Doc chopped the umbilical cord ♪"
28,"00:02:26,792","00:02:30,083","♪ It's been clear there's no peer
For a miracle like me ♪"
29,"00:02:30,167","00:02:32,667",♪ My mummy says I'm a miracle ♪
30,"00:02:32,750","00:02:35,792","♪ That I'm as tiny
And as shiny as a mirror ball ♪"
31,"00:02:35,875","00:02:39,208","♪ You can be all cynical
But it's a truth empirical ♪"
32,"00:02:39,292","00:02:42,417","♪ There's never been a miracle
As factually spectacularly ♪"
33,"00:02:42,500","00:02:45,875","♪ Actually miraculously
Fabulous a miracle as me ♪"
34,"00:02:45,958","00:02:46,792",A baby?
35,"00:02:47,667","00:02:50,042","I'm not having a baby.
What on earth gives you that idea?"
36,"00:02:51,125","00:02:52,875","I'm not listening to this.
This is quackery."
37,"00:02:52,958","00:02:54,542",But you're about to give birth.
38,"00:02:54,625","00:02:57,708",Are you out of your mi…
39,"00:02:57,792","00:02:59,708","Mrs. Wormwood,
you're having a contraction."
40,"00:02:59,792","00:03:01,250",I'm not having contractions.
41,"00:03:01,333","00:03:04,208",Contractions are for pregnant women…
42,"00:03:04,292","00:03:08,583",…who are having ba… …bies!
43,"00:03:09,167","00:03:12,042",I'm having a stinking baby!
44,"00:03:12,125","00:03:15,917",♪ Every life I bring into this world ♪
45,"00:03:16,500","00:03:19,417",♪ Restores my faith in humankind ♪
46,"00:03:19,500","00:03:23,917",♪ Whoa-oh-oh! Oh! ♪
47,"00:03:24,000","00:03:28,292","♪ Each newborn life
A canvas yet unpainted ♪"
48,"00:03:28,375","00:03:31,667",♪ Their still unbroken skin ♪
49,"00:03:31,750","00:03:35,417",♪ Their uncorrupted minds ♪
