line,start_time,end_time,text
1,"00:00:27,066","00:00:32,066",Subtitles by explosiveskull
2,"00:01:06,478","00:01:07,645","Ho, ho!"
3,"00:01:29,701","00:01:33,236","Shh! Fritz.
Now, be very still."
4,"00:01:33,238","00:01:35,304",This is how we'll do it.
5,"00:01:35,306","00:01:37,408","With science,
mechanics..."
6,"00:01:38,810","00:01:40,512",and a bit of luck.
7,"00:01:43,147","00:01:46,482","First, we've got energy."
8,"00:01:46,484","00:01:49,722","The heat from the candle
will make the balloon rise."
9,"00:02:01,734","00:02:03,600","With the momentum
from the ball..."
10,"00:02:03,602","00:02:06,435",that hits the monkey...
11,"00:02:06,437","00:02:08,640","...and pivots
onto the bellows."
12,"00:02:11,242","00:02:13,279",Which blows the longboat.
13,"00:02:15,614","00:02:18,749","Giving us Newton's
third law of physics..."
14,"00:02:18,751","00:02:22,586","that says every action
has an equal..."
15,"00:02:22,588","00:02:24,390","- and opposite...?
- Reaction."
16,"00:02:27,125","00:02:29,093","- Yes!
- Yes!"
17,"00:02:30,696","00:02:33,564",Do they bite?
18,"00:02:33,566","00:02:35,599",I suppose they do.
19,"00:02:35,601","00:02:37,602",If you're horrid to them.
20,"00:02:39,271","00:02:41,204","Oh, there you are."
21,"00:02:41,206","00:02:43,841","Up and down I've been
looking for you rascals."
22,"00:02:43,843","00:02:45,175","Worn out, I am."
23,"00:02:45,177","00:02:46,476","We were
catching a mouse."
24,"00:02:46,478","00:02:49,146","Well, if you catch one,
I'm not cooking it."
25,"00:02:49,148","00:02:50,647",Too many bones.
26,"00:02:50,649","00:02:52,215","Now, come on, be quick."
27,"00:02:52,217","00:02:54,286","We have a lot to do
before this evening."
28,"00:02:54,920","00:02:56,186",There you are!
29,"00:02:56,188","00:02:57,354","I've been looking
all over for you."
30,"00:02:57,356","00:02:58,755",Look at the state of you.
31,"00:02:58,757","00:03:00,325","We were trying
to catch a mouse..."
32,"00:03:00,327","00:03:03,161","with toys and momentum
and matches and..."
33,"00:03:03,163","00:03:04,295",Matches?
34,"00:03:04,297","00:03:05,897",It was Clara's idea.
35,"00:03:05,899","00:03:08,265","Catching mice
on Christmas Eve?"
36,"00:03:08,267","00:03:09,634","Honestly, Clara."
37,"00:03:09,636","00:03:11,569",We nearly had him.
38,"00:03:11,571","00:03:13,771","What were you gonna do with
him when you caught him?"
39,"00:03:13,773","00:03:17,207","Teach him tricks.
He could dance."
40,"00:03:17,209","00:03:20,279","Ah. There you are.
What do we think?"
41,"00:03:20,880","00:03:22,847","It's wonderful, Father."
42,"00:03:22,849","00:03:24,549","With a few adjustments,
perhaps."
43,"00:03:24,551","00:03:25,820",It's not how Mother did it.
44,"00:03:26,787","00:03:27,788",Fritz.
45,"00:03:33,893","00:03:37,362","Um... Now, children,
I have some presents for you."
46,"00:03:37,364","00:03:38,798",But it's not Christmas Day.
47,"00:03:39,833","00:03:40,867",They're from your mother.
48,"00:03:42,736","00:03:46,339","She asked me to give them
to you on Christmas Eve."
49,"00:03:47,807","00:03:49,541",That one's for you.
50,"00:03:50,945","00:03:52,847","- Louise.
- Thank you."
51,"00:03:53,881","00:03:55,750",Soldiers! Yay!
52,"00:03:57,450","00:03:59,283",Clara.
53,"00:03:59,285","00:04:01,452","The enemy
has found our location!"
54,"00:04:04,257","00:04:06,357",We've been ambushed!
55,"00:04:06,359","00:04:07,928",They're from both sides!
56,"00:04:09,229","00:04:11,364",It's Mother's favorite.
57,"00:04:11,831","00:04:13,601","Yes. Yes, it was."
58,"00:04:22,910","00:04:24,244","What is it, Clara?"
59,"00:04:29,282","00:04:31,550",It's an egg of some sort.
60,"00:04:31,552","00:04:33,585","What's inside?
Is it jewelry?"
61,"00:04:33,587","00:04:34,822",I don't know.
62,"00:04:37,591","00:04:38,958",It's locked.
63,"00:04:38,960","00:04:40,528",Are you sure it opens?
64,"00:04:41,595","00:04:43,765",There's a keyhole. Here.
65,"00:04:44,900","00:04:46,498",But there's no key.
66,"00:04:46,500","00:04:49,969","Why would Mother give me this
without a key?"
67,"00:04:49,971","00:04:52,673","It's just a silly egg
that doesn't open."
68,"00:04:55,910","00:04:57,445","It's not just
a silly egg, Fritz."
69,"00:04:57,812","00:04:58,946",Clara.
70,"00:05:00,916","00:05:02,284",Clara!
71,"00:05:16,965","00:05:20,299","""Everything you need
is inside."""
72,"00:05:20,301","00:05:21,302",Clara.
73,"00:05:26,541","00:05:28,276",Is everything all right?
74,"00:05:29,611","00:05:30,645",No.
75,"00:05:31,947","00:05:34,316",This is a pin tumbler lock.
76,"00:05:35,984","00:05:38,551","It's impossible to open
without a key."
77,"00:05:38,553","00:05:39,688",I see.
78,"00:05:41,356","00:05:43,356","Well, why don't you
get ready for the party,"
79,"00:05:43,358","00:05:44,993","and then you can
work it out tomorrow."
80,"00:05:49,665","00:05:51,932","Clara, Christmas comes..."
81,"00:05:51,934","00:05:54,467",whether we like it or not.
82,"00:05:54,469","00:05:56,371","We must do our best
to enjoy it."
83,"00:05:57,472","00:05:59,441",I don't want to enjoy it.
84,"00:06:02,011","00:06:04,044","I don't want to enjoy anything
right now."
85,"00:06:04,046","00:06:05,812","Well, that may be
the case..."
86,"00:06:05,814","00:06:08,650","but it's important to maintain
traditions as a family."
87,"00:06:09,584","00:06:11,353",It's what's expected of us.
88,"00:06:13,090","00:06:14,922","I don't care
what's expected."
89,"00:06:14,924","00:06:16,692","- Well, you should.
- Father?"
90,"00:06:19,462","00:06:21,330",It's almost time to go.
91,"00:06:23,833","00:06:25,501",Do I look all right?
92,"00:06:28,704","00:06:29,839",Yes.
93,"00:06:30,540","00:06:31,808","Yes, indeed."
94,"00:06:35,410","00:06:37,413",Please get your sister ready.
95,"00:06:39,549","00:06:42,418","You must be gentle
with him, Clara."
96,"00:06:43,753","00:06:45,555",I wish Mother was here.
97,"00:06:45,922","00:06:47,590",We all do.
98,"00:06:54,430","00:06:56,730",I have to open this.
99,"00:06:56,732","00:06:57,832",You'll work it out.
100,"00:06:57,834","00:07:00,669","You're an extremely
clever girl, just like Mother."
101,"00:07:00,671","00:07:03,171","I don't feel
very clever lately."
102,"00:07:03,173","00:07:04,439",Maybe you should spend
103,"00:07:04,441","00:07:05,372","a little less time
in the attic..."
104,"00:07:05,374","00:07:08,877","and a little more time
in the real world."
105,"00:07:08,879","00:07:11,915","The real world just doesn't
make sense to me anymore."
106,"00:07:12,649","00:07:14,816","You must try, Clara."
107,"00:07:14,818","00:07:16,452",If only for Father.
108,"00:07:18,121","00:07:22,658","Father is acting
as if nothing has changed."
109,"00:07:25,429","00:07:27,629",But everything has changed.
110,"00:07:27,631","00:07:30,031","""D."" It's Drosselmeyer."
111,"00:07:30,033","00:07:31,935",He must have made this.
112,"00:07:32,936","00:07:35,203",And maybe he can open it!
113,"00:07:35,205","00:07:37,472",Good.
114,"00:07:37,474","00:07:39,507","Now, will you let me
finish with your hair?"
115,"00:07:39,509","00:07:41,676",Yes. But please hurry.
116,"00:08:06,070","00:08:07,502",It is important to be
117,"00:08:07,504","00:08:09,238",on your best behavior tonight.
118,"00:08:09,240","00:08:11,742","That means remembering our
manners at dinner. Fritz!"
119,"00:08:14,078","00:08:16,848","I do want one dance
with you, Louise."
120,"00:08:17,916","00:08:19,651","And you, Clara."
121,"00:08:21,519","00:08:23,653","- Do I have to dance?
- Yes, you do."
122,"00:08:23,655","00:08:25,821","And no disappearing
tonight either."
123,"00:08:25,823","00:08:28,624","Mingle and engage
with the guests."
124,"00:08:28,626","00:08:29,761",What about me?
125,"00:08:30,795","00:08:32,061",What about you?
126,"00:08:32,063","00:08:33,765",Who will dance with me?
127,"00:08:54,752","00:08:56,552",Yay! Godfather's house.
128,"00:08:56,554","00:08:58,254","Last one in
is a nincompoop."
129,"00:09:01,760","00:09:03,827","Master Drosselmeyer
welcomes"
130,"00:09:03,829","00:09:06,098",Mr. and Mrs. Jeremiah Jones.
131,"00:09:08,167","00:09:12,668","Doctor and Mrs. McDonald,
Timothy and Ezekiel McDonald."
132,"00:09:12,670","00:09:14,171",Magic!
133,"00:09:14,173","00:09:15,604","Fritz, come on."
134,"00:09:15,606","00:09:18,177","How do we
get them back?"
135,"00:09:22,214","00:09:23,746",The Stahlbaum family.
136,"00:09:23,748","00:09:26,219","Benjamin, Louise,
Fritz, and Clara."
137,"00:10:03,356","00:10:04,656",Godfather?
138,"00:10:20,673","00:10:21,739",Hello.
139,"00:10:24,077","00:10:26,212","Have you seen
Godfather anywhere?"
140,"00:10:27,814","00:10:29,147",He sees everything.
141,"00:10:29,149","00:10:31,282","Which can be a great help
to an old man."
142,"00:10:31,284","00:10:33,119",Godfather.
143,"00:10:33,887","00:10:35,121","Hello, Clara."
144,"00:10:35,788","00:10:37,022",I need your help.
145,"00:10:37,024","00:10:39,791","Ah. But I need
your help first."
146,"00:10:39,793","00:10:41,360",Look at this damn thing.
147,"00:10:44,265","00:10:46,233",Backwards.
148,"00:10:47,067","00:10:48,367",It moves...
149,"00:10:48,369","00:10:49,936",backwards.
150,"00:10:51,004","00:10:53,271","The mechanism
must be reversed."
151,"00:10:53,273","00:10:55,006","I know, but I can't,
for the life of me,"
152,"00:10:55,008","00:10:56,743",figure out why.
153,"00:10:58,878","00:10:59,880",May I?
154,"00:11:00,247","00:11:02,247",Please.
155,"00:11:07,088","00:11:09,088","It looks like the idler wheel
has slipped."
156,"00:11:09,090","00:11:10,189",Hmm.
157,"00:11:10,191","00:11:11,256",Causing the pinion ring
158,"00:11:11,258","00:11:12,826","to engage
the secondary drive gear."
159,"00:11:13,260","00:11:14,725",Pliers.
