line,start_time,end_time,text
1,"00:01:59,714","00:02:01,450","Okay, let's see
what we got here."
2,"00:02:01,485","00:02:03,386",Seen it. Seen it.
3,"00:02:03,421","00:02:05,685",Huh. What's this about?
4,"00:02:05,720","00:02:07,555",At the dawn... dawn... dawn...
5,"00:02:07,590","00:02:08,919",dawn... dawn... dawn...
6,"00:02:22,275","00:02:23,934",Ah. Here we go.
7,"00:02:23,969","00:02:25,573","At the dawn of time,"
8,"00:02:25,608","00:02:29,148","there was our gracious
and powerful creator,"
9,"00:02:29,909","00:02:31,843",Primus.
10,"00:02:31,878","00:02:36,045","To protect our universe, he
sacrificed his life force,"
11,"00:02:36,080","00:02:39,851","transforming himself
into our planet,"
12,"00:02:40,755","00:02:42,623",Cybertron.
13,"00:02:42,658","00:02:45,395","From within Cybertron's core,"
14,"00:02:45,430","00:02:48,959","Primus birthed the
first Transformers"
15,"00:02:48,994","00:02:52,270","known as the Primes,"
16,"00:02:52,305","00:02:54,338","the most powerful Transformers,"
17,"00:02:54,373","00:02:58,210","appointed to lead and
protect future generations."
18,"00:02:58,245","00:03:02,940","To assist them, Primus created
an entity of great power,"
19,"00:03:02,975","00:03:05,140",the Matrix of Leadership.
20,"00:03:05,175","00:03:08,143","The Matrix, there it is. Okay.
Good. Come on. Keep going."
21,"00:03:08,178","00:03:10,816","With the Matrix in the
Primes' possession,"
22,"00:03:10,851","00:03:17,328","Cybertron's natural power source,
Energon, flowed in abundance,"
23,"00:03:17,363","00:03:20,694","sustaining life
across the planet."
24,"00:03:23,028","00:03:27,338","Attention! Unauthorized movement
detected in archival vault."
25,"00:03:27,373","00:03:28,636",Sector J-3.
26,"00:03:28,671","00:03:30,704",KDQ-12 to KDK-1.
27,"00:03:30,739","00:03:32,541","Breaching archives
in ten seconds."
28,"00:03:32,576","00:03:37,381","For generations, there
was peace and prosperity,"
29,"00:03:37,416","00:03:40,813","until the Matrix of
Leadership was lost,"
30,"00:03:40,848","00:03:44,520","causing Energon
to no longer flow."
31,"00:03:44,555","00:03:48,689","Why does every legend about
the Matrix end right there?"
32,"00:03:48,724","00:03:50,955","One of these has to
say what happened."
33,"00:03:50,990","00:03:53,230","Halt, criminal!
Prepare to be detained!"
34,"00:03:53,256","00:03:55,366","Oh, hey there. Halt,
criminal! Prepare to..."
35,"00:03:56,897","00:03:57,929",Uh-oh.
36,"00:04:00,571","00:04:02,065",Freeze! Get down!
37,"00:04:02,100","00:04:04,639","Well, hello, guys. I'm
so glad you're here."
38,"00:04:04,674","00:04:06,036",Which way is the exit?
39,"00:04:06,071","00:04:07,587",I must've taken a wrong turn.
40,"00:04:07,611","00:04:10,414","It's that defective
mining bot, Oreon Pix!"
41,"00:04:10,449","00:04:11,877",Orion Pax. Who cares?
42,"00:04:11,912","00:04:13,912","We told you to never
come back here!"
43,"00:04:13,947","00:04:16,882","Why are we all yelling?
I'm gonna smash you!"
44,"00:04:16,917","00:04:19,555","Hold on. Whoa, whoa, hold
on. No need for violence."
45,"00:04:19,590","00:04:23,185","I run away, you chase me.
We play that game. Huh?"
46,"00:04:23,220","00:04:25,220","Come on. You're bigger,
faster. It'll be fun."
47,"00:04:25,255","00:04:28,058","He doesn't have a cog.
Let's give him a head start."
48,"00:04:28,093","00:04:30,929","Why not? It's not
like he can transform."
49,"00:04:30,964","00:04:31,897","Oh, yeah?"
50,"00:04:31,932","00:04:33,899","Well, watch this."
51,"00:04:37,641","00:04:39,069",Get him!
52,"00:04:42,173","00:04:43,579",I... I... Uh...
53,"00:04:43,614","00:04:45,284","Something that flies.
Something that flies."
54,"00:04:45,308","00:04:46,923",Prepare to be detained!
55,"00:04:46,947","00:04:48,683","Halt, criminal!
Prepare to be detained!"
56,"00:04:48,718","00:04:50,113","Halt, criminal!"
57,"00:05:03,293","00:05:04,633",Come on! Start! Come on!
58,"00:05:04,668","00:05:07,306",Whoa!
59,"00:05:12,643","00:05:14,676","Whoa. No, no, no, no!"
60,"00:05:17,417","00:05:18,449",There he is!
61,"00:05:22,488","00:05:25,148","Ha-ha! So long, suck..."
62,"00:05:26,789","00:05:28,316","Ooh, Energon."
63,"00:05:28,351","00:05:30,120","Evening, everyone. Pardon me."
64,"00:05:37,536","00:05:38,931",Hey!
65,"00:05:44,169","00:05:45,509",Whoa!
66,"00:05:45,544","00:05:48,347","Ah, it's Orion.
Seriously, again?"
67,"00:06:00,955","00:06:03,021","Okay, fellas! Thanks
for the head start."
68,"00:06:03,056","00:06:04,462",You want to give me another one?
69,"00:06:04,497","00:06:06,860","You're dead! I'll
take that as a no."
70,"00:06:06,895","00:06:08,697",Hey! Watch where you're going!
71,"00:06:08,732","00:06:10,534","Oh... What did
you say, no-cog?"
72,"00:06:10,569","00:06:12,096","Sorry, sir, I didn't mean you."
73,"00:06:12,131","00:06:13,966","I was referring to the
bot who was behind you."
74,"00:06:14,001","00:06:15,473",What? Where'd he go?
75,"00:06:15,508","00:06:16,936",The filthy red and blue bot?
76,"00:06:16,971","00:06:18,905","Has a big mouth, squeaky joints,"
77,"00:06:18,940","00:06:20,610","gives off a corroded
metallic stench?"
78,"00:06:20,645","00:06:22,304",Where is he? He went that way.
79,"00:06:22,339","00:06:24,482","When I get my hands
on that bot..."
80,"00:06:33,416","00:06:35,218","All right, all clear."
81,"00:06:35,253","00:06:37,858","Okay, D-16, I may
be a little rusty,"
82,"00:06:37,893","00:06:39,530","but ""corroded""?
That is too far."
83,"00:06:39,565","00:06:41,664","Let me guess. Chased
out of the archives?"
84,"00:06:41,699","00:06:43,743","Yeah. I had to jump out
of a window this time."
85,"00:06:43,767","00:06:45,536",Almost died. It was wild.
86,"00:06:45,571","00:06:47,769","And digging through ancient
data is worth dying for?"
87,"00:06:47,804","00:06:49,133","Yes, it is."
88,"00:06:49,168","00:06:50,607",I need a new best friend.
89,"00:06:50,642","00:06:52,510","If there are clues in
our recorded history"
90,"00:06:52,545","00:06:54,611","that can help locate the
Matrix of Leadership,"
91,"00:06:54,646","00:06:56,008",they're in the archives.
92,"00:06:56,043","00:06:59,374","Sentinel Prime,
the Sentinel Prime,"
93,"00:06:59,409","00:07:01,486","is up on the surface right now,"
94,"00:07:01,521","00:07:04,720","risking his life for us
in search of the Matrix."
95,"00:07:04,755","00:07:07,822","That's exactly what I'm
doing. I'm trying to help him."
96,"00:07:07,857","00:07:09,384","Yeah, okay."
97,"00:07:09,419","00:07:11,155","The sooner Energon flows again,"
98,"00:07:11,190","00:07:13,322","the sooner we won't
have to mine for it."
99,"00:07:13,357","00:07:15,676","Don't you want to choose your
own path, do whatever you want?"
100,"00:07:15,700","00:07:18,327","We're miners. We
mine, that's all."
101,"00:07:18,362","00:07:22,837","No, there has got to be something
more I can do. I can feel it."
102,"00:07:22,872","00:07:24,872","Oh, yeah? Like the time
you had a ""feeling"""
103,"00:07:24,907","00:07:26,643","you could transform
without a cog?"
104,"00:07:26,678","00:07:28,447","You said you were never
gonna mention that again."
105,"00:07:28,471","00:07:30,878","Took me three days
to pry you open."
106,"00:07:30,913","00:07:32,022","Your feelings get
you in trouble."
107,"00:07:32,046","00:07:33,551","Yeah, yeah."
108,"00:07:33,586","00:07:35,784","Just trust in Sentinel
Prime. I do trust in him."
109,"00:07:37,557","00:07:39,447","Hey, if we did have cogs..."
110,"00:07:39,482","00:07:41,724","I'd transform into a
shovel and beat you."
111,"00:07:41,759","00:07:43,660","I don't like how fast
you answered that."
112,"00:07:43,695","00:07:46,564","But listen, if you did beat me,
I couldn't give you this awesome"
113,"00:07:46,599","00:07:48,830","Megatronus Prime thing
I have here. It's cool."
114,"00:07:48,865","00:07:51,800","I'll give it to someone else.
What Megatronus Prime thing?"
115,"00:07:51,835","00:07:53,670","Ah, it's nothing.
Just a, you know,"
116,"00:07:53,705","00:07:56,970","mint-condition Megatronus
Prime decal, first edition."
117,"00:07:57,005","00:07:58,576",What?
118,"00:07:58,611","00:08:00,446","If you don't want it, I
can just throw it away."
119,"00:08:00,470","00:08:02,052","Throw it away? Don't...
That's not funny. Let me see."
120,"00:08:02,076","00:08:04,439","Wait. Don't grab.
You're gonna crease it."
121,"00:08:06,619","00:08:09,081","You know, Sentinel says
Megatronus was the..."
122,"00:08:09,116","00:08:10,984","The strongest
Prime to ever live."
123,"00:08:11,019","00:08:12,480","I know, buddy."
124,"00:08:12,515","00:08:16,660","Looks good on you.
Ah, it's really cool."
125,"00:08:18,356","00:08:20,532",Thanks. Always got your back.
126,"00:08:21,194","00:08:22,930",No matter what.
127,"00:08:26,529","00:08:29,112","Approaching sublevel station.
Stand clear of doors."
128,"00:08:29,136","00:08:31,037","Mining teams, prepare to unload."
129,"00:08:50,927","00:08:53,521","Metal to the pedal,
drill bits. This is it."
130,"00:08:53,556","00:08:55,996","How much Energon have you
mined under my leadership?"
131,"00:08:56,031","00:08:57,327","So much, Elita-1!"
132,"00:08:57,362","00:08:59,329","And how perfect is
my mining record?"
133,"00:08:59,364","00:09:00,836","So perfect, Elita-1!"
134,"00:09:00,871","00:09:03,201","We are a mere 30
units of Energon away"
135,"00:09:03,236","00:09:05,236",from my promotion to supervisor.
136,"00:09:05,271","00:09:06,809",Are you happy for me?
137,"00:09:06,844","00:09:08,206","So happy, Elita-1!"
138,"00:09:09,308","00:09:10,978","Elita... I mean Captain,"
139,"00:09:11,013","00:09:13,684","you are looking especially
shiny this morning. New polish?"
140,"00:09:13,719","00:09:15,686","Orion Pax, I'm
sorry that I somehow"
141,"00:09:15,721","00:09:17,479","gave you the impression
that we're friends."
142,"00:09:17,514","00:09:18,953",Apology accepted.
143,"00:09:18,988","00:09:20,691","Light up that wall!
Let's go! Ten seconds!"
144,"00:09:20,726","00:09:22,319","Happy to take the
lead today, Captain."
145,"00:09:22,354","00:09:23,958","Feeling like I have
enough power in me"
146,"00:09:23,993","00:09:25,861","to drill down and
touch Primus myself."
147,"00:09:25,896","00:09:27,522","You don't have the
touch or the power."
148,"00:09:27,557","00:09:29,733","Ready positions, rust
buckets! Let's go!"
149,"00:09:29,768","00:09:31,669","She's in a good
mood today. Mm-hmm."
150,"00:09:31,704","00:09:33,396",You ready? Always ready.
151,"00:09:33,431","00:09:35,035",Let's punch in.
152,"00:09:35,070","00:09:36,751","Here we go. This one
won't be open long."
