line,start_time,end_time,text
1,"00:01:13,240","00:01:14,825",One minute to showtime.
2,"00:01:14,908","00:01:17,536","BroZone, BroZone, BroZone."
3,"00:01:17,619","00:01:20,163","BroZone! BroZone, yeah!"
4,"00:01:20,247","00:01:21,832","We love you, BroZone!"
5,"00:01:23,041","00:01:25,627","All right, guys. We're gonna
open with ""Girl, Baby, Baby"""
6,"00:01:25,711","00:01:27,713","and close with
""Baby, Baby, Girl."""
7,"00:01:27,796","00:01:29,506","Wait, no.
That doesn't sound right. Ooh!"
8,"00:01:29,590","00:01:31,675","I got it.
Open with ""Baby, Baby, Girl,"""
9,"00:01:31,758","00:01:34,219","close with
""Baby, Baby, Girl, Woman."""
10,"00:01:34,303","00:01:36,013",Yes!
11,"00:01:36,096","00:01:38,348","We are gonna make
boy band history tonight."
12,"00:01:38,432","00:01:40,809","-510. 511. 512.
-Love it, Brother."
13,"00:01:40,893","00:01:43,061","I wanna see a hundred more
of those by showtime, Spruce."
14,"00:01:43,145","00:01:45,689","Those abs need
to be poppin', baby."
15,"00:01:45,772","00:01:48,150",Oh! Come on.
16,"00:01:48,233","00:01:50,319","God, I wanna boil an egg
on those abs."
17,"00:01:50,402","00:01:53,697","John Dory, do I really have
to keep wearing these things?"
18,"00:01:53,780","00:01:56,617","Yes, you do, Clay.
They're funderdrawers."
19,"00:01:56,700","00:01:59,119","It's underwear,
but 76% more fun."
20,"00:01:59,203","00:02:00,662","Let's see those dance moves,
Brother."
21,"00:02:00,746","00:02:01,830",Fine.
22,"00:02:01,914","00:02:04,082","Rusty Robot, into Wiggle Worm,"
23,"00:02:04,166","00:02:06,293",end on Caliente Puppet. Yeah.
24,"00:02:06,376","00:02:08,586","Bro, you look stressed.
Breathe."
25,"00:02:08,669","00:02:10,506","Well, of course I'm stressed,
Floyd."
26,"00:02:10,589","00:02:12,132","It's the first show
of the tour."
27,"00:02:12,216","00:02:14,510","We have to hit
the perfect family harmony."
28,"00:02:14,593","00:02:17,095","-We promised the fans.
-Okay, calm down."
29,"00:02:17,179","00:02:18,847","You're making
Baby Branch nervous."
30,"00:02:18,931","00:02:20,349",BroZone! BroZone!
31,"00:02:20,432","00:02:21,350",What? Nervous?
32,"00:02:21,433","00:02:22,893","No, no, no."
33,"00:02:22,976","00:02:24,144","He's not allowed
to be nervous."
34,"00:02:24,228","00:02:25,395",He's gotta be perfect.
35,"00:02:25,479","00:02:28,023","Cut him some slack, John Dory.
It's his first show."
36,"00:02:28,106","00:02:29,149","Come on, abs."
37,"00:02:30,275","00:02:31,860","Hey, Branch. How you feeling?"
38,"00:02:31,944","00:02:35,239","I feel like I'm gonna barf
and pass out and--"
39,"00:02:35,322","00:02:36,406",Pee your pants all at once?
40,"00:02:36,490","00:02:37,574",How'd you know?
41,"00:02:37,658","00:02:39,034","Ah,
you got the pre-show jitters."
42,"00:02:39,117","00:02:40,118",Completely normal.
43,"00:02:40,202","00:02:43,247","Everyone gets 'em. You wanna
know what I do when I get 'em?"
44,"00:02:44,289","00:02:46,083","Barf, pass out
and pee your pants?"
45,"00:02:46,166","00:02:48,126","I remember
that I'm with my brothers,"
46,"00:02:48,210","00:02:49,670","and that
when we come together,"
47,"00:02:49,753","00:02:51,713","there is nothing
that we can't do."
48,"00:02:51,797","00:02:54,883","But no one's ever hit the
perfect family harmony before."
49,"00:02:54,967","00:02:57,594","Is it true
it can shatter diamonds?"
50,"00:02:57,678","00:02:59,513",Yeah. It's that powerful.
51,"00:02:59,596","00:03:00,597","All right,
boys, just remember,"
52,"00:03:00,681","00:03:02,933","no matter what you do,
follow my lead."
53,"00:03:03,016","00:03:04,101","Or maybe,"
54,"00:03:04,184","00:03:05,853","let's just go out there
and have fun together."
55,"00:03:05,936","00:03:08,522",It's just so much pressure.
56,"00:03:08,605","00:03:09,648",Ten seconds!
57,"00:03:09,731","00:03:12,109","A-And what happens
if we can't hit it?"
58,"00:03:12,192","00:03:13,318","Oh, that's not an option."
59,"00:03:13,402","00:03:14,945","If we can't hit
the perfect family harmony,"
60,"00:03:15,028","00:03:16,196",we aren't perfect.
61,"00:03:16,280","00:03:18,574","And if we aren't perfect,
we're nothing."
62,"00:03:18,657","00:03:21,118","Just follow my lead,
and the harmony will happen."
63,"00:03:22,244","00:03:23,412",Let's bro!
64,"00:03:23,495","00:03:26,123","Ladies
and gentlemen, here they are."
65,"00:03:26,790","00:03:27,875",The heartthrob.
66,"00:03:30,085","00:03:31,712",The fun boy.
67,"00:03:32,880","00:03:34,298",The sensitive one.
68,"00:03:35,340","00:03:36,633",The leader.
69,"00:03:37,384","00:03:39,219",And the baby.
70,"00:03:40,804","00:03:44,266",Give it up for BroZone!
71,"00:03:44,349","00:03:46,393","♪ Well, there she goes ♪"
72,"00:03:47,269","00:03:49,897","♪ On the floor, let's do this
No more talkin' ♪"
73,"00:03:52,649","00:03:54,693",♪ Did anybody notice ♪
74,"00:03:55,652","00:03:58,530","♪ The energy just shifted
When we dropped in ♪"
75,"00:03:59,156","00:04:01,950","♪ Ooh, let it drop in, hmm ♪"
76,"00:04:02,034","00:04:03,869","♪ I don't flex, but I might ♪"
77,"00:04:03,952","00:04:05,037","♪ Groove about
To take flight ♪"
78,"00:04:05,120","00:04:06,121",♪ Take flight ♪
79,"00:04:06,205","00:04:08,165","♪ 'Cause the night is young
And the music's on ♪"
