line,start_time,end_time,text
1,"00:01:08,640","00:01:10,679","And we're
back at the final stretch"
2,"00:01:10,680","00:01:12,489",of the Indianapolis 500.
3,"00:01:12,800","00:01:14,564","Guy Gagné is
gaining on the pack."
4,"00:01:14,760","00:01:17,331","The young French Canadian
is making quite an impression"
5,"00:01:17,480","00:01:19,687","in his debut
here at the Motor Speedway."
6,"00:01:20,160","00:01:21,999","In all my years of racing,"
7,"00:01:22,000","00:01:24,844","I've never seen a driver
with this much raw talent."
8,"00:01:25,000","00:01:26,079",But what's this?
9,"00:01:26,080","00:01:28,686","Out of nowhere, a dark horse
is challenging Gagné."
10,"00:01:28,840","00:01:30,080",He's gaining on the pack.
11,"00:01:30,240","00:01:31,799",And down the front stretch.
12,"00:01:31,800","00:01:34,804","Moving into fourth position...
third... Now, second!"
13,"00:01:34,960","00:01:36,769","Going to the outside
as they cross the bricks!"
14,"00:01:36,920","00:01:39,764","And it looks like
the winner is Turbo!"
15,"00:01:39,920","00:01:43,163",Amazing! Unbelievable!
16,"00:01:43,320","00:01:46,608","Instant replay.
Again, in super slo-mo."
17,"00:01:47,680","00:01:48,966",Whoo! Whoa!
18,"00:01:54,360","00:01:55,441","Welcome back, race fans."
19,"00:01:55,600","00:01:57,967","We're here with Indy's
brightest new star, Guy Gagné."
20,"00:01:58,120","00:02:01,044","Tell us, Guy, what inspired
you to become a race driver?"
21,"00:02:01,200","00:02:06,240","You know, Dan, everybody's got that
one thing that makes them happy."
22,"00:02:07,000","00:02:10,607","And for me, it's terrifying,
terrifying blazing speed."
23,"00:02:10,880","00:02:11,959",Guy!
24,"00:02:13,120","00:02:14,884","- One at a time, please.
- Theo!"
25,"00:02:15,040","00:02:16,963","Yes, the handsome
fellow in the back."
26,"00:02:17,400","00:02:18,890",What are you doing?
27,"00:02:19,200","00:02:21,771","What I've always done. Stay
focused, try to run my race."
28,"00:02:21,920","00:02:24,127","That's all any driver can do.
Next question."
29,"00:02:24,440","00:02:26,681",Can you please go to sleep?
30,"00:02:26,840","00:02:28,285",We've got work tomorrow.
31,"00:02:28,440","00:02:29,487",Sleep? Are you kidding me?
32,"00:02:29,640","00:02:31,642","It takes hours to come down
after a big race like this."
33,"00:02:31,800","00:02:33,529","Yeah, I bet. Okay."
34,"00:02:34,520","00:02:37,569","They are the fuel
that keeps me running!"
35,"00:02:37,760","00:02:40,161","Guy, when you were just a rookie
starting out in the Indy Lights,"
36,"00:02:40,320","00:02:42,687","did you ever dream that you'd
be standing here today?"
37,"00:02:42,840","00:02:46,083","Well, as my dear father
always told me,"
38,"00:02:46,240","00:02:50,290","""No dream is too big,
and no dreamer"
39,"00:02:50,480","00:02:51,481","too small. ""
Too small."
40,"00:02:51,600","00:02:52,799",Sleep!
41,"00:03:03,000","00:03:05,367",Head in the game. Head in the game.
42,"00:03:24,800","00:03:27,690","Yes! Seventeen minutes!
That's a new record!"
43,"00:03:28,080","00:03:29,445",Whoo-hoo! Theo!
44,"00:03:38,040","00:03:39,121",Good morning.
