line,start_time,end_time,text
1,"00:01:36,625","00:01:38,285",Safe!
2,"00:01:44,758","00:01:45,873",Off belay!
3,"00:01:50,722","00:01:52,964","Right, can you get my camera out,
please?"
4,"00:01:58,897","00:02:00,770",Say it.
5,"00:02:01,775","00:02:03,518","- Come on.
- Don't take a picture."
6,"00:02:03,610","00:02:07,738","Give us a smile. I'm sure there's a
pretty face under that frown somewhere."
7,"00:02:12,285","00:02:15,321","- Is that the best you got?
- Afraid so."
8,"00:02:15,413","00:02:17,986","- OK, get one of me.
- No, I'll take it at the top."
9,"00:02:18,082","00:02:20,573","Yeah, but I wanna get
some of this background in."
10,"00:02:20,668","00:02:22,043",Pass it over.
11,"00:02:24,672","00:02:27,589","Try and get some of that exposure in.
Show how high up we are."
12,"00:02:27,675","00:02:29,548",Is that a golden eagle?
13,"00:02:36,642","00:02:38,266",Beautiful.
14,"00:02:38,352","00:02:40,677","It's a golden eagle.
Buzzard. I don't know"
15,"00:02:40,771","00:02:43,096","Nah, it's way too big to be a buzzard."
16,"00:02:50,989","00:02:54,654","Alright, that's enough of the bird.
Point the camera at the money."
17,"00:02:55,660","00:02:57,155","Alison, come on."
18,"00:02:58,830","00:03:00,739","- Stop pouting.
- What?"
19,"00:03:02,167","00:03:03,958",It was a golden eagle.
20,"00:03:49,171","00:03:51,876","- Alison! Help me!
- Ed!"
21,"00:03:53,967","00:03:55,426","Jesus Christ, Alison!"
22,"00:03:56,094","00:03:58,253","- Shit!
- Rob, throw the rope."
23,"00:03:58,347","00:03:59,426","- Guys!
- Alison!"
24,"00:03:59,514","00:04:03,808","- Ed!
- Alison, please! It's slipping!"
25,"00:04:03,894","00:04:05,554",It's gonna go!
26,"00:04:10,150","00:04:14,479","I can't... I can't...
I can't get up!"
27,"00:04:17,448","00:04:19,275","- Help me!
- Rob!"
28,"00:04:20,618","00:04:21,863",Rob!
29,"00:04:25,540","00:04:28,956","Ed, just breathe!"
30,"00:04:29,043","00:04:31,534","- It's not gonna hold!
- Ed! Ed!"
31,"00:04:31,629","00:04:34,250","Ed, you have to listen to me.
Just breathe."
32,"00:04:51,023","00:04:53,775","It's OK, but stop moving.
Keep it together."
33,"00:04:53,859","00:04:55,187","Alright, alright."
34,"00:04:55,277","00:04:57,519","Easy. OK, OK. Get your breath."
35,"00:04:57,613","00:05:00,483","Get your breath.
Jesus Christ, what happened, guys?"
36,"00:05:02,159","00:05:05,195","- Alison, are you alright?
- Don't ask. Yeah, I'm fine."
37,"00:05:05,287","00:05:08,987","Alright, mate, you're alright.
OK. Can you just pull yourself up?"
38,"00:05:09,082","00:05:11,122","- Thank God.
- Alison, you OK?"
39,"00:05:11,209","00:05:13,118","- I'm fine.
- Alright."
40,"00:05:13,211","00:05:15,998","It's OK, keep going.
Just get your breath."
41,"00:06:07,472","00:06:10,806",# As I came in by Fiddichside
42,"00:06:10,892","00:06:14,760",# On a May morning
43,"00:06:14,855","00:06:18,224",# I spied Willie Maclntosh
44,"00:06:18,316","00:06:22,978",# An hour before the dawning
45,"00:06:24,239","00:06:28,236","# Turn again, turn again, turn again"
46,"00:06:28,326","00:06:30,615",# I bid ye
47,"00:06:30,703","00:06:34,072",# If ye burn Auchindoun
48,"00:06:34,165","00:06:38,661",# Huntly he will heid ye
49,"00:06:40,421","00:06:42,995",# Heid me or hang me
50,"00:06:43,090","00:06:46,424",# That shall never fear me
51,"00:06:46,510","00:06:49,714",# I'll burn Auchindoun
52,"00:06:49,805","00:06:55,013",# Though the life leaves me
53,"00:07:18,834","00:07:25,666","# As I came in by Auchindoun
on a May morning"
54,"00:07:25,757","00:07:33,551","# Auchindoun was in a bleeze
an hour before the dawning"
55,"00:07:35,350","00:07:38,137","# Crawing, crawing"
56,"00:07:38,228","00:07:41,347",# For all your crouse crawing
57,"00:07:41,439","00:07:45,271",# Ye burnt yer crop an' tint your wings
58,"00:07:45,360","00:07:50,520",# An hour before the dawning
59,"00:08:01,375","00:08:03,581",I lost my bloody camera.
60,"00:08:04,170","00:08:06,625","I feel sick
and my hands won't stop shaking."
61,"00:08:06,714","00:08:10,165","It's the adrenaline lag, mate.
Always hits you afterwards."
62,"00:08:11,760","00:08:13,041","Hey, Ed."
63,"00:08:13,929","00:08:16,930","Don't ever have a concentration lapse
like that again, OK?"
64,"00:08:17,015","00:08:19,637","You wanna climb with me,
you need to up your game."
65,"00:08:19,726","00:08:22,431","Methodical, every step. I mean it."
66,"00:08:22,562","00:08:25,647",Complacency is a killer out here.
67,"00:08:25,732","00:08:28,140","- We got away with cuts and bruises.
- Yeah."
68,"00:08:30,737","00:08:33,193",Remind me why we do this again.
69,"00:08:34,115","00:08:35,907",Because we don't surf.
70,"00:08:56,220","00:08:57,596","- Hey.
- Hey."
71,"00:08:57,680","00:09:00,467","- Hey.
- Hey. How you doing, honey?"
72,"00:09:02,351","00:09:06,728","- What time did you get here?
- About an hour ago. Just unpacking."
73,"00:09:07,648","00:09:11,598","Yeah, we took the double room
with the en suite. If that's OK?"
74,"00:09:11,694","00:09:13,686","Fine. I'm not sleeping with him, am l?"
75,"00:09:14,780","00:09:16,239",Neither am l.
76,"00:09:18,450","00:09:20,490","I'm Ed, by the way."
77,"00:09:20,577","00:09:23,495","Oh, Ed. I'm sorry, mate.
Ed, Jenny. Jenny, this is Ed."
78,"00:09:23,580","00:09:24,612","Hi, Ed."
79,"00:09:33,215","00:09:34,792","No, after you."
80,"00:09:38,094","00:09:39,505",OK?
81,"00:09:40,513","00:09:42,091","Oh, right."
82,"00:09:45,977","00:09:49,013","Oh, honey, can you bring me
the cutlery, please, babe?"
83,"00:09:49,105","00:09:50,932",It's in the jug on the dresser.
84,"00:09:51,941","00:09:53,850",Smells like someone's died in here.
85,"00:09:53,943","00:09:57,277","Yeah, it is a little stinky.
I'll open a window, let some air in."
86,"00:09:58,323","00:10:00,611","That's just what Fred West
would have said."
87,"00:10:00,700","00:10:03,405","In future, you should
bury your relatives outdoors."
88,"00:10:03,494","00:10:04,823",Think patio.
89,"00:10:04,912","00:10:08,826","If we had a phone in here, mate, you
could call up the landlord and complain."
90,"00:10:08,916","00:10:11,075","- There's no phone?
- No."
91,"00:10:11,168","00:10:12,413",Great.
92,"00:10:14,713","00:10:18,379",And the window... is bust.
93,"00:10:22,096","00:10:24,337",Any joy?
94,"00:10:24,431","00:10:26,471",We've had a right result.
95,"00:10:59,591","00:11:01,797","Hey, don't worry about her."
96,"00:11:02,677","00:11:07,006","You know, with a bit of luck, she'll be
tucked up and fast asleep by now."
97,"00:11:07,682","00:11:10,137",Your parents are such a pushover.
98,"00:11:10,226","00:11:13,310","She runs rings round them.
She's such a little monkey."
99,"00:11:15,523","00:11:16,851",I miss her.
100,"00:11:17,775","00:11:19,933","It's only been to days, Jen."
