line,start_time,end_time,text
1,"00:00:00,694","00:00:03,527",(meteor rumbling)
2,"00:00:07,205","00:00:09,705",(logo chimes)
3,"00:00:10,636","00:00:13,303",(logo cracking)
4,"00:00:19,436","00:00:22,853",(shopping cart rattling)
5,"00:00:38,974","00:00:42,391",(shopping cart rattling)
6,"00:00:53,318","00:00:56,068",(paper rustling)
7,"00:01:08,898","00:01:11,648",(paper rustling)
8,"00:01:21,946","00:01:24,779",(thunder rolling)
9,"00:01:33,459","00:01:36,292",(thunder rolling)
10,"00:01:42,233","00:01:45,150",(meteor whooshing)
11,"00:01:47,538","00:01:50,621",(creature squishing)
12,"00:01:58,152","00:02:00,819",(door creaking)
13,"00:02:05,208","00:02:08,291",(footsteps thudding)
14,"00:02:14,616","00:02:17,116",(door creaks)
15,"00:02:19,838","00:02:22,588",(slime dripping)
16,"00:02:38,878","00:02:41,961",(footsteps thudding)
17,"00:02:51,128","00:02:53,795",(door creaking)
18,"00:02:59,934","00:03:03,017",(footsteps thudding)
19,"00:03:07,424","00:03:10,257",(beep persisting)
20,"00:03:26,953","00:03:30,036",(footsteps thudding)
21,"00:03:36,682","00:03:39,599",(gravel crunching)
22,"00:03:42,828","00:03:45,911",(footsteps thudding)
23,"00:03:54,655","00:03:57,405",(alien growling)
24,"00:04:07,836","00:04:10,503",(ominous music)
25,"00:04:13,580","00:04:16,937",(suspenseful music)
26,"00:04:16,937","00:04:20,100","- Reporter Shower of meteorite
fragments that hit the city"
27,"00:04:20,100","00:04:22,740",caused extensive structural damage
28,"00:04:22,740","00:04:24,240",and injured around 200 people.
29,"00:04:25,635","00:04:28,635",(suspenseful music)
30,"00:04:33,000","00:04:35,640","The epicenter of this
singular atmospheric event"
31,"00:04:35,640","00:04:38,437","is in the area between Monroe and Lanval,"
32,"00:04:38,437","00:04:41,643","already known for its
urban and social decay."
33,"00:04:43,897","00:04:46,897",(suspenseful music)
34,"00:04:50,250","00:04:51,630",- Reporter Protests are growing
35,"00:04:51,630","00:04:54,258",in one of the poorest suburbs.
36,"00:04:54,258","00:04:56,670",(suspenseful music)
37,"00:04:56,670","00:04:59,760","These are quite common and
frequent natural events"
38,"00:04:59,760","00:05:01,925",that happen on the planet.
39,"00:05:01,925","00:05:04,925",(suspenseful music)
