line,start_time,end_time,text
1,"00:00:48,003","00:00:52,199",Subtitles by explosiveskull
2,"00:00:52,201","00:00:54,498","Why wouldn't we
bring up the first amendment?"
3,"00:00:54,500","00:00:57,764","We have to stick to the constitution.
That is what made this country."
4,"00:01:25,834","00:01:27,167",Don't die.
5,"00:01:29,766","00:01:31,666","Come on, photosynthesis."
6,"00:02:14,901","00:02:18,065","- That's a nice dress.
- Oh. Thank you."
7,"00:02:18,067","00:02:20,134","- I like your jacket.
- Thanks."
8,"00:02:22,500","00:02:26,165","- I hope our flight's on time.
- Oh, it is. See?"
9,"00:02:26,167","00:02:30,032","This airline has an excellent
arrival-departure record."
10,"00:02:30,034","00:02:31,932","Um, I Googled it."
11,"00:02:31,934","00:02:34,832","And, um, it has a 98..."
12,"00:02:34,834","00:02:37,132","No 96,
no 98 percent approval..."
13,"00:02:37,134","00:02:39,597","online user
approval rating."
14,"00:02:39,599","00:02:42,099","Which is very incredibly
high, obviously."
15,"00:02:42,101","00:02:45,732","Um, and Rancho Cucamonga
Mary sent me three,"
16,"00:02:45,734","00:02:49,633","who I trust implicitly,
was very effusive about it."
17,"00:02:52,034","00:02:53,901","- Yeah.
- And you get a snack."
18,"00:02:54,901","00:02:56,530",Great.
19,"00:02:57,934","00:02:59,899","- I'm sorry, what was that?
- What?"
20,"00:02:59,901","00:03:01,530","You just took
a step forward there."
21,"00:03:01,532","00:03:03,932","- I didn't.
- Yeah, you did. You know you did."
22,"00:03:03,934","00:03:05,832","- I didn't realize.
- Oh, I see."
23,"00:03:05,834","00:03:07,631",I beg your pardon?
24,"00:03:07,633","00:03:11,798","- I s-see what you did. I know what you did. It's...
- What did I do?"
25,"00:03:11,800","00:03:17,465","You came up alongside me, you know, with
your jacket and your face and charm,"
26,"00:03:17,467","00:03:21,232","and you just, you know, talked to
me for a strategic amount of time,"
27,"00:03:21,234","00:03:22,932","established your position,"
28,"00:03:22,934","00:03:26,798","and then just casually, blatantly
stepped in front of me."
29,"00:03:26,800","00:03:28,631","Like I had
some sort of amnesia"
30,"00:03:28,633","00:03:31,132","and couldn't remember 15 seconds in
the past when you were behind me."
31,"00:03:31,134","00:03:33,631",Untrue.
32,"00:03:33,633","00:03:35,832","Oh my... You just
did it again."
33,"00:03:35,834","00:03:39,065","This is like watching a
master at work in his dojo."
34,"00:03:39,067","00:03:40,965","- I mean...
- Here's what happened."
35,"00:03:40,967","00:03:43,765","I came to my gate, hoping
my flight was on time."
36,"00:03:43,767","00:03:45,832","I then attempted to start
a pleasant conversation,"
37,"00:03:45,834","00:03:48,765","whereupon you revealed the tip of
the iceberg of your tendencies,"
38,"00:03:48,767","00:03:51,698","and I was forced to take a step
forward to escape the vortex."
39,"00:03:51,700","00:03:54,932","Oh, my God.
Oh... Again! Oh!"
40,"00:03:54,934","00:03:58,232","And now you're casting me as the author
of a Byzantine conspiracy theory"
41,"00:03:58,234","00:04:00,597",of a Machiavellian land grab
42,"00:04:00,599","00:04:04,099","designed to usurp your position on
an aircraft that has eight seats."
43,"00:04:04,101","00:04:06,099",You know what? Okay.
44,"00:04:06,101","00:04:10,232","That's cra... If I'm wrong, just step in
back of me instead of in front of me."
45,"00:04:10,234","00:04:12,631","No, because that would mean
going past you again."
46,"00:04:12,633","00:04:15,631",I see. You know what?
47,"00:04:15,633","00:04:19,999","Five years ago, I would have said
something trite like, ""Chivalry is dead."""
48,"00:04:20,001","00:04:22,099","But this is worse
than unchivalrous."
49,"00:04:22,101","00:04:25,965","This is... You are
part and parcel of a world"
50,"00:04:25,967","00:04:28,999","that no longer has any
idea how to behave itself."
51,"00:04:29,001","00:04:32,597","In fact, I draw a straight
line between people like you"
52,"00:04:32,599","00:04:36,464","to investment bankers to
politicians to terrorists."
53,"00:04:36,466","00:04:41,132","You basically all have the same contempt
for decency and rules and any manners."
54,"00:04:41,134","00:04:44,765","And what's funny is there's
no way you can board first"
55,"00:04:44,767","00:04:47,132","because the only way you could board
first is if you had a special need."
56,"00:04:47,134","00:04:48,932","Do you have
a special need?"
57,"00:04:48,934","00:04:52,065","Yes, I need
to be over there."
58,"00:05:01,967","00:05:03,634",Fucker.
59,"00:05:30,934","00:05:32,734","- Fantastic.
- Wonderful."
60,"00:05:34,466","00:05:37,165","- Anybody want to trade seats?
- You're ridiculous."
61,"00:05:37,167","00:05:39,765","Anybody?
It's great back here."
62,"00:05:39,767","00:05:42,134","You've got
to be kidding me."
63,"00:05:46,634","00:05:47,734",Jesus.
64,"00:05:57,667","00:05:59,399","What brings you
to San Luis Obispo?"
65,"00:06:00,466","00:06:02,132","- You don't have to.
- What?"
66,"00:06:02,134","00:06:05,798","Talk. Honestly, I'd be
happier if you didn't."
67,"00:06:05,800","00:06:06,867",Fine.
68,"00:06:27,800","00:06:29,099","Dear God.
Tear it at the notch."
69,"00:06:29,101","00:06:31,464",There is no notch.
70,"00:06:31,466","00:06:33,232","- Give it to me.
- I'm not giving you..."
71,"00:06:33,234","00:06:34,234",Give it to me.
72,"00:06:49,500","00:06:52,134","This one does not appear
to have a working notch."
73,"00:06:59,001","00:07:00,001",Yeah.
74,"00:07:01,067","00:07:02,134",Yeah.
75,"00:07:10,101","00:07:11,667",All that...
76,"00:07:15,667","00:07:16,834",Thank you.
77,"00:07:38,634","00:07:40,634","I'm actually
going to Paso Robles."
78,"00:07:41,767","00:07:43,865","They call it Paso ""Roables."""
79,"00:07:43,867","00:07:46,231","Well, the correct
pronunciation is Robles."
80,"00:07:46,233","00:07:48,498","But they call it ""Roables."""
81,"00:07:48,500","00:07:50,099","- Whatever.
- I hope it's a big place."
82,"00:07:50,101","00:07:51,832",It isn't.
83,"00:07:51,834","00:07:54,531","If I see you at a restaurant,
I'll go to another restaurant."
84,"00:07:54,533","00:07:56,598","I'm not going to be
in any restaurants."
85,"00:07:56,600","00:07:59,965","Why? Are you checking
into a mental institution?"
86,"00:07:59,967","00:08:04,634","I'm going to that most presumptuous
of all things, a destination wedding."
87,"00:08:06,533","00:08:08,667","Please don't tell me
it's Keith and Anne's."
88,"00:08:10,800","00:08:13,032","How many weddings
can there possibly be"
89,"00:08:13,034","00:08:15,231","on any given day
in Paso Robles?"
90,"00:08:15,233","00:08:17,132",I was praying for two.
91,"00:08:17,134","00:08:19,798","And I was blaming Satan
for my seat assignment"
