line,start_time,end_time,text
1,"00:00:32,916","00:00:34,250","So, you've been good, right?"
2,"00:00:34,333","00:00:35,916","I mean, other than this?"
3,"00:00:36,000","00:00:38,541","He seems okay.
At least better than how I was picturing."
4,"00:00:38,625","00:00:40,583","Not too different
than last time I was here."
5,"00:00:40,666","00:00:43,392","Hard to tell whether he's in pain.
I mean, at least while he's asleep."
6,"00:00:43,416","00:00:45,166","But you've been on top of that, yes?"
7,"00:00:45,250","00:00:49,041","Because I think that's the thing,
is for it to be as painless as possible."
8,"00:00:49,125","00:00:51,041","The trick is, I guess,
the thing I'm saying"
9,"00:00:51,125","00:00:53,250","is that I hope
we can make this easy on him."
10,"00:00:53,333","00:00:55,041","Just not make a thing
out of anything."
11,"00:00:55,125","00:00:57,725","If we disagree, we talk it out
without getting heated, or yelling,"
12,"00:00:57,750","00:00:59,416",or anything that's going to upset him.
13,"00:00:59,500","00:01:02,166","We handle it like adults,
like the age we are."
14,"00:01:02,250","00:01:04,559","I really don't see what there is
to disagree about anyways."
15,"00:01:04,583","00:01:06,750","At the end of the day,
the hard truth is he's dying."
16,"00:01:06,833","00:01:09,541","There's nothing either one of us can do
to stop that from happening."
17,"00:01:09,625","00:01:12,267","I'm not trying to be cold,
but it's a matter of being there for him,"
18,"00:01:12,291","00:01:13,375",being here.
19,"00:01:13,458","00:01:15,833","Things from the past don't matter,
not right now."
20,"00:01:15,916","00:01:17,833","If there are things to work out,
they can wait."
21,"00:01:17,916","00:01:19,375",I really hope you agree.
22,"00:01:19,458","00:01:22,583","I'm upset. I know you are too.
We all are. It's hard. It sucks."
23,"00:01:22,666","00:01:24,458","Let's not make it harder, okay?"
24,"00:01:24,541","00:01:25,583",I did see...
25,"00:01:26,250","00:01:29,208","I did see that the DNR
never got signed like I asked."
26,"00:01:29,291","00:01:30,416",Quite a few times.
27,"00:01:30,500","00:01:31,791","I got it, it's not that easy."
28,"00:01:31,875","00:01:34,500","Well, it was easy, actually.
Now it's a lot harder."
29,"00:01:34,583","00:01:35,703",I'm not making this a thing.
30,"00:01:35,750","00:01:38,416","I'm just saying it's harder now
that he's not seeing doctors."
31,"00:01:38,500","00:01:41,458","I have to get Dr. Sanders here,
or someone who can witness his signature,"
32,"00:01:41,541","00:01:44,291","and it would've been just a lot simpler
when you were taking him in."
33,"00:01:44,375","00:01:45,833",I don't know how much time I have.
34,"00:01:45,916","00:01:46,874",He has.
35,"00:01:46,875","00:01:48,166",It's important.
36,"00:01:48,250","00:01:49,583",It's really important.
37,"00:01:54,500","00:01:57,208",He opened his eyes for a bit.
38,"00:01:57,291","00:01:59,375",That was nice. He knows we're here.
39,"00:01:59,458","00:02:01,125",I could tell that made him happy.
40,"00:02:01,791","00:02:03,750",I know.
41,"00:02:04,958","00:02:06,833","I promise I won't be like this
the whole time."
42,"00:02:06,916","00:02:09,375","I'm not going to just cry through it all.
Just for now."
43,"00:02:10,958","00:02:13,875","It's weird to be away, you know,
from Mirabella and David."
44,"00:02:13,958","00:02:15,166",That's part of it.
45,"00:02:15,250","00:02:17,809","- It's really my first time.
- You could've brought them."
46,"00:02:17,833","00:02:19,750","No, no, it's good they're not here."
47,"00:02:19,833","00:02:21,041",They're fine.
48,"00:02:21,125","00:02:23,458","I'd rather the memory be
from our last visit."
49,"00:02:23,541","00:02:26,541","He was better.
That's what hurts about this more."
50,"00:02:26,625","00:02:31,416","He was still sick, of course,
but he was still so there,"
51,"00:02:31,500","00:02:33,083",so able.
52,"00:02:33,833","00:02:37,333","I just didn't think things
would get to this, not so suddenly."
53,"00:02:37,416","00:02:41,166","I've seen too many movies, probably,
especially the ones made for children."
54,"00:02:41,250","00:02:45,166","With Mirabella these past couple of years,
everything's so nice, bright."
55,"00:02:45,791","00:02:47,541","Even if they get heavy,"
56,"00:02:47,625","00:02:49,958",there's a beauty and clarity to it all.
57,"00:02:50,041","00:02:51,708",This feels so real.
58,"00:02:51,791","00:02:53,708",I'm rambling. I'm sorry. It's the jet lag.
59,"00:02:53,791","00:02:55,541",I get even more emotional when I fly.
60,"00:02:57,500","00:02:58,500",Anyway...
61,"00:02:59,375","00:03:01,291","It's nice that it's us, just us."
62,"00:03:01,375","00:03:03,833","This is the way it should be.
The way he would want it."
63,"00:03:05,000","00:03:07,708","I interrupted something.
I'm sorry."
64,"00:03:07,791","00:03:10,791","How are you, Rachel? I feel like
we haven't spoken since Thanksgiving."
65,"00:03:10,875","00:03:11,875",How are you?
66,"00:03:13,583","00:03:14,583",I'm all good.
67,"00:03:17,666","00:03:21,125","I don't know what you want me to say.
I'm good. That's basically it."
68,"00:03:21,208","00:03:24,333","Well, she's definitely high.
The whole place stinks like weed."
69,"00:03:24,416","00:03:25,833","Fuck yeah, I'm high."
70,"00:03:25,916","00:03:27,083",High as a motherfucker.
71,"00:03:27,166","00:03:29,333","First thing I do in the morning
is I roll a blunt,"
72,"00:03:29,416","00:03:31,875","then I smoke at least three
more throughout the day."
73,"00:03:31,958","00:03:34,041",You know why? ‘Cause that's how I do shit.
74,"00:03:34,125","00:03:35,405","I don't care that
you smoke weed."
75,"00:03:35,458","00:03:38,017","It's just not right to smoke it
in the house when someone is sick."
76,"00:03:38,041","00:03:39,083","Well, Daddy doesn't mind."
77,"00:03:39,166","00:03:41,458","Uh, trust me, I've been smoking
around him all this time,"
78,"00:03:41,541","00:03:43,166",and he never had an issue.
79,"00:03:43,250","00:03:45,875","In fact, he likes the smell."
80,"00:03:45,958","00:03:47,158",Told me more than a few times.
81,"00:03:47,208","00:03:50,791","It's the smoke. The smoke, not the smell.
The man is dying. Just go outside."
82,"00:03:50,875","00:03:52,666","Damn, it took you five minutes."
