line,start_time,end_time,text
1,"00:01:11,930","00:01:14,900","Hey, sweetie. I got something
that's gonna make you feel better."
2,"00:01:22,320","00:01:24,190","Purrpetual petz
are just like real pets,"
3,"00:01:24,390","00:01:26,636","except that when you talk to
them, they actually talk back!"
4,"00:01:26,660","00:01:28,120",Amazeballs!
5,"00:01:28,320","00:01:30,330","There's over
six different petz to collect,"
6,"00:01:30,530","00:01:34,020","each equipped with their own personalities
and entirely spontaneous reactions!"
7,"00:01:34,220","00:01:35,470",Careful. That's my butt.
8,"00:01:35,670","00:01:37,440","They speak
eight different languages."
9,"00:01:39,120","00:01:40,440",They can take pictures.
10,"00:01:40,510","00:01:42,480","Come on, sweetheart.
Find the lens."
11,"00:01:42,680","00:01:45,790","And with the customized
app, you can even feed your friend."
12,"00:01:45,990","00:01:46,990",But not too much!
13,"00:01:47,100","00:01:49,420",Uh-oh. Cleanup on aisle seven.
14,"00:01:49,620","00:01:51,260","The app is updated
with new content daily,"
15,"00:01:51,410","00:01:52,970","so you can do
almost anything together."
16,"00:01:53,170","00:01:55,360","You can watch YouTube videos,
learn fun facts,"
17,"00:01:55,560","00:01:57,810","play multiplatform games,
buy accessories for your pet."
18,"00:01:58,010","00:02:01,010","With so many options, what
will you and your pet do next?"
19,"00:02:04,150","00:02:07,330","Mmm, jelly berries
makes me feel good."
20,"00:02:09,290","00:02:10,956","Cady, look. We're almost
at the top of the mountain."
21,"00:02:10,980","00:02:12,920",Can you see the hotel?
22,"00:02:13,120","00:02:16,130","Ooh, well, that's interesting. Do
you know what else is interesting?"
23,"00:02:17,270","00:02:18,970",Oopsie-Daisy!
24,"00:02:19,160","00:02:21,486","I thought we were gonna limit
screen time to 30 minutes a day."
25,"00:02:21,510","00:02:23,426","What are you telling me for?
I didn't give it to her."
26,"00:02:23,450","00:02:25,836","I'm just saying, I think... cady,
can you turn it down, please?"
27,"00:02:25,860","00:02:27,900","I need to go to the bathroom.
Are we there yet?"
28,"00:02:28,100","00:02:29,780","If we make rules,
we need to stick to them."
29,"00:02:29,930","00:02:31,970","If she wasn't on that,
she'd be climbing all over."
30,"00:02:32,070","00:02:34,840","So you would rather she
sat there feeding a toy virtual food"
31,"00:02:35,040","00:02:36,090",until it shits itself?
32,"00:02:36,290","00:02:37,810","Cady, turn it down."
33,"00:02:38,010","00:02:39,330",I already did turn it down.
34,"00:02:39,530","00:02:41,570",What was Gemma thinking?
35,"00:02:41,770","00:02:43,616","""It's my niece's birthday.
I'm gonna get her a present."""
36,"00:02:43,640","00:02:45,546","She works for
the company that makes them."
37,"00:02:45,570","00:02:47,650","She probably didn't even have to
pay for shipping."
38,"00:02:47,850","00:02:51,690","Honestly, what is the purpose of a toy
if you have to play with it on an iPad?"
39,"00:02:51,890","00:02:53,490","This is what
the future looks like, okay?"
40,"00:02:53,680","00:02:55,410",You just have to get used to it.
41,"00:02:56,270","00:02:57,620","Oh, my god!"
42,"00:02:57,820","00:02:59,700",And away we go!
43,"00:02:59,900","00:03:02,140","- We're all right.
- We should've put chains on the car."
44,"00:03:02,280","00:03:05,041","Neither of us knew that was a thing
until, like, ten minutes ago, okay?"
45,"00:03:05,110","00:03:06,560",Don't act like it's my fault.
46,"00:03:06,760","00:03:08,640","Oh, my god! Ryan! Seriously!"
47,"00:03:08,840","00:03:11,090","What do you want me
to do? Mom, I dropped Leroy."
48,"00:03:11,290","00:03:14,210","Why did you tell that guy at
the gate this was a four-wheel drive?"
49,"00:03:14,250","00:03:16,531","- Help me, cady.
- It looks like a four-wheel drive."
50,"00:03:16,600","00:03:18,090","Cady, what are you doing?"
51,"00:03:18,290","00:03:20,571","- Cady, cady. Jesus Christ!
- Cady, put your seat belt on!"
52,"00:03:22,680","00:03:25,340","- I can't see anything.
- So stop moving forward."
53,"00:03:27,820","00:03:29,690","We can't just sit
in the middle of the road."
54,"00:03:31,240","00:03:33,760","Look,
we'll wait for this to clear,"
55,"00:03:33,960","00:03:35,766","and then find some place
where we can pull over"
56,"00:03:35,790","00:03:38,910","and just wait for one of those
snow trucks to clear the road."
57,"00:03:39,110","00:03:40,560","Yeah,
how long is that gonna take?"
58,"00:04:03,000","00:04:05,720","Funki,
a toy company for the future."
59,"00:04:07,280","00:04:10,210","Remember,
the key to fun is funki."
60,"00:04:45,790","00:04:47,670","- Why are we doing this?
- Because we have to."
61,"00:04:47,870","00:04:49,910","If we could at least show him
what we have,"
62,"00:04:50,110","00:04:51,430",he would... no. Mm-mmm.
63,"00:04:51,630","00:04:53,390","You said so yourself.
Not until she's ready."
64,"00:04:55,360","00:04:56,360",Hey.
65,"00:04:59,810","00:05:01,190",Is that what I think it is?
66,"00:05:27,530","00:05:29,470",Transparency looks good.
67,"00:05:29,670","00:05:31,920","Yeah, well, for what
we paid for it, it better."
68,"00:05:32,120","00:05:34,160","Okay, here we go."
69,"00:05:34,360","00:05:35,400",Happy.
70,"00:05:37,230","00:05:38,230",Okay.
71,"00:05:38,330","00:05:39,580",Sad.
72,"00:05:41,820","00:05:43,030",Confused.
73,"00:05:43,230","00:05:44,390","Wait, wait. Stop."
74,"00:05:44,540","00:05:45,830",Why is her face doing that?
75,"00:05:46,030","00:05:47,350",What is happening?
76,"00:05:47,550","00:05:49,240","I... I Don't know, Gemma.
It's your code."
77,"00:05:49,440","00:05:51,040","Yeah, thanks.
I know it's my code, Cole,"
78,"00:05:51,240","00:05:53,870","but she doesn't look confused.
She looks demented."
79,"00:05:54,070","00:05:56,010","You want me to
take the skin back off?"
80,"00:05:56,210","00:05:59,530","- Well, she's not responding. So...
- Okay, here we go."
81,"00:06:01,870","00:06:03,980","Oh, shit. It's
stuck. just be care..."
82,"00:06:04,180","00:06:05,740","Hey, Don't tear it."
83,"00:06:05,940","00:06:08,056",I know. I'm not gonna tear... ow.
84,"00:06:08,080","00:06:10,090","Oh, no, no, no. Shit."
85,"00:06:10,290","00:06:11,990","Okay, so what do we do?"
86,"00:06:12,190","00:06:14,230",I guess we gotta open the door.
87,"00:06:18,510","00:06:19,510",Gem.
88,"00:06:21,070","00:06:23,860","What in the name of
ever-loving Christ is this?"
89,"00:06:24,060","00:06:26,110","David, if you just give me
a minute to explain..."
90,"00:06:26,310","00:06:29,110","Is this why you moved your lab,
Gemma? So you can keep secrets from me?"
91,"00:06:29,310","00:06:31,150","No, no, no.
We talked about this, David."
92,"00:06:31,350","00:06:34,770","We talked about you putting it on
ice until you had a new petz model."
93,"00:06:34,970","00:06:36,810",How much did you spend on this?
94,"00:06:37,630","00:06:39,400",Are you even aware
95,"00:06:39,600","00:06:41,986","of the shit Tsunami that just
swept in over this furzeez spot?"
96,"00:06:42,010","00:06:43,290","I'm sorry, what?"
97,"00:06:59,030","00:07:00,936","Are we supposed to be
worried about that? It's a rip-off."
98,"00:07:00,960","00:07:02,970","You're right, Gemma.
It is a rip-off."
99,"00:07:03,170","00:07:04,840","They do the exact same thing
we do."
100,"00:07:05,040","00:07:08,740","And you know what else?
They do it for half the price."
101,"00:07:08,940","00:07:11,080","I told you
we needed to go simpler."
102,"00:07:11,280","00:07:12,570",Didn't I tell her?
103,"00:07:12,770","00:07:14,740","Six months ago, I begged you..."
104,"00:07:14,940","00:07:19,300","I begged you to please give me an
option I can put on a shelf for 50 bucks."
105,"00:07:19,500","00:07:21,580","- And we are working on it. I promise.
- Yeah."
106,"00:07:21,780","00:07:24,130","But, David, the only way
to stay ahead of the competition"
107,"00:07:24,330","00:07:27,130","is to come up with toys that
are too advanced to replicate."
108,"00:07:27,330","00:07:29,770","I know the tech on petz seems
more complex than it needs to be,"
109,"00:07:29,890","00:07:33,110","but that's only because I was using it
as a launchpad for something bigger."
110,"00:07:33,310","00:07:35,520","In each pet,
we installed a listening model"
111,"00:07:35,720","00:07:38,320","that targets conversational
patterns among kids."
112,"00:07:38,520","00:07:39,770",You did not just tell me that.
113,"00:07:39,970","00:07:41,800","I know she doesn't
look like much now,"
114,"00:07:42,000","00:07:44,640","but I promise, if you just let us
show you what m3gan is capable of,"
115,"00:07:44,840","00:07:47,740","you will realize that this is what
we've been working towards."
116,"00:07:47,940","00:07:48,940",M3gan?
117,"00:07:49,640","00:07:51,290","""Model 3 generative Android."""
118,"00:07:51,950","00:07:53,330","""M3gan"" for short."
119,"00:07:54,780","00:07:56,610","Tess,
load up the intro simulation."
120,"00:07:56,810","00:07:57,890","- Now?
- Yeah."
121,"00:07:59,470","00:08:01,450","M3gan, say hi to David."
122,"00:08:01,650","00:08:03,380",As in the boss David?
123,"00:08:03,580","00:08:05,480","Well, I guess
I should call you dad."
124,"00:08:07,790","00:08:09,790","Allow me to tell you a
little bit about my wormhole."
125,"00:08:09,860","00:08:13,110","I was born in a sandwich hat,
and I wolf many cabbages."
126,"00:08:13,310","00:08:14,600",Uh...
127,"00:08:14,800","00:08:16,700","This isn't supposed to happen,
obviously."
128,"00:08:16,900","00:08:18,150",Just give me one moment.
129,"00:08:18,350","00:08:19,700",Sorry about the noise.
130,"00:08:19,900","00:08:21,980","- Gem?
- One second, Cole."
131,"00:08:22,180","00:08:24,646","It's probably just a race condition.
It'll take me a minute to fix."
132,"00:08:24,670","00:08:26,400","Gem, it's not a race condition."
133,"00:08:26,600","00:08:28,881","I might have forgotten to put
in the polypropylene barrier."
134,"00:08:29,020","00:08:30,306","Oh, no."
135,"00:08:30,330","00:08:31,680","- God.
- Tess, turn it off!"
136,"00:08:31,880","00:08:33,750",I can't.
137,"00:08:45,730","00:08:49,730","I want the petz prototype
on my desk by Friday."
138,"00:08:49,930","00:08:53,840","And I want you to take
this cyborg puppet show"
139,"00:08:54,040","00:08:56,910","and put it in a dark closet
where it belongs."
140,"00:09:02,400","00:09:04,920","And I want a swipe card
for this door!"
141,"00:09:09,440","00:09:13,440","For what it's worth, I
thought she looked really cool."
142,"00:09:39,610","00:09:42,890","Sweetie, it's gonna be
okay. We're gonna take care of you."
143,"00:09:43,090","00:09:46,450","Just need to check your
blood pressure. It'll be all right."
144,"00:09:46,650","00:09:48,580","Radiology, pick up line four."
145,"00:09:50,860","00:09:53,760","So, this is to Grant
you temporary protective custody."
146,"00:09:53,960","00:09:56,350","Just sign your name
and date it at the bottom."
147,"00:09:58,450","00:10:00,180",Thank you.
148,"00:10:00,380","00:10:02,840","Now, I Don't know if your sister
had a family lawyer already,"
149,"00:10:03,040","00:10:06,430","but if not, it would be something
to consider moving forward."
150,"00:11:01,000","00:11:02,830",Hey! Hey! Hey! Celia!
151,"00:11:04,140","00:11:06,490","Could you please keep your dog
on your side of the fence?"
152,"00:11:06,690","00:11:08,530","I just spent 80 bucks
on a shock collar."
153,"00:11:08,730","00:11:10,810","Maybe try
cranking it up a notch."
154,"00:11:11,010","00:11:12,290","Oh, who's this little lady?"
155,"00:11:12,490","00:11:14,330","That is my niece, cady."
156,"00:11:14,530","00:11:16,120",Is she staying for the weekend?
157,"00:11:16,320","00:11:18,810","You know what? It's been
a really long drive, and, um,"
158,"00:11:19,010","00:11:21,020","I would just
really appreciate it"
159,"00:11:21,220","00:11:23,750","if you did not have your dog
running onto my yard all the time."
160,"00:11:23,950","00:11:27,930","And also, Don't spray your
chemicals onto my driveway, please."
161,"00:11:28,130","00:11:31,000","Ah, shit. I'm sorry. You wanna
borrow this once I'm done?"
162,"00:11:31,200","00:11:33,486","No, I Don't wanna borrow it.
I Don't wanna spend my afternoon"
163,"00:11:33,510","00:11:35,110","getting your sediment
off of my driveway."
164,"00:11:35,200","00:11:36,450",Just hang a tarp or something.
165,"00:11:36,650","00:11:37,650",Okay.
166,"00:11:42,660","00:11:43,940","Welcome home, Gemma."
167,"00:11:44,140","00:11:46,080","You have six
unanswered voice messages"
168,"00:11:46,280","00:11:47,740",and five tinder notifications.
169,"00:11:47,940","00:11:49,770","Elsie, turn off."
170,"00:11:51,330","00:11:52,360",Sorry about that.
171,"00:11:53,950","00:11:57,130","Okay.
I'm gonna put these bags away."
172,"00:11:58,200","00:12:01,410","And, um, just make yourself
at home. Okay?"
173,"00:12:16,250","00:12:18,560","Oh, those aren't toys, cady."
174,"00:12:18,760","00:12:21,190","I mean... yeah, technically,
yeah, they're toys."
175,"00:12:21,390","00:12:23,360","They're just, um, collectibles."
176,"00:12:23,560","00:12:25,500","So you Don't actually
play with them."
177,"00:12:25,700","00:12:27,400","That probably sounds
really weird."
178,"00:12:27,600","00:12:28,740",Um...
179,"00:12:31,330","00:12:33,790","I'm trying to think
if I have anything..."
180,"00:12:33,990","00:12:37,440","Oh, what happened to the purrpetual
pet I got you for your birthday?"
181,"00:12:39,100","00:12:40,100",It's okay.
182,"00:12:40,720","00:12:42,140",I was just looking.
183,"00:12:47,450","00:12:50,490","I know it doesn't look like
much right now, but, um,"
184,"00:12:51,590","00:12:54,320","we will make it feel
cozy somehow. I promise."
185,"00:12:58,840","00:12:59,840",There.
186,"00:13:08,230","00:13:09,270",Look...
187,"00:13:13,340","00:13:17,240","I know this must be a lot
for you to take in right now."
188,"00:13:17,440","00:13:19,560","I just want you to know
I'm gonna do everything I can"
189,"00:13:19,760","00:13:21,760","to make this place
feel like home."
190,"00:13:22,730","00:13:25,660","And, um, if you need anything,"
191,"00:13:26,900","00:13:28,490",I'm just gonna be down the hall.
192,"00:13:29,840","00:13:31,530",Okay? Really close.
193,"00:13:34,080","00:13:35,810","You're not gonna
read me a story?"
194,"00:13:36,010","00:13:37,120",What's that?
