line,start_time,end_time,text
1,"00:02:29,566","00:02:31,568","Exactly what
Pastor Kingsman said..."
2,"00:02:31,735","00:02:34,204","you take a...
off the turnpike, six miles on..."
3,"00:02:34,363","00:02:36,582","- He doesn't know.
- I didn't think so."
4,"00:02:36,740","00:02:38,541","What's it called...
the first road? Lime Road?"
5,"00:02:38,617","00:02:40,961","- Old Lime Road.
- Rebecca, help your dad out here."
6,"00:02:41,119","00:02:43,247",Rebecca.
7,"00:02:43,413","00:02:45,415",I think we're lost.
8,"00:02:48,168","00:02:49,920","- Sorry, Dad.
- Okay. All right."
9,"00:02:50,087","00:02:51,648","- I saw these before.
- Saw what?"
10,"00:02:51,797","00:02:53,891","This. It all looks the same.
I don't know."
11,"00:02:54,049","00:02:55,729","If you took the right,
left at the right..."
12,"00:02:55,801","00:02:57,921","- You can't even hit me back.
- ... at the right barn."
13,"00:02:58,011","00:02:59,888","Or was it the left, left
at the right barn?"
14,"00:03:00,055","00:03:02,274","Do you remember
when he took the wrong exit?"
15,"00:03:02,432","00:03:03,979","- Right?
- We ended up going..."
16,"00:03:04,142","00:03:05,862","- No, no, that's not...
- Twice."
17,"00:03:05,936","00:03:07,537","- No, that's not true.
- He did it twice."
18,"00:03:07,604","00:03:09,197","- It was not properly marked.
- He did it twice."
19,"00:03:09,356","00:03:11,316","- It was not properly marked.
- You circled twice."
20,"00:03:13,944","00:03:15,617","Okay, ha-ha.
Listen, this is..."
21,"00:03:15,779","00:03:17,952",that was the right barn.
22,"00:03:18,115","00:03:19,875","I'm pretty sure
that this was the right road."
23,"00:03:19,991","00:03:21,459","Well, I mean,"
24,"00:03:21,618","00:03:24,918","it's not that I don't trust your
keen sense of judgment, Captain,"
25,"00:03:25,080","00:03:27,799","but why don't we just
stop and ask?"
26,"00:03:29,793","00:03:31,636",There's an idea.
27,"00:03:31,795","00:03:33,593","Come on, ask, ask."
28,"00:03:33,755","00:03:35,632","Ask, ask, ask, ask."
29,"00:03:35,799","00:03:37,801","Ask, ask ask."
30,"00:03:37,968","00:03:40,187","I'm gonna go in here
and check it out."
31,"00:03:41,346","00:03:43,974","- I listen to my family.
- Wrong turn."
32,"00:03:44,141","00:03:47,315","Is there... is there...
is there a fellow there?"
33,"00:03:47,477","00:03:49,946","Oh, my God."
