line,start_time,end_time,text
1,"00:01:28,853","00:01:30,594",We're screwed.
2,"00:01:30,730","00:01:32,767",No more free wi-fi.
3,"00:01:33,900","00:01:35,436","- Hey, Ki-jung!
- Yeah?"
4,"00:01:36,110","00:01:39,729","The lady upstairs put
a password on 'iptime'."
5,"00:01:40,740","00:01:41,901",A password?
6,"00:01:42,033","00:01:43,695",Did you try 123456789?
7,"00:01:43,785","00:01:44,901",No luck.
8,"00:01:44,994","00:01:46,405",Do it the other way.
9,"00:01:46,496","00:01:48,078",I tried that too!
10,"00:01:48,373","00:01:52,162","Fuck, then we can't get WhatsApp?"
11,"00:01:52,252","00:01:53,618",Nothing.
12,"00:01:54,003","00:01:55,790","Hey, Kim Ki-taek."
13,"00:01:56,714","00:02:00,048","Don't fucking pretend to sleep.
What do you think?"
14,"00:02:00,718","00:02:06,385","Our phones are shut off.
Now our wifi is shut off."
15,"00:02:07,225","00:02:09,012",What's your plan?
16,"00:02:12,730","00:02:14,062","- Ki-woo.
- Yes, Dad?"
17,"00:02:14,148","00:02:17,687","For wifi, hold it high."
18,"00:02:19,112","00:02:22,856",Stick it in every corner and so on.
19,"00:02:26,661","00:02:30,450",Damn stink bugs.
20,"00:02:31,374","00:02:33,536",Over here! I got it!
21,"00:02:33,626","00:02:34,958",Really? You got a signal?
22,"00:02:35,044","00:02:36,785","Yeah, see?"
23,"00:02:36,963","00:02:39,501","This one, 'coffeeland 2G'."
24,"00:02:39,716","00:02:41,628",Did a new cafe open?
25,"00:02:41,843","00:02:43,425",Why can't I get it?
26,"00:02:43,511","00:02:45,093",Climb up here.
27,"00:02:45,179","00:02:46,465",Hey kids.
28,"00:02:47,307","00:02:48,923","- Does it work?
- Yeah."
29,"00:02:49,017","00:02:51,350",Then check WhatsApp.
30,"00:02:51,853","00:02:54,345",Pizza Generation said they'd contact me.
31,"00:02:54,814","00:02:56,100",Hold on.
32,"00:02:56,691","00:02:58,899",Here it is. Pizza Generation.
33,"00:03:02,238","00:03:05,231","Wow! Check this out, guys."
34,"00:03:06,034","00:03:09,243","If we go as fast as her,
we can finish today."
35,"00:03:09,329","00:03:10,615",Then we can get paid.
36,"00:03:10,705","00:03:13,823","- Should we stand up too?
- She's a pro."
37,"00:03:14,250","00:03:17,038",What? Fumigation?
38,"00:03:19,005","00:03:20,496",They still do that kind of thing?
39,"00:03:20,590","00:03:21,590",Guess so.
40,"00:03:21,633","00:03:22,466",Shut the window.
41,"00:03:22,467","00:03:24,959","Leave it open.
We'll get free extermination."
42,"00:03:25,178","00:03:26,635",Kill the stink bugs.
43,"00:03:26,846","00:03:29,384","Right, too many stink bugs
these days..."
44,"00:03:31,768","00:03:33,805","God, that smells!"
45,"00:03:36,564","00:03:38,271",I told you to shut it!
46,"00:03:38,524","00:03:40,311","Should I shut it, Dad?"
47,"00:03:51,162","00:03:53,245",What exactly is the problem?
48,"00:03:54,123","00:03:56,866",Take this one as an example.
49,"00:03:57,168","00:03:59,376",You call this a straight line?
50,"00:03:59,754","00:04:01,586",And why's it folded here?
51,"00:04:01,923","00:04:03,539",Why is this sticking up?
52,"00:04:03,716","00:04:06,049",You didn't even fold it.
53,"00:04:07,261","00:04:11,221",A quarter of them look like this.
