line,start_time,end_time,text
1,"00:00:52,572","00:00:57,577","Subtitles by explosiveskull
Resync by GoldenBeard"
2,"00:01:02,340","00:01:04,941","All news, all the time."
3,"00:01:04,943","00:01:06,776",This is 1010 WINS.
4,"00:01:06,778","00:01:08,979","Good morning.
62 degrees at 6:00..."
5,"00:01:08,981","00:01:10,916","Go back to sleep, baby."
6,"00:01:14,754","00:01:16,652","All news, all the time."
7,"00:01:16,654","00:01:18,420",This is 1010 WINS.
8,"00:01:18,422","00:01:20,789","Good morning.
68 degrees at 6:00."
9,"00:01:20,791","00:01:22,794","It's Wednesday, August 24th."
10,"00:01:27,299","00:01:29,932","All news, all the time."
11,"00:01:29,934","00:01:31,601",This is 1010 WINS.
12,"00:01:31,603","00:01:34,536","Good morning.
72 degrees at 6:00."
13,"00:01:34,538","00:01:36,341","It is Thursday, August 25th."
14,"00:01:40,278","00:01:41,944",This here's what's happening.
15,"00:01:41,946","00:01:44,549","A six-alarm fire
burns down seven houses..."
16,"00:01:48,820","00:01:50,654","Two members
of the US Olympic swim team"
17,"00:01:50,656","00:01:52,288",being held in Brazil...
18,"00:01:52,290","00:01:54,024","...wind with a shower and
thunderstorm in a few places,"
19,"00:01:54,026","00:01:55,524",a high of 90.
20,"00:01:55,526","00:01:56,893",Clinton campaign's unleashing
21,"00:01:56,895","00:01:58,827",a new campaign ad today.
22,"00:01:58,829","00:02:01,898","NYPD still hasn't given a
motive for the killing, so..."
23,"00:02:01,900","00:02:04,634","...immigrants, but with
election day closing in..."
24,"00:02:04,636","00:02:06,036",Danny boy.
25,"00:02:06,038","00:02:07,873","The pipes,
the pipes, the pipes..."
26,"00:02:09,974","00:02:11,407","- Danny?
- I was up all night."
27,"00:02:11,409","00:02:12,809",Hello? Hello?
28,"00:02:12,811","00:02:14,310","- Uh-huh.
- What are you doing?"
29,"00:02:14,312","00:02:15,444",It's almost 7:00.
30,"00:02:18,482","00:02:20,583","- Got a showing at noon today.
- Yeah."
31,"00:02:20,585","00:02:21,851","- Did you ever get hold of her?
- Uh-huh."
32,"00:02:21,853","00:02:23,553","- Morning.
- Hey, kiddo."
33,"00:02:23,555","00:02:25,854","Why did I get a license
if I can't get a car?"
34,"00:02:25,856","00:02:27,556","School starts
next week, right?"
35,"00:02:27,558","00:02:28,824",Mmm-hmm.
36,"00:02:28,826","00:02:31,527","Syracuse application.
Early admission's due."
37,"00:02:31,529","00:02:33,699","I spoke to Chris Simpson
about a referral."
38,"00:02:36,634","00:02:38,668","Most of my friends
are going to State."
39,"00:02:38,670","00:02:42,871","What? Danny, you worked
your butt off for this."
40,"00:02:42,873","00:02:44,609",This is your next assignment.
41,"00:02:47,445","00:02:49,346","Okay, what chapter are you on?"
42,"00:02:49,348","00:02:50,280",Halfway through five.
43,"00:02:50,282","00:02:53,750","The part where they almost
kill that kid."
44,"00:02:53,752","00:02:56,019","You know that I can
get through on my own now."
45,"00:02:56,021","00:02:57,654","We made it this far, kid."
46,"00:02:57,656","00:02:59,521","You wanna write
the book report, too?"
47,"00:02:59,523","00:03:00,889",Couple thinks 350
48,"00:03:00,891","00:03:02,726",buys the keys to their dream home.
